FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6238,0,0,0,0,0,0,0,0,1,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Sheffield United,Fulham,,,,0,0,0
Tammy,Abraham,FWD,CHE,7100000,0,69,3.1,4.36619718309859E-07,9.71830985915493E-06,0,783505,0,12,0,0,0,6,0,9.7,127,-4,0,69,4,0,0,0.3,8,0,5,0,2,2,589320,0,-1,0,1,1031,62,0,0,224,Leicester,Aston Villa,,,,2.6,2.9,86.6
Che,Adams,FWD,SOU,5700000,1,137,3.8,6.66666666666667E-07,2.40350877192982E-05,0,1743727,1,51,0,0,0,9,0,24,7092,-3,0,137,3,0.8,0,4.5,16,0,7,0,7,5.2,1794103,0,-1,0,2,2662,899,0,0,443,Leeds United F.C.,West Ham,,,,0,3.2,203.4
Tosin,Adarabioyo,DEF,FUL,4500000,2,99,3.1,6.88888888888889E-07,2.2E-05,0,86761,1,39,0,0,0,0,0,22,157,0,0,99,0,0.3,0,1.2,11,0,9,0,1,0.6,123728,1,-1,0,1,2863,197,0,0,554,Man Utd,Newcastle,,,,3.8,2.7,93.5
,Adrian,GLK,LIV,4200000,0,11,0.305555555555556,7.27513227513228E-08,2.61904761904762E-06,0,66800,0,9,0,10,0,0,0,2.6,39,-3,0,11,3,0,0,0,2,0,1,0,0,0.3,60255,0,-1,0,0,270,27,0,0,60,Burnley,Crystal Palace,,,,0.2,0.2,5.9
Sergio,Aguero,FWD,MCI,10300000,0,28,2.5,2.42718446601942E-07,2.71844660194175E-06,0,570196,0,4,0,0,0,2,0,2.7,991,-2,0,28,2,0.2,1,2.2,2,0,4,0,1,1.3,372729,0,-1,0,0,529,273,0,0,102,Brighton,Everton,,,,0,0,47.3
Ola,Aina,DEF,FUL,4300000,0,102,3.3,7.67441860465116E-07,2.37209302325581E-05,0,249641,3,36,0,0,0,2,0,23.7,1053,-2,1,102,2,0,0,0.2,8,0,8,0,1,2,398914,0,-1,0,2,2664,475,-1,0,477,Man Utd,Newcastle,,,,4.1,3,87.7
Rayan,Ait Nouri,DEF,WOL,5000000,1,53,1.47222222222222,2.94444444444444E-07,1.06E-05,0,58279,0,20,0,0,0,1,0,10.6,60,0,0,53,0,0.2,0,1,6,0,3,0,1,0.2,64592,0,-1,0,1,1272,19,0,0,251,Everton,Man Utd,,,,0.9,1.1,62.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,49,1.6,3.33333333333333E-07,1.02083333333333E-05,0,52164,3,65,0,0,0,2,0,10.2,26,-2,0,49,2,0.2,0,1,2,0,1,0,1,0.2,38093,0,-1,0,0,2599,40,0,1,325,West Ham,Leeds United F.C.,,,,1.5,0.9,79.1
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,West Brom,Southampton,,,,0,0,0
Nathan,Ake,DEF,MCI,5400000,0,29,0.805555555555556,1.4917695473251E-07,5.37037037037037E-06,0,629879,4,13,0,0,0,1,0,5.4,201,-1,0,29,1,0.3,0,1.6,1,0,3,0,0,2.4,269901,0,-1,0,0,797,163,0,0,150,Brighton,Everton,,,,0.4,0.4,24.7
Marc,Albrighton,MID,LEI,5200000,2,76,2.11111111111111,4.05982905982906E-07,1.46153846153846E-05,0,23923,2,20,0,0,0,1,0,14.6,66,-3,0,76,3,0.6,0,3.3,3,0,4,0,7,0.1,17539,0,-1,0,1,1656,89,0,0,319,Chelsea,Tottenham,,,,1.4,1.1,120.6
Toby,Alderweireld,DEF,TOT,5400000,0,86,3.6,6.66666666666667E-07,1.59259259259259E-05,0,313401,2,23,0,0,0,1,0,15.9,227,-1,0,86,1,0.6,0,3,4,0,10,0,0,1.8,227452,1,-1,0,1,2104,189,0,0,447,Aston Villa,Leicester,,,,4.1,3.5,76.5
