FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.02325581395349E-07,1.16279069767442E-06,0,20288,0,2,0,0,0,0,0,1.2,0,-2,0,5,2,0,0,0,0,0,0,0,0,0.1,11807,0,0,0,0,136,0,0,0,19,Chelsea,,,,,0,4.6
Tammy,Abraham,FWD,SWA,5400000,1,86,2.8,5.18518518518518E-07,1.59259259259259E-05,0,1348417,0,31,0,0,0,5,0,15.9,0,-1,0,86,1,0,0,0,11,0,4,0,3,3.4,1332277,0,0,0,1,1715,0,0,0,238,Stoke,,,,,3.2,114.2
Charlie,Adam,MID,STK,4700000,0,10,0.27027027027027,5.75043128234618E-08,2.12765957446809E-06,0,8023,2,9,0,0,0,0,0,2.1,0,-3,0,10,3,0,1,0,0,0,2,0,0,0.1,3620,0,0,0,0,405,0,0,1,57,Swansea,,,,,0.1,27.1
,Adam Smith,DEF,BOU,4800000,0,56,1.51351351351351,3.15315315315315E-07,1.16666666666667E-05,0,71957,6,38,0,0,0,1,0,11.7,0,-2,0,56,2,0,0,0,3,0,2,0,3,0.4,36683,0,0,0,0,2067,0,0,0,376,Burnley,,,,,0.8,94.5
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0,0,0,0,2737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4277,0,0,0,0,0,0,0,0,0,Southampton,,,,,0,0
,Adrian,GLK,WHU,4000000,4,72,3.8,9.5E-07,1.8E-05,0,179290,2,29,0,69,0,0,0,18,0,-5,0,72,5,0,0,0,5,0,6,0,0,2.4,301496,0,0,0,1,1710,0,0,0,374,Everton,,,,,4.1,47
Ibrahim,Afellay,MID,STK,4800000,0,6,0.162162162162162,3.37837837837838E-08,1.25E-06,0,1900,1,9,0,0,0,0,0,1.3,0,-2,0,6,2,0,0,0,0,0,0,0,0,0,1423,0,0,0,0,162,0,0,0,29,Swansea,,,,,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.45614035087719E-07,4.21052631578947E-06,0,33941,0,12,0,0,0,0,0,4.2,0,-3,0,24,3,0,0,0,0,0,0,0,1,0.2,7433,0,0,0,0,534,0,0,0,73,Burnley,,,,,0,31.3
Sergio,Aguero,FWD,MCI,11500000,0,169,6.8,5.91304347826087E-07,1.4695652173913E-05,0,4192169,2,12,0,0,0,21,0,14.7,0,0,0,169,0,0,0,0,22,0,13,0,6,10.7,4137173,0,0,0,4,1960,0,0,0,740,Southampton,,,,,9.1,302.5
Nathan,Ake,DEF,BOU,5000000,2,102,2.7,5.4E-07,2.04E-05,0,550652,5,59,0,0,0,2,0,20.4,0,0,0,102,0,0,0,0,8,0,6,0,3,6.1,473457,0,0,0,1,3352,0,0,0,642,Burnley,,,,,2.1,133.5
Marc,Albrighton,MID,LEI,5500000,0,107,3.1,5.63636363636364E-07,1.94545454545455E-05,0,469984,5,42,0,0,0,2,0,19.5,0,0,0,107,0,0,0,0,12,0,8,0,8,2.2,480100,0,0,0,2,2533,0,0,1,458,Tottenham,,,,,1.8,160.2
Toby,Alderweireld,DEF,TOT,5800000,0,43,1.16216216216216,2.00372786579683E-07,7.41379310344828E-06,0,659946,3,13,0,0,0,0,0,7.4,0,-2,0,43,2,0,0,0,3,0,5,0,0,5,169714,0,0,0,0,1177,0,0,0,247,Leicester,,,,,0.6,36.8
Trent,Alexander-Arnold,DEF,LIV,4400000,6,83,2.24324324324324,5.0982800982801E-07,1.88636363636364E-05,0,386082,3,17,0,0,0,1,0,18.9,0,-1,0,83,1,0,0,0,10,0,8,0,2,5.5,567608,0,0,0,3,1573,0,0,0,385,Brighton,,,,,2.6,90.1
Joe,Allen,MID,STK,5100000,1,109,3,5.88235294117647E-07,2.13725490196078E-05,0,260198,8,55,0,0,0,2,0,21.4,0,-4,0,109,4,0,0,0,12,0,6,0,6,1.7,132625,0,0,0,2,3139,0,0,0,527,Swansea,,,,,2.4,154.3
Bamidele,Alli,MID,TOT,9000000,1,175,4.9,5.44444444444444E-07,1.94444444444444E-05,0,2312061,7,28,0,0,0,9,0,19.4,0,-5,0,175,5,0,0,0,12,0,16,0,13,13.8,1310914,0,0,0,3,2957,0,0,0,565,Leicester,,,,,6,258.8
Marcos,Alonso,DEF,CHE,7100000,0,165,5,7.04225352112676E-07,2.32394366197183E-05,0,1821079,6,30,0,0,0,7,0,23.2,0,1,0,165,-1,0,0,0,15,0,13,0,2,16.2,1720420,0,0,0,5,2855,0,0,0,650,Newcastle,,,,,4.8,207.1
Daniel,Amartey,MID,LEI,4300000,0,13,0.351351351351351,8.17096165933375E-08,3.02325581395349E-06,0,28515,0,7,0,0,0,0,0,3,0,-2,0,13,2,0,0,0,0,0,3,0,0,0.2,23807,0,0,0,0,486,0,0,1,53,Tottenham,,,,,0.2,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,737,0,1,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,836,0,0,0,0,10,0,0,0,6,Newcastle,,,,,0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2,4E-07,1.2E-06,0,7659,0,3,0,0,0,0,0,1.2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,3633,0,0,0,0,198,0,0,0,11,Man Utd,,,,,0,8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,52610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,59883,0,0,0,0,0,0,0,0,0,West Brom,,,,,0,0
,Andre Ayew,MID,SWA,6800000,5,77,2.6,3.82352941176471E-07,1.13235294117647E-05,0,107492,5,42,0,0,0,3,0,11.3,0,-2,0,77,2,0,1,0,2,0,3,0,5,1,60750,0,0,0,0,1834,0,0,0,249,Stoke,,,,,2.3,102.7
Michail,Antonio,MID,WHU,7400000,0,62,1.67567567567568,2.26442658875091E-07,8.37837837837838E-06,0,90416,1,23,0,0,0,3,0,8.4,0,-1,0,62,1,0,0,0,1,0,7,0,2,0.2,85938,0,0,0,0,1350,0,0,0,188,Everton,,,,,1.5,94.6
Scott,Arfield,MID,BUR,4900000,0,56,1.51351351351351,3.08880308880309E-07,1.14285714285714E-05,0,44755,3,15,0,0,0,2,0,11.4,0,-1,0,56,1,0,0,0,6,0,6,0,2,0.2,48050,0,0,0,2,1330,0,0,0,185,Bournemouth,,,,,1,60.1
Marko,Arnautovic,MID,WHU,7100000,12,144,4.6,6.47887323943662E-07,2.02816901408451E-05,0,1122460,5,50,0,0,0,11,0,20.3,0,1,0,144,-1,0,0,0,12,0,7,0,7,7.6,1535109,0,0,0,4,2309,0,0,1,440,Everton,,,,,6.3,241.1
Harry,Arter,MID,BOU,4700000,0,27,0.72972972972973,1.55261644623347E-07,5.74468085106383E-06,0,42168,4,13,0,0,0,1,0,5.7,0,-3,0,27,3,0,0,0,0,0,3,0,0,0.3,14078,0,0,0,0,959,0,0,0,156,Burnley,,,,,0.4,29.2
Christian,Atsu,MID,NEW,4800000,0,78,2.8,5.83333333333333E-07,1.625E-05,0,540835,1,22,0,0,0,2,0,16.3,0,-2,0,78,2,0,0,0,5,0,6,0,4,1.2,453946,0,0,0,1,1776,0,0,0,236,Chelsea,,,,,0,112.9
Pierre-Emerick,Aubameyang,FWD,ARS,10800000,8,87,2.35135135135135,2.17717717717718E-07,8.05555555555556E-06,0,726140,0,15,0,0,0,10,0,8.1,0,3,0,87,-3,0,1,0,12,0,4,0,4,14,1545427,0,0,0,2,1056,0,0,0,354,Huddersfield,,,,,1.3,127.1
Serge,Aurier,DEF,TOT,5900000,0,77,2.08108108108108,3.52725606962895E-07,1.30508474576271E-05,0,113870,1,13,0,0,0,2,0,13.1,0,-1,0,77,1,0,0,0,9,0,6,0,2,0.7,138247,0,0,0,3,1427,0,0,1,335,Leicester,,,,,1.6,81.4
Charlie,Austin,FWD,SOU,5800000,2,72,1.94594594594595,3.35507921714818E-07,1.24137931034483E-05,0,482256,2,15,0,0,0,7,0,12.4,0,-7,0,72,7,0,0,0,9,0,4,0,1,1.4,484100,0,0,0,1,1024,0,0,0,215,Man City,,,,,1.3,107.7
Cesar,Azpilicueta,DEF,CHE,6900000,1,175,4.7,6.81159420289855E-07,2.53623188405797E-05,0,1138791,1,38,0,0,0,2,0,25.4,0,4,0,175,-4,0,0,0,25,0,15,0,6,21,1565365,1,0,0,4,3330,0,0,0,913,Newcastle,,,,,4.4,167.5
Daniel,Bachmann,GLK,WAT,4000000,0,0,0,0,0,0,4254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8688,0,0,0,0,0,0,0,0,0,Man Utd,,,,,0,0
,Badou Ndiaye,MID,STK,5000000,9,41,1.10810810810811,2.21621621621622E-07,8.2E-06,0,1737,5,17,0,0,0,2,0,8.2,0,-5,0,41,5,0,0,0,5,0,2,0,1,0,2685,0,0,0,0,1138,0,0,0,159,Swansea,,,,,0.6,55
Eric,Bailly,DEF,MUN,6000000,6,55,1.48648648648649,2.47747747747748E-07,9.16666666666667E-06,0,907264,2,6,0,0,0,1,0,9.2,0,0,0,55,0,0,0,0,3,0,7,0,0,5.7,621910,1,0,0,1,1000,0,0,0,248,Watford,,,,,1.4,33
Leighton,Baines,DEF,EVE,5700000,1,82,3.7,6.49122807017544E-07,1.43859649122807E-05,0,496323,1,34,0,0,0,2,0,14.4,0,-3,0,82,3,0,0,0,10,0,5,0,3,4,175183,0,0,0,3,1909,0,0,0,381,West Ham,,,,,4,88.2
Tiemoue,Bakayoko,MID,CHE,4900000,1,77,2.7,5.51020408163265E-07,1.57142857142857E-05,0,351226,3,24,0,0,0,2,0,15.7,0,-1,0,77,1,0,0,0,5,0,11,0,2,1.2,359695,0,0,0,1,2121,0,0,1,346,Newcastle,,,,,2,113.2
Sam,Baldock,FWD,BHA,4900000,0,2,0.0540540540540541,1.10314396028682E-08,4.08163265306122E-07,0,3099,0,1,0,0,0,0,0,0.4,0,-1,0,2,1,0,0,0,0,0,0,0,0,0,2765,0,0,0,0,30,0,0,0,4,Liverpool,,,,,0,0.7
Beni,Baningime,MID,EVE,4500000,0,7,0.189189189189189,4.2042042042042E-08,1.55555555555556E-06,0,546,1,2,0,0,0,0,0,1.6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,690,0,0,0,0,192,0,0,0,20,West Ham,,,,,0.1,1.3
Phil,Bardsley,DEF,BUR,4000000,0,33,0.891891891891892,2.22972972972973E-07,8.25E-06,0,72287,5,13,0,0,0,0,0,8.3,0,-5,0,33,5,0,0,0,0,0,4,0,0,0.3,81355,0,0,0,0,1125,0,0,0,193,Bournemouth,,,,,0.4,38.3
Ross,Barkley,MID,CHE,7300000,2,3,0.0810810810810811,1.11069974083673E-08,4.10958904109589E-07,0,14693,0,4,0,0,0,0,0,0.4,0,-2,0,3,2,0,0,0,0,0,0,0,0,0.2,5701,0,0,0,0,129,0,0,0,11,Newcastle,,,,,0,10.1
