FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4200000,0,66,1.8,4.28571428571429E-07,1.57142857142857E-05,0,216612,7,71,0,0,0,0,0,15.7,0,-3,0,66,3,0.1,0,0.5,3,0,5,0,2,1.3,122237,0,-1,0,1,3240,0,0,0,489,Sheffield United,,,,,0.9,119
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4568,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,1631,0,-1,0,0,0,0,0,0,0,Southampton,,,,,0,0
Tammy,Abraham,FWD,CHE,7300000,1,153,4.5,6.16438356164384E-07,2.0958904109589E-05,0,5254123,2,34,0,0,0,15,0,21,0,3,0,153,-3,0.4,0,3,20,0,7,0,6,14,5791038,1,-1,0,4,2206,0,0,0,461,Everton,,,,,4.9,223.3
,Adam Smith,DEF,BOU,4300000,2,49,2,4.65116279069767E-07,1.13953488372093E-05,0,142204,7,40,0,0,0,0,0,11.4,0,-2,0,49,2,0.2,0,1,3,0,4,0,1,0.4,66379,0,-1,0,1,2055,0,0,0,309,Liverpool,,,,,1.2,58.8
Che,Adams,FWD,SOU,5300000,13,78,2.78571428571429,5.25606469002695E-07,1.47169811320755E-05,0,98754,0,17,0,0,0,4,0,14.7,0,-7,0,78,7,1.3,0,7,8,0,4,0,4,0.4,42613,0,-1,0,1,1095,0,0,0,242,Newcastle,,,,,2,92.3
,Adrian,GLK,LIV,4000000,0,27,0.964285714285714,2.41071428571429E-07,6.75E-06,0,652546,1,10,0,18,0,0,0,6.8,0,-5,0,27,5,0,0,0,0,0,2,0,0,2,683430,0,-1,0,0,873,0,0,0,136,Bournemouth,,,,,0.5,13.2
Daniel,Adshead,MID,NOR,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Sheffield United,,,,,0,0
Sergio,Aguero,FWD,MCI,11600000,0,132,5.5,4.74137931034483E-07,1.13793103448276E-05,0,3973926,1,18,0,0,0,16,0,11.4,0,-4,0,132,4,0,1,0,14,0,5,0,6,11.8,3383429,0,-1,0,4,1449,0,0,0,509,Man Utd,,,,,5.2,208.2
Albian,Ajeti,FWD,WHU,5600000,0,9,1,1.78571428571429E-07,1.60714285714286E-06,0,5996,0,3,0,0,0,0,0,1.6,0,-4,0,9,4,0,0,0,0,0,0,0,0,0,3382,0,-1,0,0,132,0,0,0,16,Arsenal,,,,,0.5,7.3
Nathan,Ake,DEF,BOU,4800000,0,79,2.7,5.625E-07,1.64583333333333E-05,0,1391080,2,46,0,0,0,2,0,16.5,0,-2,0,79,2,0,0,0,6,0,4,0,2,6,614610,0,-1,0,1,2503,0,0,0,499,Liverpool,,,,,2,111
Marc,Albrighton,MID,LEI,5100000,2,38,1.35714285714286,2.66106442577031E-07,7.45098039215686E-06,0,24640,2,11,0,0,0,0,0,7.5,0,-4,0,38,4,0.1,0,0.7,1,0,3,0,3,0.2,12028,0,-1,0,0,857,0,0,0,185,Aston Villa,,,,,0.7,58.1
