FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,6,9,1.3,2.95454545454545E-07,2.04545454545455E-06,0,123039,2,17,0,0,0,0,0,2,331,-1,0,9,1,0.4,0,1.8,0,0,1,0,0,1.3,27833,0,-1,0,0,630,270,0,0,76,Bournemouth,Man Utd,Brighton,Watford,Everton,0.6,1.3,0.6,1.1,0.6,0.9,0.6,0.9,0.6,0.7,0.6,1.2,1.4,0.6,0.6,0.6,0.6,0.7,0.6,1.2,0.7,0.7,1.4,0.6,0.9,0.6,1,0.6,0.8,0.6,20.9
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,3765,0,0,0,0,0,0,0,0,27,-1,0,0,1,0,0,0,0,0,0,0,0,0,1288,0,-1,0,0,0,2,0,0,0,Chelsea,Wolverhampton,West Ham,Bournemouth,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7700000,2,56,6.2,8.05194805194805E-07,7.27272727272727E-06,0,384393,2,10,0,0,0,8,0,7.3,10666,7,0,56,-7,0.5,0,3.5,11,0,2,0,0,44.6,3133761,1,-1,0,3,659,38709,0,0,201,Newcastle,Burnley,Watford,Crystal Palace,Man City,7.7,6.8,7.6,9,8.1,7.7,8.5,6.8,8.4,7.4,7.8,7.6,7,8.8,6.6,8.6,6.4,9.3,9.2,7.6,8.7,6.9,7.9,7.3,9,6.2,7.5,9.3,7.3,7,81.2
,Adam Smith,DEF,BOU,4300000,5,10,2,4.65116279069767E-07,2.32558139534884E-06,0,75920,2,7,0,0,0,0,0,2.3,109,-2,0,10,2,0.3,0,1.2,0,0,1,0,0,0.5,9490,0,-1,0,0,400,291,0,0,60,Norwich,Watford,Man Utd,Newcastle,Wolverhampton,1.9,1.4,2.2,1.8,1.2,1.3,1.3,1.3,1.1,1.4,1.5,1.1,1.5,1.9,1,1.5,2,2,1,1.3,1.3,2.3,1.1,2.2,1.1,2,2,1.1,1.2,1.6,12.6
Che,Adams,FWD,SOU,5600000,0,16,2.3,4.10714285714286E-07,2.85714285714286E-06,0,76371,0,7,0,0,0,0,0,2.9,630,-4,0,16,4,0.3,0,1.5,0,0,2,0,1,0.5,24933,0,-1,0,0,454,129,0,0,26,Wolverhampton,Leicester,Man City,Everton,Arsenal,1.8,1.8,2.2,1.7,2,2.2,2.9,1.7,1.4,1.8,2.1,1.9,2.2,1.6,1.2,1.5,1.9,1.8,1.7,1.9,1.4,2.5,1.7,2.4,1.4,1.7,1.7,1.5,2,1.2,25.5
,Adrian,GLK,LIV,4500000,0,23,2.9,6.44444444444444E-07,5.11111111111111E-06,0,303750,1,6,0,12,0,0,0,5,33305,0,1,23,0,0.5,0,2.2,0,0,2,0,0,5.5,573610,0,-1,0,0,681,910,-1,0,105,Man Utd,Tottenham,Aston Villa,Man City,Crystal Palace,2.3,3.2,2.9,1.8,2.6,2.4,3.6,1.8,3,0,2.4,2,2.5,2.6,3.5,2.4,1.9,2,2.7,2.7,1.8,3.1,3.6,2.3,3.2,2.3,2.4,2.3,2.2,3.4,9.1
Sergio,Aguero,FWD,MCI,12200000,0,61,7.6,6.22950819672131E-07,5E-06,0,588487,0,8,0,0,0,8,0,5,36379,2,0,61,-2,0.3,0,3.8,6,0,2,0,3,29,1216363,0,-1,0,2,560,10173,0,0,255,Crystal Palace,Aston Villa,Southampton,Liverpool,Chelsea,8.9,10.5,8.9,10.2,10,9.4,9.6,11.4,10,11,9.7,7.5,10.8,9.8,11.2,10.4,9.6,9.6,9.2,10.2,9.1,10.9,10.3,8.8,11.4,9.6,9.9,10.1,9.9,11.4,84.7
Albian,Ajeti,FWD,WHU,5800000,1,1,0.125,2.1551724137931E-08,1.72413793103448E-07,0,3830,0,1,0,0,0,0,0,0.2,22,-2,0,1,2,0,0,0.2,0,0,0,0,0,0,1389,0,-1,0,0,16,26,0,0,1,Everton,Sheffield United,Newcastle,Burnley,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Nathan,Ake,DEF,BOU,4900000,8,30,3.3,6.73469387755102E-07,6.12244897959184E-06,0,550118,1,13,0,0,0,1,0,6.1,1970,-1,0,30,1,1.2,0,5.8,3,0,1,0,1,12.3,214742,0,-1,0,0,810,13801,0,0,173,Norwich,Watford,Man Utd,Newcastle,Wolverhampton,3.9,3,4.4,3.8,2.8,2.9,2.8,2.9,2.5,3.2,3.2,2.6,3.2,3.9,2.2,3.3,4.1,4.1,2,3,2.9,4.5,2.6,4.4,2.5,4.1,4.1,2.5,2.7,3.4,40
Marc,Albrighton,MID,LEI,5300000,0,8,1,1.88679245283019E-07,1.50943396226415E-06,0,14817,1,2,0,0,0,0,0,1.5,159,-2,0,8,2,0.2,0,1.2,0,0,0,0,1,0.2,5760,0,-1,0,0,164,96,0,0,40,Burnley,Southampton,Crystal Palace,Arsenal,Brighton,0.7,0.5,0.5,0.6,0.5,0.6,0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.5,0.5,0.7,0.5,0.7,13.7
