FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4300000,1,26,1.4,3.25581395348837E-07,6.04651162790698E-06,0,148978,4,36,0,0,0,0,0,6,627,-2,1,26,2,0.3,0,1.4,1,0,2,0,0,1.1,39692,0,-1,0,0,1620,429,-1,0,234,Tottenham,Crystal Palace,Man Utd,Bournemouth,Tottenham,1.1,1.2,0.7,0.8,0.8,0.9,0.8,0.7,0.8,0.7,0.7,1.2,0.7,0.9,0.7,1.2,0.7,0.8,0.7,61.5
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4205,0,0,0,0,0,0,0,0,5,-2,0,0,2,0,0,0,0,0,0,0,0,0,1388,0,-1,0,0,0,2,0,0,0,Everton,Leicester,Wolverhampton,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7800000,6,109,5.7,7.30769230769231E-07,1.3974358974359E-05,0,2802485,2,21,0,0,0,12,0,14,64024,8,0,109,-8,0.5,0,3.7,19,0,5,0,3,32.5,4697095,1,-1,0,4,1480,12831,0,0,349,Arsenal,Brighton,Burnley,Newcastle,Arsenal,7.6,7.1,7.6,5.9,7.6,6.5,8.4,7.9,7.3,7.5,6.9,7.4,7.3,7.5,6.8,6.2,7.8,6.6,6.7,143.6
,Adam Smith,DEF,BOU,4300000,0,32,3.2,7.44186046511628E-07,7.44186046511628E-06,0,126262,2,12,0,0,0,0,0,7.4,599,-2,0,32,2,0.1,0,0.3,3,0,3,0,1,0.5,58930,0,-1,0,1,837,13,0,0,163,Brighton,West Ham,Watford,Norwich,Brighton,0,0,0,0,0,4.6,3,2.3,2.9,3.1,3.9,2.6,4.2,2.4,3.7,2.7,3.1,2.3,3.1,27.6
Che,Adams,FWD,SOU,5300000,2,26,1.7,3.20754716981132E-07,4.90566037735849E-06,0,89553,0,8,0,0,0,0,0,4.9,142,-7,0,26,7,0.2,0,1.1,0,0,3,0,1,0.3,28366,0,-1,0,0,627,72,0,0,54,Crystal Palace,Tottenham,Leicester,Wolverhampton,Crystal Palace,1.1,1.2,1.1,0.9,1.2,1.1,1.1,1.3,1.3,0.9,1.7,1.1,1.3,1.1,1.1,1.2,1,1.3,0.8,29.3
,Adrian,GLK,LIV,4100000,0,25,1.38888888888889,3.38753387533875E-07,6.09756097560976E-06,0,561245,1,9,0,16,0,0,0,6.1,2071,-4,1,25,4,0.1,0,0.3,0,0,2,0,0,2.3,613122,0,-1,0,0,783,628,-1,0,123,Wolverhampton,Sheffield United,Tottenham,Man Utd,Wolverhampton,0.7,0.7,0.9,0.9,1.8,0.7,0.8,1,0.8,0.7,0.8,1.1,0.8,1.4,0.8,0.7,0.7,0.7,1,11.3
Sergio,Aguero,FWD,MCI,11700000,0,74,5.3,4.52991452991453E-07,6.32478632478633E-06,0,2070011,0,13,0,0,0,9,0,6.3,3408,-3,0,74,3,0,0,0.3,6,0,2,0,3,10.4,1403938,0,-1,0,2,824,5826,0,0,292,Sheffield United,Everton,Aston Villa,Crystal Palace,Sheffield United,4.8,6.8,6.1,6.8,5.5,6.8,6.5,5.8,7,6.3,7,7,5.5,7.8,6.5,6.3,6.4,6.4,7.3,109.9
Albian,Ajeti,FWD,WHU,5700000,1,7,1,1.75438596491228E-07,1.2280701754386E-06,0,4620,0,3,0,0,0,0,0,1.2,12,-3,0,7,3,0.1,0,0.5,0,0,0,0,0,0,1960,0,-1,0,0,122,7,0,0,11,Leicester,Bournemouth,Sheffield United,Everton,Leicester,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.5,0.5,0.6,5
Nathan,Ake,DEF,BOU,4900000,0,50,3.1,6.3265306122449E-07,1.02040816326531E-05,0,1191279,1,21,0,0,0,1,0,10.2,9427,-1,0,50,1,0.1,0,0.6,5,0,3,0,1,7.3,504400,0,-1,0,0,1384,78,0,0,290,Brighton,West Ham,Watford,Norwich,Brighton,0,0,0,0,0,4.4,2.9,2.2,2.8,2.9,3.7,2.5,4.1,2.3,3.6,2.6,2.9,2.2,3,58.6
Marc,Albrighton,MID,LEI,5200000,2,15,0.789473684210526,1.51821862348178E-07,2.88461538461538E-06,0,20043,1,7,0,0,0,0,0,2.9,66,-3,0,15,3,0.2,0,0.9,0,0,0,0,1,0.2,8236,0,-1,0,0,352,34,0,0,76,West Ham,Newcastle,Southampton,Burnley,West Ham,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,25.1
