FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Vincent,Janssen,FWD,TOT,4500000,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,0.2,183,0,-1,0,0,0,183,0,0,0,Aston Villa,Man City,Newcastle,Arsenal,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,DEF,ARS,4500000,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0.1,14,0,-1,0,0,0,14,0,0,0,Newcastle,Burnley,Liverpool,Tottenham,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jesus,FWD,MCI,9500000,6,6,0.157894736842105,1.66204986149584E-08,6.31578947368421E-07,0,4753,0,0,0,0,0,1,0,0.6,4753,0,0,6,0,0.6,0,6,0,0,1,0,0,2.8,9844,0,-1,0,0,68,9844,0,0,31,West Ham,Tottenham,Bournemouth,Brighton,Norwich,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,8
Raul,Jimenez,FWD,WOL,7500000,2,2,0.0526315789473684,7.01754385964912E-09,2.66666666666667E-07,0,16280,0,0,0,0,0,0,0,0.3,16280,0,0,2,0,0.3,0,2,0,0,1,0,0,23.2,11324,0,-1,0,0,61,11324,0,0,10,Leicester,Man Utd,Burnley,Everton,Chelsea,0,0.1,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0
,Joelinton,FWD,NEW,6000000,2,2,0.0526315789473684,8.7719298245614E-09,3.33333333333333E-07,0,2052,0,1,0,0,0,0,0,0.3,2052,0,0,2,0,0.3,0,2,0,0,0,0,0,2.5,3249,0,-1,0,0,61,3249,0,0,8,Arsenal,Norwich,Tottenham,Watford,Liverpool,0,0.1,0,0.1,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0,0.1,0,0.1,0.1,0,0,0
Ben,Johnson,DEF,WHU,4000000,0,0,0,0,0,0,1414,0,0,0,0,0,0,0,0,1414,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1141,0,-1,0,0,0,1141,0,0,0,Man City,Brighton,Watford,Norwich,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreke,Johnson,MID,SOU,4500000,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,-1,0,0,0,17,0,0,0,Burnley,Liverpool,Brighton,Man Utd,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Jones,DEF,MUN,5000000,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0.2,253,0,-1,0,0,0,253,0,0,0,Chelsea,Wolverhampton,Crystal Palace,Southampton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jonny,DEF,WOL,5500000,5,5,0.131578947368421,2.39234449760766E-08,9.09090909090909E-07,0,1032,1,0,0,0,0,0,0,0.9,1032,0,0,5,0,0.9,0,5,0,0,1,0,0,1.3,564,0,-1,0,0,61,564,0,0,17,Leicester,Man Utd,Burnley,Everton,Chelsea,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0
,Jorginho,MID,CHE,5000000,0,0,0,0,0,0,3776,0,0,0,0,0,0,0,0,3776,0,0,0,0,0,0,0,0,0,0,0,0,4.1,6126,0,-1,0,0,0,6126,0,0,0,Man Utd,Leicester,Norwich,Sheffield United,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
