FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Stephen,Henderson,GLK,CRY,4000000,0,0,0,0,0,0,18035,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0.4,41595,0,-1,0,0,0,104,0,0,0,Brighton,Watford,Bournemouth,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
Jeff,Hendrick,MID,BUR,5400000,3,66,2.9,5.37037037037037E-07,1.22222222222222E-05,0,15559,7,29,0,0,0,2,0,12.2,38,-1,0,66,1,0.6,0,3,4,0,10,0,2,0.1,14597,0,-1,0,0,1842,36,0,0,194,Newcastle,Tottenham,Man City,Watford,Crystal Palace,2.2,2.4,1.5,3,2.1,3.5,1.8,1.6,2.9,2,2.9,73
Wayne,Hennessey,GLK,CRY,4200000,0,6,0.222222222222222,5.29100529100529E-08,1.42857142857143E-06,0,52890,0,4,0,13,0,0,0,1.4,40,-3,0,6,3,0,0,0,0,0,0,0,0,0.6,18636,0,-1,0,0,180,43,0,0,42,Brighton,Watford,Bournemouth,Liverpool,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.7
Onel,Hernandez,MID,NOR,5300000,0,33,1.22222222222222,2.30607966457023E-07,6.22641509433962E-06,0,16786,0,15,0,0,0,1,0,6.2,24,-2,0,33,2,0,0,0.2,0,0,1,0,1,0.1,5936,0,-1,0,0,756,3,0,0,106,Leicester,Sheffield United,Southampton,Everton,Arsenal,0,0,0,0,0,0,0,0,0.6,0.8,0.6,54.6
Wesley,Hoedt,DEF,SOU,4200000,0,0,0,0,0,0,4959,0,0,0,0,0,0,0,0,3,-3,0,0,3,0,0,0,0,0,0,0,0,0,1060,0,-1,0,0,0,2,0,0,0,West Ham,Newcastle,Norwich,Arsenal,Watford,0,0,0,0,0,0,0,0,0,0,0,0
Ki-Jana,Hoever,DEF,LIV,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,0,0,0,3,0,0,0,Watford,Bournemouth,Everton,Crystal Palace,Man City,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emile,H?jbjerg,MID,SOU,4800000,2,64,2.4,5E-07,1.33333333333333E-05,0,69313,5,47,0,0,0,0,0,13.3,223,-2,0,64,2,0.5,0,2.2,1,0,6,0,3,0.5,46935,0,-1,0,0,2357,128,0,0,342,West Ham,Newcastle,Norwich,Arsenal,Watford,1.6,2.2,1.7,1.9,1.9,1.2,1.8,1.6,1.9,2,2.3,111.9
Rob,Holding,DEF,ARS,4500000,0,2,0.0740740740740741,1.64609053497942E-08,4.44444444444444E-07,0,14777,0,3,0,0,0,0,0,0.4,27,0,0,2,0,0,0,0,0,0,0,0,0,0.1,12024,0,-1,0,0,85,10,0,0,13,West Ham,Brighton,Southampton,Norwich,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,1.6
Jose,Holebas,DEF,WAT,4600000,0,16,0.592592592592593,1.28824476650564E-07,3.47826086956522E-06,0,237155,5,26,0,0,0,0,0,3.5,51,-4,0,16,4,0,0,0,0,0,2,0,0,0.7,19136,0,-1,0,0,1004,13,0,0,141,Liverpool,Crystal Palace,Leicester,Burnley,Southampton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,43.8
Mason,Holgate,DEF,EVE,4400000,0,54,2.7,6.13636363636364E-07,1.22727272727273E-05,0,119341,3,27,0,0,0,0,0,12.3,1750,-1,0,54,1,0.3,0,1.2,5,0,3,0,4,2.2,262689,0,-1,0,0,1552,384,0,0,320,Man Utd,Chelsea,Liverpool,Norwich,Leicester,3,2.1,2.7,2.1,2.5,2.6,2.1,1.7,3.9,2,2.7,56.5
Nathan,Holland,MID,WHU,4400000,0,2,1,2.27272727272727E-07,4.54545454545455E-07,0,649,0,1,0,0,0,0,0,0.5,2,-1,0,2,1,0,0,0,0,0,0,0,0,0,666,0,-1,0,0,31,0,0,0,10,Southampton,Arsenal,Wolverhampton,Tottenham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,2.5
Conor,Hourihane,MID,AVL,5700000,0,51,1.88888888888889,3.31384015594542E-07,8.94736842105263E-06,0,28424,3,24,0,0,0,3,0,8.9,21,-3,0,51,3,0.1,0,0.3,6,0,2,0,2,0.1,17634,0,-1,0,2,874,7,0,0,200,Leicester,Chelsea,Newcastle,Wolverhampton,Liverpool,0,0.9,1.2,1,1.6,0.9,1.6,1.5,0.9,1.6,0.9,68
Callum,Hudson-Odoi,MID,CHE,5300000,0,45,1.66666666666667,3.14465408805031E-07,8.49056603773585E-06,0,315208,1,12,0,0,0,1,0,8.5,1166,-7,0,45,7,0.1,0,0.5,3,0,2,0,4,0.6,332276,0,-1,0,0,768,4,0,0,172,Bournemouth,Everton,Aston Villa,Man City,West Ham,0,0,0,0,0,1.2,0.9,1.5,1.1,0.8,1.1,83.6
Will,Hughes,MID,WAT,5300000,3,48,2.4,4.52830188679245E-07,9.0566037735849E-06,0,69909,4,26,0,0,0,1,0,9.1,17,-2,0,48,2,0.3,0,1.5,3,0,5,0,1,0.3,63429,0,-1,0,0,1424,19,0,0,171,Liverpool,Crystal Palace,Leicester,Burnley,Southampton,1.4,1.5,1.6,1.7,1.9,1.4,2.1,2.5,1.3,1.3,1.6,62.2
