FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,2,21,1.4,3.18181818181818E-07,4.77272727272727E-06,0,143515,4,31,0,0,0,0,0,4.8,474,-1,0,21,1,0.5,0,2,0,0,2,0,0,1.1,36799,0,-1,0,0,1350,454,0,0,185,Leicester,Wolverhampton,Aston Villa,Tottenham,Crystal Palace,0.7,0.7,1,1.2,1.3,0.7,0.8,0.8,1,0.8,0.7,0.8,0.7,0.7,1.3,0.7,0.9,0.8,1.2,0.7,0.8,0.7,49.6
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4143,0,0,0,0,0,0,0,0,12,-2,0,0,2,0,0,0,0,0,0,0,0,0,1367,0,-1,0,0,0,0,0,0,0,Burnley,Crystal Palace,Man Utd,Everton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,8000000,2,99,6.2,7.75E-07,1.2375E-05,0,2259322,2,18,0,0,0,11,0,12.4,52001,10,0,99,-10,0.4,0,3.6,19,0,4,0,3,37.1,4491406,1,-1,0,4,1221,17250,0,0,323,Bournemouth,Tottenham,Southampton,Arsenal,Brighton,8.5,7.3,8.2,7.5,7.4,8.8,6.3,9,6.2,9.3,9.3,7.1,9.2,7.3,8.5,7.2,8.7,7.3,6.3,8.9,7.2,8.1,137.6
,Adam Smith,DEF,BOU,4300000,0,32,3.2,7.44186046511628E-07,7.44186046511628E-06,0,116149,2,12,0,0,0,0,0,7.4,2296,-2,0,32,2,0.1,0,0.6,3,0,3,0,1,0.6,58845,0,-1,0,1,837,11,0,0,163,Chelsea,Burnley,Arsenal,Brighton,West Ham,0,0,0,0,0,0,0,0,4.6,2.8,2.1,3.2,2.9,4.2,2.3,4.3,2.3,4.1,2.9,2.7,2.8,3.2,27.6
Che,Adams,FWD,SOU,5400000,1,21,1.8,3.33333333333333E-07,3.88888888888889E-06,0,88196,0,7,0,0,0,0,0,3.9,189,-6,0,21,6,0.1,0,0.6,0,0,2,0,1,0.3,27772,0,-1,0,0,483,53,0,0,38,West Ham,Aston Villa,Chelsea,Crystal Palace,Tottenham,1.2,1.3,1.4,1.2,1.5,1,1.1,1.2,1.2,1.3,1.4,1.2,1,1.8,1.4,1.5,1.2,1.3,1.3,1.3,1.2,0.9,25.9
,Adrian,GLK,LIV,4200000,0,25,2.5,5.95238095238095E-07,5.95238095238095E-06,0,540617,1,9,0,16,0,0,0,6,3316,-3,0,25,3,0.1,0,0.4,0,0,2,0,0,2.6,609656,0,-1,0,0,783,524,0,0,123,Watford,Leicester,Wolverhampton,Sheffield United,Tottenham,2.2,0,1.6,1.7,1.7,2.2,2.3,1.7,1.7,2,2.6,2.3,1.9,2.4,2.8,2,3.1,1.9,1.9,1.5,2,2.6,11.3
Sergio,Aguero,FWD,MCI,11700000,0,72,6,5.12820512820513E-07,6.15384615384615E-06,0,2039405,0,13,0,0,0,9,0,6.2,13298,-3,0,72,3,0,0,0.4,6,0,2,0,3,10,1343087,0,-1,0,2,810,158,0,0,287,Arsenal,Leicester,Wolverhampton,Sheffield United,Everton,0,0,0,0,0,7.5,7.9,6.5,7.5,7.6,6.4,8.3,7.4,8.1,7.8,6.8,8.5,7.2,7.5,7.7,8,8.2,109.7
Albian,Ajeti,FWD,WHU,5800000,0,5,0.3125,5.38793103448276E-08,8.62068965517241E-07,0,4462,0,3,0,0,0,0,0,0.9,26,-2,0,5,2,0,0,0.2,0,0,0,0,0,0,1880,0,-1,0,0,101,23,0,0,8,Southampton,Crystal Palace,Leicester,Bournemouth,Sheffield United,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.1
Nathan,Ake,DEF,BOU,5000000,0,50,3.1,6.2E-07,1E-05,0,1006339,1,21,0,0,0,1,0,10,56487,0,0,50,0,0.2,0,1,5,0,3,0,1,9.9,503699,0,-1,0,0,1384,155,0,0,290,Chelsea,Burnley,Arsenal,Brighton,West Ham,0,0,0,0,0,0,0,0,4.4,2.6,2,3.1,2.8,4,2.2,4.1,2.1,3.9,2.8,2.6,2.7,3,58.6
Marc,Albrighton,MID,LEI,5200000,0,11,0.6875,1.32211538461538E-07,2.11538461538462E-06,0,19435,1,2,0,0,0,0,0,2.1,132,-3,0,11,3,0.1,0,0.4,0,0,0,0,1,0.2,7913,0,-1,0,0,204,39,0,0,60,Norwich,Man City,Liverpool,West Ham,Newcastle,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.6
