FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Shkodran,Mustafi,DEF,ARS,5100000,5,13,0.565217391304348,1.10826939471441E-07,2.54901960784314E-06,0,34141,0,7,0,0,0,0,0,2.5,297,-4,0,13,4,0.3,0,1.5,1,0,0,0,2,0.3,9348,0,-1,0,0,350,485,0,0,77,Chelsea,Burnley,Newcastle,Everton,Man City,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,20
Yoshinori,Muto,FWD,NEW,5100000,0,8,0.347826086956522,6.82011935208866E-08,1.56862745098039E-06,0,13016,0,6,0,0,0,0,0,1.6,109,-4,0,8,4,0.1,0,0.3,0,0,0,0,0,0.1,6220,0,-1,0,0,201,9,0,0,22,Everton,Norwich,Arsenal,Crystal Palace,Burnley,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.7
Marvelous,Nakamba,MID,AVL,4400000,2,29,1.26086956521739,2.86561264822134E-07,6.59090909090909E-06,0,98922,3,27,0,0,0,0,0,6.6,1251,-1,0,29,1,0.3,0,1.2,0,0,1,0,0,0.8,124464,0,-1,0,0,1347,114,0,0,209,Watford,Bournemouth,Tottenham,Southampton,Sheffield United,0.9,0.6,0.6,0.6,1.1,0.6,0.6,0.6,0.8,0.6,0.9,0.8,0.6,0.8,0.6,40.4
Marc,Navarro,DEF,WAT,3900000,0,0,0,0,0,0,35059,0,0,0,0,0,0,0,0,604,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,45535,0,-1,0,0,0,209,0,0,0,Aston Villa,Everton,Brighton,Man Utd,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilfred,Ndidi,MID,LEI,5000000,1,63,3,6E-07,1.26E-05,0,389193,3,18,0,0,0,2,0,12.6,2299,0,0,63,0,0.3,0,1.7,5,0,8,0,1,1.9,381659,0,-1,0,0,1786,1153,0,0,332,West Ham,Chelsea,Wolverhampton,Man City,Norwich,2.5,2.2,2.5,1.7,2.1,2.6,2.6,2.9,2.3,2.8,2.6,2.8,3.6,1.9,3.1,80.9
Tanguy,Ndombele,MID,TOT,5800000,0,36,1.56521739130435,2.69865067466267E-07,6.20689655172414E-06,0,821021,2,13,0,0,0,2,0,6.2,775,-2,0,36,2,0.1,0,0.5,2,0,1,0,1,2.3,583349,0,-1,0,0,797,240,0,0,171,Norwich,Man City,Aston Villa,Chelsea,Wolverhampton,1.1,0.8,0.8,0.8,1,0.8,1.2,0.9,1.2,1.2,0.9,1.1,0.8,0.8,0.8,51.2
Reiss,Nelson,MID,ARS,5300000,0,18,0.782608695652174,1.4766201804758E-07,3.39622641509434E-06,0,17350,1,4,0,0,0,0,0,3.4,350,-2,0,18,2,0.3,0,1.5,0,0,2,0,1,0.1,11419,0,-1,0,0,437,4,0,0,56,Chelsea,Burnley,Newcastle,Everton,Man City,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,27.7
,Neto,MID,WOL,5000000,2,36,1.56521739130435,3.1304347826087E-07,7.2E-06,0,8503,2,8,0,0,0,2,0,7.2,1083,0,0,36,0,0.7,0,3.3,0,0,0,0,2,0.2,19205,0,-1,0,0,597,2582,0,0,125,Liverpool,Man Utd,Leicester,Norwich,Tottenham,0.8,0.8,0.8,1,0.8,1.1,0.8,1.1,0.8,1.1,1.2,1.1,0.8,1,0.8,45
,Neves,MID,WOL,5200000,2,59,2.5,4.80769230769231E-07,1.13461538461538E-05,0,594397,5,27,0,0,0,2,0,11.3,4457,-3,0,59,3,0.4,0,2,4,0,4,0,1,4.5,332154,0,-1,0,1,1862,1866,0,0,300,Liverpool,Man Utd,Leicester,Norwich,Tottenham,1.4,1.4,1.6,2.2,1.4,2.2,1.5,2.4,1.4,2.3,2.5,2.4,1.9,2.1,1.5,78
Jeremy,Ngakia,DEF,WHU,4000000,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,-1,0,0,0,41,0,0,0,Leicester,Liverpool,Brighton,Man City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oumar,Niasse,FWD,EVE,4500000,1,3,0.130434782608696,2.89855072463768E-08,6.66666666666667E-07,0,1548,0,2,0,0,0,0,0,0.7,128,0,0,3,0,0.1,0,0.3,0,0,0,0,0,0,2540,0,-1,0,0,19,132,0,0,1,Newcastle,Watford,Crystal Palace,Arsenal,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9
Edward,Nketiah,FWD,ARS,4300000,0,1,0.0434782608695652,1.01112234580384E-08,2.32558139534884E-07,0,121862,0,1,0,0,0,0,0,0.2,1216,-2,0,1,2,0,0,0.2,0,0,0,0,0,0.6,55306,0,-1,0,0,16,1525,0,0,3,Chelsea,Burnley,Newcastle,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
Georges-Kevin,Nkoudou,MID,TOT,5000000,0,1,1,2E-07,2E-07,0,2468,0,0,0,0,0,0,0,0.2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1702,0,-1,0,0,2,3,0,0,3,Norwich,Man City,Aston Villa,Chelsea,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
Daniel,N'Lundulu,FWD,SOU,4500000,0,0,0,0,0,0,8256,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0.1,9510,0,-1,0,0,0,48,0,0,0,Crystal Palace,Liverpool,Burnley,Aston Villa,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark,Noble,MID,WHU,5000000,7,74,3.7,7.4E-07,1.48E-05,0,118283,2,25,0,0,0,4,0,14.8,7201,0,0,74,0,0.9,0,4.3,6,0,6,0,2,2.1,234842,0,-1,0,2,1609,5339,0,0,319,Leicester,Liverpool,Brighton,Man City,Liverpool,5.4,4.1,2.3,2.4,3.6,3.5,4,2.6,3.2,3.3,4.4,2.8,4.3,2.6,3.7,66.9
