FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4300000,0,58,2.1,4.88372093023256E-07,1.34883720930233E-05,0,168853,6,48,0,0,0,0,0,13.5,60,-2,0,58,2,0.9,0,3.8,3,0,5,0,2,1.3,76722,0,-1,0,1,2430,98,0,0,384,Arsenal,Brighton,Watford,West Ham,Chelsea,1,2,1.1,2.6,1.4,1.7,1.2,95
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4459,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,1552,0,-1,0,0,0,0,0,0,0,Bournemouth,West Ham,Watford,Tottenham,Brighton,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7500000,0,131,5.2,6.93333333333333E-07,1.74666666666667E-05,0,4827366,2,27,0,0,0,13,0,17.5,891,5,0,131,-5,0,0,0.2,20,0,7,0,5,14.7,5408152,1,-1,0,4,1930,496,0,0,396,West Ham,Watford,Crystal Palace,Sheffield United,Norwich,0,7.1,6,5,7.6,5.3,6.2,191.5
,Adam Smith,DEF,BOU,4300000,0,39,2.2,5.11627906976744E-07,9.06976744186047E-06,0,135386,6,27,0,0,0,0,0,9.1,11,-2,0,39,2,0.1,0,0.3,3,0,3,0,1,0.4,62068,0,-1,0,1,1557,13,0,0,231,Newcastle,Man Utd,Tottenham,Leicester,Man City,2.7,1.4,2.7,1.9,1.4,1.5,1.6,47.3
Che,Adams,FWD,SOU,5300000,0,39,1.3448275862069,2.53741054001301E-07,7.35849056603774E-06,0,93776,0,12,0,0,0,0,0,7.4,14,-7,0,39,7,0.3,0,1.5,0,0,3,0,3,0.3,31644,0,-1,0,0,718,11,0,0,95,Watford,Man City,Everton,Man Utd,Brighton,0.8,0.8,0.7,0.7,0.8,0.9,0.7,40.9
,Adrian,GLK,LIV,4000000,0,27,0.931034482758621,2.32758620689655E-07,6.75E-06,0,613170,1,10,0,18,0,0,0,6.8,184,-5,0,27,5,0.1,0,0.5,0,0,2,0,0,2.1,652929,0,-1,0,0,873,115,0,0,136,Man City,Aston Villa,Brighton,Burnley,Arsenal,0.5,0.8,0.5,0.5,0.5,0.5,0.5,13.2
Sergio,Aguero,FWD,MCI,11900000,0,124,5.6,4.70588235294118E-07,1.04201680672269E-05,0,2952972,1,18,0,0,0,16,0,10.4,1456,-1,0,124,1,0.1,1,1,14,0,5,0,4,17.5,2787033,0,-1,0,4,1394,675,0,0,490,Liverpool,Southampton,Brighton,Bournemouth,Watford,6.3,7.7,0,6.9,8,6.6,8.2,202.5
Albian,Ajeti,FWD,WHU,5700000,0,8,1,1.75438596491228E-07,1.40350877192982E-06,0,5321,0,3,0,0,0,0,0,1.4,1,-3,0,8,3,0,0,0,0,0,0,0,0,0,2660,0,-1,0,0,128,2,0,0,14,Chelsea,Newcastle,Burnley,Norwich,Watford,0.5,0.5,0.5,0.5,0.6,0.5,0.7,7.3
Nathan,Ake,DEF,BOU,4800000,0,67,2.9,6.04166666666667E-07,1.39583333333333E-05,0,1307270,1,33,0,0,0,2,0,14,154,-2,0,67,2,0.1,0,0.7,6,0,3,0,1,6.5,566289,0,-1,0,1,2014,144,0,0,403,Newcastle,Man Utd,Tottenham,Leicester,Man City,4,2.1,3.9,2.8,2.2,2.3,2.5,93.3
Marc,Albrighton,MID,LEI,5100000,0,27,0.931034482758621,1.82555780933063E-07,5.29411764705882E-06,0,21792,1,7,0,0,0,0,0,5.3,9,-4,0,27,4,0.6,0,3,1,0,1,0,3,0.2,9880,0,-1,0,0,476,14,0,0,121,Everton,Crystal Palace,Arsenal,Bournemouth,Sheffield United,0.5,0.5,0.5,0.5,0.6,0.5,0.5,35.5
Toby,Alderweireld,DEF,TOT,5300000,0,66,2.4,4.52830188679245E-07,1.24528301886792E-05,0,543904,4,36,0,0,0,1,0,12.5,151,-2,0,66,2,0.4,0,2,2,0,4,0,2,4.7,340047,1,-1,0,1,2417,54,0,0,460,Sheffield United,Everton,Bournemouth,Arsenal,Newcastle,1.7,2.7,1.6,1.9,2.3,2.1,1.8,98.5
