FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,0,9,1.3,2.95454545454545E-07,2.04545454545455E-06,0,124995,2,17,0,0,0,0,0,2,469,-1,0,9,1,0.4,0,1.8,0,0,1,0,0,1.3,29065,0,-1,0,0,630,299,0,0,76,Man Utd,Brighton,Watford,Everton,Arsenal,1.3,0.6,1.1,0.6,0.9,0.6,0.8,0.6,0.7,0.6,1.2,1.3,0.6,0.6,0.6,0.7,0.8,0.6,1,0.6,0.7,1.4,0.6,0.8,0.6,1.1,0.6,0.8,0.6,21.1
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,3825,0,0,0,0,0,0,0,0,18,-1,0,0,1,0,0,0,0,0,0,0,0,0,1298,0,-1,0,0,0,5,0,0,0,Wolverhampton,West Ham,Bournemouth,Aston Villa,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7800000,5,61,6.1,7.82051282051282E-07,7.82051282051282E-06,0,441213,2,10,0,0,0,8,0,7.8,19305,8,0,61,-8,0.5,0,4.2,11,0,3,0,1,45.5,3252984,1,-1,0,3,728,28460,0,0,214,Burnley,Watford,Crystal Palace,Man City,West Ham,6.6,7.4,8.7,7.7,8.3,8.7,6.3,8.1,7.1,7.9,7,6.8,9.1,6,9.1,5.6,9.1,9.1,6.9,9.1,6.7,7.6,6.7,8.8,6.4,6.1,9.1,7,7.2,84.6
,Adam Smith,DEF,BOU,4300000,6,16,2.7,6.27906976744186E-07,3.72093023255814E-06,0,76481,2,7,0,0,0,0,0,3.7,131,-2,0,16,2,0.7,0,2.8,0,0,2,0,0,0.5,10927,0,-1,0,0,490,497,0,0,85,Watford,Man Utd,Newcastle,Wolverhampton,Tottenham,2.4,3.4,2.8,2.1,2.3,2.4,2.3,1.8,2.4,2.6,1.7,2.3,2.9,1.8,2.3,3.3,2.5,1.4,2.4,2.2,3.3,2,3.5,2,3.2,2.8,2,2.1,2.3,15
Che,Adams,FWD,SOU,5500000,0,16,2.3,4.18181818181818E-07,2.90909090909091E-06,0,78859,0,7,0,0,0,0,0,2.9,626,-5,0,16,5,0,0,0.2,0,0,2,0,1,0.4,25435,0,-1,0,0,454,121,0,0,26,Leicester,Man City,Everton,Arsenal,Watford,1.7,2.2,2,2,1.9,2.9,1.6,1.6,1.8,2.1,1.8,2.3,1.5,1.2,1.7,1.9,2,1.8,1.9,1.5,2.7,1.9,2.2,1.3,1.7,1.9,1.6,1.9,1.2,25.5
,Adrian,GLK,LIV,4500000,0,23,2.9,6.44444444444444E-07,5.11111111111111E-06,0,391919,1,6,0,12,0,0,0,5.1,13751,0,0,23,0,0.4,0,1.8,0,0,2,0,0,4.2,574537,0,-1,0,0,681,311,0,0,105,Tottenham,Aston Villa,Man City,Crystal Palace,Brighton,3.4,2.9,1.9,2.8,2.4,3.8,1.8,3.1,0,2,2.2,2.4,2.7,3.6,2.4,2.2,2.1,3.1,2.8,2,2.8,3.5,2.4,3.4,2.1,2.5,2.1,2.5,3.2,9.1
Sergio,Aguero,FWD,MCI,12100000,1,62,6.9,5.70247933884298E-07,5.12396694214876E-06,0,748373,0,8,0,0,0,8,0,5.1,97237,1,1,62,-1,0.1,0,1.8,6,0,2,0,3,27.4,1267287,0,-1,0,2,574,4493,-1,0,258,Aston Villa,Southampton,Liverpool,Chelsea,Newcastle,9.4,7.9,9.2,9.1,8.2,8.8,10.3,9,9.1,8.9,6.1,10.1,8.9,9.4,8.3,9,8.9,7.8,9.5,8.6,9.8,9.2,8.1,10.4,8.5,9,8.7,9.3,9.9,84.8
Albian,Ajeti,FWD,WHU,5800000,1,2,0.222222222222222,3.83141762452107E-08,3.44827586206897E-07,0,3900,0,1,0,0,0,0,0,0.3,17,-2,0,2,2,0.1,0,0.5,0,0,0,0,0,0,1444,0,-1,0,0,20,17,0,0,3,Sheffield United,Newcastle,Burnley,Tottenham,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Nathan,Ake,DEF,BOU,4900000,8,38,3.8,7.75510204081633E-07,7.75510204081633E-06,0,561353,1,13,0,0,0,1,0,7.8,3425,-1,0,38,1,1.2,0,5.8,5,0,2,0,1,12.8,262218,0,-1,0,1,900,14160,0,0,203,Watford,Man Utd,Newcastle,Wolverhampton,Tottenham,4,5.4,4.6,3.6,3.9,4,3.9,3.1,4,4.3,3,3.9,4.8,3.1,3.8,5.2,4.2,2.5,4,3.7,5.3,3.4,5.5,3.5,5.1,4.6,3.4,3.6,3.9,41.7
Marc,Albrighton,MID,LEI,5300000,1,9,1,1.88679245283019E-07,1.69811320754717E-06,0,15448,1,2,0,0,0,0,0,1.7,227,-2,0,9,2,0.3,0,1.5,0,0,0,0,1,0.2,6124,0,-1,0,0,182,109,0,0,49,Southampton,Crystal Palace,Arsenal,Brighton,Everton,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.5,0.5,0.7,0.5,0.7,17.7
