FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,1,22,1.4,3.18181818181818E-07,5E-06,0,144885,4,33,0,0,0,0,0,5,260,-1,0,22,1,0.4,0,1.8,0,0,2,0,0,1.1,37971,0,-1,0,0,1440,201,0,0,196,Wolverhampton,Aston Villa,Tottenham,Crystal Palace,Man Utd,0.7,1,1.2,1.2,0.7,0.8,0.8,0.9,0.9,0.7,0.7,0.7,0.7,1.2,0.7,0.9,0.8,1.1,0.7,0.8,0.7,51.8
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4170,0,0,0,0,0,0,0,0,4,-2,0,0,2,0,0,0,0,0,0,0,0,0,1374,0,-1,0,0,0,4,0,0,0,Crystal Palace,Man Utd,Everton,Leicester,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7900000,0,99,6.2,7.84810126582278E-07,1.25316455696203E-05,0,2404580,2,18,0,0,0,11,0,12.5,13822,9,0,99,-9,0.4,0,3,19,0,4,0,3,35.8,4530835,1,-1,0,4,1221,10173,0,0,323,Tottenham,Southampton,Arsenal,Brighton,Burnley,7.6,8,7.9,7.6,8.7,6.3,8.6,6.6,9.2,9,7.6,8.7,7.4,8.2,7.8,8.6,7.4,6.2,8.7,7.5,7.9,137.6
,Adam Smith,DEF,BOU,4300000,0,32,3.2,7.44186046511628E-07,7.44186046511628E-06,0,120950,2,12,0,0,0,0,0,7.4,572,-2,0,32,2,0.1,0,0.5,3,0,3,0,1,0.6,58885,0,-1,0,1,837,10,0,0,163,Burnley,Arsenal,Brighton,West Ham,Watford,0,0,0,0,0,0,0,4.6,2.8,2.2,3.1,3.1,4,2.5,4.3,2.5,4,2.8,2.9,2.5,3.3,27.6
Che,Adams,FWD,SOU,5300000,1,22,1.29411764705882,2.44173140954495E-07,4.15094339622642E-06,0,88653,0,7,0,0,0,0,0,4.2,88,-7,1,22,7,0.1,0,0.7,0,0,2,0,1,0.3,27904,0,-1,0,0,486,25,-1,0,39,Aston Villa,Chelsea,Crystal Palace,Tottenham,Leicester,0.7,0.9,0.7,0.9,0.6,0.6,0.7,0.7,0.7,0.9,0.8,0.6,1.1,0.7,0.8,0.6,0.7,0.8,0.7,0.8,0.6,25.9
,Adrian,GLK,LIV,4200000,0,25,2.5,5.95238095238095E-07,5.95238095238095E-06,0,547661,1,9,0,16,0,0,0,6,1303,-3,0,25,3,0.1,0,0.4,0,0,2,0,0,2.5,610625,0,-1,0,0,783,197,0,0,123,Leicester,Wolverhampton,Sheffield United,Tottenham,Man Utd,0,1.6,1.7,1.8,2.3,2.3,1.7,1.6,2,2.6,2.2,1.9,2.4,2.8,2.1,3.3,1.9,2,1.6,2,2.5,11.3
Sergio,Aguero,FWD,MCI,11700000,1,73,5.6,4.78632478632479E-07,6.23931623931624E-06,0,2054268,0,13,0,0,0,9,0,6.2,1628,-3,0,73,3,0,0,0.5,6,0,2,0,3,9.9,1348131,0,-1,0,2,811,2598,0,0,289,Leicester,Wolverhampton,Sheffield United,Everton,Aston Villa,6.1,6.8,5,7.3,6.9,7,5.7,7.2,6.8,6,7.3,7,7.3,7.5,6.3,8.1,6.4,6.9,6.8,7.2,7.5,109.9
Albian,Ajeti,FWD,WHU,5700000,0,5,0.294117647058824,5.15995872033024E-08,8.7719298245614E-07,0,4536,0,3,0,0,0,0,0,0.9,9,-3,0,5,3,0,0,0.2,0,0,0,0,0,0,1916,0,-1,0,0,101,1,0,0,8,Crystal Palace,Leicester,Bournemouth,Sheffield United,Everton,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.1
Nathan,Ake,DEF,BOU,4900000,0,50,3.1,6.3265306122449E-07,1.02040816326531E-05,0,1101269,1,21,0,0,0,1,0,10.2,10669,-1,0,50,1,0.2,0,0.8,5,0,3,0,1,8.6,503991,0,-1,0,0,1384,49,0,0,290,Burnley,Arsenal,Brighton,West Ham,Watford,0,0,0,0,0,0,0,4.4,2.6,2.1,3,2.9,3.8,2.3,4.1,2.3,3.9,2.6,2.8,2.4,3.2,58.6
Marc,Albrighton,MID,LEI,5200000,1,12,0.705882352941177,1.35746606334842E-07,2.30769230769231E-06,0,19647,1,3,0,0,0,0,0,2.3,32,-3,0,12,3,0.1,0,0.5,0,0,0,0,1,0.2,7981,0,-1,0,0,230,11,0,0,63,Man City,Liverpool,West Ham,Newcastle,Southampton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,20.4
Toby,Alderweireld,DEF,TOT,5400000,0,38,2.4,4.44444444444444E-07,7.03703703703704E-06,0,430519,1,23,0,0,0,0,0,7,924,-1,0,38,1,0.4,0,2.2,1,0,2,0,2,5.6,290521,0,-1,0,1,1440,1601,0,0,274,Chelsea,Brighton,Norwich,Southampton,Liverpool,2.2,2.2,1.6,1.6,2.2,1.7,2.3,2,2.2,1.6,1.8,1.2,2.4,2.7,1.5,2.9,1.5,1.8,2.1,1.9,2.1,60.6
Trent,Alexander-Arnold,DEF,LIV,7200000,0,74,4.4,6.11111111111111E-07,1.02777777777778E-05,0,1064216,4,14,0,0,0,1,0,10.3,6233,2,1,74,-2,0.6,0,4.4,7,0,3,0,7,28.8,1393593,0,-1,0,2,1482,6093,-1,0,364,Leicester,Wolverhampton,Sheffield United,Tottenham,Man Utd,0,4.1,4.2,4.4,5.3,5.3,4.2,4,4.7,5.8,5,4.6,5.4,6,4.9,6.4,4.5,4.7,4,4.8,5.5,145.4
,Alisson,GLK,LIV,6000000,0,24,1.41176470588235,2.35294117647059E-07,4E-06,0,1689502,0,6,0,18,0,0,0,4,1270,0,0,24,0,0.5,0,2.8,0,0,2,0,0,7.6,350990,0,-1,0,0,743,1802,0,1,139,Leicester,Wolverhampton,Sheffield United,Tottenham,Man Utd,0,0.7,0.7,0.7,0.9,0.9,0.7,0.7,0.8,1.1,0.8,0.7,1,1.2,0.8,1.5,0.7,0.8,0.7,0.8,1,14
Bamidele,Alli,MID,TOT,8800000,0,62,6.2,7.04545454545455E-07,7.04545454545455E-06,0,156194,1,10,0,0,0,5,0,7,7353,3,0,62,-3,0.8,0,6.7,8,0,2,0,3,13.6,1050130,0,-1,0,1,803,8678,0,0,208,Chelsea,Brighton,Norwich,Southampton,Liverpool,7.4,8.7,6.2,7.8,6.5,7.4,8,5.7,5.2,5.8,8.5,6.5,8.7,7.8,7.7,8.6,7.2,8.6,6.6,7.2,6.2,73.6
Miguel,Almiron,MID,NEW,5800000,10,48,2.8,4.82758620689655E-07,8.27586206896552E-06,0,59053,3,20,0,0,0,1,0,8.3,73,-2,0,48,2,0.6,0,3.7,3,0,6,0,1,0.4,28908,0,-1,0,1,1428,907,0,0,145,Crystal Palace,Man Utd,Everton,Leicester,Wolverhampton,2.6,1.6,2.8,2.2,2.1,2.2,1.8,2.5,2.1,1.8,3,2.4,3.3,2.6,2.2,2.4,1.4,2.3,2.4,2,1.9,69.6
Marcos,Alonso,DEF,CHE,6000000,0,36,2.11764705882353,3.52941176470588E-07,6E-06,0,423762,3,4,0,0,0,1,0,6,575,-5,0,36,5,0,0,0,3,0,3,0,2,2.4,241897,0,-1,0,1,498,157,0,0,147,Tottenham,Southampton,Arsenal,Brighton,Burnley,1.7,1.3,1.1,1.4,1.6,1.9,1.4,1.2,1.9,2.2,1.3,2.3,2,1.5,2,1.8,1.9,1.4,1.7,1.6,1.4,37.8
Steven,Alzate,MID,BHA,4500000,0,21,1.23529411764706,2.74509803921569E-07,4.66666666666667E-06,0,5156,1,11,0,0,0,0,0,4.7,89,0,0,21,0,0.2,0,1,0,0,3,0,0,0.1,10116,0,-1,0,0,750,61,0,0,115,Sheffield United,Tottenham,Bournemouth,Chelsea,Everton,0.9,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.8,0.8,0.7,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.7,0.8,0.6,39.3
Ibrahim,Amadou,MID,NOR,4500000,0,17,1,2.22222222222222E-07,3.77777777777778E-06,0,8637,1,19,0,0,0,0,0,3.8,50,0,0,17,0,0.2,0,0.7,0,0,1,0,0,0.1,10604,0,-1,0,0,731,30,0,0,120,Wolverhampton,Aston Villa,Tottenham,Crystal Palace,Man Utd,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,21.1
Daniel,Amartey,MID,LEI,4300000,0,0,0,0,0,0,26797,0,0,0,0,0,0,0,0,167,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,24050,0,-1,0,0,0,152,0,0,0,Man City,Liverpool,West Ham,Newcastle,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke,Amos,MID,TOT,4500000,0,0,0,0,0,0,1055,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,-1,0,0,0,3,0,0,0,Chelsea,Brighton,Norwich,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,1962,0,0,0,0,0,0,0,0,6,-1,0,0,1,0,0,0,0,0,0,0,0,0,1124,0,-1,0,0,0,8,0,0,0,Tottenham,Southampton,Arsenal,Brighton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,4800000,0,5,1.7,3.54166666666667E-07,1.04166666666667E-06,0,193975,0,2,0,0,0,1,0,1,49,-2,0,5,2,0,0,0,1,0,0,0,0,0.4,159478,0,-1,0,0,71,1,0,1,20,Sheffield United,Tottenham,Bournemouth,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6
,Andre Gomes,MID,EVE,5200000,0,13,0.764705882352941,1.47058823529412E-07,2.5E-06,0,68235,3,8,0,0,0,0,0,2.5,42,-3,1,13,3,0,0,0,0,0,2,0,0,0.3,12481,0,-1,0,0,584,6,-1,0,71,Arsenal,Burnley,Newcastle,Man City,Brighton,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,15.8
,Angelino,DEF,MCI,4700000,0,11,0.647058823529412,1.37672090112641E-07,2.34042553191489E-06,0,20844,1,7,0,0,0,0,0,2.3,344,-3,0,11,3,0.1,0,0.5,1,0,0,0,1,0.2,16787,0,-1,0,0,422,81,0,0,94,Leicester,Wolverhampton,Sheffield United,Everton,Aston Villa,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,31.6
Michail,Antonio,MID,WHU,6900000,0,20,1.17647058823529,1.70502983802217E-07,2.89855072463768E-06,0,66262,0,6,0,0,0,1,0,2.9,90,-1,0,20,1,0.4,0,2.8,0,0,2,0,1,0.7,12674,0,-1,0,0,425,360,0,0,44,Crystal Palace,Leicester,Bournemouth,Sheffield United,Everton,0,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.6,45.4
Stuart,Armstrong,MID,SOU,5200000,2,18,1.05882352941176,2.03619909502262E-07,3.46153846153846E-06,0,8715,1,10,0,0,0,0,0,3.5,11,-3,0,18,3,0.2,0,0.8,0,0,0,0,1,0.1,2028,0,-1,0,0,431,21,0,0,42,Aston Villa,Chelsea,Crystal Palace,Tottenham,Leicester,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,10
Marko,Arnautovic,FWD,WHU,7000000,0,0,0,0,0,0,7256,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,952,0,-1,0,0,0,5,0,0,0,Crystal Palace,Leicester,Bournemouth,Sheffield United,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernard,Ashley-Seal,FWD,WOL,4500000,0,0,0,0,0,0,2729,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,4062,0,-1,0,0,0,37,0,0,0,Norwich,Man City,Liverpool,Watford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Atsu,MID,NEW,5400000,0,30,1.76470588235294,3.26797385620915E-07,5.55555555555556E-06,0,25215,1,12,0,0,0,0,0,5.6,65,-1,0,30,1,0.2,0,1.3,0,0,2,0,3,0.1,22290,0,-1,0,0,562,33,0,0,95,Crystal Palace,Man Utd,Everton,Leicester,Wolverhampton,1.3,0.9,1.4,1,1,1,0.9,1.2,1,0.9,1.5,1.2,1.7,1.3,1,1.1,0.9,1.1,1.1,0.9,0.9,33.4
Pierre-Emerick,Aubameyang,FWD,ARS,10800000,2,105,5.8,5.37037037037037E-07,9.72222222222222E-06,0,2018729,2,27,0,0,0,11,0,9.7,18965,-2,0,105,2,0.6,0,6,18,0,3,0,3,18.9,1485472,0,-1,0,2,1607,1447,0,0,391,Everton,Bournemouth,Chelsea,Man Utd,Crystal Palace,6.6,6.9,8,8.7,6.7,5.7,7.4,6.4,7.2,8,7.6,7.6,6.9,8,8.2,6.7,6.9,7,7,6.8,7.9,142.6
Serge,Aurier,DEF,TOT,5100000,0,49,4.1,8.03921568627451E-07,9.6078431372549E-06,0,278046,0,14,0,0,0,0,0,9.6,1781,1,0,49,-1,0.6,0,3.3,10,0,3,0,4,7.9,787000,0,-1,0,1,994,8855,0,1,250,Chelsea,Brighton,Norwich,Southampton,Liverpool,4.8,4.9,3.7,3.9,4.9,4,5,4.4,4.5,3.7,4.2,2.9,5.2,5.7,3.7,5.9,3.5,4.2,4.6,4.3,4.6,54.9
Brandon,Austin,GLK,TOT,4000000,0,0,0,0,0,0,3287,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0.1,10029,0,-1,0,0,0,240,0,0,0,Chelsea,Brighton,Norwich,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Austin,FWD,SOU,6000000,0,0,0,0,0,0,8814,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,-1,0,0,0,3,0,0,0,Aston Villa,Chelsea,Crystal Palace,Tottenham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Ayew,FWD,CRY,5000000,2,58,3.4,6.8E-07,1.16E-05,0,802322,3,15,0,0,0,4,0,11.6,5872,0,0,58,0,0.4,0,2,11,0,8,0,0,6.7,1005973,0,-1,0,0,1392,2401,0,0,173,Newcastle,West Ham,Southampton,Norwich,Arsenal,2.3,3.6,4.2,4.1,4,3.5,4,2.5,2.9,3.4,3,3.9,3,3,3.9,2.5,4.1,3,4.5,3,4.4,80.8
Cesar,Azpilicueta,DEF,CHE,5800000,0,36,2.4,4.13793103448276E-07,6.20689655172414E-06,0,394191,0,24,0,0,0,0,0,6.2,853,-2,0,36,2,0.2,0,1,1,0,2,0,2,5,179731,0,-1,0,0,1350,472,0,0,263,Tottenham,Southampton,Arsenal,Brighton,Burnley,2.1,1.6,1.4,1.7,1.9,2.3,1.7,1.5,2.3,2.7,1.7,2.7,2.4,1.8,2.4,2.2,2.3,1.7,2.1,2,1.7,83.6
Eric,Bailly,DEF,MUN,4900000,0,0,0,0,0,0,2616,0,0,0,0,0,0,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,831,0,-1,0,0,0,7,0,0,0,Watford,Newcastle,Burnley,Arsenal,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leighton,Baines,DEF,EVE,4900000,0,6,0.352941176470588,7.20288115246098E-08,1.22448979591837E-06,0,10191,0,1,0,0,0,0,0,1.2,210,-1,0,6,1,0.2,0,1,0,0,0,0,1,0.2,9563,0,-1,0,0,73,87,0,0,22,Arsenal,Burnley,Newcastle,Man City,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2
Fabian,Balbuena,DEF,WHU,4300000,0,26,1.52941176470588,3.55677154582763E-07,6.04651162790698E-06,0,23962,2,17,0,0,0,1,0,6,101,-2,0,26,2,0.8,0,3.4,3,0,2,0,0,0.3,15672,0,-1,0,1,721,697,0,0,126,Crystal Palace,Leicester,Bournemouth,Sheffield United,Everton,0,1.1,0.8,0.9,0.8,1.4,0.8,1,0.9,1,0.8,0.8,0.8,1,0.9,1.2,0.9,0.9,1.1,0.8,1.7,29.7
George,Baldock,DEF,SHU,4900000,6,83,4.6,9.38775510204082E-07,1.69387755102041E-05,0,81331,4,16,0,0,0,2,0,16.9,1454,4,0,83,-4,1.1,0,5.3,6,0,7,0,3,9,686388,0,-1,0,1,1620,25343,0,0,312,Brighton,Watford,Man City,Liverpool,West Ham,4.9,5.5,5.2,5.5,6.1,4.3,4.7,6,4.9,5.2,5.7,5.3,5.9,4.6,6.3,4.1,4.4,5.1,4.4,6.4,5.2,69.1
Leon,Balogun,DEF,BHA,4400000,0,0,0,0,0,0,4314,0,0,0,0,0,0,0,0,12,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,976,0,-1,0,0,0,8,0,0,0,Sheffield United,Tottenham,Bournemouth,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tudor,Baluta,DEF,BHA,4000000,0,0,0,0,0,0,12437,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0.2,21978,0,-1,0,0,0,95,0,0,0,Sheffield United,Tottenham,Bournemouth,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beni,Baningime,MID,EVE,4500000,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,-1,0,0,0,4,0,0,0,Arsenal,Burnley,Newcastle,Man City,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4300000,6,24,1.41176470588235,3.28317373461012E-07,5.58139534883721E-06,0,10617,1,6,0,0,0,0,0,5.6,41,-2,0,24,2,0.7,0,3,0,0,4,0,0,0.2,9028,0,-1,0,0,540,429,0,0,104,Bournemouth,Everton,Man Utd,Aston Villa,Chelsea,0.7,0.8,1.1,1.6,0.7,0.8,0.7,0.8,0.7,0.9,0.9,1.3,0.7,1,0.9,0.8,0.9,0.7,0.8,0.7,1,12.1
Ross,Barkley,MID,CHE,5600000,0,9,0.529411764705882,9.45378151260504E-08,1.60714285714286E-06,0,451393,0,5,0,0,0,0,0,1.6,114,-4,0,9,4,0,0,0,0,0,1,0,0,1.3,71301,0,-1,0,0,335,86,0,0,38,Tottenham,Southampton,Arsenal,Brighton,Burnley,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,34.7
Ashley,Barnes,FWD,BUR,6200000,1,57,3.6,5.80645161290323E-07,9.19354838709677E-06,0,1110974,4,17,0,0,0,6,0,9.2,1737,-3,0,57,3,0.3,0,2,6,0,8,0,0,3.1,1122632,0,-1,0,1,1222,172,0,0,159,Bournemouth,Everton,Man Utd,Aston Villa,Chelsea,3.1,3,5,4.8,3.6,3.6,3.3,4.4,4.3,4.1,2.4,4.9,3.6,4.3,3,2.9,3.2,3,3.9,4.2,4.3,73.5
Harvey,Barnes,MID,LEI,5900000,5,58,3.4,5.76271186440678E-07,9.83050847457627E-06,0,97469,0,7,0,0,0,1,0,9.8,1002,-1,0,58,1,0.4,0,2.5,3,0,5,0,6,0.8,128272,0,-1,0,1,1007,255,0,0,163,Man City,Liverpool,West Ham,Newcastle,Southampton,0,2.4,2.8,2.9,3.2,2.8,3.1,2.9,3.1,2,2.6,3.3,3.4,3.6,2.7,3.3,3.1,3.2,4.2,2.1,3.7,85.8
Chris,Basham,DEF,SHU,4500000,5,58,3.41176470588235,7.58169934640523E-07,1.28888888888889E-05,0,17066,4,16,0,0,0,0,0,12.9,168,0,0,58,0,0.6,0,2.8,2,0,7,0,0,0.6,47132,0,-1,0,0,1560,981,0,0,292,Brighton,Watford,Man City,Liverpool,West Ham,3.1,3.6,3.4,3.6,4,2.7,3,4,3.1,3.4,4.2,3.4,4,2.9,4.2,2.6,2.8,3.3,2.8,4.3,3.4,42.6
