FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,1,10,1.1,2.5E-07,2.27272727272727E-06,0,128426,3,22,0,0,0,0,0,2.3,691,-1,0,10,1,0.4,0,1.8,0,0,1,0,0,1.2,30582,0,-1,0,0,810,216,0,0,101,Brighton,Watford,Everton,Arsenal,Southampton,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,1.1,0.6,0.6,0.6,0.8,0.6,0.6,0.6,25.7
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,3894,0,0,0,0,0,0,0,0,9,-1,0,0,1,0,0,0,0,0,0,0,0,0,1307,0,-1,0,0,0,1,0,0,0,West Ham,Bournemouth,Aston Villa,Man City,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7900000,12,73,6.6,8.35443037974683E-07,9.24050632911392E-06,0,504937,2,11,0,0,0,9,0,9.2,4129,9,-1,73,-9,0.9,0,6.8,14,0,3,0,2,47.4,3447445,1,-1,0,4,815,50005,1,0,251,Watford,Crystal Palace,Man City,West Ham,Aston Villa,8,9.6,8.3,9.2,9.9,7.5,8.6,7.8,8.3,7.8,7.3,9.8,6.7,9.6,6.6,9.9,9.9,7.5,9.9,7.5,8.5,7.8,9.5,7.5,6.6,9.9,7.8,8.2,98.8
,Adam Smith,DEF,BOU,4300000,12,28,4,9.30232558139535E-07,6.51162790697674E-06,0,77478,2,7,0,0,0,0,0,6.5,230,-2,0,28,2,1.3,0,5.8,3,0,3,0,1,0.6,17348,0,-1,0,1,580,4465,0,0,123,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,5.2,4.8,3.9,4.2,4.1,4.2,3.4,4.2,4.3,3.4,4.3,5,3.5,4.2,5.7,4.2,3,4.1,4.1,5.3,3.7,5.8,3.7,5.4,4.6,3.6,3.9,4.6,21.7
Che,Adams,FWD,SOU,5500000,1,17,2.1,3.81818181818182E-07,3.09090909090909E-06,0,81464,0,7,0,0,0,0,0,3.1,335,-5,0,17,5,0.1,0,0.5,0,0,2,0,1,0.4,25908,0,-1,0,0,456,84,0,0,29,Man City,Everton,Arsenal,Watford,Norwich,1.9,1.7,1.7,1.6,2.2,1.4,1.3,1.6,1.9,1.5,1.9,1.3,1,1.6,1.7,1.6,1.6,1.7,1.2,2.3,1.5,2,1.1,1.7,1.7,1.2,1.6,1,25.6
,Adrian,GLK,LIV,4400000,0,23,2.9,6.59090909090909E-07,5.22727272727273E-06,0,449675,1,6,0,12,0,0,0,5.2,9808,-1,0,23,1,0.1,0,0.5,0,0,2,0,0,3.4,575831,0,-1,0,0,681,154,0,0,105,Aston Villa,Man City,Crystal Palace,Brighton,Everton,2.8,2,2.7,2.5,3.9,1.9,3.1,0,2.2,2.2,2.2,2.7,3.2,2.4,2.2,2.2,3,2.7,2,3,3.2,2.3,3.6,2.1,2.4,2,2.3,3.2,9.1
Sergio,Aguero,FWD,MCI,12100000,6,68,6.8,5.6198347107438E-07,5.6198347107438E-06,0,972767,0,9,0,0,0,9,0,5.6,21701,1,0,68,-1,0.2,0,2.2,6,0,2,0,3,24.8,1308717,0,-1,0,2,664,4852,0,0,280,Southampton,Liverpool,Chelsea,Newcastle,Burnley,7.9,8.8,9.2,7.7,8.7,9.9,8.7,8.5,8.6,6.1,10,8.5,9.5,7.6,8.6,9,7.6,9.5,8.4,9.6,9,8,10.2,8.5,8.2,8.4,8.9,9.8,98.8
Albian,Ajeti,FWD,WHU,5800000,1,3,0.3,5.17241379310345E-08,5.17241379310345E-07,0,4007,0,2,0,0,0,0,0,0.5,24,-2,0,3,2,0.1,0,0.8,0,0,0,0,0,0,1537,0,-1,0,0,65,10,0,0,4,Newcastle,Burnley,Tottenham,Chelsea,Wolverhampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.9
Nathan,Ake,DEF,BOU,5000000,6,44,4,8E-07,8.8E-06,0,580457,1,13,0,0,0,1,0,8.8,2079,0,0,44,0,1.2,0,6,5,0,3,0,1,14,359307,0,-1,0,0,990,32536,0,0,227,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,5.2,4.8,3.9,4.2,4.1,4.2,3.4,4.2,4.3,3.4,4.3,5,3.5,4.2,5.7,4.2,3,4.1,4.1,5.3,3.7,5.8,3.7,5.4,4.6,3.6,3.9,4.6,42.8
Marc,Albrighton,MID,LEI,5300000,0,9,0.9,1.69811320754717E-07,1.69811320754717E-06,0,16246,1,2,0,0,0,0,0,1.7,120,-2,0,9,2,0.1,0,0.5,0,0,0,0,1,0.2,6624,0,-1,0,0,182,87,0,0,49,Crystal Palace,Arsenal,Brighton,Everton,Watford,0.4,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.4,17.7
