FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Leander,Dendoncker,MID,WOL,4400000,3,67,2.5,5.68181818181818E-07,1.52272727272727E-05,0,1206960,3,29,0,0,0,2,0,15.2,7879,-1,0,67,1,0.5,0,2,6,0,6,0,0,9.6,945574,1,-1,0,2,2178,5161,0,0,321,Norwich,Tottenham,Brighton,West Ham,Bournemouth,2.1,1.3,2.2,1.6,2.4,1.4,2.2,2.6,2.3,1.9,2.1,1.6,70.2
Gerard,Deulofeu,FWD,WAT,6100000,2,87,3.2,5.24590163934426E-07,1.42622950819672E-05,0,599178,3,33,0,0,0,4,0,14.3,5399,-4,0,87,4,0.5,0,3,9,0,8,0,5,2.7,403850,0,-1,0,2,2061,855,0,0,327,Man Utd,Liverpool,Crystal Palace,Leicester,Burnley,2.6,2.7,2.9,2.9,2.7,3.5,3.1,4.3,3.2,3,3.5,2.7,193
Grady,Diangana,MID,WHU,4400000,0,0,0,0,0,0,11167,0,0,0,0,0,0,0,0,22,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,7835,0,-1,0,0,0,12,0,0,0,Liverpool,Southampton,Arsenal,Wolverhampton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Dier,MID,TOT,4800000,0,21,0.807692307692308,1.68269230769231E-07,4.375E-06,0,19028,4,14,0,0,0,0,0,4.4,82,-2,0,21,2,0.4,0,1.7,0,0,1,0,2,0.2,12787,0,-1,0,0,710,71,0,0,90,Chelsea,Wolverhampton,Burnley,Man Utd,West Ham,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,28.6
Lucas,Digne,DEF,EVE,5800000,0,83,3.3,5.68965517241379E-07,1.43103448275862E-05,0,2033911,2,36,0,0,0,0,0,14.3,14585,-2,0,83,2,0.2,0,1,12,0,6,0,5,12.4,1242890,1,-1,0,3,2151,1037,0,0,459,Arsenal,Man Utd,Chelsea,Liverpool,Norwich,0,3.9,2.9,3.6,2.8,3.4,3.5,2.8,2.3,4.9,2.7,3.6,162.9
Issa,Diop,DEF,WHU,4300000,0,44,2.2,5.11627906976744E-07,1.02325581395349E-05,0,367407,7,37,0,0,0,2,0,10.2,527,-2,1,44,2,0.5,0,2,2,0,3,0,0,2,246872,0,-1,0,0,1685,292,-1,0,256,Liverpool,Southampton,Arsenal,Wolverhampton,Tottenham,1.6,1.3,1.1,1.6,2,1.8,1.9,1.6,1.6,1.9,1.3,2.9,51.6
Moussa,Djenepo,MID,SOU,5200000,6,42,1.61538461538462,3.10650887573964E-07,8.07692307692308E-06,0,31068,4,13,0,0,0,2,0,8.1,79,-3,0,42,3,0.6,0,3,3,0,2,0,2,0.1,29471,0,-1,0,1,893,814,0,0,158,Aston Villa,West Ham,Newcastle,Norwich,Arsenal,0.8,0.9,1.1,0.9,0.9,1.1,0.8,0.9,0.8,0.9,1.1,1.2,62.8
Mihai-Alexandru,Dobre,MID,BOU,4500000,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,-1,0,0,0,1,0,0,0,Burnley,Chelsea,Liverpool,Crystal Palace,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Doherty,DEF,WOL,6100000,10,99,4,6.55737704918033E-07,1.62295081967213E-05,0,447700,1,24,0,0,0,3,0,16.2,2185,1,0,99,-1,1.2,0,7.3,7,0,6,0,4,4.7,493043,0,-1,0,3,1967,13144,0,0,354,Norwich,Tottenham,Brighton,West Ham,Bournemouth,5,5,4.8,5.1,4.5,4.9,3.8,4,5.3,3.4,4.7,4.3,119.5
Abdoulaye,Doucoure,MID,WAT,5700000,2,86,3.3,5.78947368421053E-07,1.50877192982456E-05,0,280943,7,41,0,0,0,4,0,15.1,4217,-3,0,86,3,0.8,0,4.3,9,0,8,0,2,2.4,235736,1,-1,0,1,2265,2503,0,0,355,Man Utd,Liverpool,Crystal Palace,Leicester,Burnley,2.2,2.3,2.7,2.6,2.9,3,2.4,3.3,3.9,2.4,2.2,2.7,132.1
