FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4500000,0,2,0.5,1.11111111111111E-07,4.44444444444444E-07,0,87141,2,10,0,0,0,0,0,0.4,9864,0,0,2,0,0.1,0,0.5,0,0,0,0,0,1.8,24824,0,-1,0,0,360,164,0,0,40,Man City,Burnley,Crystal Palace,Aston Villa,Bournemouth,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,12.8
Rolando,Aarons,MID,NEW,5000000,0,0,0,0,0,0,2979,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,0,-1,0,0,0,7,0,0,0,Liverpool,Brighton,Leicester,Man Utd,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7300000,14,42,8.4,1.15068493150685E-06,5.75342465753425E-06,0,215647,2,7,0,0,0,7,0,5.8,25629,3,-1,42,-3,1.4,0,10.2,9,0,0,0,0,21.7,1425500,1,-1,0,3,327,347470,1,0,180,Wolverhampton,Liverpool,Brighton,Southampton,Newcastle,10,11.1,11,10,10.3,10,10.9,12.6,10.9,11.4,12.6,8.2,11.6,10.9,11,10.5,11.4,12.2,11.7,11.7,10.2,12.1,11.4,10.7,12.6,8.6,11.4,10.9,11.4,8.8,8.6,12.6,10,11.9,50.9
,Adam Smith,DEF,BOU,4400000,0,5,1.2,2.72727272727273E-07,1.13636363636364E-06,0,48811,1,7,0,0,0,0,0,1.1,3056,-1,1,5,1,0.2,0,1,0,0,0,0,0,0.9,9047,0,-1,0,0,310,84,-1,0,39,Everton,Southampton,West Ham,Arsenal,Norwich,0,0,0.6,0.6,0.6,0.6,0.6,1.1,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,1.3,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,9.9
Che,Adams,FWD,SOU,5800000,2,10,2,3.44827586206897E-07,1.72413793103448E-06,0,55668,0,4,0,0,0,0,0,1.7,2822,-2,0,10,2,0.3,0,2,0,0,2,0,0,0.7,16889,0,-1,0,0,369,706,0,0,9,Sheffield United,Bournemouth,Tottenham,Chelsea,Wolverhampton,1,1.5,1.6,2.2,1.3,1.3,1.6,1.9,1.5,1.9,2.8,1.7,1.5,1.2,1.9,1.7,1.2,1.3,1.2,1,1.3,1.4,2.3,1.9,1,2,1.3,2.3,1.2,1,1.1,1.2,1.8,1.2,21.3
,Adrian,GLK,LIV,4600000,2,14,2.8,6.08695652173913E-07,3.04347826086957E-06,0,118752,0,4,0,9,0,0,0,3,13036,1,0,14,-1,0.7,0,3.2,0,0,1,0,0,6.3,455151,0,-1,0,0,411,10087,0,0,61,Newcastle,Chelsea,Sheffield United,Leicester,Man Utd,2.5,1.6,2.4,2.4,2.1,2.2,2.7,1.4,2,1.8,3.9,1.7,2,2.6,2.4,2.1,2.7,2.8,2.4,2.1,2.2,1.4,2.1,2.4,1.4,2.4,3.1,1.8,4.2,2.6,1.9,1.8,1.9,3.7,5.8
Sergio,Aguero,FWD,MCI,12100000,6,46,9.2,7.60330578512397E-07,3.80165289256198E-06,0,322104,0,6,0,0,0,7,0,3.8,16642,1,0,46,-1,0.8,0,10.2,6,0,1,0,1,26.8,815645,0,-1,0,2,356,48666,0,0,197,Norwich,Watford,Everton,Wolverhampton,Crystal Palace,11.1,11.2,10.9,11.9,11.3,13.8,11,12.7,12.6,13.8,12.4,12.4,12.9,11.9,12.5,11.8,13.8,10.9,13.8,11.4,13.2,11.2,12.6,11.5,12.1,12.1,12,11.2,12.8,10.3,13.8,11.4,13.2,13.8,63.1
Albian,Ajeti,FWD,WHU,5900000,0,0,0,0,0,0,3102,0,0,0,0,0,0,0,0,96,-1,0,0,1,0,0,0,0,0,0,0,0,0,1000,0,-1,0,0,0,61,0,0,0,Aston Villa,Man Utd,Bournemouth,Crystal Palace,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4900000,2,7,1.4,2.85714285714286E-07,1.42857142857143E-06,0,451105,1,9,0,0,0,0,0,1.4,17344,-1,0,7,1,0.2,0,1.2,0,0,0,0,0,11.9,84113,0,-1,0,0,450,5129,0,0,74,Everton,Southampton,West Ham,Arsenal,Norwich,1.5,0.9,0.7,0.7,0.7,0.8,0.7,1.4,0.7,0.9,0.7,0.7,0.7,0.7,0.7,0.9,0.8,0.7,0.7,0.7,1.6,0.8,0.7,0.7,0.7,1,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.8,21.1
Marc,Albrighton,MID,LEI,5400000,0,3,0.75,1.38888888888889E-07,5.55555555555556E-07,0,11165,1,1,0,0,0,0,0,0.6,604,-1,0,3,1,0.1,0,0.5,0,0,0,0,0,0.2,4037,0,-1,0,0,87,135,0,0,10,Man Utd,Tottenham,Newcastle,Liverpool,Burnley,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,7.7
