FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4500000,1,1,0.5,1.11111111111111E-07,2.22222222222222E-07,0,19640,1,5,0,0,0,0,0,0.2,6770,0,0,1,0,0.1,0,0.5,0,0,0,0,0,2.7,10714,0,-1,0,0,180,3244,0,0,23,Newcastle,Chelsea,West Ham,Man City,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6.3
Rolando,Aarons,MID,NEW,5000000,0,0,0,0,0,0,937,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0.1,627,0,-1,0,0,0,96,0,0,0,Norwich,Tottenham,Watford,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7000000,1,2,1,1.42857142857143E-07,2.85714285714286E-07,0,46286,1,3,0,0,0,0,0,0.3,19007,0,0,2,0,0.1,0,1,0,0,0,0,0,2.3,46244,0,-1,0,0,94,7809,0,0,3,Leicester,Norwich,Sheffield United,Wolverhampton,Liverpool,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.5,0.5,3.9
,Adam Smith,DEF,BOU,4500000,2,3,1.5,3.33333333333333E-07,6.66666666666667E-07,0,12927,1,2,0,0,0,0,0,0.7,4687,0,0,3,0,0.3,0,1.5,0,0,0,0,0,1.4,3487,0,-1,0,0,180,1447,0,0,24,Aston Villa,Man City,Leicester,Everton,Southampton,1,0.8,1.1,1.1,0.8,0.8,0.8,0.8,0.8,0.8,1.1,1.3,0.8,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.3,0.8,0.8,1.3,0.8,0.9,1,1.4,0.8,0.8,1.4,0.8,0.8,0.9,3.2
Che,Adams,FWD,SOU,6000000,2,4,2,3.33333333333333E-07,6.66666666666667E-07,0,16925,0,3,0,0,0,0,0,0.7,6295,0,0,4,0,0.3,0,2,0,0,0,0,0,1.1,3929,0,-1,0,0,139,2005,0,0,-1,Liverpool,Brighton,Man Utd,Sheffield United,Bournemouth,1.2,1,1,1,1.2,1.2,2.3,1,1,1,1,1,1.9,1.9,1.2,2.2,1.2,1.9,1,1.6,1,1,1,1,1,1.6,1.8,1.6,1.5,1,1.5,1,1,1,1,1,1,4.2
,Adrian,GLK,LIV,4500000,3,4,2,4.44444444444444E-07,8.88888888888889E-07,0,37765,0,2,0,5,0,0,0,0.9,8788,0,0,4,0,0.4,0,2,0,0,0,0,0,3.2,187043,0,-1,0,0,141,23253,0,0,19,Southampton,Arsenal,Burnley,Newcastle,Chelsea,1,1,1,2.2,1.6,1,2.2,1,1,1.6,1,1.2,1,1.8,1,1.2,1,1.8,2,1,1,1,1.6,1.1,1,1.2,1,1,1.4,1.5,1,2,1,1,1,2,1.8,2.3
Sergio,Aguero,FWD,MCI,12000000,6,11,5.5,4.58333333333333E-07,9.16666666666667E-07,0,157502,0,2,0,0,0,2,0,0.9,34207,0,0,11,0,0.5,0,5.5,0,0,0,0,0,16.4,34173,0,-1,0,0,86,14427,0,0,54,Tottenham,Bournemouth,Brighton,Norwich,Watford,7.2,4.7,4.4,6.8,7.8,2.8,5.1,4,7,7.8,4.8,7.8,6,3.6,5.4,3.4,4.6,4,3.6,3.5,6,5,2.8,6.1,7.8,3.6,4.4,4.3,4.6,6.8,5.9,6.8,7,3.4,5.8,6.8,7.8,14.4
Albian,Ajeti,FWD,WHU,6000000,0,0,0,0,0,0,1254,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0.1,454,0,-1,0,0,0,84,0,0,0,Brighton,Watford,Norwich,Aston Villa,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,5000000,1,3,1.5,3E-07,6E-07,0,146842,1,2,0,0,0,0,0,0.6,52915,0,0,3,0,0.3,0,1.5,0,0,0,0,0,16.4,29113,0,-1,0,0,180,6145,0,0,27,Aston Villa,Man City,Leicester,Everton,Southampton,1,0.8,1.1,1.1,0.8,0.8,0.8,0.8,0.8,0.8,1.1,1.3,0.8,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.3,0.8,0.8,1.3,0.8,0.9,1,1.4,0.8,0.8,1.4,0.8,0.8,0.9,9.8
Marc,Albrighton,MID,LEI,5500000,1,2,2,3.63636363636364E-07,3.63636363636364E-07,0,3835,0,0,0,0,0,0,0,0.4,1125,0,0,2,0,0.2,0,1,0,0,0,0,0,0.3,2110,0,-1,0,0,24,434,0,0,6,Chelsea,Sheffield United,Bournemouth,Man Utd,Tottenham,1,1.3,1.4,1,1,1.2,1,1,1.2,1,1,1,1,1.8,1,1,1,1,1,1,1.5,1,1.1,1,1.8,1,1,1,1.4,1,1,1.2,1,1.1,1.7,1,1,4.1
