FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,1,19,1.4,3.18181818181818E-07,4.31818181818182E-06,0,141485,4,30,0,0,0,0,0,4.3,798,-1,0,19,1,0.4,0,1.8,0,0,2,0,0,1.1,35762,0,-1,0,0,1260,341,0,0,168,Sheffield United,Leicester,Wolverhampton,Aston Villa,Tottenham,0.7,0.7,0.7,0.9,1.1,1.2,0.7,0.9,0.8,1,0.8,0.7,0.8,0.7,0.7,1.3,0.7,0.9,0.8,1.2,0.7,0.8,0.7,45
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4112,0,0,0,0,0,0,0,0,24,-2,0,0,2,0,0,0,0,0,0,0,0,0,1348,0,-1,0,0,0,5,0,0,0,Southampton,Burnley,Crystal Palace,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7900000,2,97,6.5,8.22784810126582E-07,1.22784810126582E-05,0,2173875,2,17,0,0,0,11,0,12.3,41335,9,0,97,-9,0.6,0,4.8,19,0,4,0,3,35.6,4281663,1,-1,0,4,1131,70974,0,0,318,Everton,Bournemouth,Tottenham,Southampton,Arsenal,7.9,9.3,7.9,8.5,7.9,7.8,9.2,6.8,9.4,6.6,9.8,9.5,7.7,9.4,7.6,8.9,8.1,8.9,7.6,7,9.3,7.7,8.4,128.2
,Adam Smith,DEF,BOU,4300000,0,32,3.2,7.44186046511628E-07,7.44186046511628E-06,0,108339,2,12,0,0,0,0,0,7.4,3928,-2,0,32,2,0.2,0,0.8,3,0,3,0,1,0.7,58795,0,-1,0,1,837,27,0,0,163,Liverpool,Chelsea,Burnley,Arsenal,Brighton,0,0,0,0,0,3.3,3.5,2.5,3.3,4.7,2.6,2.1,3.2,2.7,4.2,2.2,4.4,2.1,4,3,2.5,2.8,3.1,27.6
Che,Adams,FWD,SOU,5400000,1,20,1.8,3.33333333333333E-07,3.7037037037037E-06,0,87479,0,7,0,0,0,0,0,3.7,333,-6,0,20,6,0.1,0,0.6,0,0,2,0,1,0.3,27573,0,-1,0,0,480,107,0,0,35,Newcastle,West Ham,Aston Villa,Chelsea,Crystal Palace,1,1.2,1.2,1.4,1.2,1.4,1,1,1.2,1.2,1.3,1.4,1.3,1,1.8,1.5,1.5,1.2,1.3,1.3,1.2,1.2,0.9,25.9
,Adrian,GLK,LIV,4200000,0,25,2.5,5.95238095238095E-07,5.95238095238095E-06,0,528107,1,9,0,16,0,0,0,6,6650,-3,0,25,3,0.1,0,0.4,0,0,2,0,0,2.7,607565,0,-1,0,0,783,1245,0,0,123,Bournemouth,Watford,Leicester,Wolverhampton,Sheffield United,1.6,2.2,0,1.6,1.7,1.8,2.2,2.4,1.7,1.7,1.9,2.8,2.2,2,2.4,2.7,1.9,3.2,1.8,1.8,1.5,2,2.6,11.3
Sergio,Aguero,FWD,MCI,11800000,0,72,6,5.08474576271186E-07,6.10169491525424E-06,0,1995756,0,13,0,0,0,9,0,6.1,25799,-2,0,72,2,0.1,0,0.8,6,0,2,0,3,10.7,1342842,0,-1,0,2,810,105,0,0,287,Man Utd,Arsenal,Leicester,Wolverhampton,Sheffield United,0,0,0,0,0,8.5,7.1,7.9,6.5,7.5,8.1,6.1,8.5,7.2,8.2,7.8,7.1,8.4,7.1,7.2,8.2,8,8.4,109.7
Albian,Ajeti,FWD,WHU,5800000,0,5,0.333333333333333,5.74712643678161E-08,8.62068965517241E-07,0,4370,0,3,0,0,0,0,0,0.9,26,-2,0,5,2,0.1,0,0.4,0,0,0,0,0,0,1825,0,-1,0,0,101,34,0,0,8,Arsenal,Southampton,Crystal Palace,Leicester,Bournemouth,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.1
Nathan,Ake,DEF,BOU,5000000,1,50,3.1,6.2E-07,1E-05,0,831607,1,21,0,0,0,1,0,10,46144,0,0,50,0,0.2,0,1.2,5,0,3,0,1,12.4,502966,0,-1,0,0,1384,1008,0,0,290,Liverpool,Chelsea,Burnley,Arsenal,Brighton,0,2.2,2.9,3,2.2,3.1,3.4,2.4,3.2,4.6,2.5,2,3,2.6,4,2.1,4.2,2,3.8,2.9,2.4,2.7,3,58.6
Marc,Albrighton,MID,LEI,5200000,1,11,0.733333333333333,1.41025641025641E-07,2.11538461538462E-06,0,19046,1,2,0,0,0,0,0,2.1,159,-3,0,11,3,0.1,0,0.4,0,0,0,0,1,0.2,7789,0,-1,0,0,204,58,0,0,60,Aston Villa,Norwich,Man City,Liverpool,West Ham,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,19.6
