FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4300000,0,27,1.4,3.25581395348837E-07,6.27906976744186E-06,0,153800,5,41,0,0,0,0,0,6.3,468,-2,0,27,2,0.3,0,1.3,1,0,2,0,0,1.1,45102,0,-1,0,0,1800,538,0,0,252,Man Utd,Bournemouth,Tottenham,Newcastle,Liverpool,0.7,0.9,0.8,0.9,0.9,0.7,0.8,0.7,0.7,1.3,0.7,1,0.7,1.2,0.7,0.8,0.7,67.8
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4249,0,0,0,0,0,0,0,0,2,-2,0,0,2,0,0,0,0,0,0,0,0,0,1401,0,-1,0,0,0,0,0,0,0,Wolverhampton,Chelsea,Everton,Norwich,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7800000,6,121,5.8,7.43589743589744E-07,1.55128205128205E-05,0,3013494,2,22,0,0,0,13,0,15.5,20172,8,0,121,-8,0.5,0,4,20,0,6,0,4,34,5014077,1,-1,0,4,1660,38359,0,0,383,Burnley,Newcastle,Arsenal,Leicester,Man Utd,7.7,6.4,7.7,6.7,8.4,8.1,7.5,7.5,7.2,7.6,7.3,7.8,7.2,6,8,6.5,7.3,174.5
,Adam Smith,DEF,BOU,4300000,0,32,2.9,6.74418604651163E-07,7.44186046511628E-06,0,130841,3,15,0,0,0,0,0,7.4,280,-2,0,32,2,0,0,0,3,0,3,0,1,0.4,59026,0,-1,0,1,927,46,0,0,173,Watford,Norwich,Brighton,Aston Villa,Sheffield United,0,0,0,4.2,2.3,2,2.6,2.5,3.2,2.1,3.6,1.9,3.5,2.5,2.4,2.1,2.9,27.6
Che,Adams,FWD,SOU,5300000,4,30,1.9,3.58490566037736E-07,5.66037735849057E-06,0,90767,0,8,0,0,0,0,0,5.7,123,-7,0,30,7,0.3,0,1.7,0,0,3,0,2,0.3,29060,0,-1,0,0,639,139,0,0,68,Leicester,Wolverhampton,Crystal Palace,Liverpool,Burnley,1.3,1.2,1.4,1.2,1.4,1.6,1.4,1.2,2,1.4,1.4,1.4,1.2,1.4,1.3,1.5,1,32.5
,Adrian,GLK,LIV,4100000,0,25,1.25,3.04878048780488E-07,6.09756097560976E-06,0,577244,1,9,0,16,0,0,0,6.1,1563,-4,0,25,4,0,0,0,0,0,2,0,0,2.2,619733,0,-1,0,0,783,377,0,0,123,Tottenham,Man Utd,Wolverhampton,West Ham,Southampton,0.7,0.8,1.5,0.6,0.7,0.9,0.6,0.7,0.8,0.8,0.6,1.3,0.6,0.6,0.6,0.6,0.8,11.3
Sergio,Aguero,FWD,MCI,11800000,0,82,5.5,4.66101694915254E-07,6.94915254237288E-06,0,2114749,0,13,0,0,0,10,0,6.9,3502,-2,-1,82,2,0.1,0,1.7,8,0,3,0,3,11.5,1527473,0,-1,0,2,904,8768,1,0,325,Aston Villa,Crystal Palace,Sheffield United,Tottenham,West Ham,6.6,7.3,5.4,6.9,6.9,6.1,7.4,6.5,7.3,7,5.8,7.8,6.8,6.5,7.3,6.4,7.7,115.8
Albian,Ajeti,FWD,WHU,5700000,0,7,1,1.75438596491228E-07,1.2280701754386E-06,0,4755,0,3,0,0,0,0,0,1.2,22,-3,0,7,3,0.1,0,0.4,0,0,0,0,0,0,2098,0,-1,0,0,122,24,0,0,11,Sheffield United,Everton,Leicester,Liverpool,Brighton,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.5,0.7,5
Nathan,Ake,DEF,BOU,4800000,1,51,3,6.25E-07,1.0625E-05,0,1256033,1,24,0,0,0,1,0,10.6,3299,-2,0,51,2,0,0,0.2,5,0,3,0,1,6.4,505320,0,-1,0,0,1474,401,0,0,307,Watford,Norwich,Brighton,Aston Villa,Sheffield United,0,0,0,4.3,2.4,2.1,2.8,2.6,3.4,2.2,3.8,2,3.7,2.6,2.6,2.2,3.1,58.6
Marc,Albrighton,MID,LEI,5200000,0,15,0.714285714285714,1.37362637362637E-07,2.88461538461538E-06,0,20620,1,7,0,0,0,0,0,2.9,78,-3,0,15,3,0.1,0,0.7,0,0,0,0,1,0.2,8486,0,-1,0,0,352,22,0,0,76,Southampton,Burnley,West Ham,Chelsea,Wolverhampton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,25.1
