FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,1,11,1.1,2.5E-07,2.5E-06,0,131729,3,24,0,0,0,0,0,2.5,764,-1,0,11,1,0.5,0,2,0,0,1,0,0,1.2,31844,0,-1,0,0,900,122,0,0,111,Watford,Everton,Arsenal,Southampton,Sheffield United,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.8,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,1.1,0.6,0.7,0.6,0.8,0.6,0.6,0.6,28.3
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,3940,0,0,0,0,0,0,0,0,15,-1,0,0,1,0,0,0,0,0,0,0,0,0,1317,0,-1,0,0,0,3,0,0,0,Bournemouth,Aston Villa,Man City,Sheffield United,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7900000,8,81,6.8,8.60759493670886E-07,1.0253164556962E-05,0,526370,2,11,0,0,0,10,0,10.3,5953,9,0,81,-9,0.9,0,6.8,16,0,4,0,2,49.8,3633580,1,-1,0,4,887,39295,0,0,277,Crystal Palace,Man City,West Ham,Aston Villa,Everton,9.7,9,9.6,10.2,7.8,9.4,8.1,8.6,8.2,7.8,10.2,7.1,9.9,7.1,10.2,10,7.8,10.2,8,9.1,8.5,9.8,8.4,6.8,10.2,8.4,8.7,104.6
,Adam Smith,DEF,BOU,4300000,1,29,3.6,8.37209302325581E-07,6.74418604651163E-06,0,79898,2,9,0,0,0,0,0,6.7,614,-2,0,29,2,1.4,0,6,3,0,3,0,1,0.8,34640,0,-1,0,1,657,2521,0,0,135,Newcastle,Wolverhampton,Tottenham,Crystal Palace,Liverpool,4.1,3.6,3.5,3.6,3.9,2.7,3.8,3.8,2.7,3.6,4.2,2.9,4.1,5.1,3.2,2.2,3.5,3.5,4.6,3.1,5.1,3.1,4.8,3.8,3.1,3.4,3.6,24.5
Che,Adams,FWD,SOU,5400000,1,18,2,3.7037037037037E-07,3.33333333333333E-06,0,82967,0,7,0,0,0,0,0,3.3,278,-6,1,18,6,0.1,0,0.5,0,0,2,0,1,0.4,26228,0,-1,0,0,465,56,-1,0,31,Everton,Arsenal,Watford,Norwich,Newcastle,1.5,1.6,1.4,2.2,1.2,1.3,1.5,1.6,1.3,1.7,1.2,1,1.6,1.6,1.5,1.5,1.6,1,2.1,1.4,1.6,1.1,1.4,1.6,1.4,1.4,1,25.6
,Adrian,GLK,LIV,4300000,0,23,2.9,6.74418604651163E-07,5.34883720930233E-06,0,475124,1,6,0,12,0,0,0,5.3,4364,-2,0,23,2,0,0,0,0,0,2,0,0,3,577149,0,-1,0,0,681,444,0,0,105,Man City,Crystal Palace,Brighton,Everton,Bournemouth,2.1,2.9,2.7,3.7,1.9,2.8,0,2.2,2.3,2.3,2.8,3.5,2.4,2.2,2.3,3.1,2.5,2.2,2.8,3.2,2.4,3.7,2.1,2.5,2.1,2.3,3.3,9.1
Sergio,Aguero,FWD,MCI,12000000,0,68,6.8,5.66666666666667E-07,5.66666666666667E-06,0,1117845,0,9,0,0,0,9,0,5.7,19829,0,0,68,0,0.2,0,1.8,6,0,2,0,3,22.9,1325959,0,-1,0,2,664,3390,0,0,280,Liverpool,Chelsea,Newcastle,Burnley,Man Utd,9,9.1,7.7,8.4,10.1,8.8,8,8.8,6.5,9.9,8.6,9.2,7.4,8.7,9.1,7.7,9.4,8.3,9.8,9,8.3,10.2,8.2,8.4,8.8,8.9,9.9,98.7
Albian,Ajeti,FWD,WHU,5800000,1,4,0.363636363636364,6.26959247648903E-08,6.89655172413793E-07,0,4077,0,2,0,0,0,0,0,0.7,15,-2,0,4,2,0.2,0,1,0,0,0,0,0,0,1569,0,-1,0,0,91,8,0,0,6,Burnley,Tottenham,Chelsea,Wolverhampton,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.1
Nathan,Ake,DEF,BOU,5100000,1,45,3.8,7.45098039215686E-07,8.82352941176471E-06,0,597432,1,15,0,0,0,1,0,8.8,6092,1,-1,45,-1,1.1,0,5.8,5,0,3,0,1,14.9,440172,0,-1,0,0,1080,8618,1,0,249,Newcastle,Wolverhampton,Tottenham,Crystal Palace,Liverpool,4.4,3.9,3.8,3.9,4.3,2.9,4.2,4.1,2.9,3.9,4.5,3.1,4.4,5.5,3.5,2.4,3.8,3.8,5,3.4,5.5,3.3,5.2,4.2,3.3,3.7,3.9,46.7
Marc,Albrighton,MID,LEI,5300000,0,9,0.818181818181818,1.54373927958834E-07,1.69811320754717E-06,0,16934,1,2,0,0,0,0,0,1.7,146,-2,0,9,2,0,0,0.2,0,0,0,0,1,0.2,7000,0,-1,0,0,182,88,0,0,49,Arsenal,Brighton,Everton,Watford,Aston Villa,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,17.7
