FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4300000,2,45,1.9,4.41860465116279E-07,1.04651162790698E-05,0,162025,5,44,0,0,0,0,0,10.5,858,-2,0,45,2,0.9,0,4,1,0,4,0,1,1.1,57843,0,-1,0,0,2160,3549,0,0,338,Liverpool,Wolverhampton,Leicester,Sheffield United,Southampton,1.5,1,1.4,1.1,1.1,1.9,1,1.7,1,2.1,1.2,1.3,1,83.9
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4403,0,0,0,0,0,0,0,0,15,-2,0,0,2,0,0,0,0,0,0,0,0,0,1535,0,-1,0,0,0,0,0,0,0,Arsenal,Crystal Palace,Burnley,Southampton,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7700000,0,130,5.4,7.01298701298701E-07,1.68831168831169E-05,0,4235524,2,26,0,0,0,13,0,16.9,87883,7,0,130,-7,0.3,0,2.3,20,0,7,0,5,21.7,5341131,1,-1,0,4,1911,10235,0,0,395,Man Utd,Tottenham,Bournemouth,Everton,Aston Villa,0,7.6,6.6,7.1,6.4,7.2,6.7,7.2,6.8,5.3,7.7,5.4,6.7,187.5
,Adam Smith,DEF,BOU,4300000,1,38,2.5,5.81395348837209E-07,8.83720930232558E-06,0,133829,4,20,0,0,0,0,0,8.8,223,-2,0,38,2,0.4,0,1.7,3,0,3,0,1,0.4,61134,0,-1,0,1,1287,179,0,0,220,Sheffield United,Burnley,Chelsea,Liverpool,Crystal Palace,1.8,1.5,2.3,1.9,2.5,1.6,3.1,1.6,3.1,2.1,1.7,1.7,2,41.1
Che,Adams,FWD,SOU,5300000,1,34,1.36,2.56603773584906E-07,6.41509433962264E-06,0,92796,0,11,0,0,0,0,0,6.4,214,-7,0,34,7,0.2,0,1,0,0,3,0,2,0.3,30812,0,-1,0,0,688,163,0,0,78,Burnley,Aston Villa,West Ham,Newcastle,Norwich,0.7,0.9,0.9,0.7,1.1,0.7,0.8,0.8,0.7,0.7,0.8,0.9,0.7,35.2
,Adrian,GLK,LIV,4000000,0,25,1,2.5E-07,6.25E-06,0,605272,1,9,0,16,0,0,0,6.2,1448,-5,0,25,5,0,0,0,0,0,2,0,0,1.9,626242,0,-1,0,0,783,865,0,0,123,Norwich,West Ham,Watford,Bournemouth,Everton,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.6,11.3
Sergio,Aguero,FWD,MCI,12100000,0,121,6.4,5.28925619834711E-07,1E-05,0,2291910,1,17,0,0,0,16,0,10,38038,1,0,121,-1,0.2,0,2,14,0,3,0,4,24.3,2638088,0,-1,0,4,1170,17584,0,0,484,West Ham,Leicester,Man Utd,Burnley,Chelsea,8.8,7.5,0,7.7,8.7,8.4,7.1,9,8.2,8.1,8.9,8.2,9.1,184.1
Albian,Ajeti,FWD,WHU,5700000,0,8,1,1.75438596491228E-07,1.40350877192982E-06,0,5166,0,3,0,0,0,0,0,1.4,24,-3,0,8,3,0,0,0,0,0,0,0,0,0,2557,0,-1,0,0,128,33,0,0,14,Man City,Liverpool,Southampton,Arsenal,Wolverhampton,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.7,7.3
Nathan,Ake,DEF,BOU,4800000,1,65,3.1,6.45833333333333E-07,1.35416666666667E-05,0,1283790,1,29,0,0,0,2,0,13.5,3386,-2,0,65,2,0.8,0,4,6,0,3,0,1,6.6,550083,0,-1,0,1,1834,5181,0,0,375,Sheffield United,Burnley,Chelsea,Liverpool,Crystal Palace,2.6,2.2,3.2,2.7,3.4,2.4,4.2,2.3,4.1,2.9,2.4,2.4,2.8,81.5
Marc,Albrighton,MID,LEI,5100000,1,16,0.64,1.25490196078431E-07,3.13725490196078E-06,0,21406,1,7,0,0,0,0,0,3.1,61,-4,0,16,4,0,0,0.2,0,0,0,0,1,0.2,8873,0,-1,0,0,374,49,0,0,83,Wolverhampton,Man City,Norwich,Aston Villa,Watford,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,27.2
