FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marko,Arnautovic,FWD,WHU,7000000,0,0,0,0,0,0,7478,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1115,0,-1,0,0,0,8,0,0,0,Everton,Leicester,Liverpool,Brighton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernard,Ashley-Seal,FWD,WOL,4500000,0,0,0,0,0,0,4210,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5496,0,-1,0,0,0,32,0,0,0,Southampton,Liverpool,Man Utd,Leicester,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Atsu,MID,NEW,5300000,0,34,1.54545454545455,2.91595197255575E-07,6.41509433962264E-06,0,27135,2,12,0,0,0,0,0,6.4,47,-2,0,34,2,0.1,0,0.7,0,0,3,0,3,0.1,22958,0,-1,0,0,671,21,0,0,95,Chelsea,Everton,Norwich,Arsenal,Crystal Palace,0.8,0.8,1,0.8,0.8,1.2,0.9,1.4,1,0.9,0.9,0.8,0.8,0.9,0.8,0.8,35.7
Pierre-Emerick,Aubameyang,FWD,ARS,10700000,0,127,5.8,5.42056074766355E-07,1.18691588785047E-05,0,2646197,3,31,0,0,0,14,0,11.9,13466,-3,0,127,3,0.4,0,4,24,0,4,0,3,13.4,1719675,0,-1,0,2,1943,373,0,1,484,Sheffield United,Chelsea,Burnley,Newcastle,Everton,0,0,6.9,7.3,8,7.5,7.8,6.7,8,8.4,6.8,6.9,7.2,6.6,6.9,7.9,176.3
Serge,Aurier,DEF,TOT,5000000,6,63,3.5,7E-07,1.26E-05,0,586496,1,21,0,0,0,0,0,12.6,4966,0,0,63,0,0.5,0,2.3,10,0,4,0,5,5.9,945890,1,-1,0,1,1534,5159,0,1,372,Watford,Norwich,Man City,Aston Villa,Chelsea,3,4.2,3.2,4.1,3.3,3.4,2.6,4.2,4.7,3,4.8,3.1,3.3,3.8,3.4,3.2,88.8
Brandon,Austin,GLK,TOT,4000000,0,0,0,0,0,0,6182,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0.2,15318,0,-1,0,0,0,56,0,0,0,Watford,Norwich,Man City,Aston Villa,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Austin,FWD,SOU,6000000,0,0,0,0,0,0,8979,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,-1,0,0,0,6,0,0,0,Wolverhampton,Crystal Palace,Liverpool,Burnley,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Ayew,FWD,CRY,5000000,1,84,3.8,7.6E-07,1.68E-05,0,976226,4,21,0,0,0,6,0,16.8,6064,0,0,84,0,0.9,0,4.7,17,0,8,0,1,7.5,1238499,0,-1,0,1,1842,9630,0,0,268,Man City,Southampton,Sheffield United,Everton,Newcastle,4.1,4.4,3.5,3.1,4.1,3.5,4.5,3.9,3.1,4.7,3.3,4.3,3.6,5.3,3.5,4.9,114.3
Cesar,Azpilicueta,DEF,CHE,5800000,2,70,3.3,5.68965517241379E-07,1.20689655172414E-05,0,440743,0,29,0,0,0,1,0,12.1,2978,-2,0,70,2,1,0,5.7,7,0,4,0,3,5.7,269893,0,-1,0,2,1879,3429,0,0,383,Newcastle,Arsenal,Leicester,Man Utd,Tottenham,3.7,2.8,3,3.6,4,3.1,4.2,4.1,2.7,3.8,3.4,3.2,2.9,3.6,3.3,2.9,114.6
Eric,Bailly,DEF,MUN,4900000,0,0,0,0,0,0,2743,0,0,0,0,0,0,0,0,6,-1,0,0,1,0,0,0,0,0,0,0,0,0,957,0,-1,0,0,0,14,0,0,0,Liverpool,Burnley,Wolverhampton,Chelsea,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leighton,Baines,DEF,EVE,4900000,0,8,0.363636363636364,7.42115027829314E-08,1.63265306122449E-06,0,14168,0,2,0,0,0,0,0,1.6,81,-1,0,8,1,0.1,0,0.3,0,0,0,0,1,0.2,12276,0,-1,0,0,152,33,0,0,38,West Ham,Newcastle,Watford,Crystal Palace,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6.3
Fabian,Balbuena,DEF,WHU,4300000,0,36,1.71428571428571,3.98671096345515E-07,8.37209302325581E-06,0,33711,2,22,0,0,0,1,0,8.4,806,-2,0,36,2,0.5,0,2,3,0,3,0,0,0.5,37811,0,-1,0,1,1081,261,0,0,189,Everton,Leicester,Liverpool,Brighton,Man City,1.8,2.1,1.4,0.9,1.1,0.9,0.9,1.1,1.2,1.2,1.3,1.2,1,1.3,0.9,2.1,41.5
George,Baldock,DEF,SHU,5100000,1,98,4.3,8.43137254901961E-07,1.92156862745098E-05,0,271213,5,22,0,0,0,2,0,19.2,10918,6,0,98,-6,0.7,0,3.5,7,0,8,0,4,11.4,1045563,0,-1,0,1,2070,4171,0,0,372,Arsenal,Man City,Crystal Palace,Bournemouth,Brighton,3.7,4.3,4.6,4.9,5.3,5.2,5.5,5.2,3.7,5.9,3.8,4.5,4.8,4.3,6.2,4.4,79.6
Leon,Balogun,DEF,BHA,4400000,0,0,0,0,0,0,4660,0,0,0,0,0,0,0,0,16,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1202,0,-1,0,0,0,6,0,0,0,Aston Villa,Bournemouth,West Ham,Watford,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tudor,Baluta,DEF,BHA,4000000,0,0,0,0,0,0,16827,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0.2,25285,0,-1,0,0,0,10,0,0,0,Aston Villa,Bournemouth,West Ham,Watford,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beni,Baningime,MID,EVE,4500000,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,-1,0,0,0,5,0,0,0,West Ham,Newcastle,Watford,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4300000,2,29,1.31818181818182,3.06553911205074E-07,6.74418604651163E-06,0,16779,2,12,0,0,0,0,0,6.7,156,-2,0,29,2,0.4,0,1.8,0,0,4,0,0,0.2,16856,0,-1,0,0,900,32,0,0,154,Leicester,Man Utd,Arsenal,Southampton,Bournemouth,0.7,0.7,0.7,0.7,0.8,0.8,1.1,0.7,0.9,0.7,0.8,0.8,0.7,0.7,0.7,0.9,24.5
Ross,Barkley,MID,CHE,5600000,1,13,0.590909090909091,1.05519480519481E-07,2.32142857142857E-06,0,455464,0,6,0,0,0,0,0,2.3,111,-4,0,13,4,0.1,0,0.7,0,0,2,0,0,1.2,73015,0,-1,0,0,447,56,0,0,59,Newcastle,Arsenal,Leicester,Man Utd,Tottenham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,41.1
Ashley,Barnes,FWD,BUR,6200000,0,61,3.2,5.16129032258065E-07,9.83870967741936E-06,0,1160203,4,21,0,0,0,6,0,9.8,1117,-3,0,61,3,0.1,0,0.8,6,0,8,0,0,2.5,1127744,0,-1,0,1,1350,8,0,0,161,Leicester,Man Utd,Arsenal,Southampton,Bournemouth,0,0,0,0,0,2.2,3.9,3.1,3.5,2.7,2.7,2.6,2.4,3.4,3.5,3.6,75.9
Harvey,Barnes,MID,LEI,5900000,7,68,3.09090909090909,5.23882896764253E-07,1.15254237288136E-05,0,123566,0,11,0,0,0,2,0,11.5,318,-1,0,68,1,0.4,0,2.5,3,0,5,0,6,0.5,135971,0,-1,0,1,1218,477,0,0,194,Burnley,West Ham,Chelsea,Wolverhampton,Man City,2.7,2.5,2.2,2.7,1.7,2.3,2.7,2.8,3,2.4,2.8,2.8,3,3.6,2.1,3.1,92.9
Chris,Basham,DEF,SHU,4500000,2,70,3,6.66666666666667E-07,1.55555555555556E-05,0,32951,4,22,0,0,0,0,0,15.6,515,0,0,70,0,0.6,0,2.8,2,0,8,0,0,0.8,71625,0,-1,0,0,1995,579,0,0,366,Arsenal,Man City,Crystal Palace,Bournemouth,Brighton,2.1,2.4,2.7,2.9,3.1,3.5,3.3,3.1,2.1,3.6,2.1,2.6,2.8,2.5,3.8,2.5,55
Michy,Batshuayi,FWD,CHE,6600000,1,24,1.09090909090909,1.65289256198347E-07,3.63636363636364E-06,0,126701,0,5,0,0,0,1,0,3.6,102,-4,0,24,4,0,0,0.3,1,0,0,0,2,0.5,89916,0,-1,0,0,128,40,0,0,59,Newcastle,Arsenal,Leicester,Man Utd,Tottenham,0.5,0.6,0.5,0.8,0.7,0.6,0.6,0.5,0.6,0.5,0.6,0.5,0.5,0.9,0.5,0.5,25.3
Jan,Bednarek,DEF,SOU,4400000,6,53,2.3,5.22727272727273E-07,1.20454545454545E-05,0,69269,3,42,0,0,0,1,0,12,310,-1,0,53,1,1,0,4.2,3,0,4,0,0,0.8,68693,0,-1,0,0,2067,1712,0,0,340,Wolverhampton,Crystal Palace,Liverpool,Burnley,Aston Villa,1.4,2,2.1,1.5,2.8,2.4,2.3,2,1.4,1.9,1.3,2.2,1.6,1.8,1.9,1.6,53.4
Asmir,Begovic,GLK,BOU,4200000,0,0,0,0,0,0,152288,0,0,0,0,0,0,0,0,133,-3,0,0,3,0,0,0,0,0,0,0,0,0.8,12281,0,-1,0,0,0,2,0,0,0,Norwich,Brighton,Aston Villa,Sheffield United,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hector,Bellerin,DEF,ARS,5400000,0,1,0.0454545454545455,8.41750841750842E-09,1.85185185185185E-07,0,37975,2,6,0,0,0,0,0,0.2,44,-1,0,1,1,0,0,0,0,0,0,0,0,0.2,35169,0,-1,0,0,262,83,0,0,26,Sheffield United,Chelsea,Burnley,Newcastle,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9
Filip,Benkovic,DEF,LEI,4000000,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,-1,0,0,0,57,0,0,0,Burnley,West Ham,Chelsea,Wolverhampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Bennett,DEF,WOL,4900000,0,21,0.954545454545455,1.94805194805195E-07,4.28571428571429E-06,0,41673,2,9,0,0,0,0,0,4.3,70,-1,0,21,1,0.1,0,0.5,0,0,2,0,0,0.3,17022,0,-1,0,0,603,29,0,0,110,Southampton,Liverpool,Man Utd,Leicester,Norwich,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.7,0.5,0.5,0.5,16.3
Christian,Benteke,FWD,CRY,5700000,0,17,1.1,1.92982456140351E-07,2.98245614035088E-06,0,76076,2,7,0,0,0,0,0,3,78,-3,0,17,3,0.1,0,0.3,0,0,1,0,0,0.5,30757,0,-1,0,0,486,5,0,0,53,Man City,Southampton,Sheffield United,Everton,Newcastle,0,0,0,0,0,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.9,0.6,0.8,43.7
,Bernard,MID,EVE,6400000,1,43,1.95454545454545,3.05397727272727E-07,6.71875E-06,0,207528,2,7,0,0,0,2,0,6.7,181,-1,0,43,1,0.2,0,1.2,5,0,6,0,1,0.6,188624,0,-1,0,2,768,196,0,0,141,West Ham,Newcastle,Watford,Crystal Palace,Arsenal,1,1.8,1.1,1.6,1.1,1.8,1,1,1,1.1,1,1.4,1,1.5,1.5,1.7,55.9
,Bernardo,DEF,BHA,4300000,3,17,0.772727272727273,1.79704016913319E-07,3.95348837209302E-06,0,9544,0,7,0,0,0,0,0,4,65,-2,0,17,2,0.5,0,2.3,3,0,1,0,0,0.1,5247,0,-1,0,0,391,149,0,0,89,Aston Villa,Bournemouth,West Ham,Watford,Sheffield United,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,17.8
,Bernardo Silva,MID,MCI,7800000,2,74,3.36363636363636,4.31235431235431E-07,9.48717948717949E-06,0,1935978,5,21,0,0,0,5,0,9.5,3499,-2,0,74,2,0.2,0,1.3,5,0,4,0,4,8.7,851188,0,-1,0,2,1246,1427,0,0,337,Crystal Palace,Sheffield United,Tottenham,West Ham,Leicester,3.2,3.9,2.4,2.9,2.5,3.4,2.5,3.6,2.6,2.2,3.6,3.6,2.9,3.5,3.1,3.2,151.4
Ryan,Bertrand,DEF,SOU,4800000,1,33,1.8,3.75E-07,6.875E-06,0,66788,3,35,0,0,0,1,0,6.9,329,-2,0,33,2,0.6,0,3,0,0,2,0,1,0.7,38112,0,-1,0,0,1482,258,0,1,198,Wolverhampton,Crystal Palace,Liverpool,Burnley,Aston Villa,0.9,1.4,1.4,1,2,1.7,1.6,1.3,0.9,1.2,0.9,1.5,1,1.2,1.3,1,64.6
Muhamed,Besic,MID,SHU,4400000,1,8,0.363636363636364,8.26446280991736E-08,1.81818181818182E-06,0,15899,1,1,0,0,0,0,0,1.8,38,-1,0,8,1,0.2,0,0.8,0,0,0,0,0,0.1,8561,0,-1,0,0,166,28,0,0,35,Arsenal,Man City,Crystal Palace,Bournemouth,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.9
Philip,Billing,MID,BOU,5000000,2,40,1.9,3.8E-07,8E-06,0,19899,7,25,0,0,0,0,0,8,50,0,0,40,0,0.3,0,1.7,2,0,5,0,1,0.1,16490,0,-1,0,0,1622,48,0,0,224,Norwich,Brighton,Aston Villa,Sheffield United,Burnley,1,1.4,1.3,1.6,1.2,1,1,1.3,1.2,1.5,1,1.1,1,1,1.2,1,64.5
