FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4300000,6,33,1.6,3.72093023255814E-07,7.67441860465116E-06,0,156234,5,41,0,0,0,0,0,7.7,317,-2,0,33,2,0.5,0,2,1,0,3,0,0,1.1,47920,0,-1,0,0,1890,250,0,0,274,Bournemouth,Tottenham,Newcastle,Liverpool,Wolverhampton,1.1,1.1,1.1,1.1,0.8,1,0.8,0.8,1.6,0.8,1.3,0.8,1.6,0.9,1.1,0.8,71.4
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4276,0,0,0,0,0,0,0,0,6,-2,0,0,2,0,0,0,0,0,0,0,0,0,1456,0,-1,0,0,0,9,0,0,0,Chelsea,Everton,Norwich,Arsenal,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7900000,2,123,5.6,7.08860759493671E-07,1.55696202531646E-05,0,3168922,2,22,0,0,0,13,0,15.6,54167,9,0,123,-9,0.5,0,4,20,0,7,0,4,34.2,5193373,1,-1,0,4,1739,6769,0,0,379,Newcastle,Arsenal,Leicester,Man Utd,Tottenham,5.9,7.5,6.5,8.4,7.8,7.2,7.4,6.9,7.4,6.7,7.3,6.8,5.5,7.9,6.2,7.1,179.2
,Adam Smith,DEF,BOU,4300000,1,33,2.8,6.51162790697674E-07,7.67441860465116E-06,0,131738,4,16,0,0,0,0,0,7.7,103,-2,0,33,2,0,0,0.2,3,0,3,0,1,0.4,59762,0,-1,0,1,1017,85,0,0,186,Norwich,Brighton,Aston Villa,Sheffield United,Burnley,2.4,2.8,3.9,2.2,1.9,2.5,2.5,3,2,3.4,1.9,3.3,2.3,2.1,1.9,2.7,33.5
Che,Adams,FWD,SOU,5300000,1,31,1.40909090909091,2.65866209262436E-07,5.84905660377358E-06,0,91253,0,9,0,0,0,0,0,5.8,72,-7,0,31,7,0.3,0,1.7,0,0,3,0,2,0.3,29583,0,-1,0,0,658,46,0,0,69,Wolverhampton,Crystal Palace,Liverpool,Burnley,Aston Villa,0.7,0.9,0.8,0.9,1,0.9,0.7,1.2,0.8,0.8,0.8,0.7,0.9,0.8,1,0.7,32.8
,Adrian,GLK,LIV,4100000,0,25,1.19047619047619,2.90360046457607E-07,6.09756097560976E-06,0,584732,1,9,0,16,0,0,0,6.1,1354,-4,0,25,4,0,0,0,0,0,2,0,0,2.1,621947,0,-1,0,0,783,215,0,0,123,Man Utd,Wolverhampton,West Ham,Southampton,Norwich,0.7,1.4,0.6,0.6,0.9,0.6,0.6,0.7,0.7,0.6,1.2,0.6,0.6,0.6,0.6,0.8,11.3
Sergio,Aguero,FWD,MCI,11900000,13,115,6.8,5.71428571428571E-07,9.66386554621849E-06,0,2131292,0,16,0,0,0,15,0,9.7,4583,-1,-1,115,1,0.6,0,7.2,14,0,3,0,4,16.5,1906496,0,-1,0,4,1084,58168,1,0,460,Crystal Palace,Sheffield United,Tottenham,West Ham,Leicester,9.5,7.4,8.7,9.3,8.4,9.3,8.2,9.5,9.2,8,9.7,8.8,8.7,9.2,8.7,9.6,164.6
Albian,Ajeti,FWD,WHU,5700000,1,8,1,1.75438596491228E-07,1.40350877192982E-06,0,4822,0,3,0,0,0,0,0,1.4,12,-3,0,8,3,0.1,0,0.6,0,0,0,0,0,0,2192,0,-1,0,0,128,32,0,0,14,Everton,Leicester,Liverpool,Brighton,Man City,0.6,1,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.7,7.4
Nathan,Ake,DEF,BOU,4800000,2,53,2.9,6.04166666666667E-07,1.10416666666667E-05,0,1263468,1,25,0,0,0,1,0,11,886,-2,0,53,2,0.1,0,0.5,5,0,3,0,1,6.4,513457,0,-1,0,0,1564,1056,0,0,323,Norwich,Brighton,Aston Villa,Sheffield United,Burnley,2.5,3,4.1,2.3,2,2.7,2.6,3.1,2.1,3.6,2,3.4,2.4,2.2,2,2.8,68.1
Marc,Albrighton,MID,LEI,5100000,0,15,0.681818181818182,1.33689839572193E-07,2.94117647058824E-06,0,20857,1,7,0,0,0,0,0,2.9,32,-4,0,15,4,0.1,0,0.7,0,0,0,0,1,0.2,8604,0,-1,0,0,352,18,0,0,76,Burnley,West Ham,Chelsea,Wolverhampton,Man City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,25.1
Toby,Alderweireld,DEF,TOT,5300000,7,51,2.3,4.33962264150943E-07,9.62264150943396E-06,0,503247,3,30,0,0,0,0,0,9.6,809,-2,0,51,2,0.4,0,2.2,2,0,3,0,2,5,314994,0,-1,0,1,1980,1352,0,0,377,Watford,Norwich,Man City,Aston Villa,Chelsea,1.5,2.3,1.6,2.3,1.7,1.8,1.3,2.3,2.6,1.5,2.7,1.6,1.7,2,1.8,1.7,78.4
Trent,Alexander-Arnold,DEF,LIV,7500000,0,118,5.6,7.46666666666667E-07,1.57333333333333E-05,0,1175289,4,14,0,0,0,2,0,15.7,3617,5,0,118,-5,1.2,0,8.8,12,0,7,0,10,39.6,2272101,0,-1,0,3,1842,19615,0,0,525,Man Utd,Wolverhampton,West Ham,Southampton,Norwich,7.6,13.4,5.6,6.8,7.7,6.6,6.9,7,7.6,6.2,8.1,6.6,6.7,5.8,6.8,7.1,181.9
,Alisson,GLK,LIV,6100000,0,51,3.9,6.39344262295082E-07,8.36065573770492E-06,0,1743945,0,6,0,26,0,0,0,8.4,2261,1,0,51,-1,0.9,0,5.4,2,0,6,0,0,9.5,524679,0,-1,0,1,1103,10428,0,1,238,Man Utd,Wolverhampton,West Ham,Southampton,Norwich,4.6,8.3,3.2,4.1,5.1,3.9,4.1,4.5,4.6,3.6,5.6,3.9,3.9,3.3,4,4.7,20.3
Thomas,Allan,MID,NEW,4500000,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,-1,0,0,0,25,0,0,0,Chelsea,Everton,Norwich,Arsenal,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bamidele,Alli,MID,TOT,8600000,3,80,5,5.81395348837209E-07,9.30232558139535E-06,0,1078145,2,17,0,0,0,6,0,9.3,24923,1,0,80,-1,0.3,0,3,9,0,3,0,3,7.1,1500100,0,-1,0,1,1325,2124,0,0,269,Watford,Norwich,Man City,Aston Villa,Chelsea,5.3,6,4.2,4,4.5,6.2,5.3,6.6,5.6,6.2,6.6,5.7,6.4,5.2,4.9,4.7,105.3
Miguel,Almiron,MID,NEW,5800000,3,65,3,5.17241379310345E-07,1.12068965517241E-05,0,68630,4,30,0,0,0,2,0,11.2,468,-2,0,65,2,0.8,0,4.5,5,0,7,0,1,0.6,54697,0,-1,0,1,1850,1361,0,0,206,Chelsea,Everton,Norwich,Arsenal,Crystal Palace,2.3,2.1,2.9,2.4,2,3.3,2.8,3.7,2.8,2.6,2.7,1.5,2.3,2.6,2.2,2.1,87.2
Marcos,Alonso,DEF,CHE,6000000,0,47,2.13636363636364,3.56060606060606E-07,7.83333333333333E-06,0,465836,3,4,0,0,0,1,0,7.8,474,-5,0,47,5,0.3,0,1.8,5,0,4,0,3,2.1,259504,0,-1,0,2,588,32,0,0,181,Newcastle,Arsenal,Leicester,Man Utd,Tottenham,0,1.4,1.5,1.9,2.1,1.6,2.3,2.2,1.3,2,1.7,1.6,1.5,1.9,1.7,1.4,44.1
Steven,Alzate,MID,BHA,4500000,2,29,1.31818181818182,2.92929292929293E-07,6.44444444444444E-06,0,8849,1,15,0,0,0,0,0,6.4,104,0,0,29,0,0.3,0,1.3,0,0,3,0,0,0.1,15846,0,-1,0,0,1054,154,0,0,159,Aston Villa,Bournemouth,West Ham,Watford,Sheffield United,0.7,0.7,0.7,0.9,0.8,0.8,0.7,0.9,0.7,0.9,0.7,0.7,0.7,0.7,0.9,0.7,54.8
Ibrahim,Amadou,MID,NOR,4500000,0,18,0.818181818181818,1.81818181818182E-07,4E-06,0,10025,1,20,0,0,0,0,0,4,37,0,0,18,0,0,0,0.2,0,0,1,0,0,0.1,11355,0,-1,0,0,756,18,0,0,122,Bournemouth,Tottenham,Newcastle,Liverpool,Wolverhampton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,22.7
Daniel,Amartey,MID,LEI,4300000,0,0,0,0,0,0,33469,0,0,0,0,0,0,0,0,124,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,27174,0,-1,0,0,0,7,0,0,0,Burnley,West Ham,Chelsea,Wolverhampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke,Amos,MID,TOT,4500000,0,0,0,0,0,0,1210,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,879,0,-1,0,0,0,2,0,0,0,Watford,Norwich,Man City,Aston Villa,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,2222,0,0,0,0,0,0,0,0,7,-1,0,0,1,0,0,0,0,0,0,0,0,0,1346,0,-1,0,0,0,6,0,0,0,Newcastle,Arsenal,Leicester,Man Utd,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph,Anang,GLK,WHU,4000000,0,0,0,0,0,0,2494,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0.1,10459,0,-1,0,0,0,131,0,0,0,Everton,Leicester,Liverpool,Brighton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,4700000,0,5,1.7,3.61702127659574E-07,1.06382978723404E-06,0,195659,0,2,0,0,0,1,0,1.1,45,-3,1,5,3,0,0,0,1,0,0,0,0,0.4,159621,0,-1,0,0,71,5,-1,1,20,Aston Villa,Bournemouth,West Ham,Watford,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6
,Andre Gomes,MID,EVE,5200000,0,13,0.590909090909091,1.13636363636364E-07,2.5E-06,0,69224,3,8,0,0,0,0,0,2.5,30,-3,0,13,3,0,0,0,0,0,2,0,0,0.3,12539,0,-1,0,0,584,1,0,0,71,West Ham,Newcastle,Watford,Crystal Palace,Arsenal,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,15.8
,Angelino,DEF,MCI,4700000,0,11,0.5,1.06382978723404E-07,2.34042553191489E-06,0,26515,1,7,0,0,0,0,0,2.3,109,-3,0,11,3,0,0,0,1,0,0,0,1,0.2,18506,0,-1,0,0,422,30,0,0,94,Crystal Palace,Sheffield United,Tottenham,West Ham,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,31.6
Michail,Antonio,MID,WHU,6900000,0,26,1.23809523809524,1.79434092477571E-07,3.76811594202899E-06,0,78237,0,9,0,0,0,1,0,3.8,124,-1,0,26,1,0.2,0,1.2,0,0,2,0,2,0.7,21553,0,-1,0,0,550,57,0,0,66,Everton,Leicester,Liverpool,Brighton,Man City,0,0,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.8,0.6,0.8,0.6,0.6,56
Stuart,Armstrong,MID,SOU,5200000,2,36,1.63636363636364,3.14685314685315E-07,6.92307692307692E-06,0,9834,2,13,0,0,0,1,0,6.9,132,-3,0,36,3,0.6,0,3.3,3,0,2,0,1,0.1,6072,0,-1,0,0,774,164,0,0,93,Wolverhampton,Crystal Palace,Liverpool,Burnley,Aston Villa,0.9,0.9,0.8,1,0.8,0.9,1,0.9,1,1.1,0.8,0.9,0.8,1,1.2,1.3,32.7
