FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4300000,1,27,1.4,3.25581395348837E-07,6.27906976744186E-06,0,151171,5,37,0,0,0,0,0,6.3,497,-2,0,27,2,0.3,0,1.4,1,0,2,0,0,1.1,42545,0,-1,0,0,1710,385,0,0,242,Crystal Palace,Man Utd,Bournemouth,Tottenham,Newcastle,1.2,0.7,0.8,0.8,0.9,0.9,0.7,0.8,0.7,0.7,1.2,0.7,0.9,0.7,1.1,0.7,0.8,0.7,66.5
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4230,0,0,0,0,0,0,0,0,2,-2,0,0,2,0,0,0,0,0,0,0,0,0,1393,0,-1,0,0,0,1,0,0,0,Leicester,Wolverhampton,Chelsea,Everton,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7800000,5,115,5.8,7.43589743589744E-07,1.47435897435897E-05,0,2906266,2,22,0,0,0,12,0,14.7,24944,8,0,115,-8,0.6,0,4.6,20,0,5,0,4,32.8,4817021,1,-1,0,4,1570,35589,0,0,361,Brighton,Burnley,Newcastle,Arsenal,Leicester,7.1,7.6,6.2,7.5,6.6,8.3,7.9,7.5,7.6,7.1,7.5,7.4,7.9,7.1,6.3,7.9,6.8,7.1,161.4
,Adam Smith,DEF,BOU,4300000,0,32,1.6,3.72093023255814E-07,7.44186046511628E-06,0,128886,2,12,0,0,0,0,0,7.4,458,-2,0,32,2,0.1,0,0.3,3,0,3,0,1,0.5,58955,0,-1,0,1,837,3,0,0,163,West Ham,Watford,Norwich,Brighton,Aston Villa,0,0,0,0,1.8,0.9,0.8,1,1,1.4,0.8,1.6,0.8,1.4,0.9,0.9,0.8,1.1,27.6
Che,Adams,FWD,SOU,5300000,0,26,1.7,3.20754716981132E-07,4.90566037735849E-06,0,90109,0,8,0,0,0,0,0,4.9,171,-7,0,26,7,0.2,0,1.1,0,0,3,0,1,0.3,28632,0,-1,0,0,627,73,0,0,54,Tottenham,Leicester,Wolverhampton,Crystal Palace,Liverpool,1.3,1,1,1.2,1.1,1.1,1.3,1.3,1,1.7,1,1.2,1.1,1.1,1.3,1,1.3,0.8,29.7
,Adrian,GLK,LIV,4100000,0,25,1.31578947368421,3.20924261874198E-07,6.09756097560976E-06,0,568737,1,9,0,16,0,0,0,6.1,1638,-4,0,25,4,0,0,0.2,0,0,2,0,0,2.3,616292,0,-1,0,0,783,725,0,0,123,Sheffield United,Tottenham,Man Utd,Wolverhampton,West Ham,0.7,0.8,0.8,1.7,0.7,0.7,0.9,0.7,0.7,0.8,1,0.7,1.3,0.7,0.7,0.7,0.7,0.9,11.3
Sergio,Aguero,FWD,MCI,11700000,0,82,5.5,4.7008547008547E-07,7.00854700854701E-06,0,2087970,0,13,0,0,0,10,0,7,6652,-3,0,82,3,0.1,0,1.4,8,0,3,0,3,10.9,1458118,0,-1,0,2,904,11827,0,0,325,Everton,Aston Villa,Crystal Palace,Sheffield United,Tottenham,7.2,6.4,7.3,5.6,7,6.7,5.9,7.2,6.7,7.3,7.3,6.1,7.9,6.9,6.4,7.1,6.6,7.7,115.8
Albian,Ajeti,FWD,WHU,5700000,0,7,1,1.75438596491228E-07,1.2280701754386E-06,0,4673,0,3,0,0,0,0,0,1.2,19,-3,0,7,3,0.1,0,0.5,0,0,0,0,0,0,2006,0,-1,0,0,122,13,0,0,11,Bournemouth,Sheffield United,Everton,Leicester,Liverpool,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.6,0.5,0.7,5
Nathan,Ake,DEF,BOU,4900000,0,50,3.1,6.3265306122449E-07,1.02040816326531E-05,0,1229394,1,21,0,0,0,1,0,10.2,6832,-1,0,50,1,0.1,0,0.4,5,0,3,0,1,6.8,504683,0,-1,0,0,1384,76,0,0,290,West Ham,Watford,Norwich,Brighton,Aston Villa,0,0,0,0,4.5,2.8,2.2,2.8,2.9,3.7,2.4,4.1,2.3,3.7,2.7,2.7,2.3,3,58.6
Marc,Albrighton,MID,LEI,5200000,0,15,0.75,1.44230769230769E-07,2.88461538461538E-06,0,20297,1,7,0,0,0,0,0,2.9,88,-3,0,15,3,0.1,0,0.7,0,0,0,0,1,0.2,8377,0,-1,0,0,352,24,0,0,76,Newcastle,Southampton,Burnley,West Ham,Chelsea,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,25.1
Toby,Alderweireld,DEF,TOT,5400000,2,42,2.1,3.88888888888889E-07,7.77777777777778E-06,0,474269,3,29,0,0,0,0,0,7.8,4491,-1,0,42,1,0.3,0,1.7,1,0,2,0,2,5.3,307639,0,-1,0,1,1800,682,0,0,335,Southampton,Liverpool,Watford,Norwich,Man City,1.4,1.7,1.3,2,1.6,1.8,1.5,1.5,1.1,1.9,2.1,1.4,2.2,1.3,1.4,1.7,1.5,1.6,71.4
Trent,Alexander-Arnold,DEF,LIV,7400000,0,106,5.6,7.56756756756757E-07,1.43243243243243E-05,0,1119776,4,14,0,0,0,2,0,14.3,3810,4,0,106,-4,0.9,0,7,12,0,5,0,10,37,2035907,0,-1,0,3,1662,37605,0,0,470,Sheffield United,Tottenham,Man Utd,Wolverhampton,West Ham,6.5,7.2,7.3,13.6,5.5,6.9,7.4,6.5,6.7,7.1,7.9,6.6,8.3,6.6,6.5,5.9,6.6,7,169.8
,Alisson,GLK,LIV,6000000,0,36,3.3,5.5E-07,6E-06,0,1715838,0,6,0,20,0,0,0,6,3142,0,0,36,0,0.7,0,4,0,0,4,0,0,8.6,439055,0,-1,0,0,923,6853,0,1,183,Sheffield United,Tottenham,Man Utd,Wolverhampton,West Ham,3,3.5,3.5,6.6,2.4,3.2,3.9,2.9,3.1,3.4,4,3,4.8,3.1,3,2.6,3,3.6,16.1
