FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,5,16,1.5,3.40909090909091E-07,3.63636363636364E-06,0,136192,4,24,0,0,0,0,0,3.6,550,-1,0,16,1,0.4,0,1.8,0,0,2,0,0,1.2,33010,0,-1,0,0,990,391,0,0,132,Everton,Arsenal,Southampton,Sheffield United,Leicester,0.9,1,0.9,0.9,0.8,0.9,0.9,1.4,1.4,0.8,0.9,0.8,1,1,0.8,1,0.8,0.9,1.6,0.8,1.2,0.8,1.4,0.8,1.1,0.8,31
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,12,-1,0,0,1,0,0,0,0,0,0,0,0,0,1332,0,-1,0,0,0,7,0,0,0,Aston Villa,Man City,Sheffield United,Southampton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,8000000,2,83,6.4,8E-07,1.0375E-05,0,625493,2,13,0,0,0,10,0,10.4,16921,10,0,83,-10,0.8,0,6.8,16,0,4,0,2,50.9,3808155,1,-1,0,4,959,45673,0,0,283,Man City,West Ham,Aston Villa,Everton,Bournemouth,7.9,9.3,9.6,7.3,9,7.5,8.3,7.4,6.8,9.5,6.5,9.6,6,9.6,9.5,7.1,9.6,7.4,8.8,7.5,9,7.5,6.1,9.6,7.4,8.3,109.4
,Adam Smith,DEF,BOU,4300000,1,30,3.3,7.67441860465116E-07,6.97674418604651E-06,0,86348,2,11,0,0,0,0,0,7,2184,-2,0,30,2,1.2,0,5,3,0,3,0,1,1,54432,0,-1,0,1,747,4679,0,0,147,Wolverhampton,Tottenham,Crystal Palace,Liverpool,Chelsea,3,3.1,3.1,3.4,2.3,3.5,3.4,2.3,3.1,3.6,2.5,3.7,4.7,2.6,1.8,3.3,2.9,4.3,2.4,4.7,2.3,4.3,3.4,2.6,3,3.3,25.1
Che,Adams,FWD,SOU,5400000,0,18,2,3.7037037037037E-07,3.33333333333333E-06,0,84773,0,7,0,0,0,0,0,3.3,417,-6,0,18,6,0.1,0,0.7,0,0,2,0,1,0.4,26755,0,-1,0,0,465,130,0,0,31,Arsenal,Watford,Norwich,Newcastle,West Ham,1.6,1.3,1.9,1.3,1.4,1.6,1.6,1.5,1.7,1.2,1.1,1.6,1.6,1.5,1.6,1.6,1.1,2,1.6,1.8,1.2,1.5,1.5,1.4,1.5,1,25.6
,Adrian,GLK,LIV,4200000,0,23,2.9,6.9047619047619E-07,5.47619047619048E-06,0,498606,1,6,0,12,0,0,0,5.5,5110,-3,1,23,3,0,0,0,0,0,2,0,0,2.7,579313,0,-1,0,0,681,521,-1,0,105,Crystal Palace,Brighton,Everton,Bournemouth,Watford,2.8,2.8,3.7,1.9,2.7,0,2.1,2.2,2.3,2.8,3.2,2.2,2.2,2.3,3.3,2.7,2.3,3,3.3,2.3,3.7,2.2,2.6,1.9,2.5,3.4,9.1
Sergio,Aguero,FWD,MCI,11900000,2,72,6,5.04201680672269E-07,6.05042016806723E-06,0,1456129,0,13,0,0,0,9,0,6.1,160879,-1,0,72,1,0.2,0,2.8,6,0,2,0,3,18.3,1342019,0,-1,0,2,810,1005,0,0,287,Chelsea,Newcastle,Burnley,Man Utd,Arsenal,0,0,0,0,0,7,7.2,5.9,8.5,7.4,8.4,6,7.5,8.3,5.9,8.6,7.1,8.5,7.5,7.1,8.7,7.4,6.7,7.9,7.9,8.7,109.7
Albian,Ajeti,FWD,WHU,5800000,0,4,0.333333333333333,5.74712643678161E-08,6.89655172413793E-07,0,4183,0,2,0,0,0,0,0,0.7,26,-2,0,4,2,0.1,0,0.8,0,0,0,0,0,0,1657,0,-1,0,0,91,22,0,0,6,Tottenham,Chelsea,Wolverhampton,Arsenal,Southampton,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.1
Nathan,Ake,DEF,BOU,5100000,1,46,3.5,6.86274509803922E-07,9.01960784313725E-06,0,656134,1,17,0,0,0,1,0,9,24508,1,0,46,-1,0.8,0,4,5,0,3,0,1,14.6,483428,0,-1,0,0,1170,5045,0,0,259,Wolverhampton,Tottenham,Crystal Palace,Liverpool,Chelsea,3.3,3.4,3.4,3.7,2.5,3.8,3.7,2.6,3.4,3.9,2.7,4,5.1,2.9,2,3.6,3.2,4.6,2.7,5.1,2.5,4.6,3.7,2.8,3.3,3.6,50.1
Marc,Albrighton,MID,LEI,5300000,0,9,0.75,1.41509433962264E-07,1.69811320754717E-06,0,17825,1,2,0,0,0,0,0,1.7,204,-2,0,9,2,0,0,0,0,0,0,0,1,0.2,7419,0,-1,0,0,182,82,0,0,49,Brighton,Everton,Watford,Aston Villa,Norwich,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,17.7
