FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4500000,1,2,0.7,1.55555555555556E-07,4.44444444444444E-07,0,34178,1,8,0,0,0,0,0,0.4,3268,0,0,2,0,0.2,0,0.7,0,0,0,0,0,2.6,16375,0,-1,0,0,270,1555,0,0,29,Chelsea,West Ham,Man City,Burnley,Crystal Palace,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.5,0.4,8.4
Rolando,Aarons,MID,NEW,5000000,0,0,0,0,0,0,1477,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0.1,846,0,-1,0,0,0,79,0,0,0,Tottenham,Watford,Liverpool,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7000000,13,15,5,7.14285714285714E-07,2.14285714285714E-06,0,80245,1,5,0,0,0,2,0,2.1,5436,0,0,15,0,0.7,0,5,3,0,0,0,0,3.4,136163,0,-1,0,1,168,80923,0,0,59,Norwich,Sheffield United,Wolverhampton,Liverpool,Brighton,3.9,6.5,3.1,6.4,4.8,3,7.1,2.5,5,7.3,5.4,6.7,6.1,2.5,6.7,4.4,7.2,4.1,4.8,7.5,5.7,5.1,2.9,7.5,7.5,4.9,6.6,3,5.4,6.7,7.5,2.5,2.5,7.5,3.1,5.7,16.7
,Adam Smith,DEF,BOU,4500000,0,3,1,2.22222222222222E-07,6.66666666666667E-07,0,23204,1,4,0,0,0,0,0,0.7,1666,0,0,3,0,0.2,0,1,0,0,0,0,0,1.2,5536,0,-1,0,0,226,543,0,0,25,Man City,Leicester,Everton,Southampton,West Ham,0.5,0.6,0.9,0.5,0.5,0.5,0.5,0.5,0.5,1.2,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.8,0.5,0.5,0.5,0.6,0.5,0.6,3.1
Che,Adams,FWD,SOU,5900000,2,6,2,3.38983050847458E-07,1.01694915254237E-06,0,29426,0,3,0,0,0,0,0,1,3773,-1,0,6,1,0.3,0,2,0,0,1,0,0,1,10594,0,-1,0,0,218,499,0,0,3,Brighton,Man Utd,Sheffield United,Bournemouth,Tottenham,1.3,2.1,1,1.7,1.5,2.9,1,1.2,1.6,1.6,1.1,2.3,3,1.9,1.9,1,1.3,2,2.7,1,1.3,1,1,2.5,1.4,2.3,2.1,1.2,1.1,1.6,1.2,1,1,1,1.4,1.6,11.8
,Adrian,GLK,LIV,4500000,2,6,2,4.44444444444444E-07,1.33333333333333E-06,0,60884,0,3,0,7,0,0,0,1.3,3850,0,0,6,0,0.4,0,2,0,0,0,0,0,3.8,245705,0,-1,0,0,231,17680,0,0,29,Arsenal,Burnley,Newcastle,Chelsea,Sheffield United,1,1,2.6,1,1,1.7,1,1.8,1.3,1,1,1,2.8,1,1.1,1.5,1.5,1.9,1.8,1.1,1.8,1.6,1.6,1,1,1,1,1.5,2,1.5,1.7,1.5,2.1,1.1,2,2.8,3.2
Sergio,Aguero,FWD,MCI,12000000,5,16,5.3,4.41666666666667E-07,1.33333333333333E-06,0,236581,0,3,0,0,0,3,0,1.3,11795,0,0,16,0,0.4,0,5.3,0,0,0,0,0,15.7,67669,0,-1,0,0,132,9143,0,0,85,Bournemouth,Brighton,Norwich,Watford,Everton,8,2.6,7,5.3,4.4,3.4,5.2,3.7,5.1,6.2,7.1,8,5.3,5.5,7.3,3.2,6.2,4.2,4.4,6.2,5.2,4.2,7.5,4.2,6,2.8,5.5,6.7,7.1,4.1,6.2,4.7,7.9,4.5,8,7.3,14.4
Albian,Ajeti,FWD,WHU,5900000,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,0,180,-1,1,0,1,0,0,0,0,0,0,0,0,0.1,636,0,-1,0,0,0,48,-1,0,0,Watford,Norwich,Aston Villa,Man Utd,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,5000000,0,3,1,2E-07,6E-07,0,270507,1,4,0,0,0,0,0,0.6,16718,0,0,3,0,0.2,0,1,0,0,0,0,0,14.4,40871,0,-1,0,0,226,3610,0,0,35,Man City,Leicester,Everton,Southampton,West Ham,0.5,0.6,0.9,0.5,0.5,0.5,0.5,0.5,0.5,1.2,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.8,0.5,0.5,0.5,0.6,0.5,0.6,9.9
Marc,Albrighton,MID,LEI,5500000,0,2,1,1.81818181818182E-07,3.63636363636364E-07,0,6504,0,0,0,0,0,0,0,0.4,665,0,0,2,0,0.1,0,0.7,0,0,0,0,0,0.3,2861,0,-1,0,0,24,168,0,0,6,Sheffield United,Bournemouth,Man Utd,Tottenham,Newcastle,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.9,0.5,0.5,4.1
Toby,Alderweireld,DEF,TOT,5500000,0,3,1.5,2.72727272727273E-07,5.45454545454545E-07,0,97927,0,3,0,0,0,0,0,0.5,6281,0,0,3,0,0.2,0,1,0,0,0,0,0,7,45040,0,-1,0,0,180,3852,0,0,33,Newcastle,Arsenal,Crystal Palace,Leicester,Southampton,1.8,0.8,1.4,0.8,1.1,0.9,0.8,0.8,0.8,1.2,0.8,0.8,0.8,1.5,0.9,1.3,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,1.3,0.8,1.2,0.8,0.8,2,0.8,0.8,1.8,1.2,0.8,8.3
Trent,Alexander-Arnold,DEF,LIV,7000000,5,11,3.7,5.28571428571429E-07,1.57142857142857E-06,0,214962,1,3,0,0,0,0,0,1.6,12876,0,0,11,0,0.5,0,3.7,0,0,0,0,2,22.6,157044,0,-1,0,0,270,27763,0,0,60,Arsenal,Burnley,Newcastle,Chelsea,Sheffield United,2.4,1.8,4.8,2.3,2.1,4.3,2.1,4.4,3.4,2.4,2.4,2.5,5.6,2.8,3.1,3.8,3.8,4.6,4.5,3,4.5,4.2,4.1,1.8,2.4,2.6,2.7,3.8,4.8,3.9,4.2,4,5,3.1,4.7,5.2,30
,Alisson,GLK,LIV,5800000,0,1,0.5,8.62068965517241E-08,1.72413793103448E-07,0,1262701,0,0,0,2,0,0,0,0.2,22691,-2,1,1,2,0.1,0,0.3,0,0,0,0,0,8.7,6369,0,-1,0,0,38,549,-1,0,7,Arsenal,Burnley,Newcastle,Chelsea,Sheffield United,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.6
Bamidele,Alli,MID,TOT,8400000,0,0,0,0,0,0,19921,0,0,0,0,0,0,0,0,545,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,771,0,-1,0,0,0,161,0,0,0,Newcastle,Arsenal,Crystal Palace,Leicester,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel,Almiron,MID,NEW,6000000,0,3,1.5,2.5E-07,5E-07,0,20294,1,4,0,0,0,0,0,0.5,1369,0,0,3,0,0.2,0,1,0,0,0,0,0,0.7,10990,0,-1,0,0,180,444,0,0,9,Tottenham,Watford,Liverpool,Brighton,Leicester,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.1,0.8,0.8,0.8,1,0.8,0.8,1,0.8,0.9,0.8,1.1,0.8,0.8,0.8,0.9,0.8,1.4,0.8,1.5,0.8,1.2,0.8,0.8,1.1,0.8,1.2,0.8,4.7
Marcos,Alonso,DEF,CHE,6300000,1,1,0.5,7.93650793650794E-08,1.58730158730159E-07,0,128840,0,0,0,0,0,0,0,0.2,8318,-2,0,1,2,0,0,0.3,0,0,0,0,0,2.9,9041,0,-1,0,0,1,484,0,0,2,Norwich,Sheffield United,Wolverhampton,Liverpool,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4
Ibrahim,Amadou,MID,NOR,4500000,0,0,0,0,0,0,1104,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1845,0,-1,0,0,0,252,0,0,0,Chelsea,West Ham,Man City,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Amartey,MID,LEI,4500000,0,0,0,0,0,0,5519,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3463,0,-1,0,0,0,150,0,0,0,Sheffield United,Bournemouth,Man Utd,Tottenham,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke,Amos,MID,TOT,4500000,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,-1,0,0,0,16,0,0,0,Newcastle,Arsenal,Crystal Palace,Leicester,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan,Ampadu,MID,CHE,4500000,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,-1,0,0,0,16,0,0,0,Norwich,Sheffield United,Wolverhampton,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,-2,5,2.5,5E-07,1E-06,0,76880,0,2,0,0,0,1,0,1,19777,0,0,5,0,0.3,0,1.7,1,0,0,0,0,2.2,157610,0,-1,0,0,71,3197,0,1,20,Southampton,Man City,Burnley,Newcastle,Chelsea,0,0,0,3.6,2.8,2.4,2,1.2,3,1.7,1.2,2,2.5,1.2,1.5,1.2,3.1,1.3,2.8,1.2,1.2,3,3.8,1.9,1.2,1.5,2,1.2,1.9,1.7,2.8,1.2,1.2,2,1.7,1.6,7.5
,Andre Gomes,MID,EVE,5400000,1,4,1.3,2.40740740740741E-07,7.40740740740741E-07,0,29049,2,2,0,0,0,0,0,0.7,1824,-1,0,4,1,0.2,0,1.3,0,0,1,0,0,0.8,6018,0,-1,0,0,225,472,0,0,20,Aston Villa,Wolverhampton,Bournemouth,Sheffield United,Man City,0.6,1,0.6,1.6,0.6,0.6,0.6,0.6,0.7,0.6,1,0.6,0.6,1,0.6,0.6,1.6,0.6,0.6,0.6,0.6,0.9,0.6,1.2,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.9,6.7
,Angelino,DEF,MCI,4900000,0,0,0,0,0,0,6754,0,0,0,0,0,0,0,0,359,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,1161,0,-1,0,0,0,85,0,0,0,Bournemouth,Brighton,Norwich,Watford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail,Antonio,MID,WHU,7000000,4,6,3,4.28571428571429E-07,8.57142857142857E-07,0,23784,0,2,0,0,0,0,0,0.9,1230,0,0,6,0,0.3,0,2,0,0,0,0,1,1.3,4377,0,-1,0,0,125,341,0,0,10,Watford,Norwich,Aston Villa,Man Utd,Bournemouth,3.5,2,2,1.6,3.7,2.3,2.1,3.3,1.7,2.5,1.5,1.9,3.4,1.5,2.3,1.5,2.3,1.5,1.7,3.3,2.1,2.2,1.5,2.7,1.7,1.8,3.1,1.8,2.1,1.9,4,3.2,1.8,1.9,1.6,1.5,16.2
Stuart,Armstrong,MID,SOU,5400000,1,2,1,1.85185185185185E-07,3.7037037037037E-07,0,3194,0,1,0,0,0,0,0,0.4,236,-1,0,2,1,0.1,0,0.7,0,0,0,0,0,0.1,509,0,-1,0,0,28,40,0,0,4,Brighton,Man Utd,Sheffield United,Bournemouth,Tottenham,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.6,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.1,2.1
Marko,Arnautovic,FWD,WHU,7000000,0,0,0,0,0,0,4930,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0.1,227,0,-1,0,0,0,23,0,0,0,Watford,Norwich,Aston Villa,Man Utd,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Atsu,MID,NEW,5400000,0,0,0,0,0,0,4650,0,0,0,0,0,0,0,0,225,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,607,0,-1,0,0,0,5,0,0,0,Tottenham,Watford,Liverpool,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,FWD,ARS,11000000,5,17,5.7,5.18181818181818E-07,1.54545454545455E-06,0,396908,1,4,0,0,0,2,0,1.5,27056,0,0,17,0,0.5,0,5.7,1,0,1,0,1,24.7,244723,0,-1,0,0,270,9762,0,0,67,Liverpool,Tottenham,Watford,Aston Villa,Man Utd,6.6,7.3,8.3,5,5.8,5.8,4.4,6.6,4.6,6.4,6.5,7.2,3.6,8.6,4.3,4.6,8.5,8.3,6.9,5.4,5.5,7.3,5.6,5.9,5.7,8.6,5.4,8.4,6.5,8.5,6.6,4.4,7.8,5.4,6.5,6.5,27.1
Serge,Aurier,DEF,TOT,5000000,0,0,0,0,0,0,8159,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3754,0,-1,0,0,0,413,0,0,0,Newcastle,Arsenal,Crystal Palace,Leicester,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Austin,FWD,SOU,6000000,0,0,0,0,0,0,6232,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0.1,118,0,-1,0,0,0,15,0,0,0,Brighton,Man Utd,Sheffield United,Bournemouth,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Ayew,FWD,CRY,5000000,9,11,5.5,1.1E-06,2.2E-06,0,77009,0,0,0,0,0,1,0,2.2,7321,0,0,11,0,0.7,0,3.7,3,0,2,0,0,3.2,82560,0,-1,0,0,138,28538,0,0,37,Man Utd,Aston Villa,Tottenham,Wolverhampton,Norwich,3,6.9,4.9,6.6,8.2,7.3,6.2,4.7,6.4,4.4,7.3,2.9,7.6,5.5,5.6,6.3,7.3,3.6,4.3,5.8,6.2,8.2,7.4,2.8,7.8,5.6,8.2,5.7,3.6,8.2,3.5,8.2,3.6,8.2,3.6,8.2,9.5
Cesar,Azpilicueta,DEF,CHE,6000000,4,6,2,3.33333333333333E-07,1E-06,0,106973,0,7,0,0,0,0,0,1,5635,0,0,6,0,0.3,0,2,0,0,0,0,1,7.1,28337,0,-1,0,0,270,3555,0,0,47,Norwich,Sheffield United,Wolverhampton,Liverpool,Brighton,1,2.1,1.1,1.3,1.1,1,2.8,1,1,2.3,1,1,1.9,1,1.2,1,1.9,1,1.1,2.4,2.3,1,1,2.1,2.1,1,3,1,1,1,1.4,1,1,1.7,1,2.2,17.1
Eric,Bailly,DEF,MUN,5000000,0,0,0,0,0,0,1279,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,-1,0,0,0,12,0,0,0,Crystal Palace,Southampton,Leicester,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leighton,Baines,DEF,EVE,4900000,0,0,0,0,0,0,2639,0,0,0,0,0,0,0,0,178,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,775,0,-1,0,0,0,236,0,0,0,Aston Villa,Wolverhampton,Bournemouth,Sheffield United,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian,Balbuena,DEF,WHU,4500000,0,-1,-0.5,-1.11111111111111E-07,-2.22222222222222E-07,0,7296,1,5,0,0,0,0,0,-0.2,721,0,0,-1,0,-0.1,0,-0.3,0,0,0,0,0,0.4,1466,0,-1,0,0,90,86,0,0,6,Watford,Norwich,Aston Villa,Man Utd,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
George,Baldock,DEF,SHU,4500000,7,14,4.7,1.04444444444444E-06,3.11111111111111E-06,0,2513,1,3,0,0,0,0,0,3.1,350,0,0,14,0,1,0,4.7,3,0,1,0,1,0.2,5766,0,-1,0,0,270,2380,0,0,45,Leicester,Chelsea,Southampton,Everton,Liverpool,6.6,2.4,6.4,3.8,5.1,2.7,4.1,4.1,7,3.1,6.8,4.6,6.6,2.4,6.5,4.3,5.2,4.2,2.4,4.1,3.2,4.2,2.4,4.6,4.3,3.6,5.9,5.4,2.4,6.7,2.4,6.9,7,4.1,7,2.4,12.8
