FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Juan,Mata,MID,MUN,6200000,0,36,1.24137931034483,2.00222469410456E-07,5.80645161290323E-06,0,42873,1,8,0,0,0,0,0,5.8,381,-3,0,36,3,0,0,0.2,2,0,4,0,2,0.4,25196,0,-1,0,1,727,164,0,0,137,Brighton,Bournemouth,Aston Villa,Southampton,Crystal Palace,0,0.6,0.9,0.6,0.7,0.6,0.7,0.6,52.5
Nemanja,Matic,MID,MUN,4800000,3,33,1.13793103448276,2.37068965517241E-07,6.875E-06,0,44459,1,8,0,0,0,0,0,6.9,459,-2,0,33,2,0.8,0,4,2,0,6,0,1,0.4,20574,0,-1,0,0,958,1634,0,0,161,Brighton,Bournemouth,Aston Villa,Southampton,Crystal Palace,0,0.6,0.8,0.6,0.6,0.6,0.6,0.6,41.2
Joel,Matip,DEF,LIV,5200000,0,33,1.13793103448276,2.18832891246684E-07,6.34615384615385E-06,0,493439,0,5,0,0,0,1,0,6.3,235,-3,0,33,3,0,0,0.2,4,0,2,0,0,1.1,446327,0,-1,0,0,631,78,0,0,143,Crystal Palace,Man City,Aston Villa,Brighton,Burnley,0.7,0.6,1.1,0.6,0.6,0.6,0.6,0.7,25
,Matthew Longstaff,MID,NEW,4500000,0,25,0.862068965517241,1.91570881226054E-07,5.55555555555556E-06,0,38795,1,9,0,0,0,2,0,5.6,263,0,0,25,0,0,0,0,2,0,1,0,0,0.2,47825,0,-1,0,1,544,59,0,0,98,Bournemouth,West Ham,Watford,Tottenham,Brighton,0,0.4,0.4,0,0.4,0.4,0.4,0.4,18.2
Neal,Maupay,FWD,BHA,5700000,2,101,3.6,6.31578947368421E-07,1.7719298245614E-05,0,440223,3,28,0,0,0,8,0,17.7,5290,-3,1,101,3,0.8,0,4.3,15,0,6,0,2,1.7,516368,0,-1,0,1,2109,2397,-1,0,277,Man Utd,Norwich,Liverpool,Man City,Southampton,0,4.5,3.9,3.3,4.2,4.4,3.8,3.3,191.7
Konstantinos,Mavropanos,DEF,ARS,4400000,0,0,0,0,0,0,4916,0,0,0,0,0,0,0,0,15,-1,0,0,1,0,0,0,0,0,0,0,0,0,1109,0,-1,0,0,0,6,0,0,0,Norwich,Wolverhampton,Leicester,Tottenham,Liverpool,0,0,0,0,0,0,0,0,0
James,McArthur,MID,CRY,5200000,6,75,2.7,5.19230769230769E-07,1.44230769230769E-05,0,118825,5,25,0,0,0,0,0,14.4,382,-3,0,75,3,0.7,0,3.7,2,0,10,0,4,0.6,43910,0,-1,0,0,2426,1400,0,0,344,Liverpool,Burnley,Leicester,Chelsea,Aston Villa,1.4,2.7,1.6,2,1.6,2.6,2.2,2.1,118.3
Oliver,McBurnie,FWD,SHU,5700000,2,58,2.2,3.85964912280702E-07,1.01754385964912E-05,0,38012,3,15,0,0,0,4,0,10.2,1304,-3,0,58,3,0.4,0,2,4,0,7,0,0,0.2,40812,0,-1,0,0,1428,147,0,0,195,Tottenham,Burnley,Wolverhampton,Chelsea,Leicester,0,2.2,1.6,1.7,1.9,1.4,2.1,2.3,103.3
Alex,McCarthy,GLK,SOU,4500000,12,68,3.6,8E-07,1.51111111111111E-05,0,116348,0,27,0,58,0,0,0,15.1,2222,0,0,68,0,1.3,0,5.8,5,0,4,0,0,4.6,401820,0,-1,1,1,1710,9411,0,0,338,Watford,Man City,Everton,Man Utd,Brighton,0,3.5,3.3,4,3.5,3.8,3.6,3.3,48.4
James,McCarthy,MID,CRY,4300000,3,31,1.06896551724138,2.485966319166E-07,7.2093023255814E-06,0,73231,6,16,0,0,0,0,0,7.2,1112,-2,0,31,2,0.5,0,2,0,0,2,0,0,0.8,78351,0,-1,0,0,1170,2573,0,0,151,Liverpool,Burnley,Leicester,Chelsea,Aston Villa,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.5,45.6
