FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,0,2,0.5,1.13636363636364E-07,4.54545454545455E-07,0,102518,2,10,0,0,0,0,0,0.5,3060,-1,1,2,1,0,0,0.2,0,0,0,0,0,1.6,24994,0,-1,0,0,360,37,-1,0,40,Burnley,Crystal Palace,Aston Villa,Bournemouth,Man Utd,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,12.8
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,3231,0,0,0,0,0,0,0,0,70,-1,0,0,1,0,0,0,0,0,0,0,0,0,1258,0,-1,0,0,0,4,0,0,0,Brighton,Leicester,Man Utd,Chelsea,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7400000,0,42,8.4,1.13513513513514E-06,5.67567567567568E-06,0,256543,2,7,0,0,0,7,0,5.7,3420,4,-1,42,-4,1.4,0,10,9,0,0,0,0,26.6,1789173,1,-1,0,3,327,99289,1,0,180,Liverpool,Brighton,Southampton,Newcastle,Burnley,11.2,10.8,12,9.7,10.8,11,12.6,10.8,11.1,12.6,9.2,11.6,10.7,10.6,11,11.6,11.6,11.2,11.4,10.1,12.5,11.7,10.8,12.6,9.4,11.5,11.3,11.4,9.3,9.5,12.6,11.2,11.3,50.7
,Adam Smith,DEF,BOU,4400000,0,5,1.2,2.72727272727273E-07,1.13636363636364E-06,0,58331,1,7,0,0,0,0,0,1.1,2059,-1,0,5,1,0.1,0,0.5,0,0,0,0,0,0.7,9097,0,-1,0,0,310,5,0,0,39,Southampton,West Ham,Arsenal,Norwich,Watford,0,0,0,0,0,0.8,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.4,0.6,0.6,0.6,0.6,1.1,0.6,0.8,0.6,0.7,0.8,0.6,0.6,0.6,9.9
Che,Adams,FWD,SOU,5700000,5,15,2.5,4.3859649122807E-07,2.63157894736842E-06,0,60304,0,6,0,0,0,0,0,2.6,818,-3,0,15,3,0.5,0,2.8,0,0,2,0,1,0.6,19761,0,-1,0,0,445,663,0,0,26,Bournemouth,Tottenham,Chelsea,Wolverhampton,Leicester,1.9,2.3,2.8,2.3,1.9,2.1,2.6,2.6,3,3.6,2.2,1.6,1.8,3.3,2.5,1.9,1.9,1.7,1.7,2.3,1.6,2.5,2.4,1.2,3,2,3.6,1.6,1.7,1.9,1.4,2.4,1.2,25.3
,Adrian,GLK,LIV,4600000,0,14,2.8,6.08695652173913E-07,3.04347826086957E-06,0,139999,0,4,0,9,0,0,0,3,3069,1,0,14,-1,0.5,0,2.5,0,0,1,0,0,6.3,475203,0,-1,0,0,411,5859,0,0,61,Chelsea,Sheffield United,Leicester,Man Utd,Tottenham,2,2.7,2.9,2.2,2.5,3,1.6,2.2,2,4,1.6,2.3,2.7,2.4,2.2,2.3,2.4,2.8,2.4,2.1,1.5,2.3,2.5,1.5,2.5,3.6,1.7,4.1,2.6,1.7,2,2,3.6,5.8
Sergio,Aguero,FWD,MCI,12200000,9,55,9.2,7.54098360655738E-07,4.50819672131148E-06,0,349268,0,6,0,0,0,8,0,4.5,6092,2,-1,55,-2,0.9,0,11,6,0,2,0,2,28.4,943733,0,-1,0,3,446,33491,1,0,237,Watford,Everton,Wolverhampton,Crystal Palace,Aston Villa,12.4,10.2,12.3,10.3,13.8,11.5,12.4,12.7,12.8,11.9,13.6,12.1,13.4,12.2,10.8,13.8,10.4,13.8,11,11.8,12.1,11.2,12.4,11.1,12.6,11.9,12.1,13.3,10.9,12.9,12.6,12.1,13.8,77.9
Albian,Ajeti,FWD,WHU,5800000,0,0,0,0,0,0,3305,0,0,0,0,0,0,0,0,39,-2,0,0,2,0,0,0,0,0,0,0,0,0,1069,0,-1,0,0,0,25,0,0,0,Man Utd,Bournemouth,Crystal Palace,Everton,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4900000,8,15,2.5,5.10204081632653E-07,3.06122448979592E-06,0,480225,1,10,0,0,0,1,0,3.1,2612,-1,0,15,1,0.6,0,3,0,0,0,0,0,11.7,101062,0,-1,0,0,540,9561,0,0,100,Southampton,West Ham,Arsenal,Norwich,Watford,2.4,2,1.5,2.3,2,2.5,3,1.9,1.9,1.7,1.6,1.5,1.5,1.6,2.1,2.1,2.1,1.2,1.8,3.7,2.1,1.3,1.8,1.7,3.2,1.9,2.4,1.7,2.2,2.6,1.3,1.9,2,28.2
Marc,Albrighton,MID,LEI,5400000,0,3,0.6,1.11111111111111E-07,5.55555555555556E-07,0,12143,1,1,0,0,0,0,0,0.6,256,-1,0,3,1,0,0,0.2,0,0,0,0,0,0.2,4237,0,-1,0,0,87,61,0,0,10,Tottenham,Newcastle,Liverpool,Burnley,Southampton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,7.7
