FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,1,18,1.4,3.18181818181818E-07,4.09090909090909E-06,0,139478,4,28,0,0,0,0,0,4.1,617,-1,0,18,1,0.5,0,2,0,0,2,0,0,1.1,34807,0,-1,0,0,1170,325,0,0,156,Southampton,Sheffield United,Leicester,Wolverhampton,Aston Villa,0.8,0.8,0.7,0.7,0.9,1.3,1.2,0.7,0.8,0.8,1,0.8,0.7,0.8,0.7,0.7,1.3,0.7,1,0.8,1.2,0.7,0.8,0.7,43.5
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,4075,0,0,0,0,0,0,0,0,19,-1,0,0,1,0,0,0,0,0,0,0,0,0,1339,0,-1,0,0,0,0,0,0,0,Sheffield United,Southampton,Burnley,Crystal Palace,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7900000,12,95,6.8,8.60759493670886E-07,1.20253164556962E-05,0,2112906,2,14,0,0,0,11,0,12,30627,9,0,95,-9,0.7,0,5.5,19,0,4,0,3,32.4,3995864,1,-1,0,4,1041,139600,0,0,321,Aston Villa,Everton,Bournemouth,Tottenham,Southampton,0,8.3,9.6,8.3,8.7,8.2,8.3,9.8,7.4,10,7.1,10.2,9.9,8.3,9.8,8,9.4,8.6,9.2,8.5,7.3,9.7,8.3,8.6,124.2
,Adam Smith,DEF,BOU,4300000,2,32,3.2,7.44186046511628E-07,7.44186046511628E-06,0,98179,2,12,0,0,0,0,0,7.4,1913,-2,0,32,2,0.2,0,1,3,0,3,0,1,0.9,58721,0,-1,0,1,837,138,0,0,163,Crystal Palace,Liverpool,Chelsea,Burnley,Arsenal,0,3.1,2.4,3,3.1,2.6,3.4,3.4,2.5,3.5,4.6,2.6,2.1,3,2.7,4,2.5,4.6,2.2,4.2,3,2.5,2.7,3.4,27.6
Che,Adams,FWD,SOU,5400000,1,19,1.9,3.51851851851852E-07,3.51851851851852E-06,0,86650,0,7,0,0,0,0,0,3.5,301,-6,0,19,6,0.1,0,0.5,0,0,2,0,1,0.4,27375,0,-1,0,0,478,80,0,0,32,Norwich,Newcastle,West Ham,Aston Villa,Chelsea,1.8,1.2,1.2,1.3,1.6,1.2,1.6,1.1,1,1.4,1.4,1.3,1.5,1.4,1.2,1.9,1.6,1.7,1.3,1.5,1.4,1.3,1.4,1,25.9
,Adrian,GLK,LIV,4200000,1,25,2.5,5.95238095238095E-07,5.95238095238095E-06,0,513201,1,9,0,16,0,0,0,6,3858,-3,0,25,3,0.1,0,0.5,0,0,2,0,0,2.9,603184,0,-1,0,0,783,2073,0,0,123,Everton,Bournemouth,Watford,Leicester,Wolverhampton,2.9,1.6,2.2,0,1.7,1.7,1.8,2.4,2.4,1.8,1.7,1.9,2.6,2.3,1.9,2.5,2.6,1.8,3.2,1.9,1.9,1.5,1.9,2.6,11.4
Sergio,Aguero,FWD,MCI,11800000,0,72,6,5.08474576271186E-07,6.10169491525424E-06,0,1934133,0,13,0,0,0,9,0,6.1,33143,-2,0,72,2,0.1,0,1,6,0,2,0,3,11.6,1342612,0,-1,0,2,810,106,0,0,287,Burnley,Man Utd,Arsenal,Leicester,Wolverhampton,0,0,0,0,0,6.2,8.5,6.9,7.9,6.2,7.5,7.8,6,8.7,7.1,8.2,7.7,7.2,8.5,7.8,7.1,8,8,8.5,109.7
Albian,Ajeti,FWD,WHU,5800000,1,5,0.357142857142857,6.1576354679803E-08,8.62068965517241E-07,0,4306,0,3,0,0,0,0,0,0.9,25,-2,0,5,2,0.1,0,0.5,0,0,0,0,0,0,1763,0,-1,0,0,101,26,0,0,8,Wolverhampton,Arsenal,Southampton,Crystal Palace,Leicester,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.1
Nathan,Ake,DEF,BOU,5100000,2,49,3.3,6.47058823529412E-07,9.6078431372549E-06,0,751174,1,21,0,0,0,1,0,9.6,17919,1,0,49,-1,0.2,0,1.2,5,0,3,0,1,13.5,498006,0,-1,0,0,1350,2679,0,0,285,Crystal Palace,Liverpool,Chelsea,Burnley,Arsenal,3.5,3.3,2.5,3.2,3.3,2.7,3.5,3.5,2.6,3.7,4.8,2.7,2.2,3.2,2.9,4.1,2.6,4.8,2.3,4.3,3.2,2.6,2.9,3.5,57.9
Marc,Albrighton,MID,LEI,5200000,0,10,0.714285714285714,1.37362637362637E-07,1.92307692307692E-06,0,18642,1,2,0,0,0,0,0,1.9,142,-3,0,10,3,0,0,0.2,0,0,0,0,1,0.2,7683,0,-1,0,0,190,30,0,0,52,Watford,Aston Villa,Norwich,Man City,Liverpool,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,17.8
