FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4300000,0,58,2.1,4.88372093023256E-07,1.34883720930233E-05,0,169016,6,48,0,0,0,0,0,13.5,21,-2,0,58,2,0,0,0,3,0,5,0,2,1.3,77068,0,-1,0,1,2430,34,0,0,384,Chelsea,,,,,1.4,95
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4459,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,1552,0,-1,0,0,0,0,0,0,0,Tottenham,,,,,0,0
Tammy,Abraham,FWD,CHE,7500000,0,131,5.2,6.93333333333333E-07,1.74666666666667E-05,0,4828508,2,27,0,0,0,13,0,17.5,115,5,0,131,-5,0,0,0,20,0,7,0,5,14.7,5410518,1,-1,0,4,1930,349,0,0,396,Norwich,,,,,0,191.5
,Adam Smith,DEF,BOU,4300000,0,39,2.2,5.11627906976744E-07,9.06976744186047E-06,0,135423,6,27,0,0,0,0,0,9.1,4,-2,0,39,2,0,0,0,3,0,3,0,1,0.4,62088,0,-1,0,1,1557,0,0,0,231,Man City,,,,,1.4,47.3
Che,Adams,FWD,SOU,5300000,0,39,1.3448275862069,2.53741054001301E-07,7.35849056603774E-06,0,93803,0,12,0,0,0,0,0,7.4,4,-7,0,39,7,0,0,0,0,0,3,0,3,0.3,31669,0,-1,0,0,718,4,0,0,95,Brighton,,,,,0.8,40.9
,Adrian,GLK,LIV,4000000,0,27,0.931034482758621,2.32758620689655E-07,6.75E-06,0,613778,1,10,0,18,0,0,0,6.8,50,-5,0,27,5,0,0,0,0,0,2,0,0,2.1,653208,0,-1,0,0,873,31,0,0,136,Arsenal,,,,,0.5,13.2
Sergio,Aguero,FWD,MCI,11800000,0,124,5.6,4.74576271186441E-07,1.05084745762712E-05,0,2955924,1,18,0,0,0,16,0,10.5,268,-2,0,124,2,0,1,0,14,0,5,0,4,17.5,2790032,0,-1,0,4,1394,452,0,0,490,Bournemouth,,,,,8,202.5
Albian,Ajeti,FWD,WHU,5600000,0,8,1,1.78571428571429E-07,1.42857142857143E-06,0,5326,0,3,0,0,0,0,0,1.4,0,-4,0,8,4,0,0,0,0,0,0,0,0,0,2667,0,-1,0,0,128,1,0,0,14,Watford,,,,,0.6,7.3
Nathan,Ake,DEF,BOU,4800000,0,67,2.9,6.04166666666667E-07,1.39583333333333E-05,0,1307542,1,33,0,0,0,2,0,14,37,-2,0,67,2,0,0,0,6,0,3,0,1,6.5,566570,0,-1,0,1,2014,31,0,0,403,Man City,,,,,2.2,93.3
Marc,Albrighton,MID,LEI,5100000,0,27,0.931034482758621,1.82555780933063E-07,5.29411764705882E-06,0,21808,1,7,0,0,0,0,0,5.3,2,-4,0,27,4,0,0,0,1,0,1,0,3,0.2,9960,0,-1,0,0,476,2,0,0,121,Sheffield United,,,,,0.6,35.5
