FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,1,17,1.4,3.18181818181818E-07,3.86363636363636E-06,0,137834,4,26,0,0,0,0,0,3.9,209,-1,0,17,1,0.5,0,2,0,0,2,0,0,1.1,33781,0,-1,0,0,1080,122,0,0,143,Arsenal,Southampton,Sheffield United,Leicester,Wolverhampton,0.8,0.8,0.7,0.7,0.7,0.9,1.2,1.2,0.7,0.8,0.8,0.9,0.9,0.7,0.9,0.7,0.7,1.3,0.7,0.9,0.8,1.2,0.7,0.8,0.7,31
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,4029,0,0,0,0,0,0,0,0,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,1335,0,-1,0,0,0,1,0,0,0,Man City,Sheffield United,Southampton,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7900000,0,83,6.4,8.10126582278481E-07,1.05063291139241E-05,0,1745107,2,13,0,0,0,10,0,10.5,155030,9,0,83,-9,0.7,0,5.5,16,0,4,0,2,35.4,3842402,1,-1,0,4,959,3126,0,0,283,West Ham,Aston Villa,Everton,Bournemouth,Tottenham,0,0,0,9.1,7.5,8.4,7.3,7,9.4,6.3,9.6,6.3,9.6,9.5,7.2,9.5,7,9,7.1,8.9,7.2,6.1,9.3,7.1,8.4,109.4
,Adam Smith,DEF,BOU,4300000,0,30,3.3,7.67441860465116E-07,6.97674418604651E-06,0,91298,2,11,0,0,0,0,0,7,1545,-2,0,30,2,0.8,0,3.5,3,0,3,0,1,1,58363,0,-1,0,1,747,156,0,0,147,Tottenham,Crystal Palace,Liverpool,Chelsea,Burnley,0,3.3,3.4,2.4,3.3,3.2,2.6,3.3,3.5,2.7,3.6,4.9,2.7,2,3.4,3,4.2,2.6,4.7,2.5,4.2,3.4,2.7,2.9,3.6,25.1
Che,Adams,FWD,SOU,5400000,0,18,2,3.7037037037037E-07,3.33333333333333E-06,0,85714,0,7,0,0,0,0,0,3.3,167,-6,0,18,6,0.1,0,0.5,0,0,2,0,1,0.4,27158,0,-1,0,0,465,77,0,0,31,Watford,Norwich,Newcastle,West Ham,Aston Villa,1.3,1.8,1.3,1.3,1.5,1.6,1.4,1.7,1.3,1.1,1.5,1.5,1.4,1.6,1.5,1.2,2.1,1.6,1.9,1.3,1.7,1.6,1.3,1.5,1,25.6
,Adrian,GLK,LIV,4200000,1,24,2.7,6.42857142857143E-07,5.71428571428571E-06,0,506525,1,7,0,14,0,0,0,5.7,1157,-3,0,24,3,0,0,0.2,0,0,2,0,0,2.7,585054,0,-1,0,0,693,4553,0,0,110,Brighton,Everton,Bournemouth,Watford,Leicester,2.5,3.3,1.8,2.4,0,2,2,2,2.6,3,2,1.9,2.2,3,2.5,2.1,2.8,3,2.2,3.6,2.1,2.2,1.6,2.4,2.9,9.8
Sergio,Aguero,FWD,MCI,11800000,0,72,6,5.08474576271186E-07,6.10169491525424E-06,0,1827067,0,13,0,0,0,9,0,6.1,33583,-2,0,72,2,0.2,0,2.5,6,0,2,0,3,13.1,1342381,0,-1,0,2,810,91,0,0,287,Newcastle,Burnley,Man Utd,Arsenal,Leicester,0,0,0,0,0,7.2,6,8.5,7,8.1,6.2,7.6,7.9,6.3,8.7,7.1,8.3,7.5,7,8.7,7.6,7,7.9,8.1,8.3,109.7
Albian,Ajeti,FWD,WHU,5800000,0,4,0.307692307692308,5.30503978779841E-08,6.89655172413793E-07,0,4237,0,2,0,0,0,0,0,0.7,12,-2,0,4,2,0.1,0,0.5,0,0,0,0,0,0,1699,0,-1,0,0,91,10,0,0,6,Chelsea,Wolverhampton,Arsenal,Southampton,Crystal Palace,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.1
Nathan,Ake,DEF,BOU,5100000,1,47,3.4,6.66666666666667E-07,9.2156862745098E-06,0,705807,1,20,0,0,0,1,0,9.2,7391,1,0,47,-1,0.4,0,2.2,5,0,3,0,1,14,490344,0,-1,0,0,1260,1342,0,0,273,Tottenham,Crystal Palace,Liverpool,Chelsea,Burnley,3.4,3.4,3.6,2.5,3.4,3.4,2.7,3.5,3.7,2.9,3.7,5,2.8,2.1,3.6,3.2,4.4,2.7,4.9,2.7,4.4,3.6,2.9,3,3.7,54.7
Marc,Albrighton,MID,LEI,5200000,0,9,0.692307692307692,1.33136094674556E-07,1.73076923076923E-06,0,18250,1,2,0,0,0,0,0,1.7,50,-3,0,9,3,0,0,0,0,0,0,0,1,0.2,7554,0,-1,0,0,182,29,0,0,49,Everton,Watford,Aston Villa,Norwich,Man City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,17.7
