FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4300000,6,43,1.9,4.41860465116279E-07,1E-05,0,159930,5,43,0,0,0,0,0,10,221,-2,0,43,2,0.9,0,4,1,0,4,0,1,1.1,52331,0,-1,0,0,2070,663,0,0,327,Newcastle,Liverpool,Wolverhampton,Leicester,Sheffield United,1.4,1.5,1,1.4,1.1,1.1,2,1,1.7,1,2,1.2,1.4,1,82.6
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4348,0,0,0,0,0,0,0,0,13,-2,0,0,2,0,0,0,0,0,0,0,0,0,1535,0,-1,0,0,0,0,0,0,0,Norwich,Arsenal,Crystal Palace,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7700000,2,130,5.4,7.01298701298701E-07,1.68831168831169E-05,0,4070049,2,26,0,0,0,13,0,16.9,22179,7,0,130,-7,0.5,0,3.8,20,0,7,0,5,23.3,5294410,1,-1,0,4,1911,9815,0,0,395,Leicester,Man Utd,Tottenham,Bournemouth,Everton,5.9,7.9,7.6,6.6,7.1,6.5,7,6.6,7.1,6.6,5.2,7.8,5.5,6.8,187.7
,Adam Smith,DEF,BOU,4300000,2,37,2.6,6.04651162790698E-07,8.6046511627907E-06,0,133164,4,18,0,0,0,0,0,8.6,63,-2,0,37,2,0.3,0,1.2,3,0,3,0,1,0.4,60649,0,-1,0,1,1197,61,0,0,205,Aston Villa,Sheffield United,Burnley,Chelsea,Liverpool,3.6,2,1.6,2.4,2.1,2.7,1.8,3.3,1.7,3.1,2.2,1.9,1.8,2.2,38.1
Che,Adams,FWD,SOU,5300000,1,33,1.375,2.59433962264151E-07,6.22641509433962E-06,0,92290,0,11,0,0,0,0,0,6.2,82,-7,0,33,7,0.3,0,1.8,0,0,3,0,2,0.3,30420,0,-1,0,0,684,89,0,0,74,Liverpool,Burnley,Aston Villa,West Ham,Newcastle,0.7,0.7,0.9,0.9,0.7,1.1,0.7,0.9,0.7,0.7,0.8,0.8,0.9,0.7,35.1
,Adrian,GLK,LIV,4100000,0,25,1.04166666666667,2.54065040650407E-07,6.09756097560976E-06,0,600805,1,9,0,16,0,0,0,6.1,885,-4,0,25,4,0,0,0,0,0,2,0,0,1.9,624400,0,-1,0,0,783,188,0,0,123,Southampton,Norwich,West Ham,Watford,Bournemouth,0.5,0.5,0.7,0.5,0.5,0.5,0.6,0.5,0.9,0.5,0.5,0.5,0.5,0.6,11.3
Sergio,Aguero,FWD,MCI,12000000,0,119,6.6,5.5E-07,9.91666666666667E-06,0,2216050,1,16,0,0,0,16,0,9.9,4354,0,0,119,0,0.8,0,9.2,14,0,3,0,4,23.5,2508031,0,-1,0,4,1107,22531,0,0,488,Tottenham,West Ham,Leicester,Man Utd,Burnley,8.6,8.9,8.1,0,8.2,8.8,8.9,7.2,9.6,8.2,8.5,8.9,8.6,9.3,173.8
Albian,Ajeti,FWD,WHU,5700000,0,8,1,1.75438596491228E-07,1.40350877192982E-06,0,5077,0,3,0,0,0,0,0,1.4,27,-3,0,8,3,0,0,0.2,0,0,0,0,0,0,2504,0,-1,0,0,128,8,0,0,14,Brighton,Man City,Liverpool,Southampton,Arsenal,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,7.3
Nathan,Ake,DEF,BOU,4800000,9,64,3.2,6.66666666666667E-07,1.33333333333333E-05,0,1276825,1,27,0,0,0,2,0,13.3,585,-2,0,64,2,0.7,0,3.5,6,0,3,0,1,6.5,531813,0,-1,0,1,1744,4436,0,0,360,Aston Villa,Sheffield United,Burnley,Chelsea,Liverpool,4.7,2.8,2.3,3.3,2.9,3.6,2.5,4.3,2.4,4.2,3,2.6,2.5,3,77.3
Marc,Albrighton,MID,LEI,5100000,0,15,0.625,1.22549019607843E-07,2.94117647058824E-06,0,21221,1,7,0,0,0,0,0,2.9,32,-4,0,15,4,0,0,0,0,0,0,0,1,0.2,8777,0,-1,0,0,352,2,0,0,76,Chelsea,Wolverhampton,Man City,Norwich,Aston Villa,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,25.1
