FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8591,0,0,0,0,0,0,0,0,28,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1292,0,0,0,0,0,8,0,0,0,Man City,Tottenham,Fulham,Wolverhampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,0,50,3.1,7.2093023255814E-07,1.16279069767442E-05,0,80628,2,16,0,0,0,1,0,11.6,1172,-2,0,50,2,0.8,0,3.3,0,0,6,0,0,0.5,68123,0,0,0,0,1325,1273,0,1,249,Liverpool,Wolverhampton,Arsenal,Man City,Huddersfield,2.4,3.8,1.6,3.4,3.3,3.2,2.7,3.4,2.1,3.8,2.2,3.4,2.8,38.1
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,16133,0,0,0,0,0,0,0,0,226,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,3176,0,0,0,0,0,106,0,0,0,Crystal Palace,Fulham,Man City,Newcastle,Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11400000,19,132,6,5.26315789473684E-07,1.15789473684211E-05,0,3449376,4,13,0,0,0,14,0,11.6,97391,4,0,132,-4,0.6,0,6.8,15,0,9,0,8,30.2,3290065,0,0,0,3,1600,159171,0,0,495,Chelsea,West Ham,Bournemouth,Watford,Man Utd,7.5,0,8.4,6.8,8,7.9,7.1,8.6,7.2,6.8,7.3,7.5,7,212.1
Nathan,Ake,DEF,BOU,5000000,1,81,3.2,6.4E-07,1.62E-05,0,272695,2,44,0,0,0,3,0,16.2,16648,0,0,81,0,0.7,0,3.5,6,0,7,0,0,5,310828,0,0,0,0,2241,6463,0,0,460,Liverpool,Wolverhampton,Arsenal,Man City,Huddersfield,2.5,4,1.6,3.6,3.4,3.3,2.8,3.6,2.2,3.9,2.4,3.5,2.9,99.5
Marc,Albrighton,MID,LEI,5100000,0,52,2.08,4.07843137254902E-07,1.01960784313725E-05,0,76683,3,15,0,0,0,2,0,10.2,3479,-4,0,52,4,0.2,0,1,4,0,3,0,2,0.4,39586,0,0,0,0,1300,107,0,0,237,Tottenham,Crystal Palace,Brighton,Watford,Fulham,0,0,0,0,0,1.6,1.7,2,1.6,1.4,1.6,1,1,84.8
Toby,Alderweireld,DEF,TOT,6000000,6,84,3.7,6.16666666666667E-07,1.4E-05,0,197727,2,19,0,0,0,0,0,14,5025,0,0,84,0,0.5,0,2.8,5,0,10,0,0,4.1,223401,0,0,0,1,2060,5137,0,0,483,Leicester,Burnley,Chelsea,Arsenal,Southampton,3.5,3.6,4.8,3.2,4,3.8,4.2,4.3,4.4,3.7,3.7,3,4.9,74.2
Trent,Alexander-Arnold,DEF,LIV,5200000,0,93,5.5,1.05769230769231E-06,1.78846153846154E-05,0,2277459,3,8,0,0,0,1,0,17.9,56592,2,0,93,-2,0.3,0,1.5,8,0,10,0,3,12.7,2078730,0,0,0,4,1502,11813,0,0,383,Bournemouth,Man Utd,Watford,Everton,Burnley,0,6.6,7.5,6.8,7,6,6.9,6.5,7.7,6.8,7.3,6.4,7.5,90.6
,Alisson,GLK,LIV,6000000,2,112,4.5,7.5E-07,1.86666666666667E-05,0,643700,0,15,0,51,0,0,0,18.7,30358,5,0,112,-5,0.5,0,2.8,5,0,13,0,0,24.7,1070117,0,0,0,0,2250,15153,0,0,497,Bournemouth,Man Utd,Watford,Everton,Burnley,5.5,5,5.7,5.6,5.3,4.4,5.2,4.8,6.3,5.5,6,4.8,5.8,44.2
Bamidele,Alli,MID,TOT,8900000,0,73,2.92,3.28089887640449E-07,8.20224719101124E-06,0,626771,2,14,0,0,0,5,0,8.2,5552,-1,0,73,1,0.3,0,2.5,8,0,6,0,2,2.4,468049,0,0,0,1,1193,145,0,0,257,Leicester,Burnley,Chelsea,Arsenal,Southampton,0,0,0,2.6,2.9,2.2,1.9,2.9,2.7,1.7,2.2,2.3,2.2,112
