FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8657,0,0,0,0,0,0,0,0,11,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1330,0,0,0,0,0,6,0,0,0,Everton,Cardiff City,West Ham,Liverpool,Burnley,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,1,54,2.6,6.04651162790698E-07,1.25581395348837E-05,0,87951,4,25,0,0,0,1,0,12.6,4436,-2,0,54,2,0.2,0,1,0,0,6,0,0,0.5,79148,0,0,0,0,1707,294,0,1,287,Newcastle,Leicester,Burnley,Brighton,Fulham,0,2,2.5,1.7,2.9,1.8,2.6,2.1,50.6
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,16926,0,0,0,0,0,0,0,0,166,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,3588,0,0,0,0,0,163,0,0,0,Huddersfield,Everton,Chelsea,Man Utd,Leicester,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11800000,5,165,6.3,5.33898305084746E-07,1.39830508474576E-05,0,3956230,4,14,0,0,0,18,0,13.9,248192,8,1,165,-8,0.4,0,5.3,21,0,12,0,9,32.3,4251109,0,0,0,4,1916,17414,-1,0,608,Fulham,Cardiff City,Crystal Palace,Tottenham,Man Utd,0,7.5,9.1,8,16,7.7,8.5,7.4,252.1
Nathan,Ake,DEF,BOU,5100000,6,92,3.1,6.07843137254902E-07,1.80392156862745E-05,0,311798,2,54,0,0,0,3,0,18,4661,1,-1,92,-1,0.5,0,2.5,6,0,8,0,0,8.2,416745,0,0,0,0,2691,61538,1,0,542,Newcastle,Leicester,Burnley,Brighton,Fulham,3.1,2.6,3.2,2.3,3.8,2.4,3.4,2.8,115.3
Marc,Albrighton,MID,LEI,5100000,0,52,1.73333333333333,3.39869281045752E-07,1.01960784313725E-05,0,82338,3,15,0,0,0,2,0,10.2,392,-4,0,52,4,0,0,0,4,0,3,0,2,0.3,39692,0,0,0,0,1300,13,0,0,237,Burnley,Bournemouth,Huddersfield,Newcastle,West Ham,0,0,0,0,0,1.2,0.9,0.9,84.8
Toby,Alderweireld,DEF,TOT,6000000,0,89,3.3,5.5E-07,1.48333333333333E-05,0,247702,2,25,0,0,0,0,0,14.8,13065,0,0,89,0,0.2,0,1,5,0,10,0,0,3.4,244801,0,0,0,1,2349,1128,0,0,531,Liverpool,Brighton,Huddersfield,Man City,West Ham,0,3.3,3.8,3.9,3,3.6,2.5,4.3,83.4
Trent,Alexander-Arnold,DEF,LIV,5600000,2,123,5.9,1.05357142857143E-06,2.19642857142857E-05,0,2331900,3,9,0,0,0,1,0,22.4,17878,6,-1,123,-6,1.3,0,7.3,14,0,12,0,6,21.6,2679126,0,0,0,6,1780,74067,1,0,506,Fulham,Tottenham,Southampton,Chelsea,Cardiff City,6.8,7.9,7,8.5,7.2,8.2,6.3,8.3,122.2
,Alisson,GLK,LIV,6000000,0,143,4.8,8E-07,2.38333333333333E-05,0,734332,1,17,0,62,0,0,0,23.8,21862,5,0,143,-5,1.1,0,6.3,9,0,17,0,0,24,1146678,0,0,0,1,2700,18946,0,0,616,Fulham,Tottenham,Southampton,Chelsea,Cardiff City,5.1,6,5.2,6.9,5.8,6.7,4.7,6.5,55.2
Bamidele,Alli,MID,TOT,8800000,5,78,2.6,2.95454545454545E-07,8.86363636363636E-06,0,633024,2,16,0,0,0,5,0,8.9,649,-2,0,78,2,0.1,0,1.3,8,0,6,0,3,2.3,471366,0,0,0,1,1274,2486,0,0,274,Liverpool,Brighton,Huddersfield,Man City,West Ham,0,1.4,2.5,2.6,1.3,2.1,1.9,1.9,119.4
Miguel,Almiron,MID,NEW,6000000,5,14,0.466666666666667,7.77777777777778E-08,2.33333333333333E-06,0,14686,0,5,0,0,0,0,0,2.3,2010,0,0,14,0,0.6,0,3.3,0,0,2,0,1,1.4,92547,0,0,0,0,357,8227,0,0,45,Bournemouth,Arsenal,Crystal Palace,Leicester,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,29.2
Marcos,Alonso,DEF,CHE,6400000,0,134,5.2,8.125E-07,2.09375E-05,0,1948605,5,24,0,0,0,1,0,20.9,41190,-1,0,134,1,0.5,0,3,19,0,12,0,7,27.5,2211395,0,0,0,3,2309,28663,0,0,588,Everton,Cardiff City,West Ham,Liverpool,Burnley,6.3,6.2,7.1,5.9,6.4,5.9,6.9,6.2,125.6
Daniel,Amartey,MID,LEI,4300000,0,15,0.5,1.16279069767442E-07,3.48837209302326E-06,0,20540,2,9,0,0,0,0,0,3.5,66,-2,0,15,2,0,0,0,0,0,1,0,0,0.2,11363,0,0,0,0,639,16,0,0,103,Burnley,Bournemouth,Huddersfield,Newcastle,West Ham,0,0,0,0,0,0.2,0.2,0.2,20.8
Luke,Amos,MID,TOT,4300000,0,1,0.0333333333333333,7.75193798449612E-09,2.32558139534884E-07,0,14750,0,0,0,0,0,0,0,0.2,174,-2,0,1,2,0,0,0,0,0,0,0,0,0.1,14870,0,0,0,0,2,156,0,0,3,Liverpool,Brighton,Huddersfield,Man City,West Ham,0,0,0,0,0,0,0,0,0.2
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,4067,0,0,0,0,0,0,0,0,27,-1,0,0,1,0,0,0,0,0,0,0,0,0,2284,0,0,0,0,0,35,0,0,0,Everton,Cardiff City,West Ham,Liverpool,Burnley,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,0,32,1.10344827586207,2.20689655172414E-07,6.4E-06,0,40889,2,7,0,0,0,3,0,6.4,1122,0,0,32,0,0.3,0,1.3,2,0,1,0,0,0.2,44478,0,0,0,0,562,105,0,0,86,Southampton,Tottenham,Bournemouth,Wolverhampton,Newcastle,0,0.8,0.6,0.9,0.6,0.7,0.6,0.6,47.5
