FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8619,0,0,0,0,0,0,0,0,28,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1308,0,0,0,0,0,16,0,0,0,Tottenham,Fulham,Wolverhampton,Everton,Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,0,50,2.9,6.74418604651163E-07,1.16279069767442E-05,0,81450,3,19,0,0,0,1,0,11.6,797,-2,0,50,2,0.5,0,2,0,0,6,0,0,0.5,69625,0,0,0,0,1415,1467,0,1,252,Wolverhampton,Arsenal,Man City,Huddersfield,Newcastle,3.5,1.4,3.1,2.9,2.9,2.3,3,1.8,3.4,2,3.1,2.4,43.6
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,16410,0,0,0,0,0,0,0,0,274,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,3262,0,0,0,0,0,86,0,0,0,Fulham,Man City,Newcastle,Cardiff City,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11500000,17,149,6.5,5.65217391304348E-07,1.29565217391304E-05,0,3647653,4,13,0,0,0,17,0,13,194848,5,-1,149,-5,1,0,11.3,18,0,10,0,8,29.7,3534699,0,0,0,4,1664,240592,1,0,561,West Ham,Bournemouth,Watford,Fulham,Cardiff City,0,9.1,7.3,8.9,0,7.7,9.4,8,7.7,8,8.6,7.6,228.4
Nathan,Ake,DEF,BOU,5000000,1,82,3.2,6.4E-07,1.64E-05,0,281751,2,47,0,0,0,3,0,16.4,8745,0,0,82,0,0.5,0,2.7,6,0,7,0,0,5.2,323958,0,0,0,0,2331,13060,0,0,474,Wolverhampton,Arsenal,Man City,Huddersfield,Newcastle,4,1.6,3.6,3.3,3.4,2.7,3.5,2.2,3.9,2.3,3.6,2.8,102.5
Marc,Albrighton,MID,LEI,5100000,0,52,2,3.92156862745098E-07,1.01960784313725E-05,0,79418,3,15,0,0,0,2,0,10.2,2603,-4,0,52,4,0.2,0,1,4,0,3,0,2,0.4,39627,0,0,0,0,1300,40,0,0,237,Crystal Palace,Brighton,Watford,Fulham,Burnley,0,0,0,0,0,1.7,1.9,1.5,1.3,1.4,1,1,84.8
Toby,Alderweireld,DEF,TOT,6000000,1,85,3.5,5.83333333333333E-07,1.41666666666667E-05,0,205191,2,20,0,0,0,0,0,14.2,7356,0,0,85,0,0.5,0,3,5,0,10,0,0,4.3,235552,0,0,0,1,2079,12012,0,0,487,Burnley,Chelsea,Arsenal,Southampton,Liverpool,3.2,4.4,2.9,3.7,0,3.8,3.9,4.1,3.3,3.5,2.7,4.7,74.5
Trent,Alexander-Arnold,DEF,LIV,5200000,1,94,5.2,1E-06,1.80769230769231E-05,0,2293691,3,8,0,0,0,1,0,18.1,15167,2,0,94,-2,0.1,0,0.3,8,0,10,0,3,13.1,2128315,0,0,0,4,1515,49108,0,0,384,Man Utd,Watford,Everton,Burnley,Fulham,6.2,7,6.4,6.3,5.6,6.4,5.9,7.4,6.4,7,5.9,7.1,92.9
,Alisson,GLK,LIV,6000000,6,118,4.5,7.5E-07,1.96666666666667E-05,0,677041,0,15,0,53,0,0,0,19.7,32744,5,0,118,-5,0.6,0,3.3,5,0,14,0,0,24,1078903,0,0,0,0,2340,8352,0,0,521,Man Utd,Watford,Everton,Burnley,Fulham,5.1,5.8,5.5,5.1,4.5,5.2,4.8,6.4,5.6,6,4.8,5.9,46.4
Bamidele,Alli,MID,TOT,8800000,0,73,2.80769230769231,3.19055944055944E-07,8.29545454545455E-06,0,630011,2,14,0,0,0,5,0,8.2,3125,-2,1,73,2,0,0,0,8,0,6,0,2,2.3,468262,0,0,0,1,1193,207,-1,0,257,Burnley,Chelsea,Arsenal,Southampton,Liverpool,0,0,2.4,2.8,0,1.7,2.7,2.6,1.6,2.1,2.1,2.1,112
