FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
,Andre Gomes,MID,EVE,5400000,0,63,1.75,3.24074074074074E-07,1.16666666666667E-05,0,39213,7,27,0,0,0,1,0,11.7,453,-1,0,63,1,0.2,0,1,2,0,9,0,2,0.2,25517,0,0,0,1,1952,18,0,0,267,Burnley,Tottenham,,,,0,0.9,62.8
Michail,Antonio,MID,WHU,6800000,8,102,3.3,4.85294117647059E-07,1.5E-05,0,139809,3,29,0,0,0,6,0,15,941,-2,0,102,2,0.6,0,4,4,0,6,0,5,1.2,121981,0,0,0,0,1913,9863,0,0,257,Southampton,Watford,,,,3.4,2.6,153.2
Stuart,Armstrong,MID,SOU,5100000,1,73,2.02777777777778,3.9760348583878E-07,1.43137254901961E-05,0,83150,2,25,0,0,0,3,0,14.3,327,-4,0,73,4,0.4,0,1.8,3,0,5,0,4,0.2,78794,0,0,0,1,1355,64,0,0,255,West Ham,Huddersfield,,,,1.2,1.9,102
Marko,Arnautovic,FWD,WHU,6700000,5,98,3.8,5.67164179104478E-07,1.46268656716418E-05,0,2664723,3,33,0,0,0,7,0,14.6,3731,-3,0,98,3,0.3,0,2.3,12,0,3,0,5,6.1,1906815,0,0,0,2,1808,12012,0,0,330,Southampton,Watford,,,,4.7,3.9,170.7
Harry,Arter,MID,CAR,4900000,0,48,1.9,3.87755102040816E-07,9.79591836734694E-06,0,13940,10,39,0,0,0,0,0,9.8,96,-1,0,48,1,0,0,0.2,0,0,7,0,1,0.2,4384,0,0,0,0,1999,3,0,0,225,Crystal Palace,Man Utd,,,,0,0,58.9
Christian,Atsu,MID,NEW,5100000,2,42,1.16666666666667,2.28758169934641E-07,8.23529411764706E-06,0,12096,2,15,0,0,0,0,0,8.2,55,-4,0,42,4,0.3,0,1.3,0,0,5,0,0,0.1,5487,0,0,0,0,1326,33,0,0,133,Liverpool,Fulham,,,,0.6,0.6,68.1
Pierre-Emerick,Aubameyang,FWD,ARS,10800000,2,184,5.4,5E-07,1.7037037037037E-05,0,3824558,0,40,0,0,0,19,0,16.9,44312,-2,1,184,2,0.3,1,3.2,27,0,7,0,7,18.1,3758295,0,0,0,4,2542,31023,-1,0,683,Brighton,Burnley,,,,8.1,5.9,260
Serge,Aurier,DEF,TOT,5700000,0,24,0.666666666666667,1.16959064327485E-07,4.21052631578947E-06,0,52257,1,9,0,0,0,0,0,4.2,118,-3,0,24,3,0,0,0,0,0,2,0,2,0.5,18507,0,0,0,0,562,18,0,0,116,Bournemouth,Everton,,,,0,0.4,30.5
Charlie,Austin,FWD,SOU,5500000,1,45,1.25,2.27272727272727E-07,8.18181818181818E-06,0,119352,1,17,0,0,0,2,0,8.2,467,-5,0,45,5,0.1,1,0.4,1,0,5,0,2,0.4,48302,0,0,0,0,956,262,0,0,115,West Ham,Huddersfield,,,,0.7,0.9,67.3
Jordan,Ayew,FWD,CRY,5700000,0,41,2.2,3.85964912280702E-07,7.19298245614035E-06,0,41327,3,12,0,0,0,1,0,7.2,163,-3,0,41,3,0,0,0.2,2,0,5,0,2,0.2,23261,0,0,0,0,1099,245,0,0,100,Cardiff City,Bournemouth,,,,1.8,2,70.7
Floyd,Ayite,MID,FUL,4200000,1,21,0.583333333333333,1.38888888888889E-07,5E-06,0,13066,0,10,0,0,0,1,0,5,106,-3,0,21,3,0.2,0,0.7,0,0,0,0,0,0.1,7691,0,0,0,0,385,113,0,0,73,Wolverhampton,Newcastle,,,,0.3,0.3,22.1
Cesar,Azpilicueta,DEF,CHE,6400000,2,146,4.1,6.40625E-07,2.28125E-05,0,762243,4,39,0,0,0,1,0,22.8,11577,-1,0,146,1,0.5,0,3.4,11,0,14,0,6,9.7,455470,0,0,0,2,3222,4862,0,0,762,Watford,Leicester,,,,5.1,4,157.4
Ryan,Babel,MID,FUL,5500000,9,72,2,3.63636363636364E-07,1.30909090909091E-05,0,43118,3,24,0,0,0,5,0,13.1,5368,0,0,72,0,1.6,0,8.7,8,0,3,0,4,1.3,120530,0,0,0,2,1135,22957,0,0,241,Wolverhampton,Newcastle,,,,1.1,1.8,98.8
Juninho,Bacuna,MID,HUD,4200000,2,35,0.972222222222222,2.31481481481481E-07,8.33333333333333E-06,0,36576,4,35,0,0,0,1,0,8.3,809,-3,0,35,3,0.3,0,1.3,1,0,0,0,0,0.4,48112,0,0,0,1,1255,524,0,0,165,Man Utd,Southampton,,,,0.5,0.5,59.8
Leandro,Bacuna,DEF,CAR,4300000,2,8,0.222222222222222,5.16795865633075E-08,1.86046511627907E-06,0,436,1,11,0,0,0,0,0,1.9,12,-2,0,8,2,0.2,0,1,0,0,0,0,0,0,689,0,0,0,0,385,38,0,0,52,Crystal Palace,Man Utd,,,,0.1,0.1,9.5
Eric,Bailly,DEF,MUN,5000000,2,16,1.3,2.6E-07,3.2E-06,0,192314,0,13,0,0,0,0,0,3.2,237,-5,0,16,5,0.1,0,0.5,0,0,1,0,0,1.3,59373,0,0,0,0,636,22,0,1,109,Huddersfield,Cardiff City,,,,0,0,16.5
Leighton,Baines,DEF,EVE,5000000,0,7,0.194444444444444,3.88888888888889E-08,1.4E-06,0,86155,0,6,0,0,0,0,0,1.4,72,-5,0,7,5,0,0,0,0,0,0,0,0,0.5,18153,0,0,0,0,374,76,0,0,48,Burnley,Tottenham,,,,0.1,0.1,15.4
Tiemoue,Bakayoko,MID,CHE,4900000,0,0,0,0,0,0,11865,0,0,0,0,0,0,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,376,0,0,0,0,0,4,0,0,0,Watford,Leicester,,,,0,0,0
Fabian,Balbuena,DEF,WHU,4200000,6,53,1.47222222222222,3.50529100529101E-07,1.26190476190476E-05,0,128205,2,31,0,0,0,1,0,12.6,165,-3,0,53,3,0.5,0,2.3,3,0,4,0,0,0.3,122481,0,0,0,1,1833,1206,0,0,331,Southampton,Watford,,,,1,0.8,70.9
Sam,Baldock,FWD,BHA,4500000,0,0,0,0,0,0,16934,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1743,0,0,0,0,0,16,0,0,0,Arsenal,Man City,,,,0,0,0
Leon,Balogun,DEF,BHA,4200000,0,15,0.416666666666667,9.92063492063492E-08,3.57142857142857E-06,0,14166,2,10,0,0,0,1,0,3.6,59,-3,0,15,3,0,0,0,0,0,0,0,0,0.1,9547,0,0,0,1,591,21,0,0,86,Arsenal,Man City,,,,0.2,0.2,16.2
Sol,Bamba,DEF,CAR,4400000,0,95,3.4,7.72727272727273E-07,2.15909090909091E-05,0,377011,7,52,0,0,0,4,0,21.6,4780,-1,0,95,1,0,0,0,11,0,7,0,1,1.6,401841,0,0,0,1,2475,74,0,0,459,Crystal Palace,Man Utd,,,,0,0,114.2
Beni,Baningime,MID,EVE,4300000,0,0,0,0,0,0,5143,0,0,0,0,0,0,0,0,24,-2,0,0,2,0,0,0,0,0,0,0,0,0,3594,0,0,0,0,0,9,0,0,0,Burnley,Tottenham,,,,0,0,0
Phil,Bardsley,DEF,BUR,4200000,0,33,1.7,4.04761904761905E-07,7.85714285714286E-06,0,18171,9,27,0,0,0,0,0,7.9,486,-3,0,33,3,0,0,0,0,0,4,0,0,0.1,14487,1,0,0,0,1670,12,0,0,224,Everton,Arsenal,,,,0,1.2,47.4
Ross,Barkley,MID,CHE,5000000,0,76,2.11111111111111,4.22222222222222E-07,1.52E-05,0,695851,1,13,0,0,0,3,0,15.2,1638,-10,0,76,10,0.2,0,1,5,0,6,0,5,1.3,720791,0,0,0,2,1156,338,0,0,287,Watford,Leicester,,,,1.6,1.3,104.1
Ashley,Barnes,FWD,BUR,5600000,2,115,3.3,5.89285714285714E-07,2.05357142857143E-05,0,329696,7,36,0,0,0,11,0,20.5,7094,-4,0,115,4,0.7,0,3.8,13,0,7,0,3,2.1,400687,1,0,0,1,2217,10706,0,0,369,Everton,Arsenal,,,,2.5,4.2,181.7
Harvey,Barnes,MID,LEI,5500000,1,41,1.13888888888889,2.07070707070707E-07,7.45454545454545E-06,0,33985,0,16,0,0,0,1,0,7.5,1662,0,0,41,0,0.5,0,3,1,0,1,0,3,0.2,43826,0,0,0,0,980,186,0,0,132,Man City,Chelsea,,,,0.6,0.6,93
Antonio,Barreca,DEF,NEW,4100000,0,1,0.0277777777777778,6.77506775067751E-09,2.4390243902439E-07,0,816,0,0,0,0,0,0,0,0.2,31,-4,0,1,4,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,4,30,0,0,3,Liverpool,Fulham,,,,0,0,0
Michy,Batshuayi,FWD,CRY,6200000,0,29,0.805555555555556,1.29928315412186E-07,4.67741935483871E-06,0,169778,0,7,0,0,0,2,0,4.6,7236,-3,1,29,3,0.1,0,0.8,2,0,3,0,1,0.8,213206,0,0,0,0,588,1266,-1,0,83,Cardiff City,Bournemouth,,,,0.4,0.4,39.3
Danny,Batth,DEF,WOL,4000000,0,0,0,0,0,0,75439,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0.6,5570,0,0,0,0,0,6,0,0,0,Fulham,Liverpool,,,,0,0,0
Jan,Bednarek,DEF,SOU,4000000,1,46,2,5E-07,1.15E-05,0,422003,7,33,0,0,0,0,0,11.5,7215,0,0,46,0,0.3,0,1,3,0,3,0,1,7.3,559881,0,0,0,0,1970,7074,0,0,335,West Ham,Huddersfield,,,,1.4,1.9,74.8
Asmir,Begovic,GLK,BOU,4300000,0,63,2.6,6.04651162790698E-07,1.46511627906977E-05,0,270917,0,47,0,59,0,0,0,14.7,2668,-2,0,63,2,0.1,0,0.3,4,0,5,0,0,2.8,169159,0,0,0,0,2160,334,0,0,363,Tottenham,Crystal Palace,,,,2.8,2.1,44.2
Hector,Bellerin,DEF,ARS,5300000,0,60,3.2,6.0377358490566E-07,1.13207547169811E-05,0,1142689,3,21,0,0,0,0,0,11.3,897,-2,0,60,2,0,0,0,5,0,4,0,5,4.5,567026,1,0,0,0,1532,35,0,0,304,Brighton,Burnley,,,,0,0,73.7
Yohan,Benalouane,DEF,LEI,3900000,0,0,0,0,0,0,56974,0,0,0,0,0,0,0,0,328,-1,0,0,1,0,0,0,0,0,0,0,0,0.7,29140,0,0,0,0,0,59,0,0,0,Man City,Chelsea,,,,0,0,0
Filip,Benkovic,DEF,LEI,5000000,0,0,0,0,0,0,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,Man City,Chelsea,,,,0,0,0
Joe,Bennett,DEF,CAR,4400000,2,70,2.5,5.68181818181818E-07,1.59090909090909E-05,0,55287,5,47,0,0,0,0,0,15.9,217,-1,0,70,1,0.4,0,1.6,4,0,8,0,1,0.4,54826,0,0,0,0,2459,159,0,0,400,Crystal Palace,Man Utd,,,,2.1,2,73.3
Ryan,Bennett,DEF,WOL,4100000,2,83,2.6,6.34146341463415E-07,2.02439024390244E-05,0,908874,11,36,0,0,0,1,0,20.2,5455,1,0,83,-1,0.6,0,2.3,1,0,8,0,0,8.1,1067264,0,0,0,0,2880,9502,0,0,435,Fulham,Liverpool,,,,2.9,2.1,82.7
Josh,Benson,MID,BUR,4500000,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,7,0,0,0,Everton,Arsenal,,,,0,0,0
Christian,Benteke,FWD,CRY,6300000,2,33,2.1,3.33333333333333E-07,5.23809523809524E-06,0,76762,1,13,0,0,0,1,0,5.2,2494,-2,0,33,2,0.5,0,3.4,3,0,3,0,1,0.5,32544,0,0,0,0,807,2147,0,0,65,Cardiff City,Bournemouth,,,,0,0,56.1
,Bernard,MID,EVE,5900000,3,83,2.30555555555556,3.90772128060264E-07,1.40677966101695E-05,0,61974,5,18,0,0,0,1,0,14.1,558,-1,0,83,1,0.5,0,2.8,5,0,12,0,4,0.3,52180,0,0,0,0,1972,1191,0,0,299,Burnley,Tottenham,,,,2.2,1.2,119.9
,Bernardo,DEF,BHA,4200000,2,37,1.02777777777778,2.44708994708995E-07,8.80952380952381E-06,0,17571,4,24,0,0,0,0,0,8.8,280,-3,0,37,3,0.2,0,1,0,0,2,0,1,0.1,12758,0,0,0,0,1569,61,0,0,262,Arsenal,Man City,,,,0.5,0.5,64.3
,Bernardo Silva,MID,MCI,7700000,3,149,4.4,5.71428571428571E-07,1.93506493506494E-05,0,1849559,3,21,0,0,0,7,0,19.4,16451,2,-1,149,-2,0.5,0,3.6,17,0,14,0,8,11.3,2096731,0,0,0,3,2669,72301,1,0,626,Leicester,Brighton,,,,4.6,4.4,270.4
Ryan,Bertrand,DEF,SOU,4800000,1,53,2.4,5E-07,1.10416666666667E-05,0,358220,8,38,0,0,0,1,0,11,1752,-2,0,53,2,0.2,0,1,1,0,6,0,0,2.1,106252,0,0,0,0,1980,987,0,0,275,West Ham,Huddersfield,,,,1.8,2.5,76.8
Marcus,Bettinelli,GLK,FUL,4200000,0,15,2.1,5E-07,3.57142857142857E-06,0,43315,1,20,0,20,0,0,0,3.6,191,-3,0,15,3,0,0,0,0,0,0,0,0,0.3,38029,0,0,1,0,630,45,0,0,114,Wolverhampton,Newcastle,,,,0,0,19.4
Philip,Billing,MID,HUD,4500000,0,63,2.3,5.11111111111111E-07,1.4E-05,0,283456,7,43,0,0,0,2,0,14,1523,0,0,63,0,0,0,0,4,0,5,0,0,1.1,319154,0,0,0,0,2187,139,0,0,317,Man Utd,Southampton,,,,1.5,1.6,121.3
Yves,Bissouma,MID,BHA,4600000,0,39,1.08333333333333,2.35507246376812E-07,8.47826086956522E-06,0,3933,5,27,0,0,0,0,0,8.5,82,-4,0,39,4,0.2,0,1,0,0,3,0,0,0,2563,0,0,0,0,1584,13,0,0,152,Arsenal,Man City,,,,0.5,0.5,58.7
Daley,Blind,DEF,MUN,5000000,0,0,0,0,0,0,673,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,2,0,0,0,Huddersfield,Cardiff City,,,,0,0,0
Omar,Bogle,FWD,CAR,4500000,0,0,0,0,0,0,12283,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1830,0,0,0,0,0,14,0,0,0,Crystal Palace,Man Utd,,,,0,0,0
Yannick,Bolasie,MID,EVE,5800000,0,0,0,0,0,0,15075,0,0,0,0,0,0,0,0,8,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,716,0,0,0,0,0,0,0,0,0,Burnley,Tottenham,,,,0,0,0
Willy,Boly,DEF,WOL,4700000,2,113,3.3,7.02127659574468E-07,2.40425531914894E-05,0,523016,2,41,0,0,0,4,0,24,8458,2,0,113,-2,1,0,4.8,10,0,7,0,0,6.5,783161,0,0,0,3,2988,13080,0,1,599,Fulham,Liverpool,,,,4.1,3.1,131.5
Bonatini Lohner Maia,Bonatini,FWD,WOL,4600000,0,10,1.4,3.04347826086957E-07,2.17391304347826E-06,0,71030,0,0,0,0,0,0,0,2.2,108,-4,0,10,4,0,0,0,0,0,0,0,1,0.3,35223,0,0,0,0,130,4,0,0,19,Fulham,Liverpool,,,,0,0,13.6
Gaetan,Bong,DEF,BHA,4400000,0,48,2.2,5E-07,1.09090909090909E-05,0,12893,0,34,0,0,0,0,0,10.9,139,-1,0,48,1,0.3,0,1.2,0,0,5,0,0,0.1,9792,0,0,0,0,1805,21,0,0,254,Arsenal,Man City,,,,1.1,1.9,38
Artur,Boruc,GLK,BOU,4100000,2,46,1.27777777777778,3.11653116531165E-07,1.1219512195122E-05,0,295869,2,18,0,39,0,0,0,11.2,4808,1,0,46,-1,0.6,0,2.5,4,0,4,0,0,8.8,415618,0,0,0,1,1080,5615,0,0,218,Tottenham,Crystal Palace,,,,0.9,0.7,30.3
Sofiane,Boufal,MID,SOU,5500000,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,West Ham,Huddersfield,,,,0,0,0
Robbie,Brady,MID,BUR,5400000,0,17,0.472222222222222,8.74485596707819E-08,3.14814814814815E-06,0,3042,3,14,0,0,0,0,0,3.1,23,-1,0,17,1,0,0,0,0,0,1,0,1,0,1864,0,0,0,0,627,23,0,1,64,Everton,Arsenal,,,,0.2,0.2,34.8
Claudio,Bravo,GLK,MCI,4800000,0,0,0,0,0,0,10410,0,0,0,0,0,0,0,0,25,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1427,0,0,0,0,0,24,0,0,0,Leicester,Brighton,,,,0,0,0
,Brian Murphy,GLK,CAR,4000000,0,0,0,0,0,0,10722,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0.2,16147,0,0,0,0,0,128,0,0,0,Crystal Palace,Man Utd,,,,0,0,0
Miguel,Britos,DEF,WAT,4300000,0,3,1,2.32558139534884E-07,6.97674418604651E-07,0,4363,0,5,0,0,0,0,0,0.7,22,-2,0,3,2,0,0,0,0,0,0,0,0,0,1127,0,0,0,0,184,11,0,0,22,Chelsea,West Ham,,,,0,0,2.9
David,Brooks,MID,BOU,5100000,5,123,4.1,8.03921568627451E-07,2.41176470588235E-05,0,757966,3,41,0,0,0,7,0,24.1,25098,1,0,123,-1,1,0,5.3,7,0,9,0,6,4.6,1018906,0,0,0,2,2263,9530,0,0,414,Tottenham,Crystal Palace,,,,0,4.2,167.5
Tyias,Browning,DEF,EVE,4000000,0,0,0,0,0,0,6192,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7257,0,0,0,0,0,4,0,0,0,Burnley,Tottenham,,,,0,0,0
,Bruno,DEF,BHA,4400000,2,44,1.22222222222222,2.77777777777778E-07,1E-05,0,54479,2,12,0,0,0,0,0,10,232,-1,0,44,1,0.5,0,2.2,7,0,4,0,1,0.3,51031,0,0,0,1,958,48,0,0,209,Arsenal,Man City,,,,0.6,0.7,27.4
Joe,Bryan,DEF,FUL,4800000,6,51,2,4.16666666666667E-07,1.0625E-05,0,11670,4,49,0,0,0,0,0,10.6,780,-2,0,51,2,1.5,0,7,4,0,5,0,1,0.2,10306,1,0,0,0,2164,3001,0,0,375,Wolverhampton,Newcastle,,,,1.4,1.5,97.4
Dan,Burn,DEF,BHA,4500000,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,14,0,0,0,Arsenal,Man City,,,,0,0,0
David,Button,GLK,BHA,4000000,0,15,0.416666666666667,1.04166666666667E-07,3.75E-06,0,175988,0,5,0,14,0,0,0,3.8,3374,0,0,15,0,0,0,0,2,0,1,0,0,2.4,215395,0,0,0,0,360,1241,0,0,76,Arsenal,Man City,,,,0.2,0.2,8.9
Sam,Byram,DEF,WHU,4500000,0,0,0,0,0,0,2781,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,1,0,0,0,Southampton,Watford,,,,0,0,0
Willy,Caballero,GLK,CHE,4700000,0,6,0.166666666666667,3.54609929078014E-08,1.27659574468085E-06,0,12904,0,0,0,0,0,0,0,1.3,117,-3,0,6,3,0,0,0,0,0,1,0,0,0.1,7303,0,0,0,0,90,26,0,0,19,Watford,Leicester,,,,0.1,0.1,0.4
Gary,Cahill,DEF,CHE,5000000,0,1,0.0277777777777778,5.55555555555556E-09,2E-07,0,56197,0,0,0,0,0,0,0,0.2,115,-5,0,1,5,0,0,0,0,0,0,0,0,0.5,6657,0,0,0,0,21,35,0,0,3,Watford,Leicester,,,,0,0,0.3
Tom,Cairney,MID,FUL,4600000,3,67,2.3,5E-07,1.45652173913043E-05,0,159969,0,46,0,0,0,1,0,14.6,315,-4,0,67,4,1,0,4.7,3,0,5,0,1,0.4,27917,0,0,0,0,2008,504,0,0,357,Wolverhampton,Newcastle,,,,1.4,2.2,106
Dominic,Calvert-Lewin,FWD,EVE,5400000,2,90,2.6,4.81481481481482E-07,1.66666666666667E-05,0,291741,3,26,0,0,0,6,0,16.7,6389,-1,0,90,1,0.6,0,3.5,3,0,7,0,5,2.4,353309,0,0,0,0,1679,22403,0,0,267,Burnley,Tottenham,,,,3,1.7,107.9
Rafael,Camacho,MID,LIV,5000000,0,1,0.0277777777777778,5.55555555555556E-09,2E-07,0,267,0,1,0,0,0,0,0,0.2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,1,10,0,0,3,Newcastle,Wolverhampton,,,,0,0,0.2
Victor,Camarasa,MID,CAR,4400000,3,105,3.4,7.72727272727273E-07,2.38636363636364E-05,0,367962,6,53,0,0,0,5,0,23.9,7016,-1,0,105,1,0.6,0,2.8,5,0,9,0,4,2.6,512208,0,0,0,1,2559,9029,0,0,394,Crystal Palace,Man Utd,,,,3.3,2.6,167.5
Etienne,Capoue,MID,WAT,4800000,1,78,2.4,5E-07,1.625E-05,0,172256,13,44,0,0,0,1,0,16.3,1259,-2,0,78,2,0.2,0,1,8,0,8,0,3,0.5,179731,0,0,0,1,2854,220,0,1,486,Chelsea,West Ham,,,,0,0,100.8
,Carlos Sanchez,MID,WHU,4300000,0,7,0.194444444444444,4.52196382428941E-08,1.62790697674419E-06,0,19468,0,4,0,0,0,0,0,1.6,32,-2,0,7,2,0,0,0,0,0,0,0,0,0.1,6981,0,0,0,0,217,21,0,0,37,Southampton,Watford,,,,0.1,0.1,7.2
