FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8729,0,0,0,0,0,0,0,0,9,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1377,0,0,0,0,0,8,0,0,0,Watford,Leicester,,,,0,0,0
,Adam Smith,DEF,BOU,4300000,0,60,2.6,6.04651162790698E-07,1.3953488372093E-05,0,96734,5,28,0,0,0,1,0,14,1458,-2,0,60,2,0.3,0,1.5,0,0,7,0,0,0.4,82129,0,0,0,0,1887,27,0,1,319,Tottenham,Crystal Palace,,,,0,2.1,55.4
,Adrian,GLK,WHU,4200000,0,0,0,0,0,0,17908,0,0,0,0,0,0,0,0,102,-3,0,0,3,0,0,0,0,0,0,0,0,0.3,4019,0,0,0,0,0,80,0,0,0,Southampton,Watford,,,,0,0,0
Sergio,Aguero,FWD,MCI,11900000,9,193,6.2,5.21008403361345E-07,1.6218487394958E-05,0,4658279,4,14,0,0,0,20,0,16.2,16051,9,-1,193,-9,0.3,0,3.6,26,0,16,0,11,41.2,5186638,0,0,0,4,2281,81461,1,0,710,Leicester,Brighton,,,,8.1,7.6,297.3
Nathan,Ake,DEF,BOU,5100000,1,106,2.9,5.68627450980392E-07,2.07843137254902E-05,0,403164,3,65,0,0,0,3,0,20.8,17598,1,0,106,-1,0.5,0,2.3,6,0,9,0,1,5.8,489808,0,0,0,0,3231,1058,0,0,659,Tottenham,Crystal Palace,,,,3.3,2.5,139.5
Marc,Albrighton,MID,LEI,5100000,3,58,1.61111111111111,3.15904139433551E-07,1.13725490196078E-05,0,83354,3,16,0,0,0,2,0,11.4,80,-4,0,58,4,0.3,0,1.5,4,0,4,0,2,0.3,40073,0,0,0,0,1458,164,0,0,266,Man City,Chelsea,,,,0.8,0.8,100.1
Toby,Alderweireld,DEF,TOT,6000000,2,106,3.3,5.5E-07,1.76666666666667E-05,0,280948,2,29,0,0,0,0,0,17.7,5758,0,0,106,0,0.6,0,3.6,7,0,12,0,0,3.7,285196,1,0,0,1,2786,2290,0,0,636,Bournemouth,Everton,,,,2.4,4.5,102.7
Trent,Alexander-Arnold,DEF,LIV,5700000,10,160,5.9,1.03508771929825E-06,2.80701754385965E-05,0,2605374,3,12,0,0,0,1,0,28.6,8848,7,-1,160,-7,1.5,0,8.3,19,0,15,0,9,23.7,3094376,0,0,0,7,2280,64332,1,0,663,Newcastle,Wolverhampton,,,,6.3,8.4,166.8
,Alisson,GLK,LIV,5900000,6,168,4.7,7.96610169491525E-07,2.84745762711864E-05,0,912159,1,20,0,70,0,0,0,28.5,15016,4,0,168,-4,0.9,0,5.3,9,0,20,0,0,23.4,1242364,0,0,0,1,3240,8856,0,0,727,Newcastle,Wolverhampton,,,,4.5,6.5,62.9
Bamidele,Alli,MID,TOT,8800000,2,92,2.55555555555556,2.9040404040404E-07,1.04545454545455E-05,0,651891,3,20,0,0,0,5,0,10.5,2135,-2,0,92,2,0.3,0,2.4,8,0,8,0,4,2.4,494484,0,0,0,1,1687,826,0,0,340,Bournemouth,Everton,,,,1.8,2,150.9
Miguel,Almiron,MID,NEW,6000000,0,28,2.8,4.66666666666667E-07,4.66666666666667E-06,0,83997,0,11,0,0,0,0,0,4.7,6647,0,0,28,0,0.3,0,1.8,0,0,3,0,2,0.3,101462,0,0,0,0,758,21,0,0,107,Liverpool,Fulham,,,,0,0,54.6
Marcos,Alonso,DEF,CHE,6200000,10,149,5.1,8.2258064516129E-07,2.40322580645161E-05,0,2294773,6,28,0,0,0,2,0,23.7,17473,-3,1,149,3,0.3,0,2,21,0,12,0,8,22.1,2267394,0,0,0,4,2579,9945,-1,0,642,Watford,Leicester,,,,6.8,5.6,154.9
Daniel,Amartey,MID,LEI,4300000,0,15,1.7,3.95348837209302E-07,3.48837209302326E-06,0,20835,2,9,0,0,0,0,0,3.5,49,-2,0,15,2,0,0,0,0,0,1,0,0,0.2,11477,0,0,0,0,639,27,0,0,103,Man City,Chelsea,,,,0,0,20.8
Luke,Amos,MID,TOT,4300000,0,1,0.0277777777777778,6.45994832041344E-09,2.32558139534884E-07,0,15659,0,0,0,0,0,0,0,0.2,113,-2,0,1,2,0,0,0,0,0,0,0,0,0.1,15660,0,0,0,0,2,73,0,0,3,Bournemouth,Everton,,,,0,0,0.2
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,4315,0,0,0,0,0,0,0,0,38,-1,0,0,1,0,0,0,0,0,0,0,0,0,2405,0,0,0,0,0,23,0,0,0,Watford,Leicester,,,,0,0,0
Florin,Andone,FWD,BHA,5000000,0,36,1,2E-07,7.2E-06,0,44757,5,13,0,0,0,3,0,7.2,500,0,0,36,0,0.1,0,0.7,2,0,2,0,0,0.2,47513,0,0,0,0,832,199,0,0,71,Arsenal,Man City,,,,0.5,0.5,54
