FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8285,0,0,0,0,0,0,0,0,34,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1131,0,0,0,0,0,8,0,0,0,Watford,Crystal Palace,Southampton,Newcastle,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4400000,0,37,3.1,7.04545454545455E-07,8.40909090909091E-06,0,74735,1,12,0,0,0,1,0,8.4,1295,-1,0,37,1,0,0,0,0,0,4,0,0,0.4,60095,0,0,0,0,965,25,0,1,184,Tottenham,Man Utd,Watford,Everton,West Ham,0,0,0,0,0,0,0,0,3.6,1.7,3.3,3.9,2.7,2.7,3.4,2.5,3.3,2.3,3.2,3.3,29.4
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,14016,0,0,0,0,0,0,0,0,274,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,2278,0,0,0,0,0,149,0,0,0,Southampton,Burnley,Brighton,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11200000,1,83,5.9,5.26785714285714E-07,7.41071428571429E-06,0,2968745,2,6,0,0,0,8,0,7.4,78492,2,0,83,-2,0,0,0.2,9,0,7,0,6,22.3,2314579,0,0,0,2,995,24439,0,0,319,Leicester,Southampton,Liverpool,Wolverhampton,Huddersfield,7.1,7.4,6.6,7.2,7.7,7.8,8.4,6.9,6.6,7.8,7.1,7.9,7.6,7.3,8.8,7.2,6.8,7.2,7.6,6.8,142.6
Nathan,Ake,DEF,BOU,5000000,7,53,2.9,5.8E-07,1.06E-05,0,194801,2,28,0,0,0,1,0,10.6,9953,0,0,53,0,0.4,0,2,5,0,5,0,0,4.5,206865,0,0,0,0,1620,3901,0,0,312,Tottenham,Man Utd,Watford,Everton,West Ham,2.7,2.5,3.1,2.8,2.6,3.5,3.3,2.5,3.3,1.6,3,3.6,2.4,2.4,3.1,2.2,3,2.1,2.9,3,67.6
Marc,Albrighton,MID,LEI,5100000,3,36,2.1,4.11764705882353E-07,7.05882352941176E-06,0,52203,3,11,0,0,0,1,0,7.1,815,-4,0,36,4,0.5,0,2.4,0,0,3,0,2,0.4,14228,0,0,0,0,973,394,0,0,171,Man City,Cardiff City,Everton,Southampton,Wolverhampton,1,1.6,1,1.8,1.6,1,1.2,1.2,1.4,2,1.3,1.8,1.5,1.6,1.9,1.6,1.5,1.5,1,1,65.2
Toby,Alderweireld,DEF,TOT,6000000,1,60,3.8,6.33333333333333E-07,1E-05,0,125989,1,13,0,0,0,0,0,10,8282,0,-1,60,0,0.6,0,3.6,5,0,7,0,0,4,153368,0,0,0,1,1430,10429,1,0,338,Bournemouth,Wolverhampton,Cardiff City,Man Utd,Fulham,3.5,4.3,4.9,3.9,3.9,4.1,3.2,3.8,3.8,5,3,3.7,4.2,4.3,4.9,4.7,4,3.4,3.3,5.4,48.2
Trent,Alexander-Arnold,DEF,LIV,5200000,0,73,5.6,1.07692307692308E-06,1.40384615384615E-05,0,1490705,3,5,0,0,0,1,0,14,142793,2,0,73,-2,0.3,0,1.6,6,0,8,0,2,17.6,1590402,0,0,0,3,1142,11942,0,0,284,Newcastle,Arsenal,Man City,Brighton,Crystal Palace,0,6,6.5,6.4,7.4,7.1,7,6.7,6.9,7.5,6.6,7.5,6.3,7.2,6.1,7.6,6.7,7.4,6.9,7.7,64.6
,Alisson,GLK,LIV,5900000,9,92,5.1,8.64406779661017E-07,1.5593220338983E-05,0,422030,0,7,0,43,0,0,0,15.9,7131,4,-1,92,-4,1,0,5.8,5,0,11,0,0,23.5,799958,0,0,0,0,1620,94052,1,0,387,Newcastle,Arsenal,Man City,Brighton,Crystal Palace,5.4,5.2,5.7,5.6,6.8,6.3,6.1,5.9,6.1,6.7,6,6.6,5.5,6.3,5.3,6.9,6.1,6.8,6.1,6.9,34.6
Bamidele,Alli,MID,TOT,8900000,6,57,3.16666666666667,3.55805243445693E-07,6.40449438202247E-06,0,490092,1,12,0,0,0,4,0,6.4,30627,-1,0,57,1,0.4,0,4,6,0,4,0,2,3.2,380817,0,0,0,1,866,5501,0,0,205,Bournemouth,Wolverhampton,Cardiff City,Man Utd,Fulham,0,2.8,2.5,2.2,3.2,2.6,2.9,2.6,3.1,2.2,2.7,3.2,2.6,2.1,3.5,3.1,1.8,2.3,2.7,2.8,81.2
Marcos,Alonso,DEF,CHE,6900000,2,102,5.7,8.26086956521739E-07,1.47826086956522E-05,0,704807,3,15,0,0,0,1,0,14.6,119673,4,1,102,-4,0.4,0,3,14,0,8,0,7,43.7,1984847,0,0,0,3,1607,13071,-1,0,418,Watford,Crystal Palace,Southampton,Newcastle,Arsenal,7.4,7.9,6.9,6.2,5.3,5.8,7.4,6.9,8.6,7.2,6.7,7.6,6.9,7.1,6.6,7.4,7.4,7.3,7.5,7.2,90.9
Daniel,Amartey,MID,LEI,4300000,0,15,0.833333333333333,1.93798449612403E-07,3.48837209302326E-06,0,18443,2,9,0,0,0,0,0,3.5,321,-2,0,15,2,0,0,0,0,0,1,0,0,0.2,10804,0,0,0,0,639,50,0,0,103,Man City,Cardiff City,Everton,Southampton,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,20.8
Luke,Amos,MID,TOT,4300000,0,1,0.0555555555555556,1.29198966408269E-08,2.32558139534884E-07,0,10651,0,0,0,0,0,0,0,0.2,620,-2,0,1,2,0,0,0,0,0,0,0,0,0.1,10897,0,0,0,0,2,482,0,0,3,Bournemouth,Wolverhampton,Cardiff City,Man Utd,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,3324,0,0,0,0,0,0,0,0,67,-1,0,0,1,0,0,0,0,0,0,0,0,0,1601,0,0,0,0,0,41,0,0,0,Watford,Crystal Palace,Southampton,Newcastle,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,2,20,2.5,5E-07,4E-06,0,16967,1,6,0,0,0,2,0,4,3119,0,0,20,0,0.7,0,3.4,2,0,0,0,0,0.3,29367,0,0,0,0,352,3018,0,0,57,Arsenal,Everton,West Ham,Liverpool,Man Utd,2.8,3,2.1,2,2,2.3,2.6,3,1.3,1.6,2.5,1.6,3.2,2.9,1.5,2.8,1.4,2.2,1.6,2.3,20
,Andre Gomes,MID,EVE,5400000,1,24,1.33333333333333,2.46913580246914E-07,4.44444444444444E-06,0,23769,1,14,0,0,0,0,0,4.4,2168,-1,0,24,1,0.4,0,2.2,0,0,3,0,1,0.2,12754,0,0,0,0,853,346,0,0,112,Burnley,Brighton,Leicester,Bournemouth,Southampton,0,0.7,0.8,0.9,0.7,0.7,0.9,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.7,0.7,0.7,1,0.7,30.6
Michail,Antonio,MID,WHU,6800000,1,40,2.22222222222222,3.26797385620915E-07,5.88235294117647E-06,0,50259,2,13,0,0,0,2,0,5.9,1770,-2,0,40,2,0.5,0,3.2,0,0,3,0,2,0.9,14779,0,0,0,0,784,634,0,0,96,Southampton,Burnley,Brighton,Arsenal,Bournemouth,1.9,1.8,2,1.5,1.6,1.8,1.1,1.9,1.9,1.1,1.6,1.4,1.7,1.5,1.2,1.4,1.4,1.4,1.8,1.6,67.5
Stuart,Armstrong,MID,SOU,5100000,2,37,2.6,5.09803921568628E-07,7.25490196078431E-06,0,40052,2,16,0,0,0,3,0,7.3,8019,-4,0,37,4,0.5,0,2.6,2,0,1,0,0,0.8,71973,0,0,0,1,722,2182,0,0,143,West Ham,Man City,Chelsea,Leicester,Everton,1.9,1.5,1.4,1.9,2.3,2.1,2,2.4,1.7,2.7,1.6,1.6,1.8,1.7,1.6,2.3,2.7,2.4,2,2.5,54.6
