FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,7363,0,0,0,0,0,0,0,0,316,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1029,0,0,0,0,0,12,0,0,0,Liverpool,Southampton,Man Utd,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,1,16,2.7,6E-07,3.55555555555556E-06,0,22416,0,8,0,0,0,1,0,3.6,2391,0,0,16,0,0.7,0,3.3,0,0,1,0,0,0.8,31140,0,0,0,0,486,2120,0,1,86,Crystal Palace,Watford,Southampton,Fulham,Man Utd,2.2,1.4,2.9,1.4,2.9,1.6,2.3,1.4,3.3,3.4,1.6,3.7,2,2.3,2.5,1.7,2.9,3.4,2.5,1.4,3.5,1.4,2.6,2.2,2.7,1.4,3.1,1.5,2.6,1.5,3.1,2.7,16.4
,Adrian,GLK,WHU,4400000,0,0,0,0,0,0,9396,0,0,0,0,0,0,0,0,757,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,811,0,0,0,0,0,102,0,0,0,Man Utd,Brighton,Tottenham,Leicester,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11400000,6,43,7.2,6.31578947368421E-07,3.7719298245614E-06,0,361494,0,3,0,0,0,4,0,3.8,23986,4,0,43,-4,0.6,0,6.3,4,0,2,0,4,52.9,1456548,0,0,0,1,446,125708,0,0,172,Brighton,Liverpool,Burnley,Tottenham,Southampton,10.7,7.3,10,9.8,9.6,8.8,9.8,10.8,9.2,8.1,10.1,6.7,8.8,9.6,8.9,9.6,10,9.9,9.7,8.7,9.1,9.5,8.2,9.5,10.6,9.1,9.8,10.8,9,9,10.5,8.7,77.9
Nathan,Ake,DEF,BOU,5000000,0,20,3.3,6.6E-07,4E-06,0,87116,0,11,0,0,0,1,0,4,15172,0,0,20,0,0.1,0,0.7,3,0,1,0,0,4.4,99979,0,0,0,0,540,4486,0,0,97,Crystal Palace,Watford,Southampton,Fulham,Man Utd,3,1.6,3.9,1.6,3.9,2.3,3.1,1.8,4.4,4.4,2.3,4.8,2.7,3.1,3.4,2.3,3.9,4.5,3.2,2,4.6,1.6,3.5,3,3.7,1.7,4.1,2.1,3.4,2.1,4.1,3.6,22.2
Marc,Albrighton,MID,LEI,5300000,1,14,2.33333333333333,4.40251572327044E-07,2.64150943396226E-06,0,35417,0,3,0,0,0,1,0,2.6,3453,-2,0,14,2,0.6,0,3,0,0,0,0,1,0.6,7358,0,0,0,0,184,743,0,0,58,Newcastle,Everton,Arsenal,West Ham,Cardiff City,2.1,2.1,1.3,1.9,1.6,2.3,1.3,2,1.4,1.6,3,1.2,1.4,2.3,1.3,2.3,1.3,1.2,1.6,1.3,2,2.5,1.4,2.2,1.4,2.9,2.1,2.5,1.5,1.9,1.2,1.5,17
Toby,Alderweireld,DEF,TOT,5900000,2,12,2.4,4.06779661016949E-07,2.03389830508475E-06,0,70411,0,6,0,0,0,0,0,2,4492,-1,0,12,1,0.2,0,1.3,0,0,1,0,0,2.6,21363,0,0,0,0,440,4701,0,0,97,Huddersfield,Cardiff City,West Ham,Man City,Wolverhampton,2.8,2.9,2.2,1.5,2.2,3.2,2.2,1.5,1.8,1.7,2,2.3,2.1,2.3,3,1.8,1.5,1.5,1.7,2,1.9,2.4,1.3,2.1,1.3,2,2.5,2.2,1.8,1.8,1.2,2.3,14.9
Trent,Alexander-Arnold,DEF,LIV,5100000,11,34,5.7,1.11764705882353E-06,6.66666666666667E-06,0,301514,3,1,0,0,0,0,0,6.7,18840,1,-1,34,-1,1.2,0,6.3,2,0,5,0,1,20.1,528916,0,0,0,1,535,189516,1,0,134,Chelsea,Man City,Huddersfield,Cardiff City,Arsenal,6.7,6.9,7.3,8.2,4.9,6.9,5.3,8.4,6,4.1,7.4,6.5,7.3,6.4,5.6,6.2,6.2,8.1,6.7,8.3,7.9,6.8,6.6,8,4.9,7.8,6.4,8.3,6.8,7.8,6.6,8.5,22.9
,Alisson,GLK,LIV,5600000,6,30,5,8.92857142857143E-07,5.35714285714286E-06,0,207394,0,2,0,13,0,0,0,5.4,29616,1,0,30,-1,0.7,0,3.7,1,0,4,0,0,18.8,351186,0,0,0,0,540,17883,0,0,131,Chelsea,Man City,Huddersfield,Cardiff City,Arsenal,5.8,5.8,6.4,7.2,4,5.7,4.4,7.3,4.9,3.3,6.4,5.6,6.1,5.3,4.6,5.2,5.1,6.8,5.5,7,6.8,5.7,5.6,6.7,3.9,6.7,5.3,7.2,5.9,6.8,5.5,7.3,10.1
Bamidele,Alli,MID,TOT,9000000,1,20,3.33333333333333,3.7037037037037E-07,2.22222222222222E-06,0,337484,0,5,0,0,0,1,0,2.2,20914,0,0,20,0,0.1,0,1,2,0,1,0,1,3.9,269989,0,0,0,0,361,14901,0,0,72,Huddersfield,Cardiff City,West Ham,Man City,Wolverhampton,0,0,3.4,1.9,3.1,5,2.1,3,3.3,2.6,3.2,3,4.2,3.2,3.5,2.3,3.1,2.8,3.5,3,3.2,2.3,2.7,3.7,2.9,2.1,3.6,3.5,2.3,2.8,2.8,3.1,35.2
