FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Mason,Holgate,DEF,EVE,4500000,0,5,0.555555555555556,1.23456790123457E-07,1.11111111111111E-06,0,12057,1,9,0,0,0,0,0,1.1,860,0,0,5,0,0,0,0,0,0,0,0,0,0.2,13444,0,0,0,0,407,80,0,0,61,Man Utd,Brighton,Chelsea,Cardiff City,Liverpool,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,9.9
Callum,Hudson-Odoi,MID,CHE,4300000,0,0,0,0,0,0,124267,0,0,0,0,0,0,0,0,5311,-2,0,0,2,0,0,0,0,0,0,0,0,1.3,57566,0,0,0,0,0,788,0,0,0,Burnley,Crystal Palace,Everton,Tottenham,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will,Hughes,MID,WAT,5000000,2,28,3.1,6.2E-07,5.6E-06,0,98748,2,11,0,0,0,1,0,5.6,9352,0,0,28,0,0.3,0,1.7,2,0,3,0,1,1.9,171374,0,0,0,0,730,4835,0,0,99,Huddersfield,Newcastle,Southampton,Liverpool,Leicester,3.1,3.8,3.4,2.2,2.6,2,2.1,3.1,2.7,1.8,3,2.4,4.5,3.1,2.5,2.4,2.8,2.6,2,2.7,1.7,3.2,2.7,2.9,2.6,4,2.8,2.1,2.8,45.5
Jordan,Hugill,FWD,WHU,5000000,0,0,0,0,0,0,1064,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,2,0,0,0,Leicester,Burnley,Huddersfield,Man City,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerson,Hyndman,MID,BOU,4500000,0,0,0,0,0,0,2233,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,3,0,0,0,Fulham,Man Utd,Newcastle,Arsenal,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordon,Ibe,MID,BOU,5100000,1,3,0.333333333333333,6.5359477124183E-08,5.88235294117647E-07,0,21115,0,2,0,0,0,0,0,0.6,456,-4,0,3,4,0.1,0,0.3,0,0,0,0,0,0.2,1904,0,0,0,0,49,152,0,0,7,Fulham,Man Utd,Newcastle,Arsenal,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6.7
Vicente,Iborra,MID,LEI,4700000,0,2,0.222222222222222,4.72813238770686E-08,4.25531914893617E-07,0,2762,0,1,0,0,0,0,0,0.4,92,-3,1,2,3,0.1,0,0.3,0,0,0,0,0,0,586,0,0,0,0,15,54,-1,0,8,West Ham,Cardiff City,Burnley,Brighton,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1
Kelechi,Iheanacho,FWD,LEI,5900000,2,34,3.8,6.44067796610169E-07,5.76271186440678E-06,0,79189,0,7,0,0,0,1,0,5.8,7252,-1,0,34,1,0.5,0,3,3,0,1,0,4,1.8,104956,0,0,0,1,514,22356,0,0,111,West Ham,Cardiff City,Burnley,Brighton,Watford,5,3.7,4.7,3.5,4.2,4.7,3.3,4.5,3.4,3.5,4.8,3.4,4.2,3.1,2.7,4.5,3.2,3.2,5,3.9,5.4,3.9,4.6,4.8,4.2,4.5,4.4,2.6,3.3,34.6
Tom,Ince,MID,HUD,5000000,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,Watford,Fulham,West Ham,Wolverhampton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny,Ings,FWD,SOU,5600000,2,30,3.8,6.78571428571429E-07,5.35714285714286E-06,0,366925,1,9,0,0,0,3,0,5.4,20606,1,0,30,-1,0.3,0,1.7,4,0,2,0,0,5.7,557552,0,0,0,0,610,28744,0,0,101,Newcastle,Man City,Watford,Fulham,Man Utd,4,2.8,3.9,4.9,4.3,3.5,4,4.2,5,4.8,3.3,3.6,4.1,4.5,3,4.1,4.6,4,5.2,4.8,3,4.2,3.8,3.2,3.1,5,4.4,4.7,4,64.1
