FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8220,0,0,0,0,0,0,0,0,47,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1115,0,0,0,0,0,9,0,0,0,Brighton,Leicester,Watford,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4400000,0,37,3.1,7.04545454545455E-07,8.40909090909091E-06,0,71717,1,12,0,0,0,1,0,8.4,2556,-1,0,37,1,0,0,0,0,0,4,0,0,0.5,60041,0,0,0,0,965,25,0,1,184,Wolverhampton,Brighton,Tottenham,Man Utd,Watford,0,0,0,0,0,0,0,0,0,0,3.5,1.9,3.3,4.1,2.5,2.9,3.2,2.6,3.2,2.7,3.1,3.5,29.4
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,13476,0,0,0,0,0,0,0,0,308,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,1961,0,0,0,0,0,134,0,0,0,Fulham,Watford,Southampton,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11200000,0,82,6.3,5.625E-07,7.32142857142857E-06,0,2845347,2,5,0,0,0,8,0,7.3,230548,2,1,82,-2,0,0,0.5,9,0,7,0,6,22.6,2211496,0,0,0,2,955,11376,-1,0,316,Everton,Crystal Palace,Leicester,Southampton,Liverpool,0,7.9,7.7,7.6,7.5,8.2,7.9,8.4,9,7.7,6.6,8.7,7.8,9,7.9,7.4,9.4,8,7.4,7.6,8.5,7,141.8
Nathan,Ake,DEF,BOU,5000000,-1,45,2.8,5.6E-07,9E-06,0,176922,2,26,0,0,0,1,0,9,11079,0,0,45,0,0.1,0,0.5,4,0,4,0,0,4.6,192260,0,0,0,0,1440,4612,0,0,268,Wolverhampton,Brighton,Tottenham,Man Utd,Watford,2.8,3.4,3,2.5,2.9,2.8,2.4,3.2,3.3,2.4,3,1.6,2.8,3.6,2.2,2.5,2.7,2.2,2.7,2.3,2.7,3,59.6
Marc,Albrighton,MID,LEI,5100000,0,31,1.9375,3.79901960784314E-07,6.07843137254902E-06,0,50387,3,10,0,0,0,1,0,6.1,1298,-4,0,31,4,0.5,0,2.3,0,0,2,0,2,0.4,13585,0,0,0,0,795,206,0,0,144,Crystal Palace,Chelsea,Man City,Cardiff City,Everton,1.6,1,1,1.5,1,1.6,1.4,1,1.1,1.1,1.3,1.8,1.2,1.7,1.3,1.3,1.7,1.5,1.2,1.3,1,1,55.9
Toby,Alderweireld,DEF,TOT,5900000,6,50,3.6,6.10169491525424E-07,8.47457627118644E-06,0,111515,1,11,0,0,0,0,0,8.5,4016,-1,0,50,1,0.4,0,2.5,2,0,6,0,0,3.7,118189,0,0,0,0,1250,29595,0,0,288,Burnley,Everton,Bournemouth,Wolverhampton,Cardiff City,3.5,4.5,2.8,3.9,4.6,3.4,3.4,3.7,2.8,3.3,3.7,4.5,2.6,3.8,3.5,3.9,4.4,4.4,3.7,3.1,3.2,5,43.6
Trent,Alexander-Arnold,DEF,LIV,5300000,0,73,5.6,1.05660377358491E-06,1.37735849056604E-05,0,1041645,3,5,0,0,0,1,0,13.5,335969,3,1,73,-3,1,0,5.5,6,0,8,0,2,24.7,1572953,0,0,0,3,1142,23289,-1,0,284,Man Utd,Wolverhampton,Newcastle,Arsenal,Man City,0,0,0,6,6.3,6.1,7.3,7.2,6.4,6.4,6.7,7.7,6.4,7.5,5.8,7.4,6.4,7.9,6.5,7.6,6.6,7.7,64.6
,Alisson,GLK,LIV,5700000,6,81,5.1,8.94736842105263E-07,1.42105263157895E-05,0,402954,0,6,0,36,0,0,0,14.2,16343,2,0,81,-2,1.1,0,6,3,0,10,0,0,21.3,670187,0,0,0,0,1440,32390,0,0,343,Man Utd,Wolverhampton,Newcastle,Arsenal,Man City,6.4,6.5,5.6,5.2,5.5,5.3,6.6,6.3,5.6,5.6,5.9,6.9,5.8,6.6,5,6.5,5.6,7.2,5.9,6.9,5.8,7,29.8
Bamidele,Alli,MID,TOT,8900000,9,48,3,3.37078651685393E-07,5.39325842696629E-06,0,443798,1,11,0,0,0,3,0,5.4,6997,-1,0,48,1,0.7,0,6,6,0,3,0,2,3.7,366537,0,0,0,1,731,24832,0,0,175,Burnley,Everton,Bournemouth,Wolverhampton,Cardiff City,2.8,2,2.4,2.5,2.3,2,2.8,2.5,2.7,2.3,2.9,2,2.3,3.1,2.3,2,3.1,2.8,1.7,2.2,2.8,2.5,70
