FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,7937,0,0,0,0,0,0,0,0,85,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1075,0,0,0,0,0,9,0,0,0,Crystal Palace,Everton,Tottenham,Fulham,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,6,36,3.6,8E-07,8E-06,0,32666,0,9,0,0,0,1,0,8,3344,0,0,36,0,1.3,0,6,0,0,4,0,0,1,52279,0,0,0,0,846,8151,0,1,168,Man Utd,Newcastle,Arsenal,Man City,Huddersfield,4.2,3.9,2.9,3.1,4.7,4.5,3.9,5.1,4.5,4,3.8,3.4,4.4,4.1,4.2,3.7,4.7,2.2,3.9,4.8,3.5,3.2,3.9,3.2,3.7,3.6,4,4.2,26.2
,Adrian,GLK,WHU,4400000,0,0,0,0,0,0,11729,0,0,0,0,0,0,0,0,480,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,1180,0,0,0,0,0,72,0,0,0,Burnley,Huddersfield,Man City,Newcastle,Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11300000,2,60,6,5.30973451327434E-07,5.30973451327434E-06,0,806599,1,3,0,0,0,6,0,5.3,49227,3,0,60,-3,0.3,0,3,6,0,6,0,4,52.3,1895918,0,0,0,1,711,137374,0,0,221,Southampton,Man Utd,West Ham,Bournemouth,Watford,7.8,8.1,7.7,7.9,6.9,6.7,8.8,6.8,7.5,7.2,7,7.2,8.2,8.3,8.5,6.4,6.7,8.3,6.5,7.8,7.9,7.6,8.8,8.2,6.3,7.6,8.4,6.3,108.6
Nathan,Ake,DEF,BOU,5000000,7,41,4.1,8.2E-07,8.2E-06,0,117699,0,12,0,0,0,1,0,8.2,7661,0,0,41,0,1.3,0,6.3,4,0,4,0,0,4.7,140607,0,0,0,0,900,17458,0,0,197,Man Utd,Newcastle,Arsenal,Man City,Huddersfield,5.1,4.7,3.6,3.8,5.4,5.4,4.7,6,5.3,4.9,4.6,4.2,5.3,4.9,4.8,4.5,5.6,2.7,4.8,5.6,4.2,3.9,4.7,3.9,4.5,4.4,4.9,5,37.6
Marc,Albrighton,MID,LEI,5200000,2,18,1.8,3.46153846153846E-07,3.46153846153846E-06,0,44325,1,7,0,0,0,1,0,3.5,1671,-3,0,18,3,0.2,0,1,0,0,0,0,1,0.5,9285,0,0,0,0,342,528,0,0,82,Cardiff City,Burnley,Brighton,Watford,Fulham,1,1.3,0.9,1.1,1.1,0.9,1.8,0.9,0.9,1.4,0.9,1.5,1.1,0.9,1,1.1,1.3,1.6,0.9,1.3,1.1,1.2,1.7,1.3,1.1,1.1,0.9,0.9,33
Toby,Alderweireld,DEF,TOT,5900000,2,32,3.6,6.10169491525424E-07,5.42372881355932E-06,0,86858,1,7,0,0,0,0,0,5.4,3549,-1,0,32,1,0.8,0,4.7,1,0,4,0,0,2.7,44646,0,0,0,0,800,3575,0,0,188,Wolverhampton,Crystal Palace,Chelsea,Arsenal,Southampton,4.6,4.8,3.4,2.8,3.3,3.9,3.1,4.1,2.5,4,4.8,3.5,3.7,3.1,2.7,3.2,3.9,4.8,2.2,4.3,2.7,4.4,4.4,4,3.8,3.6,3,4.2,27.5
Trent,Alexander-Arnold,DEF,LIV,5100000,2,38,4.8,9.41176470588235E-07,7.45098039215686E-06,0,626332,3,3,0,0,0,0,0,7.5,74340,1,0,38,-1,0.1,0,0.7,2,0,5,0,1,17.5,720164,0,0,0,1,715,12220,0,0,162,Arsenal,Fulham,Watford,Everton,Burnley,3.6,5.5,5,7,5.1,3.9,6.2,6,5.2,4.5,4.9,5.1,5.2,5.8,5.9,4.9,6.1,5.7,5.4,5.8,4.9,6,5.6,6.1,5.8,6.2,6,6.8,34.8
,Alisson,GLK,LIV,5700000,2,47,4.7,8.24561403508772E-07,8.24561403508772E-06,0,315885,0,4,0,19,0,0,0,8.2,52695,2,-1,47,-2,0.8,0,4.7,1,0,6,0,0,19.8,509018,0,0,0,0,900,9525,1,0,203,Arsenal,Fulham,Watford,Everton,Burnley,3.5,5.4,4.9,6.9,4.9,3.7,6,5.9,5.1,4.3,4.8,4.9,5,5.7,5.8,4.8,6,5.5,5.2,5.6,4.7,5.8,5.4,5.9,5.7,6.1,5.8,6.7,16.6
Bamidele,Alli,MID,TOT,8900000,1,21,2.1,2.35955056179775E-07,2.35955056179775E-06,0,410625,0,5,0,0,0,1,0,2.4,3582,-1,0,21,1,0,0,0.3,2,0,1,0,1,2.7,276241,0,0,0,0,376,5105,0,0,81,Wolverhampton,Crystal Palace,Chelsea,Arsenal,Southampton,1.7,2.6,1,1.4,1.5,1.5,1.4,1.2,1.3,1.4,1.5,1,1.7,1.1,1.4,1.2,1.8,1.3,1.1,2.1,1.3,1.1,1.7,1.5,1,1.3,1.5,1.3,37.3
