FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast,ICTIndex
Jamaal,Lascelles,DEF,NEW,4700000,6,95,3,6.38297872340426E-07,2.02127659574468E-05,0,436557,4,36,0,0,0,0,0,20.2,0,-3,0,95,3,0,0,0,8,0,10,0,1,3.1,180393,0,0,0,1,2745,0,0,0,539,Fulham,,,,,2.7,79.6
Maxime,Le Marchand,DEF,FUL,4200000,0,38,1.5,3.57142857142857E-07,9.04761904761905E-06,0,19584,5,53,0,0,0,0,0,9,0,-3,0,38,3,0,0,0,1,0,3,0,1,0.2,9749,0,0,0,0,2250,0,0,0,409,Newcastle,,,,,0.9,81.2
Florian,Lejeune,DEF,NEW,4400000,0,35,2.9,6.59090909090909E-07,7.95454545454546E-06,0,14217,0,13,0,0,0,0,0,8,0,-1,0,35,1,0,0,0,0,0,4,0,0,0.1,15624,0,0,0,0,1054,0,0,0,209,Fulham,,,,,0,35.3
Mario,Lemina,MID,SOU,4700000,0,50,1.35135135135135,2.87521564117309E-07,1.06382978723404E-05,0,30172,5,37,0,0,0,1,0,10.6,0,-3,0,50,3,0,0,0,2,0,4,0,2,0.2,22902,0,0,0,0,1612,0,0,0,270,Huddersfield,,,,,1,71.6
Aaron,Lennon,MID,BUR,4900000,0,41,1.10810810810811,2.26144511858798E-07,8.36734693877551E-06,0,140559,1,22,0,0,0,1,0,8.4,0,-1,0,41,1,0,0,0,2,0,3,0,1,0.3,131433,0,0,0,1,1214,0,0,0,133,Arsenal,,,,,0.7,38
Bernd,Leno,GLK,ARS,4900000,3,106,3.3,6.73469387755102E-07,2.16326530612245E-05,0,250834,0,42,0,105,0,0,0,21.6,0,-1,0,106,1,0,0,0,5,0,6,0,0,4,339095,0,0,0,1,2835,0,0,0,568,Burnley,,,,,2,80.5
Jefferson,Lerma,MID,BOU,4500000,9,75,2.5,5.55555555555556E-07,1.66666666666667E-05,0,52378,12,49,0,0,0,2,0,16.7,0,0,0,75,0,0,0,0,6,0,9,0,2,0.3,49287,1,0,0,0,2505,0,0,0,410,Crystal Palace,,,,,1.9,96.2
,Lewis Cook,MID,BOU,4600000,0,22,1.7,3.69565217391304E-07,4.78260869565217E-06,0,20275,2,10,0,0,0,0,0,4.8,0,-4,0,22,4,0,0,0,0,0,3,0,0,0.1,7073,0,0,0,0,719,0,0,0,91,Crystal Palace,,,,,0,16.5
Stephan,Lichtsteiner,DEF,ARS,4500000,2,14,0.378378378378378,8.40840840840841E-08,3.11111111111111E-06,0,119320,3,18,0,0,0,0,0,3.1,0,-5,0,14,5,0,0,0,0,0,0,0,0,0.8,28754,0,0,0,0,935,0,0,0,89,Burnley,,,,,0.2,20
Anders,Lindegaard,GLK,BUR,4300000,0,0,0,0,0,0,5385,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1189,0,0,0,0,0,0,0,0,0,Arsenal,,,,,0,0
Victor,Lindelof,DEF,MUN,4900000,0,85,2.8,5.71428571428571E-07,1.73469387755102E-05,0,431719,1,40,0,0,0,1,0,17.3,0,-1,0,85,1,0,0,0,9,0,6,0,1,5.2,651996,1,0,0,1,2600,0,0,0,527,Cardiff City,,,,,3.4,72.8
Jesse,Lingard,MID,MUN,6700000,1,78,2.9,4.32835820895522E-07,1.16417910447761E-05,0,813382,3,26,0,0,0,4,0,11.6,0,-3,0,78,3,0,0,0,5,0,3,0,3,2.6,643596,0,0,0,1,1657,0,0,0,270,Cardiff City,,,,,2.6,101.1
Fernando,Llorente,FWD,TOT,5100000,2,41,2,3.92156862745098E-07,8.03921568627451E-06,0,266535,2,8,0,0,0,1,0,8,0,-9,0,41,9,0,0,0,3,0,2,0,4,1.5,327043,1,0,0,1,681,0,0,0,104,Everton,,,,,1.6,63.1
Hugo,Lloris,GLK,TOT,5400000,3,145,4.4,8.14814814814815E-07,2.68518518518519E-05,0,540706,0,33,0,100,0,0,0,26.9,0,-1,0,145,1,0,0,0,10,0,12,0,0,6.2,428629,0,0,2,2,2970,0,0,0,691,Everton,,,,,6.4,86
Jurgen,Locadia,FWD,BHA,5300000,1,52,2,3.77358490566038E-07,9.81132075471698E-06,0,64568,1,21,0,0,0,2,0,9.8,0,-2,0,52,2,0,0,0,6,0,3,0,0,0.3,69304,0,0,0,1,1225,0,0,0,155,Man City,,,,,1.4,69.7
Ruben,Loftus-Cheek,MID,CHE,5200000,3,79,3.3,6.34615384615385E-07,1.51923076923077E-05,0,90116,0,9,0,0,0,6,0,15.2,0,-3,0,79,3,0,0,0,6,0,5,0,2,0.8,76178,0,0,0,2,980,0,0,0,292,Leicester,,,,,0,99.4
Kevin,Long,DEF,BUR,4100000,0,16,0.432432432432432,1.0547132498352E-07,3.90243902439024E-06,0,43215,0,9,0,0,0,0,0,3.9,0,-4,0,16,4,0,0,0,0,0,1,0,1,0.3,13686,0,0,0,0,513,0,0,0,101,Arsenal,,,,,0.2,16.8
Shane,Long,FWD,SOU,4700000,1,66,2.5,5.31914893617021E-07,1.40425531914894E-05,0,323733,3,24,0,0,0,5,0,14,0,-3,0,66,3,0,0,0,5,0,2,0,2,4.9,509090,0,0,0,1,1260,0,0,0,191,Huddersfield,,,,,2.6,84.2
Sean,Longstaff,MID,NEW,4500000,0,26,2.9,6.44444444444444E-07,5.77777777777778E-06,0,16694,2,9,0,0,0,1,0,5.8,0,0,0,26,0,0,0,0,1,0,3,0,1,0,18724,0,0,0,0,686,0,0,0,117,Fulham,,,,,0,30.9
Ademola,Lookman,MID,EVE,4900000,4,34,0.918918918918919,1.87534473248759E-07,6.93877551020408E-06,0,20026,0,8,0,0,0,0,0,6.9,0,-6,0,34,6,0,0,0,0,0,1,0,3,0.1,11025,0,0,0,0,600,0,0,0,110,Tottenham,,,,,0.5,51.6
Jonas,Lossl,GLK,HUD,4400000,0,99,3.2,7.27272727272727E-07,2.25E-05,0,148285,1,54,0,88,0,0,0,22.5,0,-1,0,99,1,0,0,0,9,0,5,0,1,1.5,130916,0,0,1,2,2777,0,0,0,541,Southampton,,,,,2.9,80.7
Dejan,Lovren,DEF,LIV,4900000,0,63,1.7027027027027,3.47490347490347E-07,1.28571428571429E-05,0,502011,1,7,0,0,0,1,0,12.9,0,-1,0,63,1,0,0,0,9,0,6,0,1,1.5,225016,0,0,0,2,986,0,0,0,258,Wolverhampton,,,,,1.6,35.7
Chris,Lowe,DEF,HUD,4400000,0,49,1.7,3.86363636363636E-07,1.11363636363636E-05,0,15496,2,55,0,0,0,0,0,11.1,0,-1,0,49,1,0,0,0,6,0,1,0,4,0.1,10026,0,0,0,0,2052,0,0,0,313,Southampton,,,,,1,88.8
Matthew,Lowton,DEF,BUR,4600000,0,34,1.6,3.47826086956522E-07,7.39130434782609E-06,0,49428,7,41,0,0,0,0,0,7.4,0,-4,0,34,4,0,0,0,1,0,4,0,0,0.2,12074,0,0,0,0,1748,0,0,0,269,Arsenal,,,,,1.1,54.6
,Lucas,FWD,WHU,6200000,0,33,0.891891891891892,1.43853530950305E-07,5.32258064516129E-06,0,51102,0,13,0,0,0,3,0,5.3,0,-3,0,33,3,0,0,0,5,0,0,0,0,0.1,41901,0,0,0,1,465,0,0,0,127,Watford,,,,,0.4,37.7
,Lucas Moura,MID,TOT,6900000,2,131,4.1,5.94202898550725E-07,1.89855072463768E-05,0,2008763,3,18,0,0,0,10,0,19,0,-1,0,131,1,0,0,0,8,0,14,0,2,11.9,2496782,0,0,0,2,2115,0,0,0,340,Everton,,,,,4.3,161.9
Romelu,Lukaku,FWD,MUN,10700000,0,115,3.6,3.36448598130841E-07,1.07476635514019E-05,0,926735,4,38,0,0,0,12,0,10.7,0,-3,0,115,3,0,0,0,14,0,4,0,1,3.9,673093,0,0,0,3,2126,0,0,0,361,Cardiff City,,,,,4,193.5
James,Maddison,MID,LEI,6600000,3,137,3.8,5.75757575757576E-07,2.07575757575758E-05,0,1732719,3,44,0,0,0,7,0,20.8,0,1,0,137,-1,0,1,0,12,0,8,0,7,5.2,1935920,0,0,0,1,2831,0,0,1,619,Chelsea,,,,,3.3,308.4
Gary,Madine,FWD,CAR,4400000,0,5,0.135135135135135,3.07125307125307E-08,1.13636363636364E-06,0,136961,0,3,0,0,0,0,0,1.1,0,-1,0,5,1,0,0,0,0,0,0,0,0,0.9,101906,0,0,0,0,32,0,0,0,13,Man Utd,,,,,0.1,1
