FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8012,0,0,0,0,0,0,0,0,73,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1085,0,0,0,0,0,9,0,0,0,Everton,Tottenham,Fulham,Wolverhampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,0,36,3.3,7.33333333333333E-07,8E-06,0,35466,1,11,0,0,0,1,0,8,2711,0,0,36,0,0.9,0,4,0,0,4,0,0,1.1,59527,0,0,0,0,936,7107,0,1,181,Newcastle,Arsenal,Man City,Huddersfield,Liverpool,3.2,2.5,2.7,4.4,4.1,3.4,4.5,4,3.7,3.6,3.2,3.6,3.4,3.9,3.4,3.8,2,3.3,4.2,3.1,3.1,3.3,3,3.4,3.1,3.5,3.8,29.3
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,12135,0,0,0,0,0,0,0,0,398,-2,1,0,2,0,0,0,0,0,0,0,0,0.4,1294,0,0,0,0,0,114,-1,0,0,Huddersfield,Man City,Newcastle,Cardiff City,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11400000,13,73,6.6,5.78947368421053E-07,6.40350877192982E-06,0,915497,2,4,0,0,0,7,0,6.5,108212,4,-1,73,-4,0.6,0,7,8,0,6,0,6,51,1954665,0,0,0,2,801,55146,1,0,276,Man Utd,West Ham,Bournemouth,Watford,Chelsea,8.8,8.3,9,7.7,7.8,9.9,8.1,8.5,8.4,8.3,8.2,8.6,8.8,9.3,7.5,7.6,9.3,7.9,9.3,8.8,8.2,9.5,9.2,7.5,8.4,9,7.4,129.1
Nathan,Ake,DEF,BOU,5000000,1,42,3.8,7.6E-07,8.4E-06,0,124644,0,14,0,0,0,1,0,8.4,6759,0,0,42,0,0.9,0,4.7,4,0,4,0,0,5,165205,0,0,0,0,990,24291,0,0,217,Newcastle,Arsenal,Man City,Huddersfield,Liverpool,3.9,3.1,3.4,5.1,4.9,4.2,5.4,4.8,4.5,4.4,4,4.4,4.1,4.7,4.2,4.7,2.6,4,5,3.8,3.9,4.1,3.7,4.1,3.9,4.2,4.6,40.9
Marc,Albrighton,MID,LEI,5200000,3,21,1.90909090909091,3.67132867132867E-07,4.03846153846154E-06,0,45463,1,7,0,0,0,1,0,4,1097,-3,0,21,3,0.3,0,1.7,0,0,1,0,1,0.5,10662,0,0,0,0,432,1361,0,0,90,Burnley,Brighton,Watford,Fulham,Tottenham,1.4,1,1.3,1.3,1,1.9,1,1,1.4,1,1.6,1.3,1,1,1.3,1.3,1.7,1.1,1.4,1.3,1.3,1.7,1.5,1.2,1.2,1,1,36
Toby,Alderweireld,DEF,TOT,5900000,1,33,3.3,5.59322033898305E-07,5.59322033898305E-06,0,91279,1,9,0,0,0,0,0,5.6,4363,-1,0,33,1,0.6,0,3.3,1,0,4,0,0,2.7,47182,0,0,0,0,890,2465,0,0,205,Crystal Palace,Chelsea,Arsenal,Southampton,Leicester,4.2,2.8,2.4,3,3.6,2.7,3.7,2.2,3.3,4.4,3.1,3.3,3,2.5,2.8,3.4,4,2,3.6,2.5,3.9,4,3.8,3.2,3,2.7,3.9,29.1
Trent,Alexander-Arnold,DEF,LIV,5000000,2,40,4.4,8.8E-07,8E-06,0,659599,3,4,0,0,0,0,0,8,31108,0,1,40,0,0.3,0,1.3,2,0,5,0,1,17.6,755888,0,0,0,1,805,35497,-1,0,183,Fulham,Watford,Everton,Burnley,Bournemouth,5.2,4.2,6.5,4.3,3.4,5.6,5,4.8,4,4.1,4.4,4.8,5.2,4.6,4.4,5.4,5.5,4.8,5.1,4.2,5.3,4.7,5.2,5.3,6.1,4.7,5.8,39.7
,Alisson,GLK,LIV,5700000,3,50,4.5,7.89473684210526E-07,8.7719298245614E-06,0,332327,0,5,0,22,0,0,0,8.8,15505,2,0,50,-2,0.6,0,3.7,1,0,6,0,0,20.3,549660,0,0,0,0,990,40524,0,0,217,Fulham,Watford,Everton,Burnley,Bournemouth,5.4,4.4,6.7,4.5,3.6,5.8,5.1,5,4.1,4.2,4.6,5,5.4,4.8,4.5,5.6,5.7,4.9,5.3,4.4,5.5,4.8,5.4,5.4,6.2,4.9,6,18.8
Bamidele,Alli,MID,TOT,8900000,0,21,1.90909090909091,2.14504596527068E-07,2.35955056179775E-06,0,415105,0,5,0,0,0,1,0,2.4,4435,-1,0,21,1,0,0,0.3,2,0,1,0,1,2.6,278373,0,0,0,0,376,2012,0,0,81,Crystal Palace,Chelsea,Arsenal,Southampton,Leicester,2.1,1,1.3,1.4,1.3,1.2,1,1.1,1.2,1.4,1,1.5,1.1,1.3,1,1.5,1.1,1,1.7,1.1,1,1.5,1.4,1,1.1,1.3,1.1,37.3
