FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Xande Silva,FWD,WHU,4500000,0,1,0.0357142857142857,7.93650793650794E-09,2.22222222222222E-07,0,9598,0,0,0,0,0,0,0,0.2,540,0,0,1,0,0,0,0,0,0,0,0,0,0.2,16345,0,0,0,0,17,999,0,0,3,Newcastle,Cardiff City,Huddersfield,Everton,Chelsea,0,0,0,0,0,0,0,0,0,0,4.8
Granit,Xhaka,MID,ARS,5200000,0,68,3,5.76923076923077E-07,1.30769230769231E-05,0,353068,7,29,0,0,0,3,0,13.1,3385,-3,0,68,3,0.2,0,0.8,5,0,5,0,2,2.3,219692,0,0,0,1,1972,937,0,0,360,Tottenham,Man Utd,Newcastle,Everton,Watford,1.7,2.4,0,3.4,1.7,1.9,2.9,2.3,3.6,2.2,116.3
Andriy,Yarmolenko,MID,WHU,6700000,0,27,0.964285714285714,1.43923240938166E-07,4.02985074626866E-06,0,114472,2,6,0,0,0,2,0,4,65,-3,0,27,3,0,0,0,2,0,1,0,1,0.5,83422,0,0,0,1,456,13,0,0,88,Newcastle,Cardiff City,Huddersfield,Everton,Chelsea,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,29.1
DeAndre,Yedlin,DEF,NEW,4500000,0,55,2.2,4.88888888888889E-07,1.22222222222222E-05,0,128944,6,34,0,0,0,1,0,12.2,4685,0,0,55,0,0.4,0,2,1,0,5,0,1,1.2,111202,1,0,0,0,2112,861,0,1,290,West Ham,Everton,Bournemouth,Arsenal,Crystal Palace,1.7,2.6,1.1,1.1,1.7,1.9,1.9,1.5,2,1.5,85
Maya,Yoshida,DEF,SOU,4100000,8,24,0.857142857142857,2.09059233449477E-07,5.85365853658537E-06,0,92652,0,17,0,0,0,0,0,5.9,474,-4,0,24,4,0.5,0,2,2,0,2,0,0,0.6,41228,0,0,0,0,889,1047,0,0,168,Man Utd,Tottenham,Brighton,Liverpool,Wolverhampton,0.4,0.4,0,0.4,0.4,0.5,0.4,0.4,0.4,0.5,31.1
Ashley,Young,DEF,MUN,5700000,8,66,3.1,5.43859649122807E-07,1.15789473684211E-05,0,172483,7,29,0,0,0,2,0,11.6,1807,-3,0,66,3,0.9,0,5.3,3,0,4,0,3,2,155341,0,0,0,1,1837,11475,0,0,345,Southampton,Arsenal,Watford,Wolverhampton,West Ham,3,2,0,6.6,0,3,6.6,3.9,3.8,3.8,98.9
Pablo,Zabaleta,DEF,WHU,4300000,1,49,2.3,5.34883720930233E-07,1.13953488372093E-05,0,219670,4,26,0,0,0,0,0,11.4,2398,-2,0,49,2,0.2,0,0.8,4,0,4,0,1,2,136900,0,0,0,0,1680,873,0,0,301,Newcastle,Cardiff City,Huddersfield,Everton,Chelsea,1.8,2.3,2.5,2.8,2.2,1.8,1.9,2,2.1,1.8,57.5
Wilfried,Zaha,FWD,CRY,6800000,1,90,3.8,5.58823529411765E-07,1.32352941176471E-05,0,2160179,7,35,0,0,0,7,0,13.2,11111,-2,-1,90,2,0.9,0,5.8,9,0,7,0,5,12.4,1168971,0,0,0,1,2153,51888,1,1,283,Burnley,Brighton,Huddersfield,Newcastle,Man City,4.4,4.7,0,4,4.1,3.6,3.9,4,4.3,4.9,193.9
Andre-Frank,Zambo Anguissa,MID,FUL,4400000,2,18,0.642857142857143,1.46103896103896E-07,4.09090909090909E-06,0,16087,0,20,0,0,0,0,0,4.1,42,-1,0,18,1,0.2,0,0.8,0,0,0,0,0,0.1,11308,0,0,0,0,771,23,0,1,112,Chelsea,Leicester,Liverpool,Man City,Watford,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,27.9
,Zanka,DEF,HUD,4400000,0,66,2.9,6.59090909090909E-07,1.5E-05,0,396009,6,36,0,0,0,3,0,15,4115,-1,0,66,1,0.1,0,0.5,4,0,3,0,1,2.9,82531,0,0,0,0,2057,319,0,0,385,Brighton,Bournemouth,West Ham,Crystal Palace,Leicester,2.4,2.9,2.6,3,2.7,2.9,3,2.7,2.5,2.5,78.4
Davide,Zappacosta,DEF,CHE,5000000,0,2,0.0740740740740741,1.48148148148148E-08,4E-07,0,15024,0,0,0,0,0,0,0,0.4,89,-5,0,2,5,0,0,0,0,0,0,0,0,0.1,3873,0,0,0,0,18,29,0,0,5,Fulham,Wolverhampton,Everton,Cardiff City,West Ham,0,0,0,0,0,0,0,0,0,0,2.5
Marvin,Zeegelaar,DEF,WAT,4200000,0,0,0,0,0,0,4853,0,0,0,0,0,0,0,0,15,-3,0,0,3,0,0,0,0,0,0,0,0,0,964,0,0,0,0,0,1,0,0,0,Leicester,Man City,Man Utd,Fulham,Arsenal,0,0,0,0,0,0,0,0,0,0,0
Oleksandr,Zinchenko,MID,MCI,4700000,3,22,0.785714285714286,1.67173252279635E-07,4.68085106382979E-06,0,5156,0,2,0,0,0,0,0,4.7,623,-3,0,22,3,0.7,0,3.3,1,0,3,0,3,0.1,10322,0,0,0,0,413,2602,0,0,111,Bournemouth,Watford,Fulham,Cardiff City,Crystal Palace,0.4,0.4,0,0.4,0.4,0.4,0.8,0.4,0.4,0.4,31
Kenneth,Zohore,FWD,CAR,4600000,2,23,1.9,4.1304347826087E-07,5E-06,0,59257,1,13,0,0,0,1,0,5,2221,-4,0,23,4,0.5,0,2.5,2,0,1,0,1,0.6,54398,0,0,0,0,438,6705,0,0,57,Wolverhampton,West Ham,Chelsea,Man City,Burnley,1.1,1.7,0,1.4,1,1.4,1.2,1.6,1.2,1.4,39.4
Kurt,Zouma,DEF,EVE,5000000,0,62,2.7,5.4E-07,1.24E-05,0,75328,3,32,0,0,0,1,0,12.4,2988,0,0,62,0,-0.1,0,-0.3,7,0,4,0,2,0.5,91883,0,0,0,1,1803,160,0,1,334,Liverpool,Newcastle,Chelsea,West Ham,Arsenal,2.9,2,3.5,2.2,2.3,2,2.4,2.5,2.5,2.4,61.5
