FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8709,0,0,0,0,0,0,0,0,12,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1364,0,0,0,0,0,8,0,0,0,Burnley,Man Utd,Watford,Leicester,,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,6,60,2.6,6.04651162790698E-07,1.3953488372093E-05,0,93778,5,28,0,0,0,1,0,14,603,-2,0,60,2,0.5,0,2,0,0,7,0,0,0.5,81988,0,0,0,0,1887,1872,0,1,319,Fulham,Southampton,Tottenham,Crystal Palace,,3,1.9,2.7,2.1,55.4
,Adrian,GLK,WHU,4200000,0,0,0,0,0,0,17674,0,0,0,0,0,0,0,0,183,-3,0,0,3,0,0,0,0,0,0,0,0,0.3,3897,0,0,0,0,0,64,0,0,0,Leicester,Tottenham,Southampton,Watford,,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11800000,2,177,6.3,5.33898305084746E-07,1.5E-05,0,4617650,4,14,0,0,0,19,0,15.1,45656,8,-1,177,-8,0.3,0,4,23,0,13,0,10,38.9,4989551,0,0,0,4,2046,162737,1,0,655,Tottenham,Man Utd,Burnley,Leicester,Brighton,16.1,7.7,8.3,7.6,269.5
Nathan,Ake,DEF,BOU,5100000,5,103,3,5.88235294117647E-07,2.01960784313726E-05,0,374043,3,61,0,0,0,3,0,20.2,11671,1,0,103,-1,0.5,0,2.3,6,0,9,0,1,6.2,484971,0,0,0,0,3051,16818,0,0,631,Fulham,Southampton,Tottenham,Crystal Palace,,3.7,2.4,3.4,2.7,132
Marc,Albrighton,MID,LEI,5100000,1,53,1.55882352941176,3.05651672433679E-07,1.03921568627451E-05,0,83182,3,15,0,0,0,2,0,10.4,104,-4,0,53,4,0.1,0,0.3,4,0,3,0,2,0.3,39812,0,0,0,0,1310,63,0,0,246,West Ham,Arsenal,Man City,Chelsea,,0.8,1,0.8,0.8,90.5
Toby,Alderweireld,DEF,TOT,6000000,0,94,3.2,5.33333333333333E-07,1.56666666666667E-05,0,271961,2,27,0,0,0,0,0,15.7,6637,0,0,94,0,0.3,0,1.7,5,0,11,0,0,3.7,275647,1,0,0,1,2529,7872,0,0,570,Man City,Brighton,West Ham,Bournemouth,Everton,6.4,3.5,2.3,4.3,88.7
Trent,Alexander-Arnold,DEF,LIV,5500000,8,139,5.6,1.01818181818182E-06,2.52727272727273E-05,0,2589090,3,12,0,0,0,1,0,25.3,19996,5,0,139,-5,0.9,0,4.7,16,0,13,0,7,20.6,2889599,0,0,0,6,2108,70131,0,0,588,Cardiff City,Huddersfield,Newcastle,Wolverhampton,,6.8,7.8,6,8,148.7
,Alisson,GLK,LIV,5900000,7,156,4.6,7.79661016949152E-07,2.64406779661017E-05,0,885054,1,20,0,67,0,0,0,26.4,20986,4,0,156,-4,0.6,0,3.7,9,0,18,0,0,23.2,1207117,0,0,0,1,3060,19162,0,0,675,Cardiff City,Huddersfield,Newcastle,Wolverhampton,,5.6,6.4,4.5,6.3,60.2
Bamidele,Alli,MID,TOT,8800000,0,82,2.48484848484848,2.8236914600551E-07,9.31818181818182E-06,0,648424,3,18,0,0,0,5,0,9.3,3144,-2,0,82,2,0.1,0,1.3,8,0,7,0,3,2.4,490874,0,0,0,1,1445,2001,0,0,297,Man City,Brighton,West Ham,Bournemouth,Everton,3.5,2.1,1.7,1.9,130
