FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8646,0,0,0,0,0,0,0,0,10,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1324,0,0,0,0,0,7,0,0,0,Wolverhampton,Everton,Cardiff City,West Ham,Liverpool,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,2,53,2.6,6.04651162790698E-07,1.23255813953488E-05,0,83494,4,25,0,0,0,1,0,12.3,620,-2,0,53,2,0.2,0,0.8,0,0,6,0,0,0.6,78586,0,0,0,0,1664,6785,0,1,280,Huddersfield,Newcastle,Leicester,Burnley,Brighton,2.3,2.5,2,2.5,1.6,3,1.7,2.7,2,49.8
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,16758,0,0,0,0,0,0,0,0,127,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,3422,0,0,0,0,0,56,0,0,0,Cardiff City,Huddersfield,Everton,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11900000,2,160,6.4,5.3781512605042E-07,1.34453781512605E-05,0,3707450,4,13,0,0,0,18,0,13.6,26209,9,-1,160,-9,0.8,0,9.3,21,0,12,0,8,41.2,4229245,0,0,0,4,1837,120950,1,0,602,Watford,Fulham,Cardiff City,Crystal Palace,Tottenham,8.9,0,7.6,9.2,8.1,16.3,7.8,8.6,7.4,246
Nathan,Ake,DEF,BOU,5000000,2,86,3,6E-07,1.72E-05,0,307027,2,54,0,0,0,3,0,17.2,5801,0,0,86,0,0.3,0,1.3,6,0,7,0,0,5.2,354635,0,0,0,0,2601,21023,0,0,517,Huddersfield,Newcastle,Leicester,Burnley,Brighton,2.9,3.1,2.5,3.1,2,3.6,2.2,3.3,2.5,111.1
Marc,Albrighton,MID,LEI,5100000,0,52,1.79310344827586,3.5158891142664E-07,1.01960784313725E-05,0,81923,3,15,0,0,0,2,0,10.2,634,-4,0,52,4,0,0,0,4,0,3,0,2,0.3,39677,0,0,0,0,1300,17,0,0,237,Fulham,Burnley,Bournemouth,Huddersfield,Newcastle,0,0,0,0,0,1,1.2,0.9,0.9,84.8
Toby,Alderweireld,DEF,TOT,6000000,2,89,3.3,5.5E-07,1.48333333333333E-05,0,234510,2,25,0,0,0,0,0,14.8,5592,0,0,89,0,0.2,0,1.3,5,0,10,0,0,3.8,243524,0,0,0,1,2349,4037,0,0,531,Southampton,Liverpool,Brighton,Huddersfield,Man City,3.2,0,3.4,3.9,3.9,3,3.4,2.5,4.3,83.4
Trent,Alexander-Arnold,DEF,LIV,5500000,9,121,6,1.09090909090909E-06,2.2E-05,0,2313924,3,8,0,0,0,1,0,22.4,4461,5,-1,121,-5,1.3,0,7,14,0,12,0,6,20.5,2598687,0,0,0,6,1695,190164,1,0,491,Burnley,Fulham,Tottenham,Southampton,Chelsea,7.8,6.9,8.1,7.1,8.7,7.3,8.4,6.7,8.5,115.4
,Alisson,GLK,LIV,6000000,8,143,4.9,8.16666666666667E-07,2.38333333333333E-05,0,712203,0,15,0,62,0,0,0,23.8,11271,5,0,143,-5,1.3,0,7.8,9,0,17,0,0,24.6,1127261,0,0,0,1,2610,17727,0,0,609,Burnley,Fulham,Tottenham,Southampton,Chelsea,5.9,5.2,6.2,5.3,7.1,6,6.9,5,6.8,54.7
Bamidele,Alli,MID,TOT,8800000,0,73,2.51724137931034,2.86050156739812E-07,8.29545454545455E-06,0,632358,2,14,0,0,0,5,0,8.3,742,-2,0,73,2,0,0,0,8,0,6,0,2,2.3,468854,0,0,0,1,1193,403,0,0,257,Southampton,Liverpool,Brighton,Huddersfield,Man City,0,0,1.3,2.4,2.4,1.3,2,1.8,1.8,112
