FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8171,0,0,0,0,0,0,0,0,28,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1105,0,0,0,0,0,3,0,0,0,Man City,Brighton,Leicester,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4400000,0,37,3.1,7.04545454545455E-07,8.40909090909091E-06,0,68950,1,12,0,0,0,1,0,8.2,3010,-1,1,37,1,0.1,0,0.3,0,0,4,0,0,0.5,60016,0,0,0,0,965,23,-1,1,184,Liverpool,Wolverhampton,Brighton,Tottenham,Man Utd,0,0,0,0,0,0,0,0,0,0,0,3.5,1.8,3.1,4.1,2.7,2.6,3.1,2.5,3.3,2.6,3.2,3.4,29.4
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,13151,0,0,0,0,0,0,0,0,254,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,1814,0,0,0,0,0,144,0,0,0,Crystal Palace,Fulham,Watford,Southampton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11300000,0,82,6.3,5.57522123893805E-07,7.25663716814159E-06,0,2573029,2,5,0,0,0,8,0,7.3,615349,3,1,82,-3,0.2,0,2.3,9,0,7,0,6,26.8,2200096,0,0,0,2,955,2403,-1,0,316,Chelsea,Everton,Crystal Palace,Leicester,Southampton,0,9.2,7.6,7.7,8,7.4,7.9,8.3,8.7,8.7,7.5,6.9,8.4,7.9,8.8,8.4,7.7,9.3,8.3,7.3,8.1,8.3,7.4,141.8
Nathan,Ake,DEF,BOU,5000000,2,46,3.1,6.2E-07,9.2E-06,0,165344,1,22,0,0,0,1,0,9.2,9449,0,0,46,0,0.2,0,1,4,0,4,0,0,4.7,187517,0,0,0,0,1350,3292,0,0,263,Liverpool,Wolverhampton,Brighton,Tottenham,Man Utd,3.5,3.1,3.9,3.2,3.1,3.4,3.1,2.9,3.6,3.6,2.7,3.5,1.8,3.1,4.1,2.7,2.6,3.1,2.5,3.3,2.6,3.2,3.4,57.7
Marc,Albrighton,MID,LEI,5100000,2,31,2.06666666666667,4.05228758169935E-07,6.07843137254902E-06,0,49033,2,9,0,0,0,1,0,6.1,898,-4,0,31,4,0.5,0,2.5,0,0,2,0,2,0.4,13360,0,0,0,0,761,285,0,0,144,Tottenham,Crystal Palace,Chelsea,Man City,Cardiff City,1.1,1.7,1,1,1.7,1,1.8,1.5,1,1.3,1.2,1.5,1.9,1.3,1.9,1.5,1.6,1.8,1.7,1.4,1.4,1,1.1,54.3
Toby,Alderweireld,DEF,TOT,5900000,2,44,3.4,5.76271186440678E-07,7.45762711864407E-06,0,107302,1,11,0,0,0,0,0,7.5,4186,-1,0,44,1,0.5,0,2.8,2,0,5,0,0,3.2,87649,0,0,0,0,1160,12734,0,0,262,Leicester,Burnley,Everton,Bournemouth,Wolverhampton,3.4,3.1,4,2.6,3.6,4.4,3.4,3.1,3.5,2.7,3.2,3.4,4,2.3,3.4,3.2,3.6,4,4.2,3.4,2.9,2.7,4.7,41.6
Trent,Alexander-Arnold,DEF,LIV,5400000,2,73,5.6,1.03703703703704E-06,1.35185185185185E-05,0,704687,3,5,0,0,0,1,0,13.8,16708,4,-1,73,-4,1.5,0,8.3,6,0,8,0,2,30.4,1542869,0,0,0,3,1142,153060,1,0,284,Bournemouth,Man Utd,Wolverhampton,Newcastle,Arsenal,5.1,7.6,7,6.6,5.9,6.3,6,7.4,7.3,6.5,6.5,7.1,7.8,6.3,7.2,5.7,7.4,6.3,7.9,6.5,7.6,6.7,7.9,64.6
,Alisson,GLK,LIV,5700000,3,75,5,8.7719298245614E-07,1.31578947368421E-05,0,385974,0,6,0,34,0,0,0,13.2,12250,2,0,75,-2,1.1,0,6.3,3,0,9,0,0,20.9,636623,0,0,0,0,1350,26895,0,0,317,Bournemouth,Man Utd,Wolverhampton,Newcastle,Arsenal,4.2,6.6,6.1,5.6,4.9,5.3,5.1,6.3,6.3,5.5,5.5,6.1,6.7,5.6,6.2,4.8,6.3,5.3,7,5.8,6.7,5.7,6.9,28
Bamidele,Alli,MID,TOT,8900000,1,39,2.6,2.92134831460674E-07,4.38202247191011E-06,0,436394,1,11,0,0,0,2,0,4.4,9928,-1,0,39,1,0.5,0,4.5,5,0,2,0,2,3.4,340929,0,0,0,1,641,11065,0,0,144,Leicester,Burnley,Everton,Bournemouth,Wolverhampton,2.1,2.1,1.5,2,2.1,1.9,1.6,2.2,2.1,2.2,1.9,2.4,1.6,1.8,2.5,1.9,1.5,2.5,2.2,1.3,1.8,2.1,2.1,58.5
