FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8693,0,0,0,0,0,0,0,0,13,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1355,0,0,0,0,0,9,0,0,0,West Ham,Liverpool,Burnley,Man Utd,Watford,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,0,54,2.6,6.04651162790698E-07,1.25581395348837E-05,0,91703,4,25,0,0,0,1,0,12.6,824,-2,0,54,2,0.1,0,0.3,0,0,6,0,0,0.5,79378,0,0,0,0,1707,110,0,1,287,Burnley,Brighton,Fulham,Southampton,Tottenham,0,1.7,3,1.8,2.8,1.9,50.6
,Adrian,GLK,WHU,4200000,0,0,0,0,0,0,17231,0,0,0,0,0,0,0,0,100,-3,1,0,3,0,0,0,0,0,0,0,0,0.3,3777,0,0,0,0,0,123,-1,0,0,Chelsea,Man Utd,Leicester,Tottenham,Southampton,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11800000,10,175,6.5,5.50847457627119E-07,1.48305084745763E-05,0,4449721,4,14,0,0,0,19,0,14.7,471320,8,1,175,-8,0.4,0,5,23,0,12,0,10,34.5,4604191,0,0,0,4,1972,12431,-1,0,648,Crystal Palace,Tottenham,Man Utd,Burnley,Leicester,0,8.1,16.8,7.9,8.7,7.7,265.6
Nathan,Ake,DEF,BOU,5100000,1,97,3,5.88235294117647E-07,1.90196078431373E-05,0,341363,2,58,0,0,0,3,0,19,5782,1,0,97,-1,0.7,0,3.7,6,0,8,0,1,6.5,460571,0,0,0,0,2871,30566,0,0,585,Burnley,Brighton,Fulham,Southampton,Tottenham,3.1,2.2,3.7,2.3,3.4,2.5,121.6
Marc,Albrighton,MID,LEI,5100000,0,52,1.625,3.18627450980392E-07,1.01960784313725E-05,0,82903,3,15,0,0,0,2,0,10.2,196,-4,0,52,4,0,0,0,4,0,3,0,2,0.3,39738,0,0,0,0,1300,27,0,0,237,Huddersfield,Newcastle,West Ham,Arsenal,Man City,0,0,0,0,0,0.8,84.8
Toby,Alderweireld,DEF,TOT,6000000,5,94,3.2,5.33333333333333E-07,1.56666666666667E-05,0,260201,2,27,0,0,0,0,0,15.7,6272,0,0,94,0,0.3,0,1.7,5,0,11,0,0,3.5,250562,1,0,0,1,2529,927,0,0,570,Huddersfield,Man City,Brighton,West Ham,Bournemouth,0,3.8,6.6,3.4,2.2,4.2,88.7
Trent,Alexander-Arnold,DEF,LIV,5500000,2,127,5.5,1E-06,2.30909090909091E-05,0,2502383,3,11,0,0,0,1,0,23.1,13360,5,1,127,-5,0.4,0,2,14,0,12,0,6,20.1,2760954,0,0,0,6,1960,60549,-1,0,537,Southampton,Chelsea,Cardiff City,Huddersfield,Newcastle,6.5,8,6.7,7.6,5.7,7.9,137.1
,Alisson,GLK,LIV,5900000,2,147,4.6,7.79661016949152E-07,2.49152542372881E-05,0,822699,1,19,0,64,0,0,0,24.9,11343,4,0,147,-4,0.2,0,1.3,9,0,17,0,0,23.9,1181535,0,0,0,1,2880,29578,0,0,636,Southampton,Chelsea,Cardiff City,Huddersfield,Newcastle,5,6.7,5.6,6.4,4.4,6.2,56.9
Bamidele,Alli,MID,TOT,8800000,4,82,2.5625,2.91193181818182E-07,9.31818181818182E-06,0,638259,3,18,0,0,0,5,0,9.3,3344,-2,0,82,2,0.3,0,3,8,0,7,0,3,2.4,482433,0,0,0,1,1445,1669,0,0,297,Huddersfield,Man City,Brighton,West Ham,Bournemouth,0,2.6,3.8,2.1,1.8,1.9,130
