FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8143,0,0,0,0,0,0,0,0,39,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1102,0,0,0,0,0,5,0,0,0,Wolverhampton,Man City,Brighton,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,0,37,3.1,6.88888888888889E-07,8.22222222222222E-06,0,65772,1,12,0,0,0,1,0,8.2,4411,0,0,37,0,0.1,0,0.3,0,0,4,0,0,0.6,59993,0,0,0,0,965,23,0,1,184,Huddersfield,Liverpool,Wolverhampton,Brighton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.8,3,4.1,2.7,2.6,3.1,2.6,3.3,2.6,3.2,3.4,29.4
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,12889,0,0,0,0,0,0,0,0,206,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,1664,0,0,0,0,0,135,0,0,0,Cardiff City,Crystal Palace,Fulham,Watford,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11400000,0,82,6.3,5.52631578947368E-07,7.19298245614035E-06,0,1908515,2,5,0,0,0,8,0,7.1,906414,4,1,82,-4,0.3,0,3,9,0,7,0,6,38,2197617,0,0,0,2,955,6341,-1,0,316,Watford,Chelsea,Everton,Crystal Palace,Leicester,0,7.1,9.2,7.3,7.7,8.1,7.2,7.7,8.4,8.7,8.6,7.1,6.8,8.2,8,8.8,8.4,7.8,9.2,8.3,7.1,8.2,8.1,7.5,141.8
Nathan,Ake,DEF,BOU,5000000,1,44,3.1,6.2E-07,8.8E-06,0,155695,1,21,0,0,0,1,0,8.8,6345,0,0,44,0,0.1,0,0.7,4,0,4,0,0,4.8,183967,0,0,0,0,1260,6114,0,0,248,Huddersfield,Liverpool,Wolverhampton,Brighton,Tottenham,4.1,3.6,3.2,3.9,3.4,3.1,3.4,3.1,2.9,3.4,3.6,2.9,3.5,1.8,3,4.1,2.7,2.6,3.1,2.6,3.3,2.6,3.2,3.4,52.6
Marc,Albrighton,MID,LEI,5100000,5,29,2.07142857142857,4.06162464985994E-07,5.68627450980392E-06,0,48114,2,8,0,0,0,1,0,5.7,585,-4,0,29,4,0.5,0,2.7,0,0,2,0,2,0.5,13022,0,0,0,0,671,1478,0,0,133,Fulham,Tottenham,Crystal Palace,Chelsea,Man City,1.3,1.1,1.8,1,1,1.7,1,1.8,1.5,1,1.3,1.3,1.5,1.9,1.3,1.8,1.5,1.6,1.8,1.7,1.5,1.4,1,1,51.2
Toby,Alderweireld,DEF,TOT,5900000,0,42,3.5,5.93220338983051E-07,7.11864406779661E-06,0,102968,1,10,0,0,0,0,0,7.1,4946,-1,0,42,1,0.5,0,3,2,0,5,0,0,3,74564,0,0,0,0,1070,10581,0,0,245,Southampton,Leicester,Burnley,Everton,Bournemouth,3.3,3.6,3.2,4.1,2.7,3.7,4.6,3.4,3.4,3.6,2.8,3.2,3.6,4.3,2.3,3.7,3.2,3.9,4.2,4.2,3.6,3,2.9,4.9,36.9
Trent,Alexander-Arnold,DEF,LIV,5300000,6,71,5.9,1.11320754716981E-06,1.33962264150943E-05,0,687779,3,4,0,0,0,1,0,13.7,6618,3,-1,71,-3,1.9,0,10.3,6,0,8,0,2,28,1380721,0,0,0,3,1075,188509,1,0,275,Burnley,Bournemouth,Man Utd,Wolverhampton,Newcastle,6.7,5.6,8.1,7.4,7.2,6.2,6.8,6.7,7.7,7.8,7.4,7,7.6,8.4,6.6,7.8,6.3,7.8,6.8,8.1,6.8,7.9,7.3,8.2,61.4
,Alisson,GLK,LIV,5700000,9,72,5.1,8.94736842105263E-07,1.26315789473684E-05,0,373534,0,5,0,29,0,0,0,12.6,7163,2,0,72,-2,1.3,0,7.3,3,0,9,0,0,20.7,608750,0,0,0,0,1260,28639,0,0,294,Burnley,Bournemouth,Man Utd,Wolverhampton,Newcastle,5.4,4.5,6.7,6.4,5.9,5,5.5,5.5,6.4,6.4,6,5.7,6.2,6.9,5.7,6.4,5.1,6.6,5.5,6.9,5.9,6.9,5.9,7.1,24.2
Bamidele,Alli,MID,TOT,8900000,1,38,2.71428571428571,3.04975922953451E-07,4.26966292134831E-06,0,426314,1,10,0,0,0,2,0,4.3,5608,-1,0,38,1,0.6,0,5.7,5,0,2,0,2,3.3,328510,0,0,0,1,630,24703,0,0,140,Southampton,Leicester,Burnley,Everton,Bournemouth,2.5,2.3,2.3,1.7,2.1,2.2,2.1,1.7,2.4,2.2,2.3,2,2.6,1.8,1.9,2.7,2,1.7,2.5,2.2,1.5,1.9,2.3,2.2,57.2
