FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,7541,0,0,0,0,0,0,0,0,171,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1036,0,0,0,0,0,6,0,0,0,Southampton,Man Utd,Burnley,Crystal Palace,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,2,18,2.6,5.77777777777778E-07,4E-06,0,24714,0,9,0,0,0,1,0,4,2255,0,0,18,0,0.7,0,3.3,0,0,1,0,0,0.8,32364,0,0,0,0,576,1167,0,1,103,Watford,Southampton,Fulham,Man Utd,Newcastle,1.3,3,1.3,2.8,1.7,2.3,1.3,3.2,3.2,1.5,3.6,1.8,1.9,2.8,1.5,2.9,3.2,2.4,1.3,3.4,1.3,2.5,2.2,2.5,1.3,2.7,1.4,2.6,1.4,2.6,2.2,19.8
,Adrian,GLK,WHU,4400000,0,0,0,0,0,0,10098,0,0,0,0,0,0,0,0,696,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,921,0,0,0,0,0,110,0,0,0,Brighton,Tottenham,Leicester,Burnley,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11400000,8,51,7.3,6.40350877192982E-07,4.47368421052632E-06,0,565453,0,3,0,0,0,5,0,4.5,203216,4,0,51,-4,0.6,0,7,6,0,3,0,4,50,1532371,0,0,0,1,511,73487,0,0,202,Liverpool,Burnley,Tottenham,Southampton,Man Utd,7.4,10,9.6,10.3,9.3,9.4,11,8.8,8.6,10.8,7.5,9.2,9.2,9.8,9.6,10.2,10.3,10.3,9,8.8,10.1,8.2,10.8,10.2,9,10.1,10.9,8.6,9.4,10.3,8.5,90.4
Nathan,Ake,DEF,BOU,5000000,2,22,3.1,6.2E-07,4.4E-06,0,97692,0,12,0,0,0,1,0,4.4,10375,0,0,22,0,0.2,0,1,3,0,1,0,0,4.3,102357,0,0,0,0,630,2297,0,0,109,Watford,Southampton,Fulham,Man Utd,Newcastle,1.6,3.8,1.6,3.6,2.3,3.1,1.6,4,4.1,2,4.6,2.4,2.6,3.6,2,3.7,4.1,3,1.7,4.3,1.6,3.2,2.9,3.3,1.6,3.5,1.9,3.4,1.9,3.4,2.9,25
Marc,Albrighton,MID,LEI,5300000,1,15,2.14285714285714,4.04312668463612E-07,2.83018867924528E-06,0,37837,0,3,0,0,0,1,0,2.8,2326,-2,0,15,2,0.5,0,2.7,0,0,0,0,1,0.6,7941,0,0,0,0,200,565,0,0,61,Everton,Arsenal,West Ham,Cardiff City,Burnley,1.8,1.2,1.6,1.5,1.7,1.2,2,1.3,1.3,2.7,1.1,1.1,1.8,1.1,2.1,1.2,1.1,1.4,1.4,1.7,2.2,1.2,1.9,1.4,2.4,2.1,1.9,1.3,1.6,1.1,1.1,17.4
Toby,Alderweireld,DEF,TOT,5900000,6,18,3,5.08474576271186E-07,3.05084745762712E-06,0,73277,0,6,0,0,0,0,0,3.1,2816,-1,0,18,1,0.5,0,3,0,0,2,0,0,2.7,30778,0,0,0,0,530,9290,0,0,123,Cardiff City,West Ham,Man City,Wolverhampton,Crystal Palace,3.8,3,2.2,3.1,3.9,3,2.2,2.7,2.7,2.4,3.1,2.9,3.3,4.1,2.5,2.3,2.5,2.2,2.4,2.9,3.6,2,3,1.8,2.7,3.6,2.9,2.6,2.6,1.9,3.3,17.7
Trent,Alexander-Arnold,DEF,LIV,5100000,2,36,5.1,1E-06,7.05882352941176E-06,0,328631,3,2,0,0,0,0,0,7.1,26596,1,0,36,-1,1.2,0,6.3,2,0,5,0,1,20.9,607250,0,0,0,1,625,75619,0,0,147,Man City,Huddersfield,Cardiff City,Arsenal,Fulham,6.2,6.4,7.5,3.8,6.5,4,7.6,4.9,3.3,6.8,5.3,6.3,5.9,4.4,5.2,5.5,6.6,5.1,7.3,6.3,6.8,5.2,6.6,4,6.4,5.1,7.4,5.8,7,5.8,7.6,28.2
,Alisson,GLK,LIV,5600000,3,33,4.7,8.39285714285714E-07,5.89285714285714E-06,0,233164,0,3,0,16,0,0,0,5.9,25160,1,0,33,-1,0.7,0,3.7,1,0,4,0,0,18.7,368835,0,0,0,0,630,17471,0,0,146,Man City,Huddersfield,Cardiff City,Arsenal,Fulham,5.5,5.9,6.9,3.3,5.8,3.5,7,4.3,2.9,6.1,4.7,5.6,5.3,3.9,4.6,4.9,5.9,4.5,6.6,5.6,6.1,4.6,5.9,3.5,5.8,4.5,6.7,5.3,6.5,5.1,7,12.6
Bamidele,Alli,MID,TOT,9000000,0,20,2.85714285714286,3.17460317460317E-07,2.22222222222222E-06,0,374968,0,5,0,0,0,1,0,2.2,36410,0,0,20,0,0,0,0.3,2,0,1,0,1,3.2,270512,0,0,0,0,361,461,0,0,72,Cardiff City,West Ham,Man City,Wolverhampton,Crystal Palace,0,2.4,1.4,2.4,4.3,1.5,2.3,2.7,2.3,2.2,2.1,3.1,2.6,2.8,1.8,2.5,2.6,2.6,2,2.6,1.9,2.1,2.9,2.3,1.7,2.9,2.6,1.8,2.1,2.2,2.3,35.2
Marcos,Alonso,DEF,CHE,6900000,2,54,7.7,1.11594202898551E-06,7.82608695652174E-06,0,161008,1,5,0,0,0,1,0,7.8,25819,4,0,54,-4,0.5,0,3.3,9,0,3,0,5,46,1551764,0,0,0,2,630,63452,0,0,194,Southampton,Man Utd,Burnley,Crystal Palace,Everton,9.9,9.7,10.1,8.8,11.3,11,10.4,9.5,9.9,9.2,10.5,8.9,11.6,10.7,9.7,8.6,7.8,9.7,9.5,11.6,9.7,8.9,11.2,9.4,10,10.5,9.3,10.4,11,10.8,9.8,43.5
Daniel,Amartey,MID,LEI,4500000,3,10,1.42857142857143,3.17460317460317E-07,2.22222222222222E-06,0,9592,1,3,0,0,0,0,0,2.2,540,0,0,10,0,0.4,0,1.7,0,0,1,0,0,0.3,6557,0,0,0,0,369,605,0,0,68,Everton,Arsenal,West Ham,Cardiff City,Burnley,0.9,0.7,0.8,0.7,0.9,0.7,1,0.7,0.7,1.5,0.7,0.7,1,0.7,1.1,0.7,0.7,0.7,0.7,0.9,1.2,0.7,1,0.7,1.3,1.1,1,0.7,0.8,0.7,0.7,12.1
