FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Callum,Wilson,FWD,BOU,6600000,6,105,5.3,8.03030303030303E-07,1.59090909090909E-05,0,2007911,3,31,0,0,0,9,0,15.7,249791,6,1,105,-6,0.4,1,2.6,11,0,5,0,8,27.6,3237361,0,0,0,4,1654,67855,-1,0,331,Everton,West Ham,Chelsea,Cardiff City,Liverpool,0,7.3,6,5.9,4.4,6.4,5.9,6.9,6.1,6.8,5.8,7.7,5.3,8,6.3,5.9,5.9,147.9
Harry,Winks,MID,TOT,5500000,3,29,1.38095238095238,2.51082251082251E-07,5.27272727272727E-06,0,4383,4,10,0,0,0,0,0,5.3,434,0,0,29,0,0.3,0,1.8,0,0,5,0,0,0.1,5214,0,0,0,0,977,476,0,0,151,Man Utd,Fulham,Watford,Newcastle,Leicester,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.9,0.7,0.7,1,0.8,0.7,0.7,0.7,0.7,23.7
Chris,Wood,FWD,BUR,6200000,5,46,2.2,3.54838709677419E-07,7.41935483870968E-06,0,38009,2,26,0,0,0,3,0,7.4,2615,-3,0,46,3,0.5,0,3.4,3,0,4,0,0,0.5,36529,0,0,0,0,1153,13306,0,0,116,Fulham,Watford,Man Utd,Southampton,Brighton,2.7,1.7,1.9,2.2,1.4,1.5,1.9,1.5,1.1,1.7,1.6,1.5,2.1,1.3,1.9,1.4,2.3,69.3
Frederick,Woodman,GLK,NEW,4000000,0,0,0,0,0,0,4798,0,0,0,0,0,0,0,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0.2,11515,0,0,0,0,0,741,0,0,0,Chelsea,Cardiff City,Man City,Tottenham,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Xande Silva,FWD,WHU,4500000,0,1,0.0476190476190476,1.05820105820106E-08,2.22222222222222E-07,0,3659,0,0,0,0,0,0,0,0.2,1610,0,0,1,0,0,0,0.2,0,0,0,0,0,0.1,7314,0,0,0,0,17,2444,0,0,3,Arsenal,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8
Granit,Xhaka,MID,ARS,5300000,10,61,3,5.66037735849057E-07,1.15094339622642E-05,0,298438,7,28,0,0,0,3,0,11.5,7724,-2,0,61,2,0.6,0,3.4,5,0,3,0,2,2.9,199362,0,0,0,1,1734,23643,0,0,317,West Ham,Chelsea,Cardiff City,Man City,Huddersfield,2.3,2,2.8,1.5,2.9,3.3,3.2,1.9,2.3,2.6,3.1,1.7,2.1,2.7,2.5,3.7,2.4,105.3
Andriy,Yarmolenko,MID,WHU,6700000,0,27,1.28571428571429,1.91897654584222E-07,4.02985074626866E-06,0,113309,2,6,0,0,0,2,0,4,435,-3,0,27,3,0,0,0,2,0,1,0,1,0.5,83302,0,0,0,1,456,26,0,0,88,Arsenal,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.7,0.6,29.1
DeAndre,Yedlin,DEF,NEW,4500000,1,38,2,4.44444444444444E-07,8.44444444444444E-06,0,112213,4,29,0,0,0,1,0,8.4,3854,0,0,38,0,0.1,0,0.6,1,0,3,0,1,0.9,76992,1,0,0,0,1581,472,0,1,208,Chelsea,Cardiff City,Man City,Tottenham,Wolverhampton,2.2,2.2,1.4,1.8,2,1.8,1.4,1.7,2.1,1.2,1,1.4,1.7,1.3,1.4,1.5,1.4,61.5
Maya,Yoshida,DEF,SOU,4100000,6,16,0.761904761904762,1.85830429732869E-07,3.90243902439024E-06,0,81124,0,17,0,0,0,0,0,3.9,7401,-4,0,16,4,0.5,0,2,0,0,1,0,0,0.7,38559,0,0,0,0,799,1094,0,0,134,Leicester,Everton,Crystal Palace,Burnley,Cardiff City,0,0,0,0,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,27.7
Ashley,Young,DEF,MUN,5700000,0,36,2.4,4.21052631578947E-07,6.31578947368421E-06,0,143004,6,25,0,0,0,1,0,6.3,19822,-3,0,36,3,0.2,0,1,1,0,1,0,3,1.6,107772,0,0,0,1,1297,2251,0,0,218,Tottenham,Brighton,Burnley,Leicester,Fulham,2.2,2.6,2.1,2.1,1.7,2.2,2.5,2,1.2,2.2,2.1,2.4,1.8,2.4,2.5,2.7,3.1,63.5
Pablo,Zabaleta,DEF,WHU,4300000,1,38,2.5,5.81395348837209E-07,8.83720930232558E-06,0,195080,4,20,0,0,0,0,0,8.8,10299,-2,0,38,2,0.4,0,1.6,4,0,3,0,1,2.2,125252,0,0,0,0,1332,1491,0,0,239,Arsenal,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,1.6,1.7,2.7,2.2,2.8,2.2,2.1,1.7,3.2,2.7,3,2.9,2.2,1.9,2.5,2,2.3,45.7
Wilfried,Zaha,FWD,CRY,6700000,5,57,3.2,4.77611940298508E-07,8.50746268656716E-06,0,2018656,6,23,0,0,0,3,0,8.5,22540,-3,0,57,3,0.3,0,2,3,0,7,0,4,11.2,958717,0,0,0,0,1617,28328,0,0,162,Watford,Liverpool,Southampton,Fulham,West Ham,3,2.5,3.6,4,3.2,3.3,3.3,3.4,3.7,3.1,2.9,3.8,2.8,3.4,3.3,3.4,3.5,128.1
Andre-Frank,Zambo Anguissa,MID,FUL,4400000,0,15,0.714285714285714,1.62337662337662E-07,3.40909090909091E-06,0,15300,0,17,0,0,0,0,0,3.4,320,-1,0,15,1,0,0,0,0,0,0,0,0,0.1,11105,0,0,0,0,636,96,0,1,91,Burnley,Tottenham,Brighton,Crystal Palace,Man Utd,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,22.2
,Zanka,DEF,HUD,4400000,1,56,2.9,6.59090909090909E-07,1.27272727272727E-05,0,360032,6,31,0,0,0,3,0,12.7,8952,-1,0,56,1,0.6,0,2.6,4,0,2,0,1,3.3,68392,0,0,0,0,1697,5405,0,0,321,Cardiff City,Man City,Everton,Chelsea,Arsenal,3.8,2.8,3.8,3.5,2.1,2.8,3,2.4,2.6,2.8,3.3,2.5,3,2.8,2.6,2.6,2.6,68.5
Davide,Zappacosta,DEF,CHE,5100000,0,2,0.0952380952380952,1.86741363211951E-08,3.92156862745098E-07,0,14085,0,0,0,0,0,0,0,0.4,262,-4,0,2,4,0,0,0,0,0,0,0,0,0.1,3360,0,0,0,0,18,116,0,0,5,Newcastle,Arsenal,Bournemouth,Huddersfield,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Marvin,Zeegelaar,DEF,WAT,4200000,0,0,0,0,0,0,4390,0,0,0,0,0,0,0,0,127,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,936,0,0,0,0,0,60,0,0,0,Crystal Palace,Burnley,Tottenham,Brighton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleksandr,Zinchenko,MID,MCI,4700000,0,9,0.428571428571429,9.11854103343465E-08,1.91489361702128E-06,0,2917,0,2,0,0,0,0,0,1.9,321,-3,0,9,3,0.2,0,1,0,0,1,0,1,0,2068,0,0,0,0,233,463,0,0,59,Wolverhampton,Huddersfield,Newcastle,Arsenal,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.1
Kenneth,Zohore,FWD,CAR,4600000,0,9,1.3,2.82608695652174E-07,1.95652173913043E-06,0,49806,0,7,0,0,0,0,0,2,645,-4,0,9,4,0,0,0.2,0,0,1,0,0,0.2,21298,0,0,0,0,287,137,0,0,13,Huddersfield,Newcastle,Arsenal,Bournemouth,Southampton,0,0,0.7,1,0.8,0.8,0.9,0.6,0.9,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.8,23.6
Kurt,Zouma,DEF,EVE,5000000,2,39,2.3,4.6E-07,7.8E-06,0,18054,0,24,0,0,0,0,0,7.8,745,0,0,39,0,0.2,0,1.2,4,0,2,0,1,0.2,22094,0,0,0,0,1263,656,0,0,223,Bournemouth,Southampton,Huddersfield,Wolverhampton,Watford,2,1.5,2.2,2.4,1.7,2.2,2.4,2.3,1.6,2.6,1.6,1.7,1.3,2,2.1,2.2,1.8,34.1
