FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,5032,0,0,0,0,0,0,0,0,1326,-1,1,0,1,0,0,0,0,0,0,0,0,0.1,927,0,0,0,0,0,231,-1,0,0,Bournemouth,Cardiff City,West Ham,Liverpool,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,-2,6,2,4.44444444444444E-07,1.33333333333333E-06,0,13944,0,3,0,0,0,0,0,1.3,6567,0,0,6,0,0.4,0,2,0,0,1,0,0,0.6,15320,0,0,0,0,240,658,0,1,47,Chelsea,Leicester,Burnley,Crystal Palace,Watford,2.2,2.6,2.1,1.1,1,1.7,1,1.9,1.4,1.6,1,2.2,1.6,1.5,3,1.6,1.8,1.3,1.5,1.6,1.9,2.1,1.5,2.7,1.4,1.2,1.8,1.2,1.4,1.9,1.5,1.1,1.4,1.6,2.4,7.2
,Adrian,GLK,WHU,4500000,0,0,0,0,0,0,6085,0,0,0,0,0,0,0,0,1710,0,0,0,0,0,0,0,0,0,0,0,0,0.5,460,0,0,0,0,0,116,0,0,0,Wolverhampton,Everton,Chelsea,Man Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11300000,2,24,8,7.07964601769912E-07,2.12389380530973E-06,0,121738,0,2,0,0,0,3,0,2.1,40537,3,-1,24,-3,0.7,0,8,3,0,1,0,1,49.8,1029797,0,0,0,1,243,227032,1,0,89,Newcastle,Fulham,Cardiff City,Brighton,Liverpool,10.5,11.3,8.1,12,8.2,10.5,9.4,11.3,10.8,9.5,10.9,9.3,10.3,11.6,8.5,8.4,10,9.1,12,9.9,10.9,10.9,9.3,9.7,11.8,9.5,10.7,10.5,10,10.9,12,9.5,10.9,12,8.4,39.3
Nathan,Ake,DEF,BOU,5000000,8,18,6,1.2E-06,3.6E-06,0,44484,0,3,0,0,0,1,0,3.6,13204,0,0,18,0,1.2,0,6,3,0,1,0,0,4.6,68111,0,0,0,0,270,30506,0,0,61,Chelsea,Leicester,Burnley,Crystal Palace,Watford,8.5,9,8.2,6.3,6.1,8.3,5.4,8,7.4,7.9,5.7,8.5,8.1,6.6,9,8,8,7.1,7.3,8.1,7.6,7.1,7.6,9,7.5,6.8,7.5,6.9,6.6,7.8,6.4,6.4,7.4,8,9,11.1
Marc,Albrighton,MID,LEI,5300000,4,5,1.66666666666667,3.14465408805031E-07,9.43396226415094E-07,0,25751,0,0,0,0,0,0,0,0.9,4127,-2,1,5,2,0.3,0,1.7,0,0,0,0,1,0.7,1682,0,0,0,0,82,800,-1,0,21,Liverpool,Bournemouth,Huddersfield,Newcastle,Everton,0.8,0.8,1.8,1,1.2,0.8,1.8,0.8,1.3,0.8,1.1,0.8,0.9,1.8,0.8,1.2,1.6,0.8,1.8,0.8,0.8,1.2,0.8,1.4,2,0.8,1.4,0.8,1.5,0.8,1.6,0.8,1.3,0.8,0.8,5.3
Toby,Alderweireld,DEF,TOT,5900000,6,8,4,6.77966101694915E-07,1.35593220338983E-06,0,50210,0,1,0,0,0,0,0,1.4,7035,-1,0,8,1,0.5,0,2.7,0,0,1,0,0,2.7,11424,0,0,0,0,180,7573,0,0,50,Watford,Liverpool,Brighton,Huddersfield,Cardiff City,3.6,4.3,4.6,5.3,5.7,3.8,3.4,4.7,6,4.8,4.6,4.5,4.4,4.9,4.8,3.1,6,5.1,4.8,3.1,3.6,3.4,6,5.8,5.9,4.1,4.5,3.1,4.6,6,5.4,3.3,4.3,3.1,5.1,1.8
Trent,Alexander-Arnold,DEF,LIV,5000000,5,15,5,1E-06,3E-06,0,162220,3,0,0,0,0,0,0,3,52859,0,0,15,0,1,0,5,0,0,3,0,0,17.1,216480,0,0,0,0,268,65470,0,0,71,Leicester,Tottenham,Southampton,Chelsea,Man City,5.7,6.5,6.3,7.2,5,6.4,7.3,6.1,4.7,4.9,7.1,7.1,4.3,6.5,5.7,5.1,5.9,4.5,5.6,4.6,7.5,5.1,4.7,6.8,5.3,6.3,6.3,4.3,6.1,5.9,6.2,6.2,6.9,5.9,7.5,14.5
,Alisson,GLK,LIV,5600000,6,19,6.3,1.125E-06,3.39285714285714E-06,0,92975,0,0,0,6,0,0,0,3.5,29070,1,-1,19,-1,1.1,0,6.3,1,0,3,0,0,18.7,248109,0,0,0,0,270,120238,1,0,80,Leicester,Tottenham,Southampton,Chelsea,Man City,7.2,8.6,8.6,9.1,7.1,8.1,9.2,8.3,6.6,6.9,8.9,8.9,6.1,8.2,7.2,7.1,8.2,6.4,7,6.5,9.4,7.1,6.6,8.6,7.4,8,8,6.1,8.2,8.2,7.8,7.8,8.7,8.1,9.4,5.4
Bamidele,Alli,MID,TOT,9100000,3,17,5.7,6.26373626373626E-07,1.86813186813187E-06,0,120267,0,2,0,0,0,1,0,1.9,44235,1,0,17,-1,0.6,0,5.7,2,0,1,0,1,7.3,240606,0,0,0,0,259,37431,0,0,61,Watford,Liverpool,Brighton,Huddersfield,Cardiff City,5.9,4.5,5.7,7.5,7.6,7.3,6.1,6.2,8.6,4.5,7,7.6,5.4,6.5,5.6,7.1,8.5,6.7,6,6.8,5.9,7,8,7.8,6.3,6.4,7.6,6,4.9,8.6,7.7,6,8,7.1,6.1,22.4
