FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Christian,Benteke,FWD,CRY,6300000,0,8,0.666666666666667,1.05820105820106E-07,1.26984126984127E-06,0,68143,0,5,0,0,0,0,0,1.3,494,-2,0,8,2,0,0,0,0,0,1,0,0,0.5,20847,0,0,0,0,325,54,0,0,5,Man Utd,Burnley,Brighton,West Ham,Leicester,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,23.3
,Bernard,MID,EVE,5900000,2,22,1.83333333333333,3.10734463276836E-07,3.72881355932203E-06,0,31620,2,5,0,0,0,0,0,3.7,1634,-1,0,22,1,0.3,0,2,2,0,2,0,2,0.3,24940,0,0,0,0,418,2793,0,0,74,Cardiff City,Liverpool,Newcastle,Watford,Man City,1.5,0.9,1.6,1.5,0.9,1,1,0.9,1.3,1.4,1.2,1.2,1.5,0.9,0.9,0.9,1.1,1.2,0.9,0.9,1.3,0.9,1.1,1.5,1.5,1,28.5
,Bernardo,DEF,BHA,4200000,0,1,0.0833333333333333,1.98412698412698E-08,2.38095238095238E-07,0,7943,1,2,0,0,0,0,0,0.2,166,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,957,0,0,0,0,112,50,0,0,19,Leicester,Huddersfield,Crystal Palace,Burnley,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7
,Bernardo Silva,MID,MCI,7500000,10,56,4.7,6.26666666666667E-07,7.46666666666667E-06,0,905170,2,4,0,0,0,3,0,7.5,128290,0,1,56,0,0.7,0,5,6,0,6,0,3,6.7,877117,0,0,0,2,960,53862,-1,0,236,West Ham,Bournemouth,Watford,Chelsea,Everton,0,5.4,4.5,4.1,5.4,5.5,4.8,5.7,4.6,5.7,5.8,5.9,5.1,3.6,3.7,5.4,4.5,5.6,4.5,5,5.7,6.6,4.2,5.2,5,4.3,98.8
Ryan,Bertrand,DEF,SOU,4800000,1,33,2.8,5.83333333333333E-07,6.875E-06,0,260656,5,21,0,0,0,1,0,6.9,45512,-2,0,33,2,0.4,0,2,1,0,4,0,0,3.4,76195,0,0,0,0,1080,120,0,0,171,Fulham,Man Utd,Tottenham,Cardiff City,Arsenal,0,2.9,3.2,3.2,1.9,3.4,2.8,2.5,3,2.5,3.6,2.4,2.3,3.8,1.6,2.7,2.8,2.6,2.2,2.4,3.3,3,2.3,2.2,2.5,3.5,54.2
Marcus,Bettinelli,GLK,FUL,4400000,0,15,2.1,4.77272727272727E-07,3.40909090909091E-06,0,25399,1,20,0,20,0,0,0,3.4,1509,-1,0,15,1,0,0,0,0,0,0,0,0,0.5,35811,0,0,1,0,630,497,0,0,114,Southampton,Chelsea,Leicester,Man Utd,West Ham,1.7,1.9,1.7,1.8,1.9,1.4,2,2.4,1,1.4,1.7,2.5,2,1.9,1.5,1.4,1.8,1.6,2.2,1.6,1.3,2.5,1,2.6,1.6,1.5,19.4
Philip,Billing,MID,HUD,4500000,2,30,2.5,5.55555555555556E-07,6.66666666666667E-06,0,132163,4,21,0,0,0,1,0,6.7,7500,0,0,30,0,0.4,0,2,3,0,2,0,0,2.2,232330,0,0,0,0,1046,5030,0,0,160,Wolverhampton,Brighton,Bournemouth,Arsenal,Newcastle,2,2.7,1.7,1.7,2.3,2.5,1.7,2,2.1,1.7,1.3,2,1.5,1.8,2.4,2.2,1.6,2,1.9,2.9,1.8,2,2.1,1.2,1.6,2.3,53
Yves,Bissouma,MID,BHA,4700000,0,13,1.08333333333333,2.30496453900709E-07,2.76595744680851E-06,0,2465,2,10,0,0,0,0,0,2.8,78,-3,0,13,3,0.1,0,0.7,0,0,0,0,0,0,1038,0,0,0,0,492,26,0,0,38,Leicester,Huddersfield,Crystal Palace,Burnley,Chelsea,0.6,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.8,0.6,0.7,0.8,0.5,0.6,0.5,0.7,0.5,0.5,11.5
Daley,Blind,DEF,MUN,5000000,0,0,0,0,0,0,577,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,8,0,0,0,Crystal Palace,Southampton,Arsenal,Fulham,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar,Bogle,FWD,CAR,4500000,0,0,0,0,0,0,10547,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1161,0,0,0,0,0,42,0,0,0,Everton,Wolverhampton,West Ham,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yannick,Bolasie,MID,EVE,5800000,0,0,0,0,0,0,14503,0,0,0,0,0,0,0,0,70,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,684,0,0,0,0,0,1,0,0,0,Cardiff City,Liverpool,Newcastle,Watford,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy,Boly,DEF,WOL,4600000,2,45,3.8,8.26086956521739E-07,9.78260869565217E-06,0,151192,0,13,0,0,0,1,0,9.8,9759,1,0,45,-1,0.4,0,1.7,3,0,4,0,0,5.2,323107,0,0,0,0,1080,34833,0,0,218,Huddersfield,Cardiff City,Chelsea,Newcastle,Bournemouth,5.2,4.6,4.2,3.7,3.6,5.1,3.6,4.9,3.8,3.5,4.2,4.4,4.2,3.7,2.9,4.9,5.5,4.6,3.1,3.7,4.5,3.6,5.5,3.6,4.3,4.2,42.2
Bonatini Lohner Maia,Bonatini,FWD,WOL,4700000,0,10,1.4,2.97872340425532E-07,2.12765957446809E-06,0,52974,0,0,0,0,0,0,0,2.1,1454,-3,1,10,3,0.1,0,0.7,0,0,0,0,1,0.5,27332,0,0,0,0,130,1666,-1,0,19,Huddersfield,Cardiff City,Chelsea,Newcastle,Bournemouth,0.9,0.8,0.7,0.8,0.9,0.7,1.4,0.7,0.7,0.7,0.8,1.1,0.7,0.8,0.7,0.8,1.1,0.7,1,0.9,1.1,0.8,1.2,0.7,1.7,0.7,13.6
Gaetan,Bong,DEF,BHA,4500000,1,28,2.3,5.11111111111111E-07,6.22222222222222E-06,0,6449,0,18,0,0,0,0,0,6.2,542,0,0,28,0,0.6,0,2.7,0,0,3,0,0,0.2,6388,0,0,0,0,1054,566,0,0,155,Leicester,Huddersfield,Crystal Palace,Burnley,Chelsea,2.2,2,2,1.3,2.3,1.2,1.6,3,1.4,2.8,1.6,1.2,2.4,2.2,1.7,1.4,3,1.9,3.2,2.2,1.9,1.9,1.5,2,1.2,2.1,18.1
