FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Angelo,Ogbonna,DEF,WHU,4200000,1,8,0.4,9.52380952380952E-08,1.9047619047619E-06,0,37306,1,12,0,0,0,0,0,1.9,399,-3,0,8,3,0.2,0,1,0,0,0,0,0,0.4,7416,0,0,0,0,516,485,0,0,77,Brighton,Arsenal,Bournemouth,Wolverhampton,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,21.2
Stefano,Okaka,FWD,WAT,5000000,0,1,0.05,1E-08,2E-07,0,5968,1,1,0,0,0,0,0,0.2,199,0,0,1,0,0,0,0.2,0,0,0,0,0,0.1,5742,0,0,0,0,22,166,0,0,-1,Bournemouth,Crystal Palace,Burnley,Tottenham,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2
Shinji,Okazaki,FWD,LEI,5200000,1,17,0.85,1.63461538461538E-07,3.26923076923077E-06,0,72245,0,2,0,0,0,0,0,3.3,838,-3,0,17,3,0.3,0,1.3,0,0,0,0,1,0.6,15485,0,0,0,0,168,595,0,0,40,Everton,Southampton,Wolverhampton,Liverpool,Man Utd,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,12.8
Divock,Origi,FWD,LIV,5000000,0,11,0.55,1.1E-07,2.2E-06,0,4951,0,1,0,0,0,1,0,2.2,457,0,0,11,0,0.3,0,1.6,1,0,0,0,1,0.1,6755,0,0,0,0,71,302,0,0,40,Man City,Brighton,Crystal Palace,Leicester,West Ham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,11.5
,Oriol Romeu,MID,SOU,4300000,1,18,0.9,2.09302325581395E-07,4.18604651162791E-06,0,142635,4,17,0,0,0,0,0,4.2,3427,-2,0,18,2,0.3,0,1.5,0,0,2,0,0,1.6,78106,0,0,0,0,769,2256,0,0,96,Chelsea,Leicester,Everton,Crystal Palace,Burnley,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,30.4
Nicolas,Otamendi,DEF,MCI,6100000,0,29,1.45,2.37704918032787E-07,4.75409836065574E-06,0,361781,0,5,0,0,0,0,0,4.8,1998,-4,0,29,4,0.1,0,0.5,0,0,4,0,0,2.5,39621,0,0,0,0,596,415,0,0,161,Liverpool,Wolverhampton,Huddersfield,Newcastle,Arsenal,1,1.1,1.2,0.8,0.7,1.2,1,0.9,0.7,1.1,0.8,0.7,1.6,1.1,0.9,0.7,0.9,0.7,21.3
Reece,Oxford,DEF,WHU,4300000,0,0,0,0,0,0,4776,0,0,0,0,0,0,0,0,83,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1070,0,0,0,0,0,67,0,0,0,Brighton,Arsenal,Bournemouth,Wolverhampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesut,Ozil,MID,ARS,8000000,0,53,4.1,5.125E-07,6.625E-06,0,575327,1,14,0,0,0,3,0,6.6,7962,-5,0,53,5,0.1,0,1,7,0,2,0,2,2.5,407701,0,0,0,1,975,281,0,0,209,Fulham,West Ham,Chelsea,Cardiff City,Man City,0,3.8,3.4,4.6,2.3,4.7,5.1,5.1,3.2,3.9,4,4.9,2.8,3.5,4.4,3.9,5.6,3.8,73.3
Callum,Paterson,MID,CAR,5100000,3,60,3.5,6.86274509803922E-07,1.17647058823529E-05,0,97665,2,27,0,0,0,4,0,11.8,6403,-4,0,60,4,0.6,0,3,4,0,3,0,1,0.8,131114,0,0,0,1,1307,2481,0,0,175,Tottenham,Huddersfield,Newcastle,Arsenal,Bournemouth,2.6,4.1,3.9,2.6,4,3.4,3.4,3.6,3.2,3.2,2.7,2.6,1.8,3.1,2.7,3.2,3.4,2.4,84.4
,Patricio,GLK,WOL,4500000,2,70,3.5,7.77777777777778E-07,1.55555555555556E-05,0,325394,0,23,0,59,0,0,0,15.6,17134,0,1,70,0,0.7,0,3.2,4,0,5,0,0,9,483133,0,0,0,2,1800,35359,-1,0,341,Crystal Palace,Man City,Leicester,West Ham,Everton,3.9,3.4,3.5,3.3,4.1,3,2.7,4.8,4.9,4.5,2.9,3.1,3.6,3.3,4.4,3.8,3.9,3.6,39.9
,Pedro,MID,CHE,6300000,0,71,3.55,5.63492063492063E-07,1.12698412698413E-05,0,1252200,1,6,0,0,0,6,0,11.3,27600,-2,0,71,2,0.6,0,3.7,9,0,4,0,1,3.3,1219787,0,0,0,1,937,376,0,0,250,Southampton,Newcastle,Arsenal,Bournemouth,Huddersfield,0,3.7,3,3.1,3.9,2.1,4.3,2.4,3.6,3.4,2.6,3,2.9,2.4,4,2.7,3.1,3.5,95.2
Lee,Peltier,DEF,CAR,3900000,1,9,0.45,1.15384615384615E-07,2.30769230769231E-06,0,242114,1,6,0,0,0,0,0,2.3,10963,-1,0,9,1,0.3,0,1.3,0,0,1,0,0,3.8,241389,0,0,0,0,282,13565,0,0,45,Tottenham,Huddersfield,Newcastle,Arsenal,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7
Adalberto,Penaranda,FWD,WAT,5000000,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,145,0,0,0,Bournemouth,Crystal Palace,Burnley,Tottenham,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pereira,DEF,LEI,5200000,2,80,4.7,9.03846153846154E-07,1.53846153846154E-05,0,398217,3,20,0,0,0,2,0,15.4,37707,2,0,80,-2,0.6,0,3.3,11,0,6,0,3,8.5,755149,0,0,0,2,1503,38040,0,0,323,Everton,Southampton,Wolverhampton,Liverpool,Man Utd,5.8,5.3,6.2,5.6,5.5,6.1,5.9,6.5,5.9,5.8,5,5.3,6.4,4.7,5.8,4.5,5.3,6.1,85.3
Andreas,Pereira,MID,MUN,4500000,1,5,0.25,5.55555555555556E-08,1.11111111111111E-06,0,35348,2,5,0,0,0,0,0,1.1,379,-5,0,5,5,0.1,0,0.3,0,0,0,0,0,0.2,9759,0,0,0,0,173,278,0,0,33,Newcastle,Tottenham,Brighton,Burnley,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.9
Roberto,Pereyra,MID,WAT,6300000,2,97,4.8,7.61904761904762E-07,1.53968253968254E-05,0,1313031,1,28,0,0,0,6,0,15.4,69129,3,-1,97,-3,0.9,0,5.8,13,0,4,0,4,17,2080940,0,0,0,1,1719,66186,1,0,324,Bournemouth,Crystal Palace,Burnley,Tottenham,Brighton,4.8,5.7,6.3,4.5,4.8,5.5,4.7,3.8,5.2,3.4,6,4.3,6.5,5.5,6.2,5.5,4.1,4.8,115.7
Ayoze,Perez,FWD,NEW,6100000,2,52,2.7,4.42622950819672E-07,8.52459016393443E-06,0,161327,0,19,0,0,0,2,0,8.5,3550,-4,0,52,4,0.4,0,2.7,6,0,5,0,1,1.1,64594,0,0,0,0,1422,887,0,0,190,Man Utd,Chelsea,Cardiff City,Man City,Tottenham,2.8,2.2,2.5,2.1,2.4,2.3,2.2,2.7,3.1,2.7,2.5,2.6,1.9,2.6,2.7,2.3,1.7,3,89.6
