FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Leroy,Sane,MID,MCI,9300000,0,132,4.4,4.73118279569893E-07,1.41935483870968E-05,0,2559787,1,13,0,0,0,8,0,14.2,26896,-2,0,132,2,0.1,0,0.5,13,0,7,0,11,7.8,2238645,0,0,0,3,1521,40444,0,0,437,Fulham,Cardiff City,Crystal Palace,Tottenham,Man Utd,9.7,0,5,7.9,4.5,4.7,4.1,199
Fabian,Schar,DEF,NEW,4600000,0,67,3.7,8.04347826086957E-07,1.45652173913043E-05,0,135856,10,17,0,0,0,3,0,14.3,34410,-4,1,67,4,0,0,0,6,0,5,0,1,1.5,204681,0,0,0,2,1482,533,-1,0,300,Arsenal,Crystal Palace,Leicester,Southampton,Brighton,0,3.8,4,4.3,3.5,4.3,3.6,81.1
Ezequiel,Schelotto,DEF,BHA,3800000,0,0,0,0,0,0,130141,0,0,0,0,0,0,0,0,2518,-2,0,0,2,0,0,0,0,0,0,0,0,1.8,87488,0,0,0,0,0,2496,0,0,0,Southampton,Chelsea,Bournemouth,Cardiff City,Wolverhampton,0,0,0,0,0,0,0,0
Christopher,Schindler,DEF,HUD,4200000,0,70,2.3,5.47619047619048E-07,1.66666666666667E-05,0,238575,4,53,0,0,0,1,0,16.7,10714,-3,0,70,3,0.2,0,1,7,0,5,0,1,2.3,209856,0,0,0,1,2630,2897,0,1,419,Crystal Palace,Leicester,Tottenham,Watford,Liverpool,2.1,1.8,2,2,1.8,1.7,1.8,69.9
Jeffrey,Schlupp,DEF,CRY,4500000,0,77,2.56666666666667,5.7037037037037E-07,1.71111111111111E-05,0,302996,1,23,0,0,0,4,0,17.1,7046,0,0,77,0,0.7,0,3,3,0,2,0,3,6.3,500341,0,0,0,2,1369,86871,0,0,254,Huddersfield,Tottenham,Newcastle,Man City,Arsenal,5.1,2,2,1.5,3,2.9,2,96.4
Kasper,Schmeichel,GLK,LEI,5000000,2,92,3,6E-07,1.84E-05,0,272465,2,43,0,71,0,0,0,18.4,10522,0,0,92,0,0.4,0,2,6,0,7,0,0,4.7,228299,0,0,0,1,2790,3349,0,0,479,Bournemouth,Huddersfield,Newcastle,West Ham,Arsenal,2.7,3.5,2.5,2.8,2.5,2.6,3.7,58.6
Morgan,Schneiderlin,MID,EVE,4200000,1,18,0.580645161290323,1.38248847926267E-07,4.28571428571429E-06,0,237464,1,7,0,0,0,0,0,4.3,4088,-3,0,18,3,0.3,0,1.3,0,0,2,0,1,2.1,205515,0,0,0,0,472,3906,0,0,97,West Ham,Arsenal,Fulham,Man Utd,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.2
Ryan,Schofield,GLK,HUD,4000000,0,0,0,0,0,0,7371,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0.1,10402,0,0,0,0,0,21,0,0,0,Crystal Palace,Leicester,Tottenham,Watford,Liverpool,0,0,0,0,0,0,0,0
Andre,Schurrle,MID,FUL,5500000,0,73,3.3,6E-07,1.32727272727273E-05,0,692224,2,43,0,0,0,6,0,13.3,2736,-5,0,73,5,0,0,0,2,0,2,0,0,2.2,454608,0,0,0,1,1609,336,0,0,254,Man City,Watford,Everton,Bournemouth,Cardiff City,4.9,0,3.2,2.4,3.5,2.6,3.8,111.7
Ken,Sema,MID,WAT,4600000,0,34,1.13333333333333,2.46376811594203E-07,7.39130434782609E-06,0,19976,1,8,0,0,0,1,0,7.4,426,-4,0,34,4,0,0,0,1,0,3,0,2,0.1,20486,0,0,0,1,653,70,0,0,87,Man Utd,Fulham,Arsenal,Huddersfield,Southampton,1.4,0,0.6,1.3,0.6,0.6,0.6,33.4
Jean Michael,Seri,MID,FUL,4900000,2,67,2.3,4.69387755102041E-07,1.36734693877551E-05,0,302542,6,53,0,0,0,1,0,13.7,826,-6,0,67,6,0.2,0,1,6,0,2,0,3,1.4,249431,0,0,0,1,2136,254,0,0,398,Man City,Watford,Everton,Bournemouth,Cardiff City,2.7,0,1.8,1.3,2,1.4,2.3,137.9
