FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Robert,Elliot,GLK,NEW,4400000,0,0,0,0,0,0,5736,0,0,0,0,0,0,0,0,624,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,558,0,0,0,0,0,65,0,0,0,Crystal Palace,Leicester,Man Utd,Brighton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed,Elneny,MID,ARS,4400000,0,0,0,0,0,0,76783,0,0,0,0,0,0,0,0,8528,-1,0,0,1,0,0,0,0,0,0,0,0,2.2,26832,0,0,0,0,0,1817,0,0,0,Everton,Watford,Fulham,Leicester,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed,Elyounoussi,MID,SOU,6400000,2,8,2,3.125E-07,1.25E-06,0,17277,0,2,0,0,0,0,0,1.3,1572,-1,0,8,1,0.4,0,2.3,0,0,1,0,0,0.2,2927,0,0,0,0,259,206,0,0,28,Liverpool,Wolverhampton,Chelsea,Bournemouth,Newcastle,1,1.4,1,1.3,1.6,1.1,1,1.5,1,1.4,1.5,1,2.2,1,1,1,1.2,1.1,1.1,2,1.5,1.6,1.2,1.9,1,1.6,1.3,1,1.3,2.2,1.6,1.7,1.4,25.1
,Emerson,DEF,CHE,5300000,0,0,0,0,0,0,5381,0,0,0,0,0,0,0,0,577,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,331,0,0,0,0,0,14,0,0,0,West Ham,Liverpool,Southampton,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,Enobakhare,MID,WOL,4400000,0,0,0,0,0,0,8748,0,0,0,0,0,0,0,0,1087,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,2877,0,0,0,0,0,143,0,0,0,Man Utd,Southampton,Crystal Palace,Watford,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Eriksen,MID,TOT,9300000,5,17,3.4,3.65591397849462E-07,1.82795698924731E-06,0,552459,0,6,0,0,0,0,0,1.8,54263,-2,0,17,2,0.5,0,4.3,0,0,1,0,2,8.7,122966,0,0,0,0,450,16627,0,0,79,Brighton,Huddersfield,Cardiff City,West Ham,Man City,3,4.4,3.6,3.7,2.4,3.2,5.1,1.9,3.5,2.9,2.7,3.3,3.3,3.9,3.3,3.3,2.4,3.3,2.7,3.8,3,4.2,2.4,2.5,4.1,2.9,2.1,3.9,3.5,2.5,2.7,2.9,2.8,38.1
Neil,Etheridge,GLK,CAR,4600000,1,32,6.4,1.39130434782609E-06,6.95652173913044E-06,0,82457,0,9,0,20,0,0,0,7,20120,1,0,32,-1,0.7,0,3.3,3,0,2,0,0,8,402796,0,0,2,1,450,41034,0,0,136,Man City,Burnley,Tottenham,Fulham,Liverpool,8.2,8.7,8.2,8.2,6.8,9.6,9.6,7.9,9.5,7.8,8,6.8,8.2,9.6,7.2,8.8,8.7,7.6,6.9,8.8,8.1,7.6,9,7.3,8.1,6.8,9,6.3,8.3,9.4,6.3,6.9,9.1,20
Jonny,Evans,DEF,LEI,4900000,1,6,1.2,2.44897959183673E-07,1.22448979591837E-06,0,9110,1,0,0,0,0,0,0,1.2,1167,-1,0,6,1,0.1,0,0.3,0,0,1,0,0,0.3,3901,0,0,0,0,96,791,0,0,26,Huddersfield,Newcastle,Everton,Arsenal,West Ham,0.9,0.6,0.8,0.6,0.6,0.8,0.9,0.6,0.6,0.6,0.9,1.3,0.6,0.6,1.3,0.6,0.6,0.6,0.6,0.6,0.8,0.6,1.1,0.6,0.6,0.8,0.7,0.8,0.6,0.6,0.6,0.6,0.8,1.5
Lukasz,Fabianski,GLK,WHU,4500000,3,14,2.8,6.22222222222222E-07,3.11111111111111E-06,0,257983,0,11,0,24,0,0,0,3.1,42292,0,0,14,0,0.8,0,3.7,1,0,0,0,0,13.3,51153,0,0,0,0,450,4730,0,0,95,Chelsea,Man Utd,Brighton,Tottenham,Leicester,2.5,2,2.5,2.7,3.1,2.7,3.6,2,2.7,3.7,1.4,2.2,1.7,2.9,3.6,3.1,1.5,1.6,2.9,2.5,4.2,1.9,2.2,2,3.6,2.7,2.5,3.1,3.5,3.2,3.5,1.9,2.4,17.5
,Fabinho,MID,LIV,5600000,0,0,0,0,0,0,34974,0,0,0,0,0,0,0,0,2405,-4,1,0,4,0,0,0,0,0,0,0,0,0.5,4098,0,0,0,0,0,403,-1,0,0,Southampton,Chelsea,Man City,Huddersfield,Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
