FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,7731,0,0,0,0,0,0,0,0,184,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1050,0,0,0,0,0,14,0,0,0,Man Utd,Burnley,Crystal Palace,Everton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,6,24,3,6.66666666666667E-07,5.33333333333333E-06,0,27146,0,9,0,0,0,1,0,5.3,2380,0,0,24,0,0.7,0,3,0,0,2,0,0,0.9,39334,0,0,0,0,666,6941,0,1,128,Southampton,Fulham,Man Utd,Newcastle,Arsenal,3.3,1.7,3.4,2.5,2.3,1.9,3.7,3.6,2.5,4.3,2.6,2.9,3.1,2.5,3.6,3.4,3.3,2.2,3.7,1.5,3.1,3.5,2.8,2.1,3,2,3,2.4,3.4,3.4,21.7
,Adrian,GLK,WHU,4400000,0,0,0,0,0,0,10795,0,0,0,0,0,0,0,0,688,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,1029,0,0,0,0,0,107,0,0,0,Tottenham,Leicester,Burnley,Huddersfield,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11300000,1,52,6.5,5.75221238938053E-07,4.60176991150442E-06,0,644783,1,3,0,0,0,5,0,4.6,70607,3,1,52,-3,0.4,0,5,6,0,4,0,4,51.6,1683705,0,0,0,1,576,150416,-1,0,201,Burnley,Tottenham,Southampton,Man Utd,West Ham,9.1,7.1,9,8.6,7.8,9.8,7.9,7.1,9.6,6.7,8.2,8.3,8.1,7.7,9,8.8,9.2,7.5,7.7,9.4,7.5,9.3,8.7,7.8,9.4,9.5,7.7,8,9.1,7,90.5
Nathan,Ake,DEF,BOU,5000000,6,28,3.5,7E-07,5.6E-06,0,104627,0,12,0,0,0,1,0,5.6,6737,0,0,28,0,0.5,0,2.7,3,0,2,0,0,4.4,115055,0,0,0,0,720,12651,0,0,139,Southampton,Fulham,Man Utd,Newcastle,Arsenal,4.1,2.3,4.2,3.1,2.9,2.5,4.6,4.4,3.2,5.2,3.3,3.6,3.9,3.2,4.4,4.2,3.9,2.8,4.6,1.8,3.9,4.4,3.5,2.6,3.8,2.6,3.8,3.1,4.2,4.2,29.9
Marc,Albrighton,MID,LEI,5200000,1,16,2,3.84615384615385E-07,3.07692307692308E-06,0,40564,0,4,0,0,0,1,0,3.1,2669,-3,1,16,3,0.2,0,1,0,0,0,0,1,0.5,8452,0,0,0,0,223,503,-1,0,63,Arsenal,West Ham,Cardiff City,Burnley,Brighton,1.2,1.5,1.4,1.5,1.1,1.6,1.3,1.1,2.6,1,1,1.7,1,1.7,1.3,1,1.1,1.2,1.5,2.1,1.3,1.6,1.3,1.7,2.1,1.6,1.2,1.3,1,1,17.4
Toby,Alderweireld,DEF,TOT,5900000,5,23,3.3,5.59322033898305E-07,3.89830508474576E-06,0,78182,1,6,0,0,0,0,0,3.9,4862,-1,0,23,1,0.7,0,4.3,0,0,3,0,0,2.8,38041,0,0,0,0,620,6896,0,0,148,West Ham,Man City,Wolverhampton,Crystal Palace,Chelsea,3.3,3.1,3.5,4.5,3.4,2.1,3.3,3,3,3.5,2.8,3.8,4.3,3.4,2.6,3.1,2.8,3,2.9,3.8,2.2,3.5,2.4,3.2,4.5,3.8,2.8,3.6,2,4,19.7
Trent,Alexander-Arnold,DEF,LIV,5200000,0,36,5.1,9.80769230769231E-07,6.92307692307692E-06,0,383688,3,2,0,0,0,0,0,6.9,54427,2,-1,36,-2,0.8,0,4.3,2,0,5,0,1,21.5,694101,0,0,0,1,625,85526,1,0,147,Huddersfield,Cardiff City,Arsenal,Fulham,Watford,7,7.4,3.8,6.2,4.9,7.6,5,3.6,6.7,6,5.8,4.9,4.9,5.1,5.3,6.2,5.6,5.9,6.6,6.3,6,6.2,4.6,6.8,5.9,6.8,6.1,6.7,5.9,7.3,28.2
,Alisson,GLK,LIV,5600000,6,39,4.9,8.75E-07,6.96428571428571E-06,0,251112,0,3,0,18,0,0,0,7,17443,1,0,39,-1,0.9,0,5,1,0,5,0,0,19.6,431246,0,0,0,0,720,62197,0,0,173,Huddersfield,Cardiff City,Arsenal,Fulham,Watford,6.7,7.1,3.6,5.8,4.6,7.2,4.7,3.4,6.4,5.6,5.5,4.7,4.6,4.8,5,5.8,5.3,5.6,6.3,6,5.7,5.8,4.3,6.4,5.6,6.5,5.8,6.4,5.6,6.9,14.9
Bamidele,Alli,MID,TOT,9000000,0,20,2.5,2.77777777777778E-07,2.22222222222222E-06,0,398723,0,5,0,0,0,1,0,2.2,23075,0,0,20,0,0,0,0.3,2,0,1,0,1,2.8,270881,0,0,0,0,361,366,0,0,72,West Ham,Man City,Wolverhampton,Crystal Palace,Chelsea,0,1.4,1.9,3.6,1.2,1.8,2.4,1.8,2,1.5,2.3,2.1,2.1,1.5,1.9,2.2,2.2,1.8,2,1.4,1.8,2.5,2.1,1.4,2.8,2.3,1.3,2,1.7,1.9,35.2
