FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8104,0,0,0,0,0,0,0,0,29,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1097,0,0,0,0,0,2,0,0,0,Fulham,Wolverhampton,Man City,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,0,37,3.1,6.88888888888889E-07,8.22222222222222E-06,0,61216,1,12,0,0,0,1,0,8.2,5976,0,0,37,0,0.1,0,0.3,0,0,4,0,0,0.7,59969,0,0,0,0,965,44,0,1,184,Man City,Huddersfield,Liverpool,Wolverhampton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,2,2.9,4,2.7,2.8,2.9,2.7,3.2,2.7,3.1,3.7,29.4
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,12681,0,0,0,0,0,0,0,0,176,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,1529,0,0,0,0,0,78,0,0,0,Newcastle,Cardiff City,Crystal Palace,Fulham,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11500000,2,82,6.3,5.47826086956522E-07,7.1304347826087E-06,0,1001081,2,5,0,0,0,8,0,7.1,68606,5,0,82,-5,0.6,0,7.3,9,0,7,0,6,53.7,2189390,0,0,0,2,955,53121,0,0,316,Bournemouth,Watford,Chelsea,Everton,Crystal Palace,8.6,7.8,7.3,9,7.2,8,8.1,7.3,7.6,8.4,8.3,8.6,7.1,6.8,8.5,7.9,8.5,8.4,7.8,9.2,8.9,6.8,8.2,8.2,7.3,141.8
Nathan,Ake,DEF,BOU,5000000,0,43,3.3,6.6E-07,8.6E-06,0,149134,1,18,0,0,0,1,0,8.6,10280,0,0,43,0,0.1,0,0.7,4,0,4,0,0,4.8,177823,0,0,0,0,1170,2841,0,0,238,Man City,Huddersfield,Liverpool,Wolverhampton,Brighton,2.8,4.2,4,3.6,4.4,3.9,3.7,3.5,3.4,3.6,3.6,4,3.3,3.8,2.2,3.2,4.3,3,3.1,3.2,3,3.5,3,3.4,4,51.4
Marc,Albrighton,MID,LEI,5100000,2,24,1.84615384615385,3.61990950226244E-07,4.70588235294118E-06,0,47510,1,8,0,0,0,1,0,4.7,662,-4,1,24,4,0.4,0,2,0,0,1,0,1,0.4,11537,0,0,0,0,581,355,-1,0,107,Watford,Fulham,Tottenham,Crystal Palace,Chelsea,1.2,1.1,0.9,1.8,0.9,0.9,1.4,0.9,1.5,1.3,0.9,1,1.1,1.2,1.6,1.1,1.4,1.3,1.2,1.5,1.4,1.2,1.1,0.9,0.9,46
Toby,Alderweireld,DEF,TOT,5900000,2,42,3.5,5.93220338983051E-07,7.11864406779661E-06,0,97968,1,10,0,0,0,0,0,7.1,2714,-1,0,42,1,0.6,0,3.3,2,0,5,0,0,2.9,63870,0,0,0,0,1070,5948,0,0,245,Arsenal,Southampton,Leicester,Burnley,Everton,2.9,3.1,3.8,3,4.2,2.5,3.6,4.7,3.5,3.4,3.3,2.7,3,3.7,4.3,2.3,3.7,2.9,4.1,4.2,4,3.6,3.3,3,4.6,36.9
Trent,Alexander-Arnold,DEF,LIV,5200000,14,65,5.9,1.13461538461538E-06,1.25E-05,0,681012,3,4,0,0,0,1,0,12.5,5219,2,-1,65,-2,1.7,0,9,6,0,7,0,2,24.8,1188142,0,0,0,3,985,232930,1,0,254,Everton,Burnley,Bournemouth,Man Utd,Wolverhampton,8.9,6.8,5.7,8.1,7.6,7.2,6.3,6.6,6.7,7.4,7.7,7.5,6.8,7.6,8,6.7,7.6,6.3,7.7,6.9,8,7,7.9,7.1,8.1,55.9
,Alisson,GLK,LIV,5700000,6,63,4.8,8.42105263157895E-07,1.10526315789474E-05,0,366145,0,5,0,26,0,0,0,11.1,13779,2,0,63,-2,0.9,0,5.3,1,0,8,0,0,20.2,579866,0,0,0,0,1170,12936,0,0,266,Everton,Burnley,Bournemouth,Man Utd,Wolverhampton,7.2,5,4.2,6.4,6,5.4,4.6,4.9,5.1,5.6,5.8,5.6,5.1,6.1,6.1,5.5,5.7,4.6,6,5.1,6.2,5.7,6.4,5.3,6.4,22
Bamidele,Alli,MID,TOT,8900000,13,37,2.84615384615385,3.19792566983578E-07,4.15730337078652E-06,0,420659,0,6,0,0,0,2,0,4.2,2161,-1,0,37,1,0.6,0,5.3,5,0,2,0,2,3,303227,0,0,0,1,552,22288,0,0,137,Arsenal,Southampton,Leicester,Burnley,Everton,2.5,2.6,2.7,2.3,1.9,2.1,2.2,2.4,1.8,2.6,2.1,2.4,2,2.9,2.1,2,3.1,2.2,1.9,2.8,2.3,1.6,2.1,2.5,2.2,54.7
