FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marcos,Alonso,DEF,CHE,7100000,1,87,6.7,9.43661971830986E-07,1.22535211267606E-05,0,341088,1,11,0,0,0,1,0,12.3,26659,6,0,87,-6,0.7,0,5,14,0,6,0,7,48.2,1867139,0,0,0,3,1170,32636,0,0,337,Fulham,Wolverhampton,Man City,Brighton,Leicester,8.8,9.2,8.4,8.2,8.5,9,10,8.7,8,7.2,7.6,8.4,8.6,10,8.1,8.2,8.7,8.3,8.5,8.7,8.8,8.4,9.3,8.9,9,74.6
Daniel,Amartey,MID,LEI,4400000,0,15,1.15384615384615,2.62237762237762E-07,3.40909090909091E-06,0,16621,2,9,0,0,0,0,0,3.4,381,-1,0,15,1,0,0,0,0,0,1,0,0,0.2,10524,0,0,0,0,639,21,0,0,103,Watford,Fulham,Tottenham,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,20.8
Luke,Amos,MID,TOT,4400000,0,1,0.0769230769230769,1.74825174825175E-08,2.27272727272727E-07,0,7112,0,0,0,0,0,0,0,0.2,95,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,6525,0,0,0,0,2,42,0,0,3,Arsenal,Southampton,Leicester,Burnley,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,3026,0,0,0,0,0,0,0,0,31,-1,0,0,1,0,0,0,0,0,0,0,0,0,1424,0,0,0,0,0,39,0,0,0,Fulham,Wolverhampton,Man City,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,1,3,0.230769230769231,4.61538461538462E-08,6E-07,0,4152,0,1,0,0,0,0,0,0.6,157,0,0,3,0,0.2,0,1,0,0,0,0,0,0.1,2049,0,0,0,0,48,312,0,0,5,Huddersfield,Crystal Palace,Burnley,Chelsea,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
,Andre Gomes,MID,EVE,5400000,3,13,1,1.85185185185185E-07,2.40740740740741E-06,0,18785,0,3,0,0,0,0,0,2.4,237,-1,0,13,1,0.5,0,2.7,0,0,3,0,0,0.1,4396,0,0,0,0,441,781,0,0,52,Liverpool,Newcastle,Watford,Man City,Tottenham,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,14.6
Michail,Antonio,MID,WHU,6800000,2,24,1.84615384615385,2.71493212669683E-07,3.52941176470588E-06,0,43944,1,10,0,0,0,0,0,3.5,517,-2,0,24,2,0.5,0,3.3,0,0,2,0,2,0.8,7404,0,0,0,0,520,841,0,0,59,Newcastle,Cardiff City,Crystal Palace,Fulham,Watford,1.6,1.4,1.2,1.1,1.2,1.4,1.3,1.6,1.1,1.1,1.3,0.9,1.8,1.4,0.9,1.4,1,1.3,1.2,0.9,1.1,1.1,1.1,1.5,1.1,48
Stuart,Armstrong,MID,SOU,5100000,14,24,1.84615384615385,3.61990950226244E-07,4.70588235294118E-06,0,11235,0,7,0,0,0,2,0,4.7,679,-4,0,24,4,1.2,0,6,2,0,1,0,0,0.2,6553,0,0,0,1,304,5892,0,0,67,Man Utd,Tottenham,Cardiff City,Arsenal,Huddersfield,1,1.1,1,1.2,1.5,1.2,0.9,0.9,1.1,1.3,1.3,1.2,1.4,1,1.5,1,0.9,1.1,1,0.9,1.3,1.5,1.2,1.2,1.4,25.8
Marko,Arnautovic,FWD,WHU,7100000,2,54,4.9,6.90140845070423E-07,7.6056338028169E-06,0,1193534,2,18,0,0,0,5,0,7.6,73340,1,0,54,-1,0.7,0,5.3,9,0,0,0,2,21.2,1328629,0,0,0,1,899,71096,0,0,199,Newcastle,Cardiff City,Crystal Palace,Fulham,Watford,6,6.9,4.9,6.2,5.9,6.1,6.3,6.9,6.1,5.7,5.3,4.9,6.5,6.9,4.6,5.5,5.9,5.5,6.3,5.2,6.5,5.7,5.7,6.3,5.6,96.6
Harry,Arter,MID,CAR,4900000,2,16,1.6,3.26530612244898E-07,3.26530612244898E-06,0,10754,5,17,0,0,0,0,0,3.3,100,-1,0,16,1,0.2,0,1,0,0,2,0,0,0.2,2656,0,0,0,0,821,64,0,0,76,Wolverhampton,West Ham,Southampton,Watford,Man Utd,1.1,0.8,1.3,0.8,0.9,1.3,0.8,0.8,1.2,1.1,0.8,1.1,0.9,1.1,1.1,0.9,1.1,0.8,0.8,0.8,0.9,0.8,0.8,1.1,0.8,21.1
Christian,Atsu,MID,NEW,5100000,0,7,0.538461538461538,1.05580693815988E-07,1.37254901960784E-06,0,7779,1,3,0,0,0,0,0,1.4,83,-4,0,7,4,0.1,0,0.3,0,0,0,0,0,0.1,1211,0,0,0,0,196,35,0,0,28,West Ham,Everton,Wolverhampton,Huddersfield,Fulham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,12.7
Pierre-Emerick,Aubameyang,FWD,ARS,10900000,8,75,5.8,5.32110091743119E-07,6.88073394495413E-06,0,1047611,0,12,0,0,0,8,0,6.9,37659,-1,0,75,1,0.4,0,4,13,0,3,0,2,15.3,868256,0,0,0,2,940,54351,0,0,285,Tottenham,Man Utd,Huddersfield,Southampton,Burnley,6,7.8,7.1,7.5,7.8,6.5,5.5,8.3,7.7,6.3,8.4,5.9,7.5,7.9,7.7,7,7.7,6.6,7.1,6,7,6.4,7.2,8.6,7.6,90.4
Serge,Aurier,DEF,TOT,5800000,2,14,1.07692307692308,1.85676392572944E-07,2.41379310344828E-06,0,38709,0,2,0,0,0,0,0,2.4,379,-2,0,14,2,0.5,0,2.7,0,0,1,0,1,0.6,10735,0,0,0,0,260,1249,0,0,63,Arsenal,Southampton,Leicester,Burnley,Everton,0.5,0.5,0.6,0.5,0.7,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.7,0.7,0.6,0.5,0.5,0.5,0.8,15.7
Charlie,Austin,FWD,SOU,5500000,2,13,1.3,2.36363636363636E-07,2.36363636363636E-06,0,83475,0,7,0,0,0,0,0,2.4,854,-5,0,13,5,0.2,1,1,0,0,4,0,0,0.4,14190,0,0,0,0,520,993,0,0,17,Man Utd,Tottenham,Cardiff City,Arsenal,Huddersfield,0.9,0.7,0.7,0.8,0.7,1,0.6,0.6,0.7,0.9,0.6,0.8,1,0.7,1.5,0.9,0.6,0.7,0.6,0.6,0.6,0.7,0.8,0.9,0.7,25.6
Jordan,Ayew,FWD,CRY,5700000,1,18,2,3.50877192982456E-07,3.15789473684211E-06,0,27505,1,6,0,0,0,0,0,3.2,422,-3,0,18,3,0.2,0,1.3,0,0,2,0,1,0.2,10018,0,0,0,0,560,444,0,0,27,Burnley,Brighton,West Ham,Leicester,Man City,1.4,1.5,2.2,1.1,1.3,1.6,1,1.5,1.2,1.2,1.9,2.3,1.5,1.7,1.3,2,1.6,1.7,1,1.8,1,1.8,1.4,1.8,1.2,28.7
Floyd,Ayite,MID,FUL,4300000,1,5,0.384615384615385,8.94454382826476E-08,1.16279069767442E-06,0,8750,0,3,0,0,0,0,0,1.2,240,-2,0,5,2,0.1,0,0.3,0,0,0,0,0,0.1,4487,0,0,0,0,108,647,0,0,12,Chelsea,Leicester,Man Utd,West Ham,Newcastle,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.1
Cesar,Azpilicueta,DEF,CHE,6300000,5,55,4.2,6.66666666666667E-07,8.73015873015873E-06,0,420966,0,11,0,0,0,0,0,8.7,6751,-2,0,55,2,0.7,0,4.3,2,0,6,0,2,9.9,120103,0,0,0,0,1170,14254,0,0,298,Fulham,Wolverhampton,Man City,Brighton,Leicester,4.6,5.3,4.3,4.6,4.4,4.7,5.8,4.5,4,3.5,3.8,5.3,4.4,5.8,4.6,4.2,5,5.1,5.4,4.7,5,4.3,5.4,4.7,4.7,58.6
Juninho,Bacuna,MID,HUD,4300000,0,2,0.153846153846154,3.5778175313059E-08,4.65116279069767E-07,0,9474,0,1,0,0,0,0,0,0.5,365,-2,0,2,2,0.1,0,0.3,0,0,0,0,0,0.2,10005,0,0,0,0,13,318,0,0,7,Brighton,Bournemouth,Arsenal,Newcastle,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
Eric,Bailly,DEF,MUN,5100000,0,5,0.384615384615385,7.54147812971342E-08,9.80392156862745E-07,0,167533,0,6,0,0,0,0,0,1,1136,-4,0,5,4,0,0,0,0,0,0,0,0,1.5,44312,0,0,0,0,200,92,0,0,31,Southampton,Arsenal,Fulham,Liverpool,Cardiff City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.1
Leighton,Baines,DEF,EVE,5100000,0,5,0.384615384615385,7.54147812971342E-08,9.80392156862745E-07,0,75727,0,5,0,0,0,0,0,1,777,-4,0,5,4,0,0,0,0,0,0,0,0,0.7,15757,0,0,0,0,284,83,0,0,40,Liverpool,Newcastle,Watford,Man City,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,13
Tiemoue,Bakayoko,MID,CHE,4900000,0,0,0,0,0,0,11488,0,0,0,0,0,0,0,0,17,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,322,0,0,0,0,0,0,0,0,0,Fulham,Wolverhampton,Man City,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian,Balbuena,DEF,WHU,4400000,0,31,2.4,5.45454545454545E-07,7.04545454545455E-06,0,26281,1,22,0,0,0,1,0,7,2294,-1,0,31,1,0.2,0,1,3,0,1,0,0,1,61070,0,0,0,1,1170,5056,0,0,208,Newcastle,Cardiff City,Crystal Palace,Fulham,Watford,2,3.2,1.8,1.7,2.1,1.9,1.9,2.7,1.4,1.5,2.3,2.4,2.6,2,1.8,1.7,2.7,2.6,3,2.3,2.4,1.9,2.6,2,2,49.7
Sam,Baldock,FWD,BHA,4500000,0,0,0,0,0,0,14737,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1171,0,0,0,0,0,28,0,0,0,Huddersfield,Crystal Palace,Burnley,Chelsea,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon,Balogun,DEF,BHA,4200000,0,2,0.153846153846154,3.66300366300366E-08,4.76190476190476E-07,0,7077,1,3,0,0,0,0,0,0.5,108,-3,0,2,3,0,0,0,0,0,0,0,0,0.1,2444,0,0,0,0,160,27,0,0,17,Huddersfield,Crystal Palace,Burnley,Chelsea,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.6
Sol,Bamba,DEF,CAR,4500000,2,42,3.5,7.77777777777778E-07,9.33333333333333E-06,0,51460,1,21,0,0,0,2,0,9.3,2103,0,0,42,0,1,0,4.7,4,0,2,0,1,1.3,72082,0,0,0,1,1080,5249,0,0,204,Wolverhampton,West Ham,Southampton,Watford,Man Utd,4.3,3.4,3.9,3.1,4.3,4.1,3.1,4,4.8,3.1,2.2,3.3,3,4.1,5.2,3.6,4.1,3,4.1,2.8,2.9,4.5,2.7,3.7,3.7,57.6
Beni,Baningime,MID,EVE,4300000,0,0,0,0,0,0,2799,0,0,0,0,0,0,0,0,77,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1716,0,0,0,0,0,115,0,0,0,Liverpool,Newcastle,Watford,Man City,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4200000,0,1,0.0769230769230769,1.83150183150183E-08,2.38095238095238E-07,0,6906,2,3,0,0,0,0,0,0.2,89,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,1144,0,0,0,0,180,26,0,0,21,Crystal Palace,Liverpool,Brighton,Tottenham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
Ross,Barkley,MID,CHE,5900000,1,48,3.69230769230769,6.25814863102999E-07,8.13559322033898E-06,0,284644,0,6,0,0,0,3,0,8.1,66648,-1,0,48,1,0.2,0,1.3,5,0,3,0,3,7.6,679020,0,0,0,2,491,17694,0,0,164,Fulham,Wolverhampton,Man City,Brighton,Leicester,4,4,2.2,3.3,3.4,3.6,5,4.1,3.9,3.5,3.5,3.8,2.3,4.4,2.5,3.6,3.7,2.6,3.3,3.5,2.6,3.7,3.4,3.5,3.7,53.6
Ashley,Barnes,FWD,BUR,5600000,1,23,1.76923076923077,3.15934065934066E-07,4.10714285714286E-06,0,56730,1,6,0,0,0,2,0,4,859,-4,1,23,4,0.1,0,0.7,3,0,1,0,0,0.4,22664,0,0,0,1,291,341,-1,0,71,Crystal Palace,Liverpool,Brighton,Tottenham,Arsenal,1.4,1,1.6,1.1,1.3,1.4,1.5,1.3,2.3,1.1,1.4,1.4,1,0.9,1.3,0.9,0.9,1.2,1,1.2,1.6,1,0.9,0.9,1.4,20.9
Danny,Batth,DEF,WOL,4000000,0,0,0,0,0,0,63099,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0.8,5370,0,0,0,0,0,18,0,0,0,Cardiff City,Chelsea,Newcastle,Bournemouth,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Bednarek,DEF,SOU,3900000,0,2,0.153846153846154,3.94477317554241E-08,5.12820512820513E-07,0,206586,0,1,0,0,0,0,0,0.5,4274,-1,0,2,1,0,0,0,0,0,0,0,0,3.9,130878,0,0,0,0,80,1169,0,0,17,Man Utd,Tottenham,Cardiff City,Arsenal,Huddersfield,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4
Asmir,Begovic,GLK,BOU,4500000,2,43,3.3,7.33333333333333E-07,9.55555555555555E-06,0,141332,0,18,0,36,0,0,0,9.6,5031,0,0,43,0,0.4,0,2,2,0,4,0,0,4,107525,0,0,0,0,1170,840,0,0,222,Man City,Huddersfield,Liverpool,Wolverhampton,Brighton,2.8,4.2,4,3.6,4.4,3.9,3.7,3.5,3.4,3.6,3.6,4,3.3,3.8,2.2,3.2,4.3,3,3.1,3.2,3,3.5,3,3.4,4,26.3
Hector,Bellerin,DEF,ARS,5400000,2,41,3.2,5.92592592592593E-07,7.59259259259259E-06,0,593290,2,15,0,0,0,0,0,7.6,22579,-1,0,41,1,0.3,0,1.7,3,0,2,0,4,10.5,372406,1,0,0,0,1125,10094,0,0,222,Tottenham,Man Utd,Huddersfield,Southampton,Burnley,3.2,3.6,4,2.9,3,2.9,3.2,3.2,3.3,3.3,4.6,2.8,4.2,3.2,2.6,3.8,3.5,3.5,2.8,3.3,3,2.9,3,4.2,2.9,56.5
Yohan,Benalouane,DEF,LEI,3900000,0,0,0,0,0,0,35064,0,0,0,0,0,0,0,0,902,-1,0,0,1,0,0,0,0,0,0,0,0,1,23430,0,0,0,0,0,619,0,0,0,Watford,Fulham,Tottenham,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filip,Benkovic,DEF,LEI,5000000,0,0,0,0,0,0,2825,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,Watford,Fulham,Tottenham,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Bennett,DEF,CAR,4500000,0,24,2.7,6E-07,5.33333333333333E-06,0,38825,0,17,0,0,0,0,0,5.3,1005,0,0,24,0,0.2,0,0.7,2,0,2,0,1,0.6,48261,0,0,0,0,810,79,0,0,147,Wolverhampton,West Ham,Southampton,Watford,Man Utd,3,2.2,2.7,2,3,2.8,2,2.7,3.3,2.1,1.4,2.2,2,2.8,3.7,2.4,2.8,1.9,2.8,1.9,1.9,3.1,1.7,2.5,2.5,29.4
Ryan,Bennett,DEF,WOL,4200000,1,35,2.7,6.42857142857143E-07,8.33333333333333E-06,0,311330,3,15,0,0,0,0,0,8.3,12840,2,0,35,-2,0.2,0,1,1,0,4,0,0,11.6,662962,0,0,0,0,1170,7346,0,0,192,Cardiff City,Chelsea,Newcastle,Bournemouth,Liverpool,3.2,2.5,2.4,1.9,2.9,2,3.1,2.2,2.2,2.3,2.5,2.6,2.1,1.8,3.4,3.7,2.8,1.7,2.3,2.7,2.3,3.2,2.4,2.5,2.6,38.8
Christian,Benteke,FWD,CRY,6300000,0,8,0.615384615384615,9.76800976800977E-08,1.26984126984127E-06,0,68379,0,5,0,0,0,0,0,1.3,235,-2,0,8,2,0,0,0,0,0,1,0,0,0.5,20878,0,0,0,0,325,30,0,0,5,Burnley,Brighton,West Ham,Leicester,Man City,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,23.3
,Bernard,MID,EVE,5900000,3,25,1.92307692307692,3.25945241199479E-07,4.23728813559322E-06,0,33420,2,5,0,0,0,0,0,4.2,1781,-1,0,25,1,0.4,0,2.3,2,0,3,0,2,0.3,25378,0,0,0,0,494,393,0,0,91,Liverpool,Newcastle,Watford,Man City,Tottenham,1,1.7,1.6,1,1.1,1.1,1,1.5,1.5,1.2,1.3,1.6,1,1,1,1.2,1.3,1,1,1.4,1,1.3,1.6,1.7,1,33
,Bernardo,DEF,BHA,4200000,2,3,0.230769230769231,5.49450549450549E-08,7.14285714285714E-07,0,8014,1,3,0,0,0,0,0,0.7,70,-3,0,3,3,0.2,0,0.7,0,0,0,0,0,0.1,1072,0,0,0,0,202,115,0,0,32,Huddersfield,Crystal Palace,Burnley,Chelsea,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.1
,Bernardo Silva,MID,MCI,7500000,0,56,4.7,6.26666666666667E-07,7.46666666666667E-06,0,976767,2,4,0,0,0,3,0,7.5,68349,0,0,56,0,0.5,0,4,6,0,6,0,3,5.5,879679,0,0,0,2,960,2551,0,0,236,Bournemouth,Watford,Chelsea,Everton,Crystal Palace,0,4.8,4,5.4,5.4,5,5.6,4.4,5.5,5.9,6.1,5,3.9,3.6,5.3,4.8,5.3,4.7,4.9,5.8,6.6,4,5.3,5.1,4.5,98.8
Ryan,Bertrand,DEF,SOU,4800000,0,33,2.8,5.83333333333333E-07,6.875E-06,0,268512,5,21,0,0,0,1,0,6.9,7232,-2,0,33,2,0,0,0,1,0,4,0,0,3.3,76535,0,0,0,0,1080,340,0,0,171,Man Utd,Tottenham,Cardiff City,Arsenal,Huddersfield,0,3.1,3.3,1.9,3.5,2.8,2.5,2.8,2.4,3.7,2.4,2.3,3.9,1.7,2.7,2.9,2.7,2.4,2.3,3.1,2.9,2.4,2.1,2.6,3.3,54.2
