FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8537,0,0,0,0,0,0,0,0,44,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1274,0,0,0,0,0,14,0,0,0,Bournemouth,Huddersfield,Man City,Tottenham,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,6,44,1.91304347826087,4.44893832153691E-07,1.02325581395349E-05,0,78844,1,14,0,0,0,1,0,10.2,392,-2,0,44,2,0.5,0,2.3,0,0,5,0,0,0.4,61491,0,0,0,0,1145,907,0,1,212,Chelsea,Cardiff City,Liverpool,Wolverhampton,Arsenal,2.2,1.7,1.1,1.9,1,1.7,1.7,1.4,1.2,1.7,1,1.8,1,1.6,1.4,32.1
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,15730,0,0,0,0,0,0,0,0,271,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,2971,0,0,0,0,0,98,0,0,0,Wolverhampton,Liverpool,Crystal Palace,Fulham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11300000,5,104,5.5,4.86725663716814E-07,9.20353982300885E-06,0,3335943,4,10,0,0,0,10,0,9.2,63434,3,0,104,-3,0.4,0,4,9,0,8,0,8,25,2859418,0,0,0,2,1351,64551,0,0,388,Newcastle,Arsenal,Everton,Chelsea,West Ham,6.8,13.8,6.4,0,7.5,6.2,7.1,7.1,6.6,7.6,6.6,6,6.5,6.7,6.2,176.3
Nathan,Ake,DEF,BOU,5000000,6,74,3.2,6.4E-07,1.48E-05,0,251722,2,42,0,0,0,3,0,14.8,7975,0,0,74,0,0.9,0,4.7,6,0,6,0,0,4.6,264626,0,0,0,0,2061,19208,0,0,421,Chelsea,Cardiff City,Liverpool,Wolverhampton,Arsenal,4.4,3.6,2.6,4,1.6,3.6,3.6,3.1,2.8,3.7,2.3,3.9,2.4,3.4,3.2,93.8
Marc,Albrighton,MID,LEI,5100000,0,49,2.3,4.50980392156863E-07,9.6078431372549E-06,0,71647,3,14,0,0,0,2,0,9.6,3400,-4,0,49,4,0.1,0,0.7,3,0,3,0,2,0.5,39093,0,0,0,0,1210,210,0,0,216,Liverpool,Man Utd,Tottenham,Crystal Palace,Brighton,1.2,1.3,1.5,1.5,2.1,1.7,2.1,1.8,2,2.3,1.9,1.7,1.8,1.2,1.2,80.7
Toby,Alderweireld,DEF,TOT,6000000,1,76,3.6,6E-07,1.26666666666667E-05,0,186204,2,18,0,0,0,0,0,12.7,9828,0,0,76,0,0.5,0,3,5,0,9,0,0,4.1,212913,0,0,0,1,1880,5561,0,0,442,Watford,Newcastle,Leicester,Burnley,Chelsea,3.6,2.9,3.3,3.6,5,2.9,3.8,3.5,4,4.1,4.2,3.8,3.3,3,4.9,65.4
Trent,Alexander-Arnold,DEF,LIV,5200000,0,93,5.5,1.05769230769231E-06,1.78846153846154E-05,0,2136409,3,8,0,0,0,1,0,17.9,119452,2,0,93,-2,0.4,0,2.3,8,0,10,0,3,14.6,2057155,0,0,0,4,1502,13444,0,0,383,Leicester,West Ham,Bournemouth,Man Utd,Watford,6.9,6.6,7.1,6.5,7.3,6.5,7.2,6.2,6.9,6.3,7.5,6.8,7.3,6.5,7.5,90.6
,Alisson,GLK,LIV,6000000,1,108,4.7,7.83333333333333E-07,1.8E-05,0,589758,0,13,0,48,0,0,0,18,36513,5,0,108,-5,0.5,0,2.7,5,0,13,0,0,25.1,1039986,0,0,0,0,2070,16260,0,0,474,Leicester,West Ham,Bournemouth,Man Utd,Watford,5.5,5.2,5.7,5.2,5.9,5.6,5.8,4.9,5.5,5,6.4,5.8,6.3,5.2,6.3,41.8
Bamidele,Alli,MID,TOT,8900000,9,73,4.3,4.8314606741573E-07,8.20224719101124E-06,0,606826,2,14,0,0,0,5,0,8.2,66402,-1,0,73,1,0.5,0,4.3,8,0,6,0,2,2.7,467769,0,0,0,1,1193,7501,0,0,257,Watford,Newcastle,Leicester,Burnley,Chelsea,0,0,0,0,0,0,5.2,3.9,3.6,5,4.7,3.3,3.9,4.3,4.2,112
Marcos,Alonso,DEF,CHE,6600000,1,120,5.2,7.87878787878788E-07,1.81818181818182E-05,0,1386301,4,19,0,0,0,1,0,18.2,107475,1,0,120,-1,0.6,0,3.7,16,0,10,0,7,34.3,2103699,0,0,0,3,2057,22571,0,0,510,Bournemouth,Huddersfield,Man City,Tottenham,Fulham,4.9,6.8,6,0,6.2,5.9,6.9,6.4,6.6,6.3,6.3,6.6,6.2,6.7,6.6,110.2
Daniel,Amartey,MID,LEI,4300000,0,15,0.652173913043478,1.51668351870576E-07,3.48837209302326E-06,0,19845,2,9,0,0,0,0,0,3.5,204,-2,0,15,2,0,0,0,0,0,1,0,0,0.2,11128,0,0,0,0,639,42,0,0,103,Liverpool,Man Utd,Tottenham,Crystal Palace,Brighton,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,20.8
Luke,Amos,MID,TOT,4300000,0,1,0.0434782608695652,1.01112234580384E-08,2.32558139534884E-07,0,13435,0,0,0,0,0,0,0,0.2,302,-2,0,1,2,0,0,0,0,0,0,0,0,0.1,13184,0,0,0,0,2,230,0,0,3,Watford,Newcastle,Leicester,Burnley,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,3710,0,0,0,0,0,0,0,0,76,-1,0,0,1,0,0,0,0,0,0,0,0,0,1881,0,0,0,0,0,56,0,0,0,Bournemouth,Huddersfield,Man City,Tottenham,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,1,26,1.1304347826087,2.26086956521739E-07,5.2E-06,0,31670,1,6,0,0,0,2,0,5.2,1971,0,0,26,0,0.2,0,1,2,0,1,0,0,0.3,40391,0,0,0,0,498,1291,0,0,57,Fulham,Watford,Burnley,Leicester,Huddersfield,0.6,0.7,0.8,0,0.6,0.7,0.6,0.8,0.8,0.6,0.9,0.6,0.6,0.6,0.6,33.1
,Andre Gomes,MID,EVE,5400000,1,31,1.34782608695652,2.49597423510467E-07,5.74074074074074E-06,0,28630,4,18,0,0,0,0,0,5.7,724,-1,0,31,1,0.2,0,1.3,0,0,4,0,1,0.2,15208,0,0,0,0,1205,306,0,0,146,Huddersfield,Wolverhampton,Man City,Watford,Cardiff City,0.8,1.5,0.7,0,0.7,0.7,0.8,0.7,0.7,0.9,0.7,0.7,0.7,1,0.7,35
Michail,Antonio,MID,WHU,6800000,2,58,2.9,4.26470588235294E-07,8.52941176470588E-06,0,57009,2,18,0,0,0,2,0,8.5,1128,-2,0,58,2,0.4,0,3,2,0,4,0,4,0.8,19611,0,0,0,0,1162,521,0,0,154,Wolverhampton,Liverpool,Crystal Palace,Fulham,Man City,2.5,1.9,2.8,3.2,1.5,2.8,2.2,2.9,2.6,1.8,2,2.3,2.1,2.9,2.3,92.9
Stuart,Armstrong,MID,SOU,5100000,1,44,1.91304347826087,3.75106564364876E-07,8.62745098039216E-06,0,70593,2,19,0,0,0,3,0,8.6,2680,-4,0,44,4,0.3,0,1.7,2,0,2,0,0,0.4,75324,0,0,0,1,960,557,0,0,169,Crystal Palace,Burnley,Cardiff City,Arsenal,Fulham,1.2,1.2,1.3,1,1.7,1,1,1.1,1.1,1,1.3,1.6,1.6,1.1,1.6,69
Marko,Arnautovic,FWD,WHU,6900000,0,76,4.8,6.95652173913044E-07,1.10144927536232E-05,0,2399818,3,22,0,0,0,7,0,11,39925,-1,0,76,1,0.7,0,5,12,0,2,0,3,7.3,1713929,0,0,0,2,1240,21097,0,0,282,Wolverhampton,Liverpool,Crystal Palace,Fulham,Man City,5.4,4.8,5.7,6.8,4.9,5.4,5.5,5.6,6.3,5,6.1,5.3,5.6,6.3,5.7,129
Harry,Arter,MID,CAR,4900000,0,35,1.8,3.6734693877551E-07,7.14285714285714E-06,0,12649,6,31,0,0,0,0,0,7.1,352,-1,0,35,1,0.3,0,1.3,0,0,5,0,0,0.2,3653,0,0,0,0,1497,23,0,0,167,Arsenal,Bournemouth,Southampton,Watford,Everton,0,1.5,1.2,1.2,1.3,1.1,1.2,0.9,0.9,0.9,1,0.9,1.1,1.2,0.9,40.9
Christian,Atsu,MID,NEW,5100000,3,26,1.6,3.13725490196078E-07,5.09803921568627E-06,0,9542,2,12,0,0,0,0,0,5.1,284,-4,0,26,4,0.5,0,2.3,0,0,3,0,0,0.1,3145,0,0,0,0,931,132,0,0,84,Man City,Tottenham,Wolverhampton,Huddersfield,Burnley,0.8,0.8,1,1.1,1.1,0.9,0.9,0.8,0.8,0.8,1.1,1,0.9,0.8,1,53
Pierre-Emerick,Aubameyang,FWD,ARS,11300000,2,136,5.9,5.2212389380531E-07,1.20353982300885E-05,0,2152243,0,28,0,0,0,14,0,12,122961,3,0,136,-3,0.4,0,4.3,21,0,5,0,5,32.2,2961752,0,0,0,4,1820,108330,0,0,489,Cardiff City,Man City,Huddersfield,Southampton,Bournemouth,8.6,5.7,7.1,8.5,8.9,6.6,8.4,6.4,7.8,5.9,6.8,7.4,6.8,8.9,6.7,179.7
Serge,Aurier,DEF,TOT,5800000,0,22,0.956521739130435,1.64917541229385E-07,3.79310344827586E-06,0,49506,1,6,0,0,0,0,0,3.8,299,-2,0,22,2,0,0,0,0,0,2,0,2,0.5,17061,0,0,0,0,427,198,0,0,88,Watford,Newcastle,Leicester,Burnley,Chelsea,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,21.1
Charlie,Austin,FWD,SOU,5500000,0,29,1.8,3.27272727272727E-07,5.27272727272727E-06,0,106346,1,11,0,0,0,2,0,5.3,1975,-5,0,29,5,0.1,1,0.3,1,0,4,0,0,0.4,35892,0,0,0,0,711,431,0,0,78,Crystal Palace,Burnley,Cardiff City,Arsenal,Fulham,0,1.2,1.5,1.1,2,1.4,1,1.2,1.1,1,1.2,1.3,1.7,1.4,1.3,49.4
Jordan,Ayew,FWD,CRY,5700000,1,33,2.2,3.85964912280702E-07,5.78947368421053E-06,0,34321,2,11,0,0,0,1,0,5.8,1017,-3,0,33,3,0.6,0,3.7,2,0,4,0,1,0.2,18208,0,0,0,0,912,1354,0,0,69,Southampton,Fulham,West Ham,Leicester,Man Utd,2.1,2.4,1.8,1.9,1.7,1.9,2.1,1.9,1.6,2,1.4,1.8,1.8,1.8,2.1,54.2
Floyd,Ayite,MID,FUL,4300000,0,7,0.304347826086957,7.0778564206269E-08,1.62790697674419E-06,0,11394,0,4,0,0,0,0,0,1.6,166,-2,0,7,2,0,0,0,0,0,0,0,0,0.1,5983,0,0,0,0,161,99,0,0,16,Brighton,Crystal Palace,Man Utd,West Ham,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.6
Cesar,Azpilicueta,DEF,CHE,6300000,1,90,3.9,6.19047619047619E-07,1.42857142857143E-05,0,574651,1,19,0,0,0,0,0,14.3,15452,-2,0,90,2,0.5,0,3,4,0,10,0,2,8.8,210136,0,0,0,0,2070,4503,0,0,506,Bournemouth,Huddersfield,Man City,Tottenham,Fulham,3.1,5.1,3.9,0,4.1,3.8,4.8,4.8,5,4.2,4.1,4.4,4.1,4.5,4.4,93.9
Ryan,Babel,MID,FUL,5500000,1,1,0.0434782608695652,7.90513833992095E-09,1.81818181818182E-07,0,1653,0,1,0,0,0,0,0,0.2,1336,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,13478,0,0,0,0,54,11350,0,0,0,Brighton,Crystal Palace,Man Utd,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Juninho,Bacuna,MID,HUD,4200000,1,7,0.304347826086957,7.2463768115942E-08,1.66666666666667E-06,0,14701,2,8,0,0,0,0,0,1.7,1372,-3,0,7,3,0.1,0,0.3,0,0,0,0,0,0.2,14750,0,0,0,0,268,3006,0,0,33,Everton,Chelsea,Arsenal,Newcastle,Wolverhampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,14.3
Eric,Bailly,DEF,MUN,5000000,0,6,0.260869565217391,5.21739130434783E-08,1.2E-06,0,186896,0,12,0,0,0,0,0,1.2,815,-5,0,6,5,0,0,0,0,0,0,0,0,1.3,56640,0,0,0,0,458,595,0,1,67,Burnley,Leicester,Fulham,Liverpool,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10
Leighton,Baines,DEF,EVE,5000000,0,5,0.217391304347826,4.34782608695652E-08,1E-06,0,82382,0,5,0,0,0,0,0,1,431,-5,0,5,5,0,0,0,0,0,0,0,0,0.6,16971,0,0,0,0,284,132,0,0,40,Huddersfield,Wolverhampton,Man City,Watford,Cardiff City,0.1,0.2,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,13
Tiemoue,Bakayoko,MID,CHE,4900000,0,0,0,0,0,0,11734,0,0,0,0,0,0,0,0,19,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,348,0,0,0,0,0,2,0,0,0,Bournemouth,Huddersfield,Man City,Tottenham,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian,Balbuena,DEF,WHU,4200000,0,44,2.6,6.19047619047619E-07,1.04761904761905E-05,0,116573,2,25,0,0,0,1,0,10.5,3782,-3,1,44,3,0,0,0,3,0,3,0,0,0.4,118605,0,0,0,1,1473,85,-1,0,272,Wolverhampton,Liverpool,Crystal Palace,Fulham,Man City,0,0,0,2.6,2.1,2,3.1,2.9,3.4,3,2.2,2.2,2.7,2.2,2.4,60.7
