FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8627,0,0,0,0,0,0,0,0,8,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1312,0,0,0,0,0,4,0,0,0,Tottenham,Fulham,Wolverhampton,Everton,Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,1,51,2.8,6.51162790697674E-07,1.18604651162791E-05,0,82038,4,20,0,0,0,1,0,11.9,577,-2,0,51,2,0.4,0,1.8,0,0,6,0,0,0.5,70889,0,0,0,0,1505,1237,0,1,259,Arsenal,Man City,Huddersfield,Newcastle,Leicester,1.4,2.9,2.7,2.7,2.3,2.8,1.7,3.3,1.9,2.9,2.2,44.7
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,16507,0,0,0,0,0,0,0,0,92,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,3316,0,0,0,0,0,54,0,0,0,Man City,Newcastle,Cardiff City,Huddersfield,Everton,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11600000,0,149,6.5,5.60344827586207E-07,1.28448275862069E-05,0,3661287,4,13,0,0,0,17,0,13,8232,6,-1,149,-6,1,0,11.3,18,0,10,0,8,36.2,3874532,0,0,0,4,1664,339302,1,0,561,West Ham,Bournemouth,Watford,Fulham,Cardiff City,9.1,7.4,8.9,0,7.7,9.3,8.1,16.5,7.9,8.6,7.6,228.4
Nathan,Ake,DEF,BOU,5000000,2,84,3.1,6.2E-07,1.68E-05,0,288154,2,48,0,0,0,3,0,16.8,6347,0,0,84,0,0.5,0,2.5,6,0,7,0,0,5.1,329891,0,0,0,0,2421,5705,0,0,489,Arsenal,Man City,Huddersfield,Newcastle,Leicester,1.6,3.4,3.2,3.2,2.7,3.3,2.1,3.8,2.2,3.4,2.6,105.7
Marc,Albrighton,MID,LEI,5100000,0,52,1.92592592592593,3.7763253449528E-07,1.01960784313725E-05,0,80375,3,15,0,0,0,2,0,10.2,921,-4,0,52,4,0.2,0,0.8,4,0,3,0,2,0.4,39645,0,0,0,0,1300,17,0,0,237,Brighton,Watford,Fulham,Burnley,Bournemouth,0,0,0,0,0,1.8,1.4,1.2,1.3,1,1,84.8
Toby,Alderweireld,DEF,TOT,6000000,1,86,3.4,5.66666666666667E-07,1.43333333333333E-05,0,215922,2,22,0,0,0,0,0,14.3,10661,0,0,86,0,0.4,0,2.5,5,0,10,0,0,4,237900,0,0,0,1,2169,2060,0,0,503,Chelsea,Arsenal,Southampton,Liverpool,Brighton,4.2,2.9,3.5,0,3.6,3.8,4,3.1,3.3,2.6,4.6,78.2
Trent,Alexander-Arnold,DEF,LIV,5200000,0,94,5.2,1E-06,1.80769230769231E-05,0,2304471,3,8,0,0,0,1,0,18.1,10616,2,0,94,-2,0.1,0,0.3,8,0,10,0,3,14.1,2195434,0,0,0,4,1515,66257,0,0,384,Watford,Everton,Burnley,Fulham,Tottenham,6.8,6.3,6.3,5.6,6.5,5.9,7.5,6.4,7.1,5.6,7.2,92.9
,Alisson,GLK,LIV,6000000,10,128,4.7,7.83333333333333E-07,2.13333333333333E-05,0,685118,0,15,0,56,0,0,0,21.3,7717,5,0,128,-5,0.8,0,5,8,0,15,0,0,24.5,1094692,0,0,0,1,2430,15700,0,0,551,Watford,Everton,Burnley,Fulham,Tottenham,6,5.7,5.4,4.8,5.7,5.1,6.7,5.8,6.4,4.8,6.3,49
Bamidele,Alli,MID,TOT,8800000,0,73,2.7037037037037,3.07239057239057E-07,8.29545454545455E-06,0,630740,2,14,0,0,0,5,0,8.3,712,-2,0,73,2,0,0,0,8,0,6,0,2,2.3,468346,0,0,0,1,1193,84,0,0,257,Chelsea,Arsenal,Southampton,Liverpool,Brighton,0,2.3,2.5,0,1.6,2.6,2.5,1.4,2,2,2.1,112
