FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Carlos Sanchez,MID,WHU,4400000,0,7,0.318181818181818,7.23140495867769E-08,1.59090909090909E-06,0,18491,0,4,0,0,0,0,0,1.6,204,-1,0,7,1,0,0,0,0,0,0,0,0,0.2,6577,0,0,0,0,217,21,0,0,37,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,Fulham,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.2
Guido,Carrillo,FWD,SOU,5500000,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,10,0,0,0,Everton,Crystal Palace,Burnley,Cardiff City,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy,Carroll,FWD,WHU,5400000,1,7,0.318181818181818,5.89225589225589E-08,1.2962962962963E-06,0,10061,1,3,0,0,0,0,0,1.3,1673,-1,0,7,1,0.1,0,0.8,0,0,0,0,0,0.1,13450,0,0,0,0,266,2131,0,0,3,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,Fulham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,16.4
Craig,Cathcart,DEF,WAT,4500000,6,59,2.7,6E-07,1.31111111111111E-05,0,69787,1,32,0,0,0,2,0,13.1,3623,0,0,59,0,0.7,0,3.2,3,0,4,0,0,1,106380,2,0,0,1,1971,7539,0,0,336,Burnley,Tottenham,Brighton,Everton,Cardiff City,2.5,2.8,2.2,3.5,3.4,2.4,2.3,2.2,2.3,2.4,2.7,2.1,3.2,2.8,3.2,2.3,67
Ivan,Cavaleiro,MID,WOL,5200000,0,39,1.77272727272727,3.40909090909091E-07,7.5E-06,0,19151,1,8,0,0,0,3,0,7.5,573,-3,0,39,3,0.3,0,1.8,3,0,1,0,1,0.1,16013,0,0,0,1,502,206,0,0,141,Leicester,West Ham,Everton,Newcastle,Bournemouth,1,1,0.9,1.3,1,1.5,1.1,0.9,1.2,1.1,0.9,1.3,1.5,1,1.5,0.9,56.3
Petr,Cech,GLK,ARS,4800000,0,24,1.09090909090909,2.27272727272727E-07,5E-06,0,129447,0,9,0,27,0,0,0,5,1336,-2,0,24,2,0,0,0,3,0,1,0,0,1.2,80981,0,0,0,0,585,144,0,0,130,Chelsea,Cardiff City,Man City,Huddersfield,Southampton,0.9,1.1,0.5,0.7,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.7,0.5,0.8,0.5,20.4
,Cedric,DEF,SOU,4200000,1,51,3,7.14285714285714E-07,1.21428571428571E-05,0,412777,4,30,0,0,0,1,0,12.1,13213,-3,0,51,3,0.3,0,1.4,7,0,4,0,2,3.8,217408,0,0,0,1,1438,23283,0,0,264,Everton,Crystal Palace,Burnley,Cardiff City,Arsenal,4.1,3,2.4,4.2,1.8,3.2,2.7,2.7,3,2.5,3.1,3.3,2.9,2.9,2.8,3.6,62.7
Nathaniel,Chalobah,MID,WAT,4400000,0,6,0.272727272727273,6.19834710743802E-08,1.36363636363636E-06,0,11694,2,4,0,0,0,0,0,1.4,270,-1,0,6,1,0,0,0,0,0,0,0,0,0.1,4603,0,0,0,0,191,90,0,0,23,Burnley,Tottenham,Brighton,Everton,Cardiff City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.2
,Chamberlain,MID,LIV,6400000,0,0,0,0,0,0,2008,0,0,0,0,0,0,0,0,52,-1,0,0,1,0,0,0,0,0,0,0,0,0,790,0,0,0,0,0,28,0,0,0,Crystal Palace,Leicester,West Ham,Bournemouth,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calum,Chambers,DEF,FUL,4200000,0,23,1.5,3.57142857142857E-07,5.47619047619048E-06,0,81981,4,20,0,0,0,0,0,5.5,2172,-3,0,23,3,0.6,0,2.6,0,0,2,0,0,0.9,26487,0,0,0,0,1146,1138,0,0,171,Tottenham,Brighton,Crystal Palace,Man Utd,West Ham,1,1.4,1.1,1,0.8,0.8,1.4,0.9,1.2,1.1,0.9,1.7,0.8,1.8,1,0.9,53.5
