FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Bernardo,DEF,BHA,4200000,4,12,0.705882352941177,1.68067226890756E-07,2.85714285714286E-06,0,8744,2,8,0,0,0,0,0,2.9,284,-3,0,12,3,0.5,0,2.2,0,0,0,0,1,0.1,3475,0,0,0,0,562,1561,0,0,83,Bournemouth,Arsenal,Everton,West Ham,Liverpool,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.3
,Bernardo Silva,MID,MCI,7500000,2,70,4.4,5.86666666666667E-07,9.33333333333333E-06,0,1078573,2,9,0,0,0,4,0,9.3,42366,0,0,70,0,0.4,0,2.8,7,0,6,0,3,7.3,1083375,0,0,0,2,1316,23755,0,0,295,Crystal Palace,Leicester,Southampton,Liverpool,Wolverhampton,5,4.2,4.7,4,5.2,5.3,5.6,4.9,3.9,3.2,4.4,4.2,5,3.8,4.5,5.4,4.7,3.9,4.4,5,3.9,120.3
Ryan,Bertrand,DEF,SOU,4800000,0,33,2.8,5.83333333333333E-07,6.875E-06,0,309202,5,21,0,0,0,1,0,6.9,7898,-2,0,33,2,0,0,0,1,0,4,0,0,2.5,76782,0,0,0,0,1080,44,0,0,171,Huddersfield,West Ham,Man City,Chelsea,Leicester,0,2.4,2.8,2.8,2.3,4,3,2.1,4.2,1.5,2.8,2.4,2.9,2.4,2.2,3,3.1,2.4,2.4,2.3,3.7,54.2
Marcus,Bettinelli,GLK,FUL,4400000,0,15,0.882352941176471,2.00534759358289E-07,3.40909090909091E-06,0,30398,1,20,0,20,0,0,0,3.4,970,-1,0,15,1,0,0,0,0,0,0,0,0,0.5,36291,0,0,1,0,630,57,0,0,114,Newcastle,Wolverhampton,Huddersfield,Arsenal,Burnley,0.4,0.5,0.7,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.6,0.4,0.5,0.4,0.4,0.8,0.4,0.9,0.4,0.4,19.4
Philip,Billing,MID,HUD,4500000,2,38,2.4,5.33333333333333E-07,8.44444444444444E-06,0,176402,5,26,0,0,0,1,0,8.4,5842,0,0,38,0,0.4,0,1.6,3,0,3,0,0,1.9,261603,0,0,0,0,1390,3578,0,0,211,Southampton,Man Utd,Fulham,Burnley,Cardiff City,2.2,1.6,2,2.1,1.5,1.2,1.9,1.3,1.7,2.6,1.9,1.7,1.9,1.9,2.1,1.8,1.6,1.8,1.3,1.5,2.1,76.5
Yves,Bissouma,MID,BHA,4700000,1,19,1.11764705882353,2.37797246558198E-07,4.04255319148936E-06,0,2732,3,13,0,0,0,0,0,4,40,-3,0,19,3,0.3,0,1.2,0,0,0,0,0,0,1226,0,0,0,0,771,34,0,0,70,Bournemouth,Arsenal,Everton,West Ham,Liverpool,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.7,0.6,0.7,0.8,0.6,0.7,0.6,0.7,0.6,0.6,26.7
Daley,Blind,DEF,MUN,5000000,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,1,0,0,0,Cardiff City,Huddersfield,Bournemouth,Newcastle,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar,Bogle,FWD,CAR,4500000,0,0,0,0,0,0,11075,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1313,0,0,0,0,0,30,0,0,0,Man Utd,Crystal Palace,Leicester,Tottenham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yannick,Bolasie,MID,EVE,5800000,0,0,0,0,0,0,14669,0,0,0,0,0,0,0,0,27,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,689,0,0,0,0,0,0,0,0,0,Tottenham,Burnley,Brighton,Leicester,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy,Boly,DEF,WOL,4600000,6,57,3.4,7.39130434782609E-07,1.23913043478261E-05,0,217578,0,19,0,0,0,1,0,12.4,11466,1,0,57,-1,0.5,0,2.4,3,0,5,0,0,4.8,369231,0,0,0,0,1530,12875,0,0,304,Liverpool,Fulham,Tottenham,Crystal Palace,Man City,3.8,2.9,3.8,3.8,3,3.6,3.2,3.7,2.8,2.5,4.6,5.1,3.8,2.8,3,3.7,2.9,4.4,3.3,3.6,3.3,57.8
