FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5500000,0,0,0,0,0,0,3679,0,0,0,0,0,0,0,0,1834,0,0,0,0,0,0,0,0,0,0,0,0,0.1,695,0,0,0,0,0,276,0,0,0,Newcastle,Bournemouth,Cardiff City,West Ham,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,2,8,4,8.88888888888889E-07,1.77777777777778E-06,0,7314,0,1,0,0,0,0,0,1.8,4845,0,0,8,0,0.9,0,4,0,0,1,0,0,0.8,14556,0,0,0,0,180,7218,0,0,43,Everton,Chelsea,Leicester,Burnley,Crystal Palace,5.8,5.3,6,5.1,3.6,2.1,5.2,4.3,5.7,3.8,5.2,2.3,5.4,5,3.3,6,4.4,3.3,4.3,3.8,5.2,5,3.8,3.6,6,5.5,3.1,4.6,4.5,3.6,5.4,3.6,4.7,3.2,6,6,5.9
,Adrian,GLK,WHU,4500000,0,0,0,0,0,0,4343,0,0,0,0,0,0,0,0,2330,0,0,0,0,0,0,0,0,0,0,0,0,0.5,342,0,0,0,0,0,128,0,0,0,Arsenal,Wolverhampton,Everton,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11200000,20,22,11,9.82142857142857E-07,1.96428571428571E-06,0,80763,0,1,0,0,0,3,0,2,25675,2,-2,22,-2,1,0,11,3,0,1,0,1,46.6,796196,0,0,0,1,153,658439,2,0,86,Wolverhampton,Newcastle,Fulham,Cardiff City,Brighton,13.3,13.1,12.7,13.3,13.2,14.5,12.7,14.9,14.8,12.32,13.9,12.4,14.2,13.2,14.8,9.5,12.7,14.6,13,13.2,12.8,12.88,12.1,11.7,14.6,12.64,13.5,12.24,14.2,13.2,13.2,13.2,14.3,13.2,13.2,12.9,31.1
Nathan,Ake,DEF,BOU,5000000,2,10,5,1E-06,2E-06,0,31086,0,1,0,0,0,0,0,2,21052,0,0,10,0,1,0,5,2,0,1,0,0,4.1,37481,0,0,0,0,180,11142,0,0,38,Everton,Chelsea,Leicester,Burnley,Crystal Palace,7.5,6.9,7.5,6.4,5.1,3.1,7,6,7.5,5.3,6.6,3.4,7,6.7,4.7,7.5,5.5,4.7,6,5.3,7,6.6,4.7,5.1,7.5,6.9,4.4,6.1,6.2,4.4,6.8,4.5,6.4,4.5,7.4,7.5,4.6
Marc,Albrighton,MID,LEI,5400000,1,1,0.5,9.25925925925926E-08,1.85185185185185E-07,0,21509,0,0,0,0,0,0,0,0.2,8153,-1,0,1,1,0.1,0,0.5,0,0,0,0,0,0.7,880,0,0,0,0,59,493,0,0,8,Southampton,Liverpool,Bournemouth,Huddersfield,Newcastle,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.3
Toby,Alderweireld,DEF,TOT,5900000,2,2,2,3.38983050847458E-07,3.38983050847458E-07,0,43020,0,1,0,0,0,0,0,0.3,15285,-1,1,2,1,0.2,0,1,0,0,0,0,0,2.7,3839,0,0,0,0,90,1686,-1,0,16,Man Utd,Watford,Liverpool,Brighton,Huddersfield,1.3,1,1.6,1.5,1.9,3,1,1,1.3,3,1.6,2.7,1.7,1.4,1.9,1.5,1.6,2.5,1.8,2,1.8,1.3,1.4,3,2.2,2.3,2,1.2,1,1.4,2.9,1.8,1,1.7,1,2,1.8
Trent,Alexander-Arnold,DEF,LIV,5000000,5,10,5,1E-06,2E-06,0,108705,2,0,0,0,0,0,0,2,66035,0,0,10,0,1,0,5,0,0,2,0,0,17.1,149412,0,0,0,0,180,94424,0,0,47,Brighton,Leicester,Tottenham,Southampton,Chelsea,7.5,5.5,6.5,6.3,7.5,3.7,7,7.5,7.5,5.7,4,7.1,7.3,4.4,6.9,5.7,5.5,5.9,4.4,5.6,4.3,7.5,4.7,6.1,5.7,5.3,6.3,6.2,6.9,6.9,5.5,5.9,5.7,6.4,6.3,7.5,7.9
,Alisson,GLK,LIV,5500000,6,13,6.5,1.18181818181818E-06,2.36363636363636E-06,0,63529,0,0,0,4,0,0,0,2.4,36296,0,0,13,0,1.2,0,6.5,1,0,2,0,0,16.2,126669,0,0,0,0,180,99495,0,0,55,Brighton,Leicester,Tottenham,Southampton,Chelsea,9.8,7.1,8.4,9,9.8,5.6,9.1,9.8,9.8,8,6,9.2,9.5,6.6,9.5,7.4,8,7.6,6.5,7.2,6.5,9.8,6.9,8.7,8,7.7,8.2,8,9.5,8.9,8,7.6,7.4,8.3,9,9.8,3.4
Bamidele,Alli,MID,TOT,9100000,5,14,7,7.69230769230769E-07,1.53846153846154E-06,0,75258,0,2,0,0,0,1,0,1.5,56455,1,0,14,-1,0.8,0,7,2,0,0,0,1,7.4,202753,0,0,0,0,169,57141,0,0,52,Man Utd,Watford,Liverpool,Brighton,Huddersfield,6.9,6.8,6.2,6.7,9.5,10.5,8.1,7.7,7.6,10.5,5.9,9.9,10.1,6.9,8.9,6.4,10.4,10.5,7.7,9.3,9.9,9.1,9.1,10.5,9.9,8.2,7.7,8.6,7.3,5.6,10.5,9.2,8.1,10.5,7.6,8.1,22.4
